all/bioresponse_table_0_0.target,all/bioresponse_table_0_0.D34,all/bioresponse_table_0_0.D137,all/bioresponse_table_0_0.D415,all/bioresponse_table_0_0.D190,all/bioresponse_table_0_0.D422,all/bioresponse_table_0_0.D399,all/bioresponse_table_0_0.D935,all/bioresponse_table_0_0.D176,all/bioresponse_table_0_0.D926,all/bioresponse_table_0_0.D235,Key_0_0
0,0.0,0.125,0.133333333,0.956319309,0.0,0.0,0.0,0.0,0.075,0.0,2946
1,0.0,0.0,0.133333333,0.636643246,0.0,0.0,0.0,0.0,0.0,0.0,3270
0,0.138978178,0.0625,0.133333333,0.636643246,0.0,0.0,0.214285714,0.0,0.1,0.0,1848
1,0.0628,0.125,0.0,0.636643246,0.0,0.0,0.0714,0.0,0.075,0.0,1407
0,0.0,0.0,0.0,0.636643246,0.0,0.0,0.0,0.0,0.0,0.0,147
0,0.0,0.0,0.0,0.636643246,0.0,0.0,0.0,0.0,0.0,0.0,1631
0,0.0519,0.0625,0.133333333,0.636643246,0.0,0.0,0.0,0.0,0.0,0.0,2490
1,0.0,0.0625,0.0,0.636643246,0.0,0.0,0.0714,0.0,0.075,0.0,1260
1,0.130997823,0.125,0.0,0.636643246,0.0,0.0,0.0714,0.0,0.15,0.0,1384
0,0.0,0.0625,0.133333333,0.636643246,0.0,0.0,0.0,0.0,0.0,0.0,629
1,0.0,0.125,0.0,0.636643246,0.0,0.0,0.0714,0.0,0.05,0.0,1077
1,0.0,0.0,0.0,0.636643246,0.0,0.0,0.0,0.0,0.0,0.0,2280
1,0.0,0.0625,0.0,0.636643246,0.0,0.0,0.0,0.0,0.025,0.0,307
1,0.0,0.1875,0.0,0.636643246,0.0,0.0,0.0,0.0,0.025,0.0,3406
1,0.0,0.0625,0.0,0.636643246,0.0,0.0,0.0,0.0,0.025,0.0,995
0,0.130314543,0.3125,0.2,0.636643246,0.0909,0.0,0.0714,0.0,0.125,0.0,2370
0,0.0,0.0,0.133333333,0.636643246,0.0,0.0,0.0,0.0,0.0,0.0,2561
0,0.0,0.0,0.0,0.636643246,0.0,0.0,0.0,0.0,0.0,0.0,213
1,0.0,0.0,0.0,0.636643246,0.0,0.0,0.0,0.0,0.05,0.0,500
1,0.0,0.0625,0.0,0.636643246,0.0,0.0,0.0,0.0,0.0,0.0,255
0,0.0,0.125,0.0,0.636643246,0.0,0.0,0.0,0.0,0.0,0.0,3103
1,0.0,0.0,0.133333333,0.636643246,0.0,0.0,0.0,0.0,0.0,0.0,1617
0,0.04,0.0,0.0,0.636643246,0.0,0.0,0.0,0.0,0.0,0.0,708
1,0.0,0.0,0.133333333,0.636643246,0.0909,0.0,0.142857143,0.0,0.325,0.0,238
0,0.0,0.125,0.0,0.636643246,0.0,0.0,0.0,0.0,0.05,0.0,3142
1,0.0,0.0,0.0,0.636643246,0.0,0.0,0.0,0.0,0.025,0.0,1675
0,0.0,0.0625,0.133333333,0.636643246,0.0,0.0,0.0,0.0,0.05,0.0,1361
1,0.04,0.0,0.133333333,0.636643246,0.0,0.0,0.0,0.0,0.025,0.0,70
0,0.0,0.125,0.0,0.636643246,0.0,0.0,0.0,0.0,0.025,0.0,2054
1,0.0311,0.125,0.133333333,0.636643246,0.0,0.0,0.0,0.0,0.05,0.0,2974
0,0.0389,0.25,0.0,0.0867,0.0,0.0,0.0,0.0,0.05,0.0,2677
1,0.0,0.0625,0.0,0.636643246,0.0,0.0,0.0,0.0,0.075,0.0,2586
1,0.0,0.0,0.0,0.636643246,0.0,0.0,0.0714,0.0,0.175,0.0,2954
1,0.0,0.0625,0.0,0.636643246,0.0,0.0,0.0,0.0,0.0,0.0,1574
0,0.103896817,0.125,0.4,0.636643246,0.0,0.0,0.0,0.0,0.05,0.0,483
0,0.0,0.0625,0.0,0.636643246,0.0,0.0,0.0,0.0,0.0,0.0,2032
1,0.160043435,0.125,0.0,0.636643246,0.0,0.0,0.0714,0.0,0.05,0.0,195
