Key_0_0,D139,D184,D203,D865,D770,D585,D815,D767,D107,D188,Key_1_1
2639,0.119047619,0.0,0.0836,0.0,0.0,0.0,0.0,0.0,0.754351798,0.0,2240
2931,0.166666667,0.0,0.0836,0.0,0.0,0.0,0.0,0.0,0.787131088,0.0,709
3004,0.119047619,0.0,0.390606719,0.0,0.0,0.0,0.0,0.0,0.571434419,0.0,1956
967,0.0952,0.0,0.0836,0.0,0.0,0.0,0.0,0.0,0.727028355,0.0,427
940,0.0952,0.0,0.0836,0.0,0.0,0.0,0.0,0.0,0.678171261,0.0,1786
1783,0.19047619,0.0,0.0836,0.0,0.0,0.0,0.0,0.0,0.728947931,0.0,1056
1859,0.119047619,0.0,0.0836,0.0,0.0,0.0,0.0,0.0,0.568308644,0.0,191
226,0.0714,0.0,0.0836,0.0,0.0,0.0,0.0,0.0,0.724638056,0.0,2471
1964,0.142857143,0.0,0.0836,0.0,0.0,0.0,0.0,0.0,0.647148562,0.0,2775
644,0.142857143,0.0,0.0836,0.0,0.0,0.0,0.0,0.0,0.587828925,0.0,3324
2688,0.0,0.0,0.0836,0.0,0.0,0.0,0.0,0.0,0.751355969,0.949766902,208
1941,0.0476,0.0,0.0836,0.0,0.0,0.0,0.0,0.230769231,0.609780669,0.0,1131
2029,0.0,0.0,0.512351663,0.882352941,0.0303,0.111111111,0.0625,0.0,0.336523006,0.0,1750
601,0.119047619,0.0,0.499715862,0.0,0.0,0.0,0.0,0.0,0.563845583,0.0,2429
393,0.0952,0.0,0.0836,0.0,0.0,0.0,0.0,0.0,0.709612886,0.0,1827
579,0.261904762,0.0,0.0836,0.0,0.0,0.0,0.0,0.0,0.700566691,0.0,1930
1423,0.214285714,0.0,0.0836,0.0,0.0,0.0,0.0,0.0,0.753318379,0.0,1342
2886,0.142857143,0.0,0.0836,0.0,0.0,0.0,0.0,0.0,0.686403753,0.0,2330
182,0.119047619,0.0,0.0836,0.0,0.0,0.0,0.0,0.0,0.65459682,0.0,1781
1020,0.238095238,0.0,0.353133879,0.0,0.0,0.0,0.0,0.0,0.735891213,0.0,3253
2813,0.0714,0.0,0.0836,0.0,0.0,0.0,0.0,0.0,0.730586653,0.0,49
3235,0.0952,0.0,0.0836,0.0,0.0,0.0,0.0,0.0,0.566777312,0.0,2726
2207,0.142857143,0.0,0.0836,0.0,0.0,0.0,0.0,0.0,0.758971843,0.0,84
2427,0.333333333,0.0,0.0836,0.0,0.0,0.0,0.0,0.0,0.69550258,0.0,1441
402,0.119047619,0.0,0.0836,0.0,0.0,0.0,0.0,0.0,0.691030405,0.0,515
1241,0.166666667,0.0,0.710045128,0.0,0.0,0.0,0.0,0.0,0.649246235,0.0,365
1953,0.0238,0.0,0.0836,0.0,0.0,0.0,0.0,0.0,0.53882791,0.0,2608
2194,0.0476,0.0,0.0836,0.0,0.0,0.111111111,0.0,0.0,0.569661498,0.0,1196
3304,0.0476,0.0,0.0836,0.0,0.0,0.0,0.0,0.153846154,0.635180739,0.0,1824
3428,0.0,0.0,0.0836,0.0,0.0,0.0,0.0,0.0,0.754225117,0.0,2932
1445,0.0476,0.0,0.0836,0.0,0.0,0.0,0.0,0.307692308,0.557075689,0.0,1616
1558,0.0952,0.0,0.305966906,0.0,0.0,0.0,0.0,0.0,0.613964699,0.0,2182
3242,0.0952,0.0,0.0836,0.0,0.0,0.0,0.0,0.0,0.6983614,0.0,2036
1250,0.0,0.0,0.0836,0.0,0.0,0.0,0.0,0.0,0.655366625,0.0,774
3346,0.0476,0.0,0.0836,0.0,0.0,0.0,0.0,0.0,0.675211431,0.0,1941
115,0.0952,0.0,0.0836,0.0,0.0,0.0,0.0,0.0,0.788085522,0.0,1735
407,0.142857143,0.0,0.0836,0.0,0.0,0.0,0.0,0.0,0.67593468,0.0,236
1064,0.119047619,0.0,0.0836,0.0,0.0,0.0,0.0,0.0,0.768859082,0.0,347
1347,0.0476,0.0,0.0836,0.0,0.0,0.0,0.0,0.0,0.658538121,0.0,1911
1242,0.142857143,0.0,0.0836,0.0,0.0,0.0,0.0,0.0,0.694622499,0.0,634
3118,0.0476,0.0,0.0836,0.0,0.484848485,0.0,1.0,0.0,0.498253357,0.0,2761
251,0.0,0.0,0.0836,0.0,0.0,0.0,0.0,0.0,0.734359198,0.0,1555
1492,0.0476,0.0,0.0836,0.0,0.0,0.0,0.0,0.0,0.579657495,0.0,1970
2112,0.0476,0.0,0.0836,0.0,0.0,0.0,0.0,0.307692308,0.565969002,0.0,1964
1726,0.214285714,0.0,0.0836,0.0,0.0,0.222222222,0.0,0.0,0.350348584,0.0,2633
2197,0.142857143,0.0,0.0836,0.0,0.0,0.0,0.0,0.0,0.572660518,0.0,192
2384,0.142857143,0.0,0.0836,0.0,0.0,0.0,0.0,0.0,0.737604439,0.0,2420
338,0.0952,0.0,0.0836,0.0,0.0,0.0,0.0,0.0,0.777911049,0.0,2655
2344,0.119047619,0.0,0.0836,0.0,0.0,0.0,0.0,0.0769,0.567470486,0.0,3023
2240,0.0952,0.0,0.0836,0.0,0.0,0.0,0.0,0.0769,0.700462642,0.0,1127
3013,0.0,0.0,0.0836,0.0,0.0,0.0,0.0,0.0,0.665854002,0.0,1670
3369,0.142857143,0.0,0.0836,0.0,0.0,0.666666667,0.0,0.0,0.300646269,0.0,3232
3148,0.0,0.0,0.0836,0.0,0.0,0.0,0.0,0.0,0.333700413,0.0,2300
1399,0.238095238,0.0,0.0836,0.0,0.0,0.0,0.0,0.0,0.711783772,0.0,2524
2358,0.119047619,0.0,0.655189704,0.0,0.0,0.0,0.0,0.0,0.585309515,0.0,2156
3218,0.0952,0.0,0.0836,0.0,0.0,0.0,0.0,0.0,0.745491143,0.0,2569
2095,0.19047619,0.0,0.0836,0.0,0.0,0.0,0.0,0.0,0.669304454,0.0,2329
3144,0.0476,0.0,0.0836,0.0,0.0,0.0,0.0,0.0769,0.586881707,0.0,85
531,0.0714,0.0,0.0836,0.0,0.0,0.0,0.0,0.0,0.729612473,0.0,1254
1626,0.119047619,0.0,0.639712519,0.0,0.0,0.0,0.0,0.0,0.622491261,0.0,534
2179,0.0238,0.0,0.0836,0.0,0.0,0.0,0.0,0.0,0.555438031,0.0,2896
1298,0.0952,0.0,0.743439746,0.0,0.0,0.0,0.0,0.0,0.584733984,0.0,167
