all/bioresponse_table_1_3.csv.D809,all/bioresponse_table_1_3.csv.D697,all/bioresponse_table_1_3.csv.D895,all/bioresponse_table_1_3.csv.D515,all/bioresponse_table_1_3.csv.D37,all/bioresponse_table_1_3.csv.D143,all/bioresponse_table_1_3.csv.D546,all/bioresponse_table_1_3.csv.D896,all/bioresponse_table_1_3.csv.D773,all/bioresponse_table_1_3.csv.D937,all/bioresponse_table_1_3.csv.Key_1_3,Key_0_0
0.0,0.0,0.0,0.0,0.132255123,0.172413793,0.0588,0.0,0.0,0.0,2544,2946
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2431,3270
0.0,0.0,0.0,0.21875,0.19020571,0.103448276,0.0,0.0,0.0,0.0,1162,1848
0.125,0.0,0.0,0.15625,0.25,0.069,0.0,0.0,0.0,0.0,1849,1407
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1619,147
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2005,1631
0.0,0.0,0.0,0.0,0.0,0.0345,0.0,0.0,0.0,0.0,247,2490
0.0,0.0,0.0,0.0,0.0,0.0345,0.0,0.0,0.0,0.0,2152,1260
0.0,0.0,0.0,0.0313,0.0,0.0345,0.0,0.0,0.0,0.0,2099,1384
0.0,0.0,0.0,0.0,0.0,0.0345,0.0,0.0,0.0,0.0,1081,629
0.0,0.0,0.0,0.0625,0.5,0.0,0.0,0.0,0.0,0.0,2887,1077
0.0,0.0,0.0,0.0,0.0,0.0345,0.0,0.0,0.0,0.0,1898,2280
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1931,307
0.0,0.0,0.0,0.0,0.0,0.137931034,0.0,0.0,0.0,0.0,348,3406
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3287,995
0.125,0.0,0.0,0.125,0.0,0.413793103,0.0,0.0,0.037,0.1,3234,2370
0.0,0.0,0.0,0.0,0.0,0.0345,0.0,0.0,0.0,0.0,3060,2561
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3321,213
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,716,500
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1105,255
0.0,0.2,0.0,0.0,0.0,0.069,0.0,0.0,0.0,0.1,2786,3103
0.0,0.0,0.0,0.0,0.0,0.0345,0.0,0.0,0.0,0.0,699,1617
0.0,0.0,0.0,0.0,0.0,0.0345,0.0,0.0,0.0,0.0,858,708
0.0833,0.0,0.0,0.0938,0.0,0.0345,0.0,0.0,0.0,0.2,265,238
0.0,0.0,0.0,0.0,0.0,0.069,0.0,0.0,0.0,0.0,2784,3142
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006,1675
0.0,0.0,0.0,0.0,0.0,0.0345,0.0,0.0,0.0,0.0,1656,1361
0.0,0.1,0.0,0.0,0.0,0.069,0.0,0.0,0.0,0.0,1001,70
0.0833,0.2,0.0,0.0,0.0,0.069,0.0,0.0,0.0,0.0,1666,2054
0.0,0.2,0.0625,0.0,0.0711,0.103448276,0.0,0.0,0.0,0.0,2969,2974
0.0833,0.0,0.0,0.0,0.0,0.206896552,0.0,0.0,0.0,0.0,1047,2677
0.0,0.0,0.0,0.0,0.0,0.0345,0.117647059,0.0,0.0,0.0,1674,2586
0.0833,0.0,0.0,0.0938,0.0,0.137931034,0.0,0.0,0.0,0.1,2153,2954
0.0,0.0,0.0,0.0,0.269115683,0.0,0.0,0.0,0.0,0.0,2254,1574
0.0417,0.1,0.0,0.0,0.0,0.069,0.0,0.0,0.0741,0.0,2800,483
0.0,0.0,0.0,0.0,0.0,0.0345,0.0,0.0,0.0,0.0,2737,2032
0.0,0.2,0.0,0.0625,0.0,0.069,0.0,0.0,0.0,0.0,2306,195
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1399,2769
0.0,0.1,0.0,0.125,0.19020571,0.069,0.0,0.0,0.0,0.0,2867,1621
0.0,0.1,0.0,0.0938,0.153746173,0.069,0.0,0.0,0.0,0.1,1641,1841
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2634,2992
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1518,2874
0.0,0.0,0.0,0.0,0.0,0.0345,0.0,0.0,0.0,0.0,748,938
0.0417,0.0,0.0,0.0,0.0,0.0345,0.0,0.0,0.0,0.0,2973,1626
0.0,0.0,0.0,0.0,0.132255123,0.0345,0.0,0.0,0.0,0.0,2679,1287
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2756,2958
