all/credit_table_0_0.csv.residence_since,all/credit_table_0_0.csv.num_dependents,all/credit_table_0_0.csv.employment,Key_0_0,class
4.0,1.0,>=7,360,bad
1.0,1.0,<1,832,bad
4.0,1.0,1<=X<4,846,good
4.0,1.0,1<=X<4,287,bad
2.0,1.0,1<=X<4,594,good
4.0,1.0,4<=X<7,125,bad
2.0,1.0,1<=X<4,976,good
1.0,1.0,unemployed,406,bad
4.0,1.0,1<=X<4,462,bad
2.0,1.0,<1,726,good
4.0,2.0,>=7,115,good
1.0,1.0,<1,311,good
2.0,1.0,<1,833,bad
2.0,2.0,1<=X<4,951,bad
4.0,1.0,unemployed,659,good
2.0,1.0,1<=X<4,211,bad
4.0,1.0,1<=X<4,682,good
4.0,1.0,unemployed,18,bad
2.0,1.0,1<=X<4,478,good
4.0,1.0,>=7,370,good
2.0,1.0,1<=X<4,728,good
1.0,2.0,4<=X<7,992,good
3.0,1.0,1<=X<4,815,good
2.0,1.0,1<=X<4,588,good
4.0,1.0,<1,838,good
3.0,2.0,4<=X<7,184,good
4.0,1.0,>=7,519,good
4.0,1.0,<1,436,good
1.0,1.0,>=7,950,good
3.0,1.0,unemployed,120,good
1.0,2.0,<1,85,good
3.0,1.0,>=7,96,good
1.0,1.0,<1,395,good
3.0,1.0,4<=X<7,693,good
4.0,1.0,>=7,248,good
2.0,1.0,1<=X<4,132,good
4.0,1.0,>=7,652,good
2.0,1.0,>=7,324,bad
2.0,2.0,1<=X<4,675,bad
4.0,1.0,1<=X<4,994,bad
4.0,2.0,4<=X<7,500,good
1.0,2.0,>=7,400,good
1.0,1.0,<1,453,good
2.0,1.0,<1,610,good
4.0,1.0,4<=X<7,780,good
2.0,1.0,>=7,203,good
4.0,1.0,4<=X<7,860,good
4.0,1.0,4<=X<7,109,good
4.0,1.0,>=7,544,good
3.0,2.0,4<=X<7,148,good
4.0,1.0,1<=X<4,461,good
4.0,2.0,>=7,533,good
3.0,1.0,1<=X<4,362,bad
3.0,1.0,1<=X<4,302,good
1.0,1.0,>=7,225,bad
2.0,1.0,1<=X<4,234,good
4.0,1.0,>=7,425,good
2.0,2.0,1<=X<4,455,good
4.0,1.0,<1,725,bad
4.0,2.0,1<=X<4,843,good
4.0,2.0,1<=X<4,898,bad
4.0,2.0,1<=X<4,953,good
4.0,1.0,1<=X<4,526,good
4.0,1.0,>=7,441,good
2.0,1.0,1<=X<4,61,bad
2.0,1.0,>=7,38,good
4.0,1.0,>=7,825,good
4.0,1.0,4<=X<7,479,good
3.0,1.0,1<=X<4,208,bad
4.0,1.0,unemployed,481,bad
2.0,1.0,>=7,721,good
4.0,1.0,1<=X<4,941,bad
4.0,1.0,>=7,253,bad
4.0,1.0,4<=X<7,340,good
4.0,1.0,4<=X<7,741,good
2.0,1.0,unemployed,405,bad
1.0,1.0,1<=X<4,595,good
2.0,1.0,1<=X<4,975,bad
3.0,1.0,>=7,107,good
2.0,1.0,<1,802,bad
1.0,1.0,1<=X<4,847,good
4.0,1.0,<1,228,good
3.0,2.0,>=7,796,good
2.0,1.0,1<=X<4,460,good
4.0,1.0,>=7,948,good
2.0,1.0,1<=X<4,322,good
4.0,1.0,4<=X<7,683,bad
3.0,1.0,1<=X<4,938,bad
4.0,1.0,>=7,981,bad
3.0,2.0,unemployed,880,good
4.0,2.0,<1,510,bad
4.0,2.0,>=7,241,bad
4.0,2.0,>=7,284,good
1.0,1.0,4<=X<7,824,good
2.0,1.0,1<=X<4,656,good
2.0,1.0,1<=X<4,772,good
3.0,1.0,<1,706,bad
4.0,1.0,>=7,516,good
2.0,1.0,1<=X<4,283,good
4.0,1.0,1<=X<4,359,bad
4.0,1.0,>=7,531,good
4.0,1.0,>=7,673,good
4.0,1.0,>=7,599,good
3.0,2.0,4<=X<7,521,good
2.0,1.0,>=7,571,good
4.0,1.0,>=7,919,bad
4.0,2.0,>=7,394,bad
1.0,1.0,4<=X<7,648,good
1.0,1.0,1<=X<4,869,good
2.0,1.0,>=7,863,good
3.0,1.0,>=7,512,bad
1.0,2.0,4<=X<7,314,good
3.0,2.0,<1,934,good
3.0,1.0,<1,640,bad
4.0,1.0,>=7,434,good
4.0,1.0,>=7,6,good
2.0,1.0,4<=X<7,807,bad
4.0,1.0,unemployed,596,good
3.0,1.0,>=7,334,bad
4.0,1.0,unemployed,864,bad
1.0,1.0,<1,472,good
2.0,1.0,1<=X<4,214,good
2.0,2.0,4<=X<7,282,bad
4.0,1.0,1<=X<4,205,good
1.0,1.0,4<=X<7,239,good
2.0,1.0,1<=X<4,841,good
3.0,1.0,<1,166,good
4.0,1.0,unemployed,290,bad
4.0,1.0,>=7,158,bad
4.0,1.0,1<=X<4,232,good
2.0,1.0,>=7,943,good
1.0,1.0,1<=X<4,143,good
2.0,1.0,1<=X<4,401,bad
4.0,1.0,>=7,591,good
4.0,1.0,>=7,664,good
3.0,2.0,1<=X<4,784,good
2.0,1.0,4<=X<7,26,bad
1.0,2.0,4<=X<7,609,good
1.0,1.0,4<=X<7,689,good
4.0,1.0,1<=X<4,528,good
2.0,1.0,4<=X<7,133,good
4.0,2.0,>=7,149,good
2.0,1.0,unemployed,31,bad
2.0,1.0,1<=X<4,654,good
3.0,1.0,unemployed,163,good
3.0,1.0,4<=X<7,712,good
1.0,1.0,4<=X<7,339,bad
2.0,1.0,1<=X<4,820,good
4.0,1.0,>=7,720,good
4.0,2.0,1<=X<4,488,good
2.0,1.0,1<=X<4,710,bad
1.0,1.0,<1,111,bad
2.0,2.0,4<=X<7,603,good
4.0,1.0,1<=X<4,219,good
4.0,1.0,<1,979,bad
3.0,1.0,1<=X<4,623,bad
4.0,1.0,unemployed,550,good
2.0,1.0,>=7,873,bad
4.0,1.0,>=7,49,good
4.0,1.0,<1,834,good
3.0,1.0,4<=X<7,509,good
3.0,1.0,>=7,277,bad
2.0,1.0,>=7,763,good
2.0,1.0,1<=X<4,779,good
4.0,1.0,>=7,291,good
2.0,1.0,1<=X<4,918,good
