all/credit_table_1_1.housing,all/credit_table_1_1.other_parties,all/credit_table_1_1.job,all/credit_table_1_1.Key_1_1,Key_0_0
own,none,skilled,461,360
rent,none,skilled,180,832
rent,none,skilled,837,846
own,none,skilled,399,287
own,none,skilled,322,594
rent,none,skilled,248,125
own,none,skilled,347,976
own,none,skilled,139,406
own,none,skilled,988,462
own,none,high qualif/self emp/mgmt,809,726
own,none,skilled,102,115
own,none,high qualif/self emp/mgmt,680,311
own,none,skilled,449,833
own,none,skilled,507,951
for free,none,skilled,280,659
own,none,skilled,278,211
own,none,unskilled resident,677,682
rent,co applicant,skilled,953,18
own,none,skilled,652,478
own,none,skilled,521,370
own,none,skilled,707,728
own,none,skilled,197,992
own,none,unskilled resident,37,815
own,co applicant,skilled,933,588
rent,none,high qualif/self emp/mgmt,780,838
own,none,unskilled resident,839,184
own,none,unskilled resident,158,519
rent,none,skilled,143,436
own,none,high qualif/self emp/mgmt,97,950
own,none,high qualif/self emp/mgmt,551,120
own,guarantor,unskilled resident,623,85
own,none,skilled,465,96
own,none,skilled,788,395
own,co applicant,skilled,499,693
rent,none,unskilled resident,504,248
own,none,skilled,834,132
for free,none,unskilled resident,482,652
own,none,skilled,997,324
own,none,skilled,321,675
rent,none,unskilled resident,732,994
for free,guarantor,skilled,20,500
own,none,unskilled resident,942,400
own,none,skilled,905,453
own,none,unemp/unskilled non res,268,610
rent,none,unskilled resident,365,780
own,none,skilled,85,203
own,none,unskilled resident,537,860
own,none,skilled,871,109
own,none,unskilled resident,511,544
own,none,skilled,15,148
rent,none,unskilled resident,701,461
own,none,unskilled resident,696,533
own,none,skilled,711,362
own,none,skilled,547,302
rent,none,skilled,986,225
own,none,skilled,142,234
for free,none,skilled,245,425
own,co applicant,skilled,5,455
rent,none,skilled,430,725
for free,none,unskilled resident,356,843
rent,none,unskilled resident,544,898
own,guarantor,skilled,756,953
own,none,skilled,494,526
own,none,skilled,840,441
own,none,high qualif/self emp/mgmt,850,61
own,none,skilled,785,38
own,none,skilled,313,825
own,none,skilled,688,479
own,none,skilled,960,208
for free,none,high qualif/self emp/mgmt,120,481
own,none,skilled,930,721
