all/credit_table_1_2.csv.own_telephone,all/credit_table_1_2.csv.existing_credits,all/credit_table_1_2.csv.other_payment_plans,all/credit_table_1_2.csv.Key_1_2,Key_0_0
yes,2.0,none,178,360
none,1.0,none,252,832
none,1.0,none,243,846
yes,2.0,bank,898,287
none,1.0,none,650,594
none,2.0,none,938,125
yes,1.0,none,286,976
none,1.0,none,891,406
none,1.0,none,304,462
yes,2.0,none,623,726
yes,4.0,none,374,115
yes,1.0,none,160,311
yes,2.0,bank,266,833
none,2.0,stores,206,951
none,1.0,none,570,659
none,2.0,none,978,211
none,1.0,none,682,682
none,1.0,none,37,18
none,1.0,none,251,478
none,1.0,none,119,370
none,1.0,none,677,728
none,1.0,none,624,992
none,1.0,none,441,815
none,1.0,none,681,588
yes,1.0,none,276,838
none,1.0,none,872,184
none,2.0,none,870,519
yes,1.0,none,456,436
yes,1.0,none,691,950
yes,1.0,none,501,120
none,1.0,none,627,85
yes,1.0,none,394,96
none,1.0,none,897,395
none,2.0,bank,907,693
none,1.0,none,960,248
none,1.0,stores,240,132
none,1.0,none,317,652
yes,2.0,bank,204,324
yes,1.0,none,877,675
none,2.0,bank,154,994
none,1.0,none,230,500
none,2.0,none,153,400
none,1.0,none,165,453
none,1.0,none,900,610
none,1.0,stores,906,780
yes,1.0,none,741,203
none,1.0,none,712,860
none,1.0,none,436,109
none,1.0,none,422,544
none,1.0,none,745,148
none,1.0,none,634,461
none,1.0,bank,198,533
yes,1.0,bank,112,362
yes,2.0,none,996,302
none,2.0,none,770,225
none,1.0,none,236,234
none,2.0,none,931,425
none,1.0,none,279,455
none,1.0,none,307,725
yes,1.0,none,755,843
none,1.0,none,798,898
yes,1.0,bank,267,953
none,1.0,none,111,526
none,2.0,none,14,441
yes,2.0,none,221,61
none,2.0,none,899,38
yes,2.0,none,262,825
yes,1.0,none,834,479
none,1.0,bank,895,208
yes,1.0,none,797,481
none,2.0,none,465,721
none,2.0,none,66,941
yes,1.0,bank,630,253
yes,2.0,none,717,340
none,1.0,none,78,741
none,2.0,none,93,405
yes,2.0,none,609,595
yes,1.0,none,17,975
yes,1.0,stores,517,107
none,1.0,bank,804,802
none,1.0,none,858,847
none,2.0,none,909,228
