Key_0_0,totalFixDur,prevFixDur,nextFixDur,Key_1_1
3586,119.0,99.0,238.0,7351
7162,239.0,119.0,100.0,1445
5920,536.0,139.0,179.0,6384
7221,198.0,199.0,99.0,7599
4572,139.0,80.0,139.0,2501
5761,259.0,179.0,100.0,7440
6241,100.0,199.0,99.0,2713
1615,298.0,159.0,139.0,2275
5644,239.0,359.0,199.0,865
2980,99.0,239.0,99.0,5829
3252,219.0,0.0,159.0,1142
6596,558.0,179.0,239.0,6850
4036,379.0,120.0,359.0,7086
1704,279.0,219.0,219.0,6856
1523,219.0,99.0,119.0,5797
6902,357.0,139.0,179.0,2031
220,100.0,80.0,179.0,2788
3999,99.0,99.0,179.0,154
5085,238.0,219.0,199.0,1501
7181,80.0,80.0,179.0,1538
1784,99.0,179.0,219.0,5549
3032,179.0,179.0,139.0,634
858,358.0,80.0,139.0,1687
3286,238.0,139.0,80.0,5510
408,238.0,139.0,199.0,5998
6095,139.0,119.0,119.0,5006
5929,80.0,139.0,99.0,3462
4349,139.0,80.0,159.0,2994
3020,119.0,179.0,139.0,5174
7425,100.0,259.0,319.0,2709
4770,80.0,179.0,139.0,3637
4841,99.0,139.0,219.0,5916
4635,80.0,219.0,159.0,5556
6036,279.0,259.0,20.0,502
3577,397.0,139.0,219.0,2406
5071,199.0,159.0,298.0,6645
5829,159.0,119.0,100.0,2830
6664,99.0,656.0,80.0,6891
4198,338.0,99.0,99.0,6590
6171,238.0,119.0,219.0,2693
936,139.0,139.0,179.0,1235
6167,319.0,199.0,279.0,6716
174,198.0,80.0,119.0,7222
845,159.0,139.0,179.0,6882
1101,159.0,199.0,139.0,7469
3908,159.0,179.0,239.0,1724
7160,318.0,119.0,219.0,2781
3614,278.0,0.0,139.0,800
3649,20.0,558.0,179.0,978
279,80.0,99.0,99.0,2281
280,159.0,119.0,278.0,3380
379,179.0,100.0,219.0,6488
423,159.0,139.0,179.0,5876
1738,179.0,298.0,99.0,6703
312,99.0,80.0,119.0,5585
6743,99.0,159.0,139.0,107
3192,179.0,278.0,159.0,58
4237,379.0,20.0,180.0,972
5965,279.0,777.0,638.0,1238
1039,139.0,100.0,159.0,1614
7371,159.0,159.0,219.0,2937
6568,20.0,299.0,139.0,1050
7307,139.0,99.0,298.0,3848
3247,119.0,80.0,139.0,3399
4599,159.0,139.0,179.0,1008
3624,139.0,80.0,119.0,7205
6416,80.0,99.0,179.0,6232
6372,399.0,20.0,140.0,6788
1188,179.0,139.0,279.0,1095
6854,99.0,258.0,298.0,2427
5983,239.0,199.0,299.0,817
412,199.0,139.0,99.0,5700
4467,179.0,80.0,139.0,4171
4915,199.0,139.0,258.0,853
5817,258.0,159.0,139.0,369
3201,80.0,119.0,80.0,4324
1896,219.0,80.0,139.0,3306
6066,139.0,0.0,238.0,5531
3873,219.0,219.0,99.0,7294
1518,278.0,99.0,139.0,5353
7501,378.0,339.0,179.0,3226
2828,159.0,139.0,239.0,1449
72,99.0,139.0,119.0,961
998,259.0,179.0,219.0,6751
7411,199.0,179.0,139.0,3346
1278,139.0,119.0,99.0,482
6188,219.0,537.0,99.0,5682
3053,80.0,219.0,99.0,4533
2034,99.0,139.0,179.0,2652
1162,159.0,259.0,159.0,6400
2309,338.0,219.0,258.0,1488
5141,298.0,219.0,159.0,2919
4048,198.0,99.0,99.0,4496
5219,139.0,80.0,159.0,6301
6112,159.0,0.0,179.0,4104
4050,99.0,238.0,99.0,6247
3622,339.0,219.0,199.0,719
7382,359.0,1036.0,359.0,211
1406,298.0,199.0,199.0,105
871,159.0,139.0,179.0,5352
904,159.0,199.0,99.0,4157
6098,80.0,238.0,99.0,4193
6552,139.0,139.0,199.0,5712
1129,159.0,219.0,99.0,7528
4491,139.0,99.0,139.0,2373
5162,477.0,119.0,179.0,4132
3650,99.0,179.0,139.0,7588
740,139.0,258.0,99.0,6594
7089,337.0,119.0,80.0,4066
3135,199.0,100.0,139.0,4400
159,80.0,99.0,159.0,737
449,219.0,99.0,99.0,809
1013,319.0,199.0,199.0,4771
6481,139.0,159.0,139.0,4688
37,120.0,179.0,20.0,1700
1280,119.0,99.0,219.0,4694
6817,139.0,199.0,239.0,6990
6504,139.0,239.0,199.0,803
7249,119.0,119.0,238.0,822
3783,159.0,179.0,99.0,6077
5051,219.0,80.0,238.0,4236
6734,179.0,139.0,159.0,7369
185,139.0,99.0,139.0,5902
5408,179.0,139.0,179.0,6970
2981,80.0,199.0,139.0,7151
4899,219.0,278.0,99.0,1956
6254,219.0,179.0,239.0,335
3956,139.0,119.0,139.0,7546
1273,159.0,219.0,119.0,1288
5847,278.0,179.0,219.0,21
7487,119.0,80.0,219.0,4899
4018,139.0,80.0,119.0,1678
1940,139.0,139.0,179.0,349
2435,80.0,139.0,119.0,4073
4031,99.0,298.0,99.0,1885
6627,99.0,99.0,99.0,2185
5769,199.0,119.0,119.0,1124
4974,219.0,179.0,139.0,6688
716,139.0,199.0,119.0,3212
3298,239.0,159.0,139.0,6329
1827,159.0,119.0,179.0,507
1759,119.0,219.0,219.0,4579
1113,179.0,99.0,358.0,6699
6259,278.0,139.0,99.0,6221
4311,258.0,199.0,298.0,748
3382,199.0,139.0,99.0,1185
98,219.0,219.0,99.0,6339
5498,139.0,80.0,119.0,267
2998,179.0,199.0,179.0,917
5566,219.0,278.0,239.0,5687
2331,318.0,99.0,80.0,4570
4765,159.0,0.0,199.0,3404
2678,119.0,99.0,119.0,3596
7607,99.0,219.0,179.0,1568
7474,318.0,159.0,199.0,7316
3208,99.0,417.0,119.0,2518
3970,139.0,0.0,358.0,811
2343,219.0,259.0,140.0,1804
1943,159.0,139.0,119.0,3958
3493,219.0,179.0,99.0,6871
4743,80.0,80.0,119.0,1402
351,139.0,80.0,99.0,7276
4763,139.0,199.0,139.0,5141
1396,179.0,219.0,119.0,3333
3001,358.0,239.0,378.0,6660
5859,139.0,80.0,179.0,1131
1757,139.0,99.0,139.0,985
5334,279.0,279.0,159.0,5144
233,199.0,518.0,199.0,5278
586,159.0,238.0,99.0,3620
7390,139.0,139.0,139.0,1180
6713,119.0,80.0,80.0,5509
5281,398.0,99.0,179.0,595
4832,199.0,199.0,199.0,6770
321,338.0,179.0,179.0,3436
2916,218.0,99.0,139.0,1265
5563,199.0,139.0,199.0,197
6042,99.0,80.0,99.0,4576
4351,99.0,0.0,179.0,3917
7308,179.0,179.0,179.0,2999
3347,279.0,119.0,99.0,4559
3855,298.0,179.0,238.0,1178
6643,258.0,119.0,119.0,611
3008,179.0,199.0,179.0,6268
3995,238.0,99.0,238.0,7292
6927,119.0,119.0,159.0,2752
5459,278.0,0.0,99.0,3397
4200,298.0,139.0,80.0,6087
221,99.0,80.0,99.0,662
3185,139.0,219.0,80.0,5082
6021,99.0,199.0,139.0,4299
5523,99.0,139.0,99.0,4673
1919,318.0,139.0,139.0,3884
6963,99.0,159.0,80.0,1893
1323,99.0,139.0,99.0,4134
4352,179.0,179.0,100.0,6178
4973,199.0,179.0,199.0,1905
4879,119.0,80.0,80.0,1624
2005,139.0,80.0,278.0,7522
3450,159.0,80.0,99.0,5374
2862,239.0,219.0,139.0,527
6616,139.0,159.0,80.0,4245
2261,99.0,80.0,298.0,102
6078,99.0,139.0,179.0,4929
5283,80.0,80.0,99.0,7097
6082,278.0,159.0,139.0,5685
7232,179.0,139.0,199.0,2057
