Key_0_0,firstPassFixDur,lineNo,assgNo,lineNo
3586,119.0,9684.0,298.0,9684.0
7162,239.0,2065.0,66.0,2065.0
5920,357.0,1969.0,61.0,1969.0
7221,219.0,10326.0,315.0,10326.0
4572,239.0,6827.0,204.0,6827.0
5761,259.0,2793.0,85.0,2793.0
6241,100.0,9800.0,302.0,9800.0
1615,298.0,9462.0,293.0,9462.0
5644,239.0,2828.0,86.0,2828.0
2980,99.0,8235.0,256.0,8235.0
3252,915.0,5613.0,167.0,5613.0
6596,558.0,3127.0,95.0,3127.0
4036,379.0,2537.0,78.0,2537.0
1704,279.0,7817.0,240.0,7817.0
1523,219.0,10437.0,318.0,10437.0
6902,357.0,1928.0,61.0,1928.0
220,119.0,10027.0,306.0,10027.0
3999,99.0,10664.0,328.0,10664.0
5085,438.0,4220.0,134.0,4220.0
7181,80.0,6772.0,203.0,6772.0
1784,99.0,10806.0,333.0,10806.0
3032,179.0,2108.0,66.0,2108.0
858,358.0,1926.0,61.0,1926.0
3286,238.0,10223.0,311.0,10223.0
408,238.0,6218.0,183.0,6218.0
6095,139.0,10222.0,311.0,10222.0
5929,239.0,2097.0,66.0,2097.0
4349,139.0,9121.0,286.0,9121.0
3020,119.0,8560.0,271.0,8560.0
7425,100.0,2794.0,85.0,2794.0
4770,80.0,9965.0,306.0,9965.0
4841,99.0,3947.0,127.0,3947.0
4635,80.0,1031.0,31.0,1031.0
6036,279.0,2779.0,85.0,2779.0
3577,397.0,6049.0,179.0,6049.0
5071,199.0,7809.0,240.0,7809.0
5829,239.0,2087.0,66.0,2087.0
6664,99.0,7443.0,227.0,7443.0
4198,338.0,6704.0,200.0,6704.0
6171,238.0,4448.0,137.0,4448.0
936,139.0,4925.0,150.0,4925.0
6167,319.0,2640.0,79.0,2640.0
174,198.0,6617.0,197.0,6617.0
845,159.0,9075.0,285.0,9075.0
1101,159.0,6448.0,191.0,6448.0
3908,219.0,149.0,5.0,149.0
7160,318.0,5681.0,168.0,5681.0
3614,199.0,10004.0,306.0,10004.0
3649,239.0,3130.0,95.0,3130.0
279,80.0,9358.0,290.0,9358.0
280,159.0,5293.0,159.0,5293.0
379,319.0,2799.0,85.0,2799.0
423,199.0,3905.0,125.0,3905.0
1738,179.0,9451.0,293.0,9451.0
312,298.0,9501.0,293.0,9501.0
6743,99.0,9406.0,291.0,9406.0
3192,179.0,10274.0,312.0,10274.0
4237,379.0,2268.0,73.0,2268.0
5965,279.0,2280.0,73.0,2280.0
1039,139.0,9805.0,302.0,9805.0
7371,139.0,6230.0,183.0,6230.0
6568,20.0,2254.0,72.0,2254.0
7307,139.0,6549.0,194.0,6549.0
3247,119.0,3261.0,99.0,3261.0
4599,159.0,1685.0,52.0,1685.0
3624,139.0,7653.0,236.0,7653.0
6416,80.0,10388.0,317.0,10388.0
6372,179.0,2860.0,87.0,2860.0
1188,518.0,2539.0,78.0,2539.0
6854,99.0,490.0,15.0,490.0
5983,239.0,2983.0,91.0,2983.0
412,99.0,9322.0,289.0,9322.0
4467,80.0,10598.0,324.0,10598.0
4915,199.0,1771.0,55.0,1771.0
5817,258.0,216.0,6.0,216.0
3201,80.0,6639.0,197.0,6639.0
1896,219.0,3747.0,119.0,3747.0
6066,139.0,260.0,8.0,260.0
3873,298.0,7578.0,231.0,7578.0
1518,199.0,7084.0,215.0,7084.0
7501,378.0,2522.0,78.0,2522.0
2828,159.0,8204.0,256.0,8204.0
72,160.0,6566.0,194.0,6566.0
998,278.0,377.0,11.0,377.0
7411,199.0,8643.0,274.0,8643.0
1278,139.0,9833.0,303.0,9833.0
6188,219.0,775.0,23.0,775.0
3053,139.0,1448.0,44.0,1448.0
2034,99.0,535.0,17.0,535.0
1162,199.0,2746.0,83.0,2746.0
2309,338.0,8069.0,251.0,8069.0
5141,298.0,451.0,14.0,451.0
4048,80.0,9467.0,293.0,9467.0
5219,139.0,1777.0,56.0,1777.0
6112,159.0,3168.0,97.0,3168.0
4050,99.0,1361.0,42.0,1361.0
3622,339.0,3145.0,96.0,3145.0
7382,359.0,2736.0,83.0,2736.0
1406,298.0,5956.0,177.0,5956.0
871,278.0,1486.0,44.0,1486.0
904,139.0,10006.0,306.0,10006.0
6098,80.0,10381.0,317.0,10381.0
6552,199.0,1436.0,44.0,1436.0
1129,139.0,9900.0,304.0,9900.0
4491,139.0,6598.0,195.0,6598.0
5162,536.0,8383.0,263.0,8383.0
3650,99.0,8542.0,270.0,8542.0
740,139.0,1404.0,43.0,1404.0
7089,337.0,3682.0,115.0,3682.0
3135,199.0,5200.0,157.0,5200.0
159,80.0,9224.0,289.0,9224.0
449,219.0,3734.0,118.0,3734.0
1013,279.0,2587.0,78.0,2587.0
6481,139.0,1769.0,55.0,1769.0
37,120.0,2972.0,91.0,2972.0
