Key_0_0,pupilDiamMax,P1stFixation,leavingPos,Key_1_3
3586,0.1541,0,51.1786,418
7162,0.0119,1,47.0425,6182
5920,0.0874,0,118.6529,817
7221,0.0173,1,78.5875,204
4572,0.3229,1,102.1225,7193
5761,0.0947,1,137.0082,689
6241,0.1085,1,55.9151,1525
1615,0.1261,1,124.0423,1198
5644,0.8257,1,60.8153,1411
2980,0.1874,1,121.1745,1415
3252,0.0715,1,55.0318,5070
6596,-0.2634,1,40.9695,6881
4036,1.1015,0,1266.7849,1382
1704,0.0361,0,109.276,3704
1523,0.2907,1,42.9942,4905
6902,0.0699,0,103.0194,3378
220,0.193,1,30.7612,7464
3999,0.1097,1,51.7349,3423
5085,0.057,0,138.6001,3175
7181,0.0179,0,91.0673,4313
1784,0.0395,1,44.847,5920
3032,0.1649,0,20.5973,2724
858,0.1029,0,167.4515,7317
3286,0.1117,1,67.5296,4987
408,-0.0039,1,34.6157,7489
6095,0.1447,1,82.0,6666
5929,0.1494,0,63.673,1876
4349,0.0532,1,95.0842,3740
3020,0.1832,1,94.3835,6436
7425,0.1722,1,62.8828,464
4770,0.2,1,47.5657,6018
4841,0.1311,0,35.5106,1736
4635,0.1254,0,63.2653,6252
6036,-0.2753,0,73.6817,349
3577,0.0796,1,136.4441,1311
5071,0.0246,0,114.5044,4228
5829,0.1339,1,63.8847,1404
6664,-0.0163,0,98.1147,872
4198,-0.078,0,22.4611,6057
6171,-0.0873,1,92.6984,2977
936,0.0781,1,57.1686,2898
6167,-0.2575,0,114.2322,2798
174,0.1161,1,52.5024,6508
845,0.1472,1,78.1745,630
1101,0.2484,1,65.4599,359
3908,0.032,1,2.5495,1217
7160,0.0835,1,58.9788,3571
3614,0.1965,1,122.4827,837
3649,1.7801,1,96.0534,6900
279,0.0882,1,150.6063,524
280,0.0798,1,38.7105,5328
379,0.5542,1,24.5204,775
423,0.1563,0,76.787,5545
1738,0.1456,1,35.171,7510
312,0.0471,0,41.0122,4547
6743,0.2232,0,122.173,2955
3192,0.3023,1,157.4817,5204
4237,1.1122,1,76.1528,4502
5965,0.6492,1,60.2516,6434
1039,0.122,1,32.249,3101
7371,0.1256,1,81.7634,238
6568,-0.1566,0,62.1772,2407
7307,0.2781,1,74.3942,4403
3247,0.213,1,83.0136,1874
4599,0.0351,0,83.182,5839
3624,0.2326,0,76.5914,7507
6416,0.0892,0,90.2718,3943
6372,1.5777,1,48.7571,5274
1188,0.421,1,301.7317,1322
6854,0.1383,1,15.7877,989
5983,-0.1024,1,42.6058,2372
412,0.1172,1,69.464,318
4467,0.4497,1,30.104,673
4915,0.1079,1,41.8629,434
5817,0.059,0,41.0183,2317
