all/jannis_table_0_0.class,all/jannis_table_0_0.V4,all/jannis_table_0_0.V46,all/jannis_table_0_0.V54,all/jannis_table_0_0.V42,Key_0_0
0,0.220451,0.608318,0.0369238,41.0158,55549
0,0.346271,0.544478,1.08381,8.35961,22650
0,0.503514,0.389973,0.125744,18.9833,51206
0,0.344808,0.393847,0.972858,56.0168,27037
0,0.611231,0.471822,1.02087,11.0754,43541
0,0.497438,0.140222,0.696044,69.4001,56159
1,0.953264,0.897749,0.445132,56.1357,14982
0,0.662502,0.0920696,0.155661,62.3642,54701
1,0.519614,0.296086,0.356773,44.3896,335
0,0.471649,0.680475,0.111994,13.812,28416
1,0.541644,0.924139,0.206306,10.2991,583
1,0.536683,0.29931,0.231177,23.7749,46987
0,0.375573,0.508219,1.02028,45.015,15541
0,0.480978,0.0391661,1.08994,13.4431,38989
1,0.514258,0.541281,0.139758,32.241,33943
1,0.127808,0.836192,1.02084,31.4422,13996
0,0.520177,0.495136,0.125667,27.17,39489
0,0.839337,0.755831,0.115421,16.3493,14456
0,0.743916,0.179982,0.214765,24.2242,2851
1,0.227582,0.701828,0.520858,21.2617,1604
0,0.389202,0.0904862,0.102394,43.0037,12954
0,0.526596,0.326884,1.09137,31.5098,50944
0,0.51842,0.0927499,0.873156,14.3113,44463
0,0.645197,0.414303,0.479444,30.159,19425
1,0.925178,0.0637753,0.394427,22.9754,28002
1,0.224593,0.437478,0.263981,48.8475,6642
1,0.224389,0.81744,0.292194,24.185,13413
0,0.468693,0.478203,0.801903,64.5568,53230
0,0.512742,0.49228,0.125638,59.219,55605
1,0.591568,0.19327,0.150346,58.2574,21489
0,0.0477759,0.38381,0.674721,26.4475,51366
0,0.869432,0.921167,0.456793,42.4411,55513
0,0.564588,0.395791,1.14051,74.3854,41985
1,0.531276,0.37762,0.540389,51.4406,6500
0,0.947181,0.5679,0.0337431,31.7797,21838
0,0.197679,0.290265,1.00733,67.2906,50421
0,0.678026,0.795412,0.417686,25.993,41890
0,0.637757,0.392134,0.981673,48.6491,26312
1,0.0424356,0.197472,0.364063,4.9894,17259
0,0.598838,0.546071,0.227945,24.1044,35517
1,0.870186,0.401232,0.166135,43.61,47244
1,0.0990464,0.50611,0.167487,25.5308,26498
