all/jannis_table_1_1.csv.V32,all/jannis_table_1_1.csv.V35,all/jannis_table_1_1.csv.V49,all/jannis_table_1_1.csv.V31,all/jannis_table_1_1.csv.Key_1_1,Key_0_0
0.389772,3.25086,102.73,39.4969,53293,55549
0.192898,-0.777432,62.7548,37.358,50168,22650
0.540876,-0.327041,100.178,7.79782,52704,51206
0.574007,0.542658,126.327,38.7409,47802,27037
0.211547,0.418626,66.191,30.3342,42656,43541
0.245585,-0.172387,205.708,34.9063,54580,56159
0.0569307,0.407533,50.6398,36.5466,3978,14982
0.104258,3.88854,152.559,51.5044,16431,54701
0.307899,10.3058,145.367,33.5511,47751,335
0.0386508,2.74213,164.363,71.6699,56338,28416
0.415386,-1.41635,239.757,55.3427,12010,583
0.715072,1.46785,186.545,6.03133,54251,46987
0.184804,1.91669,108.896,61.7826,29775,15541
0.0895641,-1.64983,207.906,59.2728,41266,38989
0.499333,-1.45121,43.5437,20.4156,17329,33943
0.219266,-5.17573,109.288,16.1006,5024,13996
0.196146,6.0511,71.8156,5.05276,34982,39489
0.385158,7.16658,95.7134,1.7684,23009,14456
0.594395,7.04516,93.2544,54.1928,48941,2851
0.204019,-6.63191,133.249,18.6397,46603,1604
0.40125,0.921399,95.6017,70.8642,6705,12954
0.476877,7.74165,198.501,20.8606,30736,50944
0.859645,-0.00451809,127.66,62.9133,7179,44463
0.166272,-0.4578,181.938,38.076,47454,19425
0.169444,0.902855,53.1529,16.863,35533,28002
0.176426,-20.0497,116.006,4.99534,34709,6642
0.190113,0.575711,46.8092,15.9819,10528,13413
0.0981617,-0.440404,92.7866,34.6355,6555,53230
0.788814,-0.295848,75.9462,23.5864,23191,55605
0.238178,-0.19493,43.8946,55.5736,41408,21489
0.128907,1.96502,42.1537,31.1362,54364,51366
0.0995343,-6.55322,137.46,19.3361,3881,55513
0.563768,-8.17389,132.482,1.2478,18775,41985
0.29324,8.31673,57.5902,40.5844,29152,6500
0.123364,1.34404,248.844,59.1769,19004,21838
0.541065,0.311898,150.375,27.009,41768,50421
0.400645,-0.282259,56.9562,35.6566,4196,41890
0.433006,0.537963,215.892,39.1748,54351,26312
0.205554,0.103416,253.586,27.8493,29113,17259
0.375848,-2.91739,162.948,18.9828,26882,35517
0.964058,-1.75836,72.9872,54.3408,48716,47244
0.389485,1.93246,154.241,9.45352,12876,26498
0.257276,2.24551,109.005,20.0623,42142,13775
0.386822,5.56284,175.987,38.6477,47209,37433
0.24937,0.719187,199.962,35.7081,49665,31421
0.702565,-0.969366,42.213,14.3946,54425,28594
0.150623,-1.03672,72.6128,35.2685,18820,27843
0.118725,-7.68165,214.753,42.3512,7072,46112
0.210732,7.47286,238.492,47.2735,56417,31399
0.230055,-2.46208,129.72,10.5108,2930,18075
0.322206,0.756371,65.3122,12.9645,47304,22126
0.40569,-8.98828,36.8261,79.7854,19810,8202
0.876097,-2.2186,116.232,50.936,29357,27186
0.644018,5.88797,155.754,30.8567,5493,19383
0.137298,0.65399,117.983,13.9979,10881,33750
0.244916,-5.30072,64.5939,28.1393,10956,40289
0.0717074,-1.7768,104.208,27.485,50388,6130
0.396318,0.573825,6.48846,14.6942,2914,40271
0.239138,4.54038,236.404,53.966,15973,54751
0.468533,0.46028,101.827,26.8926,32492,18088
0.151937,-14.8747,94.5849,44.7716,32352,25554
0.262168,0.666151,122.932,9.40843,28060,6864
0.28982,0.478295,45.2326,39.0379,40361,37136
0.461023,1.74983,26.3044,30.5854,33436,36164
0.320722,0.647976,117.534,9.64244,49790,39906
0.493362,-0.0664219,149.224,35.1633,34150,27073
0.0872895,0.0711,182.235,58.3121,15617,29307
0.758069,0.0987129,139.144,29.8987,48053,48913
0.0673048,-0.562782,60.6704,16.5925,27106,43232
0.215187,16.3272,39.8479,54.0573,26491,28052
0.473546,1.29665,89.4157,33.6093,8451,48297
0.822361,2.97348,177.569,34.4123,34905,40615
0.301734,-0.196351,53.518,8.46888,37037,42092
0.248552,-2.73027,134.048,33.482,39252,48767
0.608674,-0.906632,76.1142,13.3171,16027,54252
0.124547,-0.207118,42.0976,43.4979,83,43728
0.411419,-3.44035,214.454,47.6019,17770,45153
