Key_0_0,V33,V53,V37,V48,Key_1_3
52625,10.728,0.00665509,80.0756,0.109403,56827
19655,14.6401,0.17533,120.548,0.038781,44736
45555,13.1648,0.530718,180.025,0.072549,29413
19785,11.3881,0.105706,46.6287,0.0951501,14440
47976,11.9124,0.437812,171.913,0.0286383,13832
55424,7.12471,0.00883102,67.2356,0.0572405,8299
45710,7.42933,0.0713831,103.081,0.026952,33210
36552,21.1413,0.0344502,54.4391,0.0490651,49031
35151,9.10145,0.278767,101.951,0.0306171,41374
16404,5.18993,0.0280556,73.2102,0.030603,35806
36746,25.5472,0.225723,203.329,0.0220593,47528
38532,1.03341,0.193148,253.928,0.0271736,23304
46117,12.9855,0.45901,37.0805,0.072752,22462
8058,4.51774,0.476169,168.553,0.0349404,32879
41386,14.1631,0.0683623,148.196,0.0429569,39612
25540,5.93677,0.173235,126.466,0.219298,55794
9220,5.66699,0.14478,150.035,0.0995475,17124
49624,2.34605,0.0309838,252.593,0.0530574,11122
54566,11.2268,0.239705,213.056,0.185379,20182
29247,21.604,0.347373,114.329,0.0177612,33387
36991,18.269,0.0867766,185.268,0.0579061,53009
16760,13.7232,0.183223,80.975,0.11167,22066
10709,8.03949,0.00410301,117.93,0.120198,39221
10625,2.64955,0.377598,102.859,0.0319206,24261
18237,4.30162,0.0174479,130.356,0.0131661,40678
10646,6.57716,0.0867535,110.904,0.0825397,2007
28478,6.89537,0.0560807,121.241,0.0435726,14544
16259,13.805,0.291007,58.9263,0.0580903,29639
2012,7.91134,0.231997,137.491,0.0529173,45157
38444,14.041,0.221163,195.247,0.0380407,18313
28085,8.32659,0.00780093,58.5831,0.0268829,11873
8953,2.26454,0.0787442,178.203,0.0552445,18225
2560,11.5675,0.346595,39.4176,0.0585106,54978
39130,1.77426,0.0576215,104.356,0.117586,5428
18695,4.99823,0.205978,114.119,0.0460754,27975
11041,6.09784,0.0196412,109.955,0.0394869,49566
6493,17.3239,0.353085,145.447,0.0259789,52636
12164,3.06905,0.048316,104.914,0.00978382,15589
9061,7.71493,0.382176,147.625,0.0807231,21354
23822,4.96925,0.295064,90.885,0.0392088,37294
13932,20.629,0.29287,82.2886,0.169265,52119
29660,9.02745,0.0661227,168.141,0.0402679,26733
12880,7.7577,0.0475637,89.6485,0.104448,39246
27206,1.68152,0.138947,164.63,0.0490268,46268
38135,11.4571,0.210943,123.136,0.108747,45141
8263,1.4029,0.066088,98.9033,0.0438058,36280
38780,6.27653,0.255463,175.43,0.0846042,57519
26995,8.33357,0.512459,232.819,0.101157,1860
29399,23.3311,0.167801,97.2716,0.0161518,4955
41437,1.60045,0.299057,91.8025,0.113051,21831
33050,10.2826,0.0236285,130.216,0.0991354,48106
14497,19.9826,0.0313947,243.823,0.0576502,14130
43244,8.16374,0.125573,124.276,0.0218061,15971
16914,8.6352,0.00774884,169.616,0.0400491,40903
9607,13.1695,0.0226736,169.659,0.0649705,4791
28164,4.08482,0.100729,124.121,0.0475818,51220
38477,12.7802,0.35371,134.884,0.102937,2215
6292,1.74469,0.195521,113.168,0.0570117,27751
17712,7.73104,0.604954,64.8602,0.153306,55361
5871,21.8994,0.0516602,143.454,0.0465671,276
20637,16.5249,0.00832176,177.629,0.0529232,26137
31177,10.9361,0.0194676,133.84,0.0715779,12653
26892,15.3282,0.348711,136.293,0.0477295,54872
2558,3.88872,0.500376,72.3465,0.0263932,25475
38819,8.50974,0.0051794,35.3331,0.0407858,48423
1443,4.77851,0.0458507,84.5759,0.0241522,22521
4267,0.560435,0.0296296,208.773,0.11796,39789
527,12.8548,0.151366,162.619,0.0141314,22211
44729,1.58197,0.247535,200.208,0.0247046,50544
7454,22.7611,0.164043,87.4055,0.0494201,3626
18496,4.68528,0.0239294,87.5568,0.132794,37902
50851,13.3435,0.294259,102.164,0.136829,54977
50843,13.8371,0.289259,103.458,0.0499334,14201
22754,2.68137,0.0378581,182.798,0.101217,55755
27994,8.58676,0.0797917,81.9677,0.0491765,21852
14870,7.5309,0.182986,181.657,0.0181165,44822
19936,12.8077,0.42522,203.994,0.0544558,16307
50260,2.78356,0.00759838,61.1805,0.0510672,37570
42131,18.5536,0.104005,111.53,0.0630493,4294
29614,2.58261,0.105498,118.532,0.0207658,46712
2046,2.16463,0.233542,203.771,0.043198,25752
2714,24.199,0.0348958,149.982,0.0376205,35659
29053,8.89208,0.3825,158.637,0.0215158,39201
53557,10.0334,0.131551,130.294,0.0334793,11219
25918,9.14923,0.794879,41.9101,0.0587583,18358
17581,16.6504,0.0482002,144.407,0.0339023,35854
43965,12.2085,0.0453067,141.53,0.0308868,48097
42919,10.3343,0.177442,121.865,0.0590717,15011
12177,21.4061,0.0395247,196.726,0.0904241,14736
26638,6.78711,0.0196644,92.1232,0.0251866,1034
23115,4.30714,0.0773047,147.333,0.0490315,37786
25593,9.93535,0.0577662,70.5698,0.025214,9230
56993,12.7703,0.0617188,149.53,0.161597,35197
27207,0.530658,0.0185612,93.8726,0.0460078,49888
1055,13.45,0.0245602,140.664,0.126928,8310
48886,7.27442,0.0961458,110.235,0.129822,46892
56587,16.6208,0.140735,138.103,0.064412,50232
27397,3.54468,0.281383,94.2158,0.0283539,54769
33720,17.4994,0.0152315,211.423,0.140728,4305
47397,12.8362,0.16831,171.044,0.0556797,2260
29463,8.15342,0.0623958,248.578,0.00970643,1809
41804,23.7068,0.11879,142.439,0.0772114,43366
46345,5.63821,0.0913484,68.7372,0.0377074,48466
37284,19.3593,0.00927083,214.932,0.0369304,29772
44799,11.979,0.0304687,165.289,0.0694827,21215
6823,0.587335,0.101898,134.03,0.0196608,33268
50512,21.1384,0.0193171,103.41,0.101372,24325
701,4.31941,0.0331887,109.934,0.0246232,40533
35405,8.3083,0.385937,228.73,0.0239885,20677
29277,19.145,0.154109,134.216,0.023156,19858
45723,12.5796,0.515093,95.6808,0.0584095,31966
21959,18.3198,0.0900694,130.129,0.048403,5763
12556,7.59,0.0582407,65.2971,0.0206993,5735
49371,14.9294,0.0473148,77.441,0.0342674,51458
49604,5.53765,0.42181,224.307,0.0274011,4992
39156,3.52953,0.0348438,50.8902,0.133157,3527
51678,13.0309,0.136094,176.364,0.107078,7495
22053,10.1162,0.175637,248.587,0.0428119,15846
55736,1.62035,0.03625,251.288,0.0216319,19034
8798,9.44949,0.0910475,105.894,0.0309631,3780
31528,18.1337,0.226042,37.411,0.104758,10785
48366,18.3346,0.358773,124.506,0.0433212,2321
18811,16.827,0.0182118,56.301,0.106172,49118
45892,12.3028,0.0374132,186.818,0.0143899,13837
31485,16.5506,0.0456424,60.2591,0.0323122,51901
7374,17.0087,0.189757,231.134,0.0217058,23833
32382,15.8946,0.0666493,107.574,0.0308248,47992
57184,20.7374,0.0789873,28.5053,0.0381434,2291
48137,6.06891,0.422245,123.549,0.0393625,56674
56889,19.6597,0.0199132,112.946,0.114048,40927
48434,10.1898,0.146209,138.871,0.0218035,43884
51717,11.0115,0.373893,174.851,0.0737339,39833
44660,18.0484,0.010787,120.826,0.0324553,52497
49733,6.78504,0.00754051,56.1067,0.0228353,29678
18171,13.9486,0.0305013,139.258,0.0264881,29979
36376,9.05258,0.119745,103.829,0.068837,21024
25672,13.955,0.0356966,173.482,0.0628041,10610
40258,12.05,0.048588,134.406,0.0247087,55095
6556,11.8831,0.186348,98.7324,0.0740152,29766
40219,17.7055,0.0608044,97.4224,0.0673716,30643
23437,3.00088,0.281597,64.6294,0.0370184,49695
41121,13.547,0.0514988,196.924,0.0231201,6347
22663,2.22697,0.00614005,135.112,0.0211871,49520
47303,14.092,0.347754,131.476,0.0561798,31065
34728,14.3677,0.652431,143.148,0.0542476,18312
10339,14.8247,0.178796,135.25,0.0906009,35641
56079,8.55103,0.130596,139.797,0.0232002,50855
20830,10.2244,0.0509086,252.194,0.146221,18206
16948,18.3737,0.0309896,173.949,0.0509439,6444
33725,4.44301,0.00824074,96.5353,0.101409,15657
6288,9.97168,0.0638252,51.2507,0.0191005,19006
21083,15.686,0.316701,119.456,0.0428331,653
34115,8.95594,0.0185822,128.378,0.102588,4213
38696,16.3346,0.208715,36.4547,0.0181637,50105
2479,2.18653,0.142488,154.133,0.0374589,46805
6879,7.31943,0.0755556,129.713,0.0265856,25816
14005,9.6916,0.0121644,111.205,0.0334017,18477
14587,3.57507,0.173242,36.113,0.0259873,12901
12704,19.7455,0.445278,135.745,0.087001,9726
3926,16.355,0.0065625,167.041,0.0427763,35473
51130,4.09074,0.0101852,42.5512,0.0193994,31310
2195,4.96438,0.0991898,50.9532,0.0183885,55064
282,18.3285,0.0435764,208.873,0.042962,28487
39315,2.85304,0.128287,37.9956,0.0280765,44396
30371,15.2178,0.163299,92.5472,0.047156,53172
54959,4.12812,0.640243,96.5896,0.0571545,9830
34098,14.1457,0.0417708,106.822,0.054915,35485
17977,17.4202,0.0156829,183.561,0.0163103,56305
33179,14.8898,0.859236,175.249,0.072303,35668
32185,20.3943,0.0235648,151.253,0.0731175,30126
25285,12.168,0.0618924,122.304,0.0581279,7815
54943,13.5032,0.0102148,133.934,0.0342209,9719
57171,5.10316,0.15957,86.2049,0.0137684,56878
40752,1.92701,0.481939,130.197,0.0237603,19941
32330,10.8442,0.469242,92.2742,0.0641635,4105
56621,11.8961,0.492049,89.8069,0.0498738,8761
3930,2.75697,0.199873,59.875,0.041201,5612
40101,3.80035,0.339173,55.0886,0.0295177,13151
56998,10.528,0.0303906,87.0476,0.0333587,24101
44969,5.01486,0.465556,154.251,0.038135,38806
41403,17.3631,0.00487847,121.684,0.0189074,9645
43459,11.3495,0.0921181,117.307,0.0596527,19559
34698,12.7334,0.0349826,91.4852,0.0431637,519
