all/miniboone_table_0_0.signal,all/miniboone_table_0_0.ParticleID_19,all/miniboone_table_0_0.ParticleID_33,all/miniboone_table_0_0.ParticleID_43,Key_0_0
1,0.824418,292.286,4.70209,42499
1,1.77859,234.235,5.34719,27126
0,0.687485,477.448,5.8488,38650
0,0.378666,475.189,5.41425,33282
0,0.626686,384.023,6.2733,61188
0,0.528654,409.462,3.6523,41394
0,0.384529,257.572,6.72549,9832
1,0.460975,461.692,4.83666,7652
0,0.4832579999999999,342.54,13.5184,61027
1,0.818272,233.83900000000003,3.98212,11909
1,0.570175,494.486,4.89479,38048
0,-0.0304274999999999,452.717,4.079269999999999,42790
0,1.15173,293.196,6.378340000000001,52154
1,0.79814,358.46,7.83257,51854
1,0.976021,431.507,1.84045,23334
0,0.173638,436.814,3.03382,72007
0,1.10125,490.894,2.34373,41784
0,0.990571,328.68800000000005,4.48187,31541
0,0.370144,437.197,4.31299,20179
0,1.0320200000000002,462.551,5.124969999999999,46924
0,0.935938,462.222,2.6133900000000003,32355
1,1.10509,370.61800000000005,4.24505,55198
1,0.513066,446.643,9.07784,2906
1,0.861009,469.484,9.97152,6308
1,1.01356,302.407,2.18292,42094
0,1.23129,205.264,5.50513,31064
1,1.00388,245.878,5.82808,48032
0,0.864606,177.949,13.8594,41970
1,1.0504,421.221,2.67999,42412
1,0.7626850000000001,288.451,7.63103,38875
1,1.52007,460.535,4.4861,23096
1,1.1003,485.369,4.90946,44568
1,1.02034,461.5630000000001,5.136340000000001,30227
1,0.546937,303.76,0.736402,61424
1,1.07125,384.899,5.3436900000000005,51871
1,1.54994,225.188,8.51781,151
1,0.779594,223.651,3.01667,29861
0,0.410017,461.357,8.108260000000001,72197
0,0.250796,424.38,2.26575,36428
1,0.935917,462.384,1.89977,1989
0,0.7544850000000001,215.378,12.9062,30826
1,1.21855,373.026,2.85377,13365
0,1.0095299999999998,453.422,4.94537,45867
1,1.3383,389.953,2.62728,59237
0,0.107265,398.97,17.5449,26709
1,1.41136,442.862,4.76623,31932
0,0.61582,463.496,6.70459,18576
1,1.6244,471.328,8.69238,64145
1,0.726889,482.395,7.7632,23518
1,0.894442,455.777,2.89131,17000
0,0.5772430000000001,364.108,2.12969,35752
1,0.189694,456.285,6.852060000000001,2183
0,0.596298,477.521,7.878039999999999,16103
0,-0.874525,371.203,9.59411,19292
1,1.24623,455.375,1.35897,71599
0,0.89345,430.786,3.14094,65775
0,0.906451,478.36300000000006,6.26757,1801
1,1.27634,218.261,5.89225,14141
1,1.29224,330.94699999999995,5.09247,44468
1,0.474861,386.126,10.5475,51868
1,1.21661,379.369,4.09609,38182
0,0.571145,113.866,6.78878,56460
1,1.37238,472.306,3.40619,10533
1,0.775279,359.79900000000004,7.93054,14782
1,1.0138,426.73,1.63497,16212
0,0.640166,478.603,7.84312,17693
0,-0.161876,350.805,4.6605300000000005,46580
1,1.06299,402.4330000000001,1.4019,28792
1,0.926651,276.12,3.3065300000000004,29603
0,0.580581,443.668,3.53286,25850
1,0.942842,484.30300000000005,4.01091,12373
0,0.396296,478.228,2.598,22407
1,0.726672,353.21,6.48998,36709
0,0.983076,136.886,4.0906400000000005,32037
0,0.811664,370.28,3.02019,5624
1,0.417045,437.383,6.13283,3196
0,1.26966,446.24300000000005,8.651489999999999,2990
1,0.8789879999999999,249.666,2.33087,30347
0,0.812802,427.205,4.55344,56150
0,0.119318,395.397,6.48348,32331
0,0.987008,329.603,14.628,31142
1,0.5111319999999999,287.499,5.02661,44702
1,1.58973,324.73400000000004,2.56541,19281
1,0.645896,483.538,6.42948,6138
0,1.15699,254.108,2.4020900000000003,24792
1,1.30303,467.362,2.11738,4511
1,1.08468,340.473,4.6917,53036
0,0.4877579999999999,415.213,3.0935,50417
0,1.2048,453.929,10.0712,45353
0,1.52488,319.60400000000004,7.83345,14973
0,0.316396,297.188,15.6707,38232
1,0.2976789999999999,386.305,8.878219999999999,61782
0,0.222959,298.959,12.8715,47439
1,1.27187,357.579,6.2468900000000005,28825
0,0.463265,457.4380000000001,2.95136,67046
1,1.0360200000000002,451.92,1.96179,28753
0,0.895009,412.832,10.1109,60103
0,1.06942,424.456,3.67826,24480
0,0.507035,384.153,22.326,58514
1,0.6895560000000001,497.007,2.3302,17634
1,1.11758,277.947,3.69605,19796
1,0.878066,390.322,3.5883800000000003,30401
1,1.6733,441.57,3.42095,49377
1,0.928351,478.937,2.13998,25856
1,0.4981359999999999,383.584,2.17437,38890
1,0.539235,412.511,7.06543,21045
1,-0.1381359999999999,472.051,7.423260000000001,31983
1,1.07444,397.168,3.45321,38401
0,1.03801,280.539,3.10081,56349
0,0.907657,381.598,5.23278,827
0,0.949315,382.221,8.40598,15745
0,1.30447,437.216,5.59063,16500
0,0.337153,469.855,8.048160000000001,41353
0,0.792652,473.081,3.8517,29870
1,1.48387,281.288,5.62624,64490
0,1.17103,185.796,2.36516,13987
0,0.8921870000000001,466.408,6.65332,43073
0,0.67427,393.343,7.3693,53956
0,0.4131109999999999,363.88,7.57785,46473
0,0.765281,395.562,5.8321,14946
1,1.16096,307.381,5.38037,17118
0,0.8419770000000001,476.887,15.3993,7572
1,0.822285,358.085,7.74172,66835
1,1.17425,428.16,3.64334,725
1,0.936151,119.902,6.35594,61565
1,1.02346,499.608,4.13598,12561
0,0.179037,290.249,3.4384,1180
1,1.34027,395.033,2.25686,67826
0,0.878383,481.641,5.52228,23554
1,-0.348313,363.81,13.2039,14502
0,0.502364,399.996,14.4922,61766
1,1.0953700000000002,205.019,5.25151,67663
1,0.851567,222.83900000000003,2.62227,70733
0,0.83055,297.253,5.92626,60426
1,0.781235,332.006,1.97654,4671
1,1.44894,367.164,3.17535,46706
0,0.502583,460.755,7.518969999999999,45063
0,0.955281,411.922,7.465039999999999,17894
0,0.5049680000000001,428.843,4.1263,44399
1,0.914535,427.3730000000001,6.28938,69041
0,1.01331,461.785,2.24644,1519
0,1.16281,353.336,17.662,16747
1,1.31772,349.596,5.99497,8025
0,0.37049,372.787,3.5957800000000004,61552
1,1.11756,191.071,4.46049,20816
1,1.60069,393.359,4.20266,58594
1,0.969419,484.55,2.55875,15577
1,0.354557,380.112,4.11649,5687
1,1.16224,284.464,6.08826,46039
0,0.447606,234.078,4.04558,12406
1,0.440309,400.247,5.543419999999999,32415
1,1.12094,494.648,4.7432,52888
1,0.761238,489.175,3.25546,56221
0,0.585123,413.051,4.39745,3875
0,1.26065,417.468,10.067,19797
0,0.63405,375.606,5.91142,22642
0,0.483009,463.301,15.2207,37485
1,0.751843,374.23,6.311319999999999,42174
0,0.53499,276.449,8.77966,24539
1,0.872017,93.7779,3.2707,43363
0,0.664849,364.671,8.25488,19011
1,1.602,485.35,4.07712,23481
0,0.497335,467.7,3.21735,18860
1,1.88481,436.228,3.54615,21597
1,1.47733,402.74300000000005,1.95125,71796
1,0.961144,416.585,1.64842,22692
0,0.704427,287.76,7.859339999999999,4552
0,1.23557,485.896,4.3333,43016
0,0.947584,198.62,11.5115,61686
1,1.4862,207.126,4.37976,11937
0,0.7185239999999999,472.362,10.4542,49884
0,1.38959,314.955,3.3697,28750
1,0.8484700000000001,371.035,1.61933,46021
0,0.91635,140.44799999999998,2.47533,51352
0,0.534806,334.041,2.6769700000000003,24579
1,1.42339,247.381,4.38251,64203
0,1.3748200000000002,376.513,12.3236,23247
1,0.931748,367.527,1.73584,71160
1,0.972589,368.658,3.52302,7229
0,0.146835,259.555,7.14447,31929
0,0.371795,455.981,13.7142,49922
1,0.8101189999999999,176.71099999999998,3.78148,7335
0,0.4777149999999999,421.985,1.40891,26896
1,0.804866,383.671,1.64225,43291
1,1.16496,408.67800000000005,2.58789,6125
0,1.19771,497.35,3.1568400000000003,45845
1,1.29941,366.254,3.48374,65911
1,1.90076,228.55,3.86203,56992
0,0.705852,185.431,17.0421,56376
1,0.746146,494.18,2.09519,24518
1,1.08097,465.541,4.76542,37796
0,0.401915,358.56199999999995,6.295640000000001,49764
1,0.7654380000000001,451.132,3.89628,10599
0,0.760474,450.296,2.13255,47960
0,-0.286731,485.381,1.77253,11604
0,0.331603,436.217,22.0085,14304
1,1.22382,429.195,3.95298,41164
0,0.6379279999999999,396.877,2.1903200000000003,69049
1,1.17615,429.164,4.07175,17808
1,1.50434,445.456,6.6538,510
1,0.601722,211.169,5.07292,65770
0,1.77893,454.376,6.4636,59775
0,0.868663,334.37699999999995,6.87692,20403
1,0.441641,427.838,6.009530000000001,33511
0,0.6581359999999999,336.425,4.32613,5065
1,0.5852569999999999,477.486,4.7447,22569
1,0.8467030000000001,403.034,1.65638,21285
0,0.576557,480.364,2.18333,31770
