DBN,sch_type,location,enrollment,borough,principal,studentsurvey,rr_s,rr_t,rr_p,N_s,N_t,N_p,nr_s,nr_t,nr_p,saf_p_10,com_p_10,eng_p_10,aca_p_10,saf_t_10,com_t_10,eng_t_10,aca_t_10,saf_s_10,com_s_10,eng_s_10,aca_s_10,saf_tot_10,com_tot_10,eng_tot_10,aca_tot_10,p_q2i,p_q7a,p_q7b,p_q7c,p_q7d,p_q8a,p_q8b,p_q8c,p_q8d,p_q8e,p_q8f,p_q2b,p_q2d,p_q2f,p_q2g,p_q2h,p_q3a,p_q3b,p_q4b,p_q4c,p_q11c,p_q2a,p_q2c,p_q2e,p_q3c,p_q6,p_q11d,p_q11e,p_q5,p_q4a,p_q4d,p_q4e,p_q11a,p_q11b,p_q11f,p_q1,p_q3d,p_q9,p_q10,p_q12aa,p_q12ab,p_q12ac,p_q12ad,p_q12ba,p_q12bb,p_q12bc,p_q12bd,p_q1_1,p_q1_2,p_q1_3,p_q1_4,p_q1_5,p_q1_6,p_q1_7,p_q1_8,p_q1_9,p_q1_10,p_q1_11,p_q1_12,p_q1_13,p_q1_14,p_q2a_1,p_q2a_2,p_q2a_3,p_q2a_4,p_q2a_5,p_q2b_1,p_q2b_2,p_q2b_3,p_q2b_4,p_q2b_5,p_q2c_1,p_q2c_2,p_q2c_3,p_q2c_4,p_q2c_5,p_q2d_1,p_q2d_2,p_q2d_3,p_q2d_4,p_q2d_5,p_q2e_1,p_q2e_2,p_q2e_3,p_q2e_4,p_q2e_5,p_q2f_1,p_q2f_2,p_q2f_3,p_q2f_4,p_q2f_5,p_q2g_1,p_q2g_2,p_q2g_3,p_q2g_4,p_q2g_5,p_q2h_1,p_q2h_2,p_q2h_3,p_q2h_4,p_q2h_5,p_q2i_1,p_q2i_2,p_q2i_3,p_q2i_4,p_q2i_5,p_q3a_1,p_q3a_2,p_q3a_3,p_q3a_4,p_q3a_5,p_q3b_1,p_q3b_2,p_q3b_3,p_q3b_4,p_q3b_5,p_q3c_1,p_q3c_2,p_q3c_3,p_q3c_4,p_q3c_5,p_q3d_1,p_q3d_2,p_q3d_3,p_q3d_4,p_q3d_5,p_q4a_1,p_q4a_2,p_q4a_3,p_q4a_4,p_q4a_5,p_q4b_1,p_q4b_2,p_q4b_3,p_q4b_4,p_q4b_5,p_q4c_1,p_q4c_2,p_q4c_3,p_q4c_4,p_q4c_5,p_q4d_1,p_q4d_2,p_q4d_3,p_q4d_4,p_q4d_5,p_q4e_1,p_q4e_2,p_q4e_3,p_q4e_4,p_q4e_5,p_q5a,p_q5b,p_q5c,p_q5d,p_q5e,p_q5f,p_q5g,p_q5h,p_q5i,p_q5j,p_q6_1,p_q6_2,p_q6_3,p_q6_4,p_q6_5,p_q7a_1,p_q7a_2,p_q7a_3,p_q7a_4,p_q7a_5,p_q7b_1,p_q7b_2,p_q7b_3,p_q7b_4,p_q7b_5,p_q7c_1,p_q7c_2,p_q7c_3,p_q7c_4,p_q7c_5,p_q7d_1,p_q7d_2,p_q7d_3,p_q7d_4,p_q7d_5,p_q8a_1,p_q8a_2,p_q8a_3,p_q8a_4,p_q8a_5,p_q8b_1,p_q8b_2,p_q8b_3,p_q8b_4,p_q8b_5,p_q8c_1,p_q8c_2,p_q8c_3,p_q8c_4,p_q8c_5,p_q8d_1,p_q8d_2,p_q8d_3,p_q8d_4,p_q8d_5,p_q8e_1,p_q8e_2,p_q8e_3,p_q8e_4,p_q8e_5,p_q8f_1,p_q8f_2,p_q8f_3,p_q8f_4,p_q8f_5,p_q9_1,p_q9_2,p_q9_3,p_q9_4,p_q9_5,p_q9_6,p_q9_7,p_q9_8,p_q9_9,p_q9_10,p_q10a,p_q10b,p_q10c,p_q10d,p_q10e,p_q10f,p_q10g,p_q10h,p_q10i,p_q10j,p_q10k,p_q10l,p_q11a_1,p_q11a_2,p_q11a_3,p_q11a_4,p_q11b_1,p_q11b_2,p_q11b_3,p_q11b_4,p_q11c_1,p_q11c_2,p_q11c_3,p_q11c_4,p_q11d_1,p_q11d_2,p_q11d_3,p_q11d_4,p_q11e_1,p_q11e_2,p_q11e_3,p_q11e_4,p_q11f_1,p_q11f_2,p_q11f_3,p_q11f_4,p_q12aa_1,p_q12aa_2,p_q12aa_3,p_q12aa_4,p_q12aa_5,p_q12ab_1
01M015,Elementary School,P.S. 015 Roberto Clemente,198,MANHATTAN,Thomas Staebell,No,,93,63,,27,104,,29,164,8.8,7.9,7.9,8.1,7.9,7.4,7.9,8.2,,,,,8.4,7.7,7.9,8.2,7.9,8.6,8.7,7.9,8.2,7.1,9.4,9.7,9.5,10,9.8,8,8.5,8.3,7.9,7.8,7.8,7,8.3,8.2,7.6,8.5,7.9,7.9,8.6,7.3,7.7,8.1,7.4,8.1,8.2,NA,8.3,7.5,8.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,21,11,19,13,13,20,0,0,0,0,0,0,0,61,35,3,1,1,45,49,6,0,0,42,50,6,0,2,54,44,1,0,1,31,42,3,0,24,51,45,3,0,1,43,41,9,0,8,48,38,13,1,1,46,46,8,0,1,41,39,14,4,2,33,34,16,12,5,48,30,14,3,5,39,28,24,8,2,45,42,6,1,6,46,46,5,1,2,50,39,8,1,2,46,41,4,0,8,NA,NA,NA,NA,NA,36,29,21,19,6,38,13,63,17,23,28,51,10,3,8,53,43,2,1,1,54,43,1,1,1,40,48,7,2,4,55,37,3,3,1,30,32,11,5,21,73,11,1,1,14,78,4,0,1,17,74,12,0,0,14,86,1,0,0,13,84,3,0,1,12,6,15,22,15,6,9,6,10,10,0,60,29,11,61,2,9,61,19,10,43,5,1,58,35,5,2,41,47,11,2,42,47,7,4,47,41,11,2,50,42,8,0,54,41,5,0,28,37,10,0,25,24
01M019,Elementary School,P.S. 019 Asher Levy,286,MANHATTAN,JACQUELINE FLANAGAN,No,,69,33,,24,89,,35,272,8.4,7.9,8.1,8.3,7.7,8.1,7.8,8.3,,,,,8,8,7.9,8.3,8,8.3,7.6,7.4,7.5,7,8.6,9.4,9.2,9.7,9.7,7.9,8.3,7.9,8.2,7.3,7.7,6.7,8.3,8.7,7.9,8.5,7.7,7.7,8.8,7,8,8,8.8,8.2,8.2,NA,8.6,8.2,8.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,15,15,10,12,20,14,0,0,0,0,0,0,0,57,40,1,1,0,45,49,5,1,0,40,50,2,3,5,52,42,4,0,2,26,44,4,0,26,42,51,4,1,2,37,46,0,0,17,36,46,11,4,4,41,51,2,0,6,44,29,20,7,1,30,38,12,8,12,39,39,11,9,2,33,31,22,12,2,44,47,7,0,2,45,49,4,1,1,53,43,0,1,2,42,47,1,0,10,NA,NA,NA,NA,NA,61,54,16,1,2,57,13,69,6,28,25,54,13,6,2,41,53,5,0,1,38,46,9,5,2,39,34,6,5,16,35,45,4,4,11,27,33,8,6,25,57,9,3,5,26,62,2,1,2,33,51,10,1,1,37,66,0,1,1,32,66,0,1,1,32,3,16,29,15,8,3,6,13,6,0,57,60,36,66,18,17,51,18,16,61,6,4,64,32,4,1,52,43,3,1,46,45,8,0,49,42,8,0,45,50,5,0,59,34,5,2,16,35,15,4,31,18
01M020,Elementary School,P.S. 020 Anna Silver,539,MANHATTAN,James Lee,No,,59,44,,32,207,,54,472,9.1,8.3,8.4,8.5,8,6.8,6.9,7.9,,,,,8.5,7.5,7.7,8.2,8.2,8.9,9,8.5,8.7,8.2,9.6,9.8,9.8,10,10,8.6,8.7,8.5,8.3,8.1,7.6,7.4,8.6,8.6,8.4,8.9,8.4,7.9,8.8,7.9,8.3,8.2,8.9,8.6,8.5,NA,8.9,8.2,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,15,15,13,15,14,15,0,0,0,0,0,0,0,65,34,0,0,1,58,40,1,0,0,53,44,2,0,0,61,39,0,0,0,33,38,5,1,23,56,42,2,0,1,48,42,2,0,8,47,45,6,0,3,49,43,5,0,3,40,34,18,8,1,39,35,13,10,4,41,38,12,5,3,42,23,23,10,1,51,43,2,0,3,50,45,2,0,2,52,44,2,0,0,54,37,4,1,4,NA,NA,NA,NA,NA,60,62,50,16,10,55,15,66,22,30,39,49,7,2,4,57,42,1,0,0,59,41,0,0,1,51,42,2,2,4,63,34,1,1,1,40,31,3,2,25,76,6,1,2,17,77,5,0,0,18,73,5,1,0,22,84,1,0,0,16,82,1,0,0,17,4,16,23,7,9,4,1,22,12,1,43,47,18,68,14,10,56,18,14,58,5,2,69,29,2,0,52,42,5,1,53,45,2,1,52,46,2,1,51,47,2,1,58,39,3,0,20,47,9,3,21,19
01M034,Elementary / Middle School,P.S. 034 Franklin D. Roosevelt,396,MANHATTAN,Joyce Stallings Harte,Yes,91,48,39,159,22,119,175,46,304,8.4,7.8,7.9,8.2,7.1,6,6.7,7.5,6.3,5.7,6.3,7.1,7.3,6.5,6.9,7.6,7.7,8.3,8.6,7.9,7.4,6.4,8.6,9.4,8.4,10,9.8,7.6,8.2,7.8,8.1,7.1,7.5,7.6,8.2,8.3,7.9,8,7.8,7.3,9.1,7.2,7.8,7.9,8,8.2,8.4,NA,8.5,7.8,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,4,7,6,7,12,17,20,10,11,0,0,0,0,44,50,4,1,1,34,61,5,0,0,41,54,3,2,1,49,49,3,0,0,21,50,5,1,23,40,54,5,0,0,41,50,1,0,8,33,49,15,2,1,36,57,3,2,3,43,29,20,4,4,46,29,13,7,5,51,35,6,4,4,48,23,16,11,3,45,43,3,1,9,41,54,1,3,2,49,44,3,3,1,48,45,3,1,4,NA,NA,NA,NA,NA,28,64,13,9,8,41,13,58,23,25,28,52,13,3,3,40,54,2,1,3,48,50,1,0,1,35,55,3,2,6,30,56,4,2,8,20,38,11,8,23,58,17,5,3,17,63,8,1,1,27,46,20,2,4,29,69,1,0,0,30,64,3,1,0,32,4,8,24,14,8,12,0,13,16,0,58,47,24,61,8,20,77,32,17,63,8,3,59,38,2,1,38,57,4,0,43,50,5,1,41,53,4,2,44,51,3,2,49,49,2,1,18,52,11,1,19,17
01M063,Elementary School,P.S. 063 William McKinley,172,MANHATTAN,DARLENE DESPEIGNES,No,,55,73,,17,117,,31,161,8.6,8.2,8.4,8.5,8.1,6.9,7.5,7.9,,,,,8.4,7.5,8,8.2,7.9,8.4,8.6,8.2,7.9,6.8,8.8,9.4,9.1,9.8,9.7,8.3,8.4,8.5,8.1,7.9,8.4,7.2,8.5,8.7,8,8.5,8.3,8,9.8,7.7,8.1,8.4,8.8,8.4,8.3,NA,8.9,8.3,8.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,7,12,17,11,26,15,0,0,0,0,0,0,0,62,33,3,2,0,53,44,2,1,0,50,47,1,0,2,57,39,3,1,1,30,39,2,0,28,57,41,2,0,0,45,45,3,0,7,46,46,8,1,0,41,52,4,1,2,57,28,11,3,1,38,32,15,8,7,59,38,2,2,0,54,33,7,6,0,51,44,3,3,0,48,48,2,2,0,59,34,4,1,2,44,51,5,0,1,NA,NA,NA,NA,NA,36,66,16,7,3,60,13,61,38,25,34,53,8,3,3,48,47,2,2,2,45,53,1,0,1,38,55,1,1,5,40,47,3,1,9,21,50,4,6,19,58,17,3,2,20,69,6,3,1,22,60,14,1,2,24,78,1,0,1,20,75,1,0,2,23,4,8,14,30,11,4,4,10,13,1,48,51,14,58,18,11,68,19,9,42,4,2,71,26,3,1,55,38,5,1,48,47,4,2,51,42,6,1,56,39,4,1,58,35,5,2,22,45,14,5,14,18
01M064,Elementary School,P.S. 064 Robert Simon,268,MANHATTAN,Marlon L. Hosang,No,,79,65,,27,165,,34,253,9,8.2,8.4,8.5,8.8,7.8,8.3,8.8,,,,,8.9,8,8.4,8.7,8.2,8.9,8.9,8.6,8.5,7.5,9.2,9.5,9.5,10,10,8.4,8.6,8.6,8.3,7.9,7.6,7.2,8.6,8.8,8.3,8.7,7.7,8.3,9,7.8,8.4,8.5,8.8,8.6,8.4,NA,8.8,8.2,8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,18,13,13,16,19,13,0,0,0,0,0,0,0,67,30,1,2,0,58,37,3,1,1,43,45,7,4,1,63,34,1,3,0,36,34,1,1,28,61,37,1,1,0,52,42,3,1,3,49,40,9,2,1,50,43,4,1,3,39,38,13,7,3,33,41,14,7,6,44,38,12,4,1,46,27,20,6,1,52,44,1,1,2,52,45,1,1,1,60,36,1,1,2,49,43,1,3,4,NA,NA,NA,NA,NA,68,19,21,5,3,57,10,72,19,27,32,58,6,1,4,60,38,1,1,1,58,40,2,0,0,47,49,1,0,3,58,41,1,1,0,34,31,9,3,23,66,13,2,1,18,75,6,1,1,16,69,9,1,0,20,83,1,0,0,16,80,1,0,0,19,1,16,24,11,14,7,4,9,13,0,52,48,23,64,12,13,55,17,11,48,3,4,66,33,0,1,52,43,5,0,52,44,3,1,57,38,4,0,58,41,2,0,61,36,3,0,29,50,9,1,10,20
01M110,Elementary School,P.S. 110 Florence Nightingale,439,MANHATTAN,Karen Feuer,No,,74,81,,29,332,,39,409,8.5,7.7,7.8,8.1,7.5,5,5.7,6.7,,,,,8,6.3,6.8,7.4,7.6,8.4,8.5,7.7,7.6,7.2,8.7,8.9,9.3,9.9,9.9,7.6,8.2,7.6,7.7,7.1,7.9,7.1,7.9,8,7.7,7.8,7.4,7.4,8.7,7.1,7.6,7.8,8.9,8.1,8,NA,8.4,7.8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,11,16,15,19,14,19,0,0,0,0,0,0,0,43,50,5,2,0,36,57,6,2,0,29,61,7,1,2,49,48,1,1,1,20,45,3,1,31,33,61,4,1,1,30,56,2,1,11,28,55,12,2,2,37,53,6,1,2,43,38,14,5,1,31,37,22,6,4,39,37,17,4,2,34,31,26,7,1,37,56,4,0,3,31,61,6,1,1,39,52,6,1,2,35,56,5,1,3,NA,NA,NA,NA,NA,58,71,21,6,2,72,9,68,19,24,21,59,15,2,4,42,55,2,0,1,40,59,0,0,1,31,57,6,2,4,34,55,3,2,6,28,38,5,5,23,59,14,3,4,20,60,12,2,3,23,64,11,1,1,23,83,1,0,0,16,82,1,0,0,17,4,12,20,9,7,5,2,29,10,0,39,68,18,66,16,8,47,14,11,46,7,1,57,40,2,1,42,50,6,1,39,56,5,1,36,58,4,2,38,57,4,1,45,52,2,1,10,42,11,6,32,8
01M134,Elementary School,P.S. 134 Henrietta Szold,348,MANHATTAN,Loretta Caputo,No,,76,57,,26,172,,34,303,9.1,8.1,8.4,8,6.7,5.8,6.2,7.3,,,,,7.9,6.9,7.3,7.7,8.7,9,9.1,8.4,8.4,8.2,9.5,9.6,9.5,10,10,8.5,9,8.3,8.5,7.9,7.6,6.6,8.5,8.2,8,8.8,8.5,8.5,9.4,7.8,7.9,7.9,8.7,8.5,7.8,NA,8.2,7.7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,13,17,16,13,16,19,0,0,0,0,0,0,0,65,33,1,0,0,57,40,3,0,0,59,36,3,1,1,73,25,2,0,0,35,27,1,0,38,54,43,2,1,0,53,40,1,1,5,45,47,7,1,0,59,34,2,0,5,33,47,13,6,1,25,40,15,13,7,35,55,7,2,1,31,28,29,10,2,47,49,2,1,1,46,50,3,0,2,43,47,4,0,7,39,37,1,1,21,NA,NA,NA,NA,NA,49,41,66,9,3,12,16,59,48,39,32,52,5,0,12,63,36,1,0,0,64,34,1,0,0,48,43,2,0,7,53,45,1,0,1,40,36,2,1,20,79,5,0,3,13,72,6,1,1,21,61,11,0,0,28,91,1,0,0,8,89,1,0,0,10,5,8,13,11,10,5,11,24,14,0,58,25,9,58,7,17,72,13,31,55,10,2,48,50,2,1,39,54,7,0,44,53,3,0,41,54,4,0,38,59,2,0,42,56,2,1,15,34,17,20,15,16
01M137,Elementary School,P.S. 137 John L. Bernstein,204,MANHATTAN,Melissa Rodriguez,No,,68,82,,19,147,,28,179,9,8.4,8.7,8.3,7.2,7.1,7.3,7.5,,,,,8.1,7.7,8,7.9,8.7,8.7,8.6,8.4,8.3,8.1,9.5,9.7,9.6,9.9,9.9,8.6,8.9,8.7,8.6,8.4,7.7,7.6,8.4,8.5,8.2,8.8,8.6,8.9,9.5,8.1,8.1,8.3,9.1,8.5,8.2,NA,8.4,8.1,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,21,11,18,15,11,21,1,0,0,0,0,0,0,68,29,3,0,0,61,34,4,0,0,61,35,3,0,1,68,30,1,0,0,56,28,1,0,15,63,35,1,1,1,61,34,3,1,2,60,34,4,2,0,60,34,2,0,3,37,48,6,6,3,34,50,8,4,4,33,58,5,1,2,39,47,7,5,1,50,44,3,1,3,49,47,3,1,0,51,45,3,1,0,48,44,4,3,1,NA,NA,NA,NA,NA,72,69,43,16,12,56,14,66,29,65,45,43,7,1,3,52,46,1,1,1,49,48,2,0,1,49,44,2,1,3,50,45,2,1,2,43,30,3,3,20,73,6,1,1,19,77,3,1,1,18,67,7,1,0,24,75,1,1,0,23,75,1,1,0,23,3,12,48,9,5,3,6,9,5,0,65,41,18,73,12,19,69,44,24,61,8,1,60,33,6,1,54,36,9,1,55,38,6,1,53,40,6,1,53,42,3,1,58,37,5,1,27,44,9,0,20,25
01M140,Elementary / Middle School,P.S. 140 Nathan Straus,401,MANHATTAN,Esteban Barrientos,Yes,96,90,48,178,37,153,185,41,321,8.9,8.2,8.2,8.3,7.5,6.6,6.5,7.6,7.2,6,7,7.7,7.9,6.9,7.2,7.9,8,8.8,8.8,8.4,8.4,7.8,9.3,9.7,9.4,9.9,9.8,8.4,8.7,8.4,8.5,8,7.3,7.6,8.4,8.2,8.1,8.6,8.2,8.2,8.5,8.1,8.1,8.1,7.7,8.5,8.5,NA,8.4,8.1,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,10,10,8,4,8,14,17,13,10,0,0,0,0,61,38,1,0,0,53,46,1,0,1,49,48,2,0,1,61,37,0,0,2,36,32,1,1,29,57,39,3,1,0,56,35,3,1,5,51,39,5,3,1,46,42,6,1,6,37,37,14,7,5,39,39,13,4,5,44,31,16,3,5,37,29,24,7,3,51,42,1,1,5,48,46,3,1,2,46,46,4,3,1,48,46,3,1,2,NA,NA,NA,NA,NA,29,41,31,23,10,11,8,52,29,31,44,44,6,1,5,53,45,0,0,2,56,42,0,1,0,51,40,3,2,3,53,42,3,0,2,34,32,6,1,26,68,11,1,1,19,72,2,2,0,23,69,3,3,1,24,78,1,0,0,21,73,1,2,0,25,4,19,12,11,9,6,3,22,12,0,69,35,13,59,4,8,59,14,9,37,3,1,53,44,2,0,47,48,4,1,49,46,4,1,49,47,3,1,46,52,1,1,49,48,3,0,27,52,8,2,12,25
