all/school_base.csv.DBN,all/school_base.csv.School Name,all/school_base.csv.School Type,all/school_base.csv.Total Parent Response Rate (%),all/school_base.csv.Total Teacher Response Rate (%),all/school_base.csv.Total Student Response Rate (%),class
06M115,P.S. 115 Alexander Humboldt,ES,79,85,,False
84X407,Bronx Charter School for Children,ES,70,44,,False
21K177,P.S. 177 The Marlboro,ES,92,96,,False
30Q150,P.S. 150 Queens,ES,67,53,100.0,False
29Q131,P.S. 131 Abigail Adams,ES,66,100,,False
24Q744,VOYAGES Preparatory,HST,79,100,81.0,False
09X323,Bronx Writing Academy,MS,35,83,77.0,True
25Q107,P.S. 107 Thomas A Dooley,ES,62,68,,False
09X297,Morris Academy for Collaborative Studies,HS,28,83,91.0,True
04M072,The Lexington Academy,ES,68,92,,False
16K267,"M.S. 267 Math, Science & Technology",MS,43,90,96.0,False
10X015,P.S. X015 Institute for Environmental Learning,ES/MS,71,100,99.0,False
28Q220,P.S. 220 Edward Mandel,ES,58,89,,False
09X199,P.S. 199X - The Shakespeare School,ES,66,90,,True
19K583,Multicultural High School,HS,11,93,74.0,True
84K731,Brooklyn Excelsior Charter School,ES/MS,35,97,96.0,True
12X684,Wings Academy,HS,38,92,80.0,True
27Q215,P.S. 215 Lucretia Mott,ES,68,59,,True
11X142,MS 142 John Philip Sousa,MS,8,68,69.0,True
84K746,Hebrew Language Academy Charter School,ES,86,100,,False
18K135,P.S. 135 Sheldon A. Brookner,ES,56,84,,True
07X043,P.S. 043 Jonas Bronck,ES,70,97,,False
02M167,J.H.S. 167 Robert F. Wagner,MS,64,62,94.0,True
10X360,P.S. 360,ES,84,95,100.0,False
28Q217,J.H.S. 217 Robert A. Van Wyck,MS,41,96,96.0,False
14K414,Brooklyn Arbor Elementary School,ECC,76,93,,False
02M077,P.S. 77 Lower Lab School,ES,86,95,,False
02M422,Quest to Learn,MS/HS,69,96,93.0,True
06M189,P.S. 189,ES,60,90,,False
26Q041,P.S. 041 Crocheron,ES,70,100,,False
08X069,P.S. 069 Journey Prep School,ES,63,68,,False
02M425,Leadership and Public Service High School,HS,12,68,50.0,True
26Q213,P.S. 213 The Carl Ullman School,ES,52,77,,False
02M439,Manhattan Village Academy,HS,53,78,99.0,False
10X442,"Celia Cruz Bronx High School of Music, The",HS,34,97,81.0,True
84X422,Icahn Charter School 3,ES,47,88,100.0,False
84X704,KIPP Academy Charter School,ES/MS,62,70,94.0,False
13K419,"Science Skills Center High School for Science, Technology and the Creative Arts",HS,20,81,78.0,True
14K454,Green School: An Academy for Environmental Careers,HS,28,38,52.0,True
11X455,Harry S Truman High School,HS,6,57,50.0,True
13K430,Brooklyn Technical High School,HS,35,89,91.0,True
24Q113,P.S. 113 Isaac Chauncey,ES/MS,98,100,96.0,False
24Q071,P.S. 071 Forest,ES,78,68,,True
02M546,Academy for Software Engineering,HS,54,100,94.0,False
20K748,P.S. 748 BROOKLYN SCHOOL FOR GLOBAL SCHOLARS,ECC,90,95,,False
29Q036,P.S. 036 Saint Albans School,ES,86,97,,False
19K218,J.H.S. 218 James P. Sinnott,MS,28,78,87.0,True
84K538,Achievement First Bushwick Charter School,ES/MS,57,53,86.0,False
10X033,P.S. 033 Timothy Dwight,ES,97,95,,True
24Q110,PS 110,ECC,63,100,,False
32K403,Academy for Environmental Leadership,HS,66,96,91.0,True
18K279,P.S. 279 Herman Schreiber,ES,54,79,,True
11X513,New World High School,HS,60,70,94.0,False
11X103,P.S. 103 Hector Fontanez,ES,52,86,,False
11X194,PS/MS 194,ES/MS,72,91,97.0,True
84Q340,Challenge Preparatory Charter School,ECC,87,97,,False
28Q325,HILLSIDE ARTS & LETTERS ACADEMY,HS,45,100,86.0,False
21K188,P.S. 188 Michael E. Berdy,ES,72,96,,False
15K001,P.S. 001 The Bergen,ES,38,64,,False
17K568,Brownsville Academy High School,HST,50,79,76.0,False
26Q172,Irwin Altman Middle School 172,MS,75,49,98.0,True
08X561,Bronx Compass High School,HS,27,78,60.0,False
27Q108,P.S. 108 Captain Vincent G. Fowler,ES,91,100,,False
31R007,I.S. 007 Elias Bernstein,MS,75,62,98.0,False
28Q161,P.S. 161 Arthur Ashe School,ES,78,91,,False
84M065,Democracy Prep Endurance Charter School,MS,93,100,99.0,False
24Q877,The 51 Avenue Academy (The Path To Academic Excellence),ES,81,97,,False
10X032,P.S. 032 Belmont,ES,90,97,,False
05M030,P.S. 030 Hernandez/Hughes,ES,83,100,,False
05M125,P.S. 125 Ralph Bunche,ES,67,96,,False
18K068,I.S. 068 Isaac Bildersee,MS,28,72,86.0,True
31R064,Gaynor McCown Expeditionary Learning School,HS,45,84,96.0,True
24Q305,Learners and Leaders,ECC,87,69,,False
03M243,M.S. 243 Center School,MS,92,100,99.0,False
16K025,P.S. 025 Eubie Blake School,ES,60,97,,True
12X098,J.H.S. 098 Herman Ridder,MS,58,97,89.0,True
06M128,P.S. 128 Audubon,ES,57,86,,False
03M076,P.S. 076 A. Philip Randolph,ES/MS,61,92,93.0,False
22K193,P.S. 193 Gil Hodges,ES,38,98,,False
84M888,Harlem Village Academy HS,HS,52,85,93.0,True
18K285,I.S. 285 Meyer Levin,MS,43,68,88.0,True
22K495,Sheepshead Bay High School,HS,5,73,72.0,True
29Q192,I.S. 192 The Linden,MS,80,63,65.0,False
07X018,P.S. 018 John Peter Zenger,ES,100,82,,True
04M012,Tag Young Scholars,ES/MS,88,100,99.0,False
27Q309,Academy of Medical Technology: A College Board School,MS/HS,48,88,74.0,True
07X031,P.S./M.S. 031 The William Lloyd Garrison,ES/MS,47,98,98.0,False
84M481,Democracy Prep Harlem Charter School,MS,56,93,94.0,True
02M255,M.S. 255 Salk School of Science,MS,53,92,99.0,False
27Q333,Goldie Maple Academy,ES/MS,100,54,100.0,False
84X539,New Visions Charter High School for Advanced Math and Science,HS,39,91,61.0,True
84X705,Family Life Academy Charter School,ES/MS,99,90,100.0,False
14K023,P.S. 023 Carter G. Woodson,ES,93,96,,False
28Q054,P.S. 054 Hillside,ES,74,81,,False
21K690,Brooklyn Studio Secondary School,MS/HS,22,66,94.0,True
27Q123,P.S. 123,ES,59,94,,True
23K041,P.S. 041 Francis White,ES/MS,24,63,97.0,True
10X080,J.H.S. 080 The Mosholu Parkway,MS,48,93,77.0,True
21K101,P.S. 101 The Verrazano,ES,95,85,,False
10X020,P.S. 20 P.O.George J. Werdan III,ES/MS,57,61,88.0,True
21K090,P.S. 90 Edna Cohen School,ES,76,69,,True
04M495,Park East High School,HS,81,100,90.0,False
12X316,Kappa III,MS,63,96,89.0,False
06M325,P.S. 325,ES,84,70,,True
13K305,P.S. 305 Dr. Peter Ray,ES,26,68,,True
30Q076,P.S. 076 William Hallet,ES,28,93,,True
84K707,Brooklyn Prospect Charter School,MS/HS,55,100,80.0,False
08X119,P.S. 119,ES,65,77,,False
11X529,One World Middle School at Edenwald,MS,65,100,99.0,False
11X175,P.S. 175 City Island,ES/MS,52,95,99.0,True
26Q094,P.S. 094 David D. Porter,ES,78,77,,False
14K582,M.S. 582,MS,39,100,98.0,True
30Q445,William Cullen Bryant High School,HS,21,64,58.0,True
25Q281,East-West School of International Studies,MS/HS,33,67,97.0,True
75K771,P.S. K771,D75,59,84,94.0,False
20K069,P.S. 69 Vincent D. Grippo School,ES,100,93,,False
13K575,Bedford Stuyvesant Preparatory High School,HST,34,100,95.0,False
22K277,P.S. 277 Gerritsen Beach,ES,92,100,,False
21K303,I.S. 303 Herbert S. Eisenberg,MS,95,95,98.0,True
18K635,Olympus Academy,HST,10,86,47.0,False
75Q256,P.S. Q256,D75,45,96,81.0,False
27Q317,WATERSIDE CHILDREN'S STUDIO SCHOOL,ES,58,100,,False
84X202,New Visions Charter High School for Advanced Math and Science II,HS,65,92,93.0,False
26Q188,P.S. 188 Kingsbury,ES,55,63,,False
