all/school_crime.ID,all/school_crime.Building Code,all/school_crime.DBN,all/school_crime.Location Name,all/school_crime.Location Code,all/school_crime.Address,all/school_crime.Borough,all/school_crime.Geographical District Code,all/school_crime.Register,all/school_crime.Building Name,all/school_crime.# Schools,all/school_crime.Schools in Building,all/school_crime.Major N,all/school_crime.Oth N,all/school_crime.NoCrim N,all/school_crime.Prop N,all/school_crime.Vio N,all/school_crime.ENGroupA,all/school_crime.RangeA,all/school_crime.AvgOfMajor N,all/school_crime.AvgOfOth N,all/school_crime.AvgOfNoCrim N,all/school_crime.AvgOfProp N,all/school_crime.AvgOfVio N,all/school_crime.New Georeferenced Column,all/school_crime.Zip Codes,all/school_crime.Community Districts,all/school_crime.Borough Boundaries,all/school_crime.City Council Districts,all/school_crime.Police Precincts
1579,X068,11X068,PS 68(BRONX),X068,4011 MONTICELLO AVENUE,X,11,679,,1,PS 68(BRONX),0.0,0.0,1.0,0.0,0.0,4C,501-750,0.26,1.13,2.41,0.66,0.57,POINT (-73.838371 40.891504),11275,29.0,5.0,2.0,30.0
1252,Q213,26Q213,PS 213(QUEENS),Q213,231-02 67 AVENUE,Q,26,386,,1,PS 213(QUEENS),0.0,0.0,0.0,0.0,0.0,3C,251-500,0.25,1.03,2.22,0.55,0.58,POINT (-73.745495 40.74782),14506,26.0,3.0,16.0,69.0
841,M176,,4862 BROADWAY CONSOLIDATED LOCATION,,4862 BROADWAY,M,6,672,4862 BROADWAY CONSOLIDATED LOCATION,2,Amistad Dual Language School |  Muscota |  4862 BROADWAY CONSOLIDATED LOCATION,0.0,0.0,1.0,0.0,0.0,4C,501-750,0.26,1.13,2.41,0.66,0.57,POINT (-73.923874 40.866747),13092,47.0,4.0,39.0,22.0
964,M510,01M458,FORSYTH SATELLITE ACADEMY(MS),M458,198 Forsyth Street,M,1,140,198 Forsyth Street CONSOLIDATED LOCATION,2,Forsyth Satellite Academy |  Cascades High School |  198 FORSYTH STREET CONSOLIDATED LOCATION,,,,,,2C,1-250,,,,,,POINT (-73.990733 40.722532),11723,70.0,4.0,32.0,2.0
1716,X147,09X313,IS 339 SCHOOL OF COMM TECH(XE),X313,1600 WEBSTER AVENUE,X,9,323,1600 WEBSTER AVENUE CONSOLIDATED LOCATION,2,IS 339 SCHOOL OF COMM TECH(XE)|IS/JHS 339(XE)|1600 WEBSTER AVENUE CONSOLIDATED LOCATION,,,,,,3C,251-500,,,,,,POINT (-73.904822 40.840659),10935,34.0,5.0,42.0,25.0
1619,X094,10X094,PS 94 KINGS COLLEGE SCHOOL(BRONX),X094,3530 KINGS COLLEGE PLACE,X,10,1268,,1,PS 94 KINGS COLLEGE SCHOOL(BRONX),0.0,2.0,0.0,2.0,0.0,7C,1251-1500,0.65,2.79,6.71,1.48,1.47,POINT (-73.875741 40.880494),11605,24.0,5.0,40.0,34.0
194,K169,15K169,PS 169(BROOKLYN),K169,4305 SEVENTH AVENUE,K,15,1470,,1,PS 169(BROOKLYN),0.0,0.0,0.0,0.0,0.0,7C,1251-1500,0.65,2.79,6.71,1.48,1.47,POINT (-87.820448 42.596875),12435,,,,
1241,Q203,26Q203,PS 203(QUEENS),Q203,53-11 SPRINGFIELD BOULEVARD,Q,26,882,,1,PS 203(QUEENS),0.0,0.0,0.0,0.0,0.0,5C,751-1000,0.38,1.52,3.88,0.83,0.91,POINT (-73.760344 40.753503),14506,26.0,3.0,16.0,69.0
1088,Q055,28Q055,PS 55(QUEENS),Q055,131-10 97 AVENUE,Q,28,448,,1,PS 55(QUEENS),0.0,0.0,0.0,0.0,0.0,3C,251-500,0.25,1.03,2.22,0.55,0.58,POINT (-73.816375 40.694082),24015,46.0,3.0,46.0,60.0
906,M445,02M305,THE URBAN ASSEMBLY ACADEMY OF GOVERNMENT & LAW(MANHATTAN),M305,350 GRAND STREET,M,2,244,350 GRAND STREET CONSOLIDATED LOCATION,7,ESSEX STREET ACADEMY(MS)| THE URBAN ASSEMBLY ACADEMY OF GOVERNMENT & LAW(MANHATTAN) |LOWER MANHATTAN ARTS ACADEMY(MS)|SEWARD PARK HS(MANHATTAN)|NEW DESIGN HS(MS)| HS FOR DUAL LANGUAGE & ASIAN STUDIES(MS) |SEWARD PARK GED(MANHATTAN)|350 GRAND STREET CONSOLIDATED LOCATION,,,,,,2C,1-250,,,,,,POINT (-74.747046 40.204073),28083,,,,
