all/school_esl.DBN,all/school_esl.Grade,all/school_esl.Year,all/school_esl.Category,all/school_esl.Number Tested,all/school_esl.Mean Scale Score,all/school_esl.Level 1 #,all/school_esl.Level 1 %,all/school_esl.Level 2 #,all/school_esl.Level 2 %,all/school_esl.Level 3 #,all/school_esl.Level 3 %,all/school_esl.Level 4 #,all/school_esl.Level 4 %,all/school_esl.Level 3+4 #,all/school_esl.Level 3+4 %
19K328,All Grades,2006,All Students,467,,58.0,12.4,240.0,51.4,161.0,34.5,8.0,1.7,169.0,36.2
08X333,4,2011,All Students,56,654.0,11.0,19.6,32.0,57.1,13.0,23.2,0.0,0.0,13.0,23.2
17K533,6,2007,All Students,52,636.0,4.0,7.7,36.0,69.2,12.0,23.1,0.0,0.0,12.0,23.1
08X123,7,2011,All Students,157,650.0,36.0,22.9,97.0,61.8,24.0,15.3,0.0,0.0,24.0,15.3
20K185,4,2010,All Students,134,689.0,3.0,2.2,35.0,26.1,70.0,52.2,26.0,19.4,96.0,71.6
24Q560,8,2006,All Students,45,663.0,0.0,0.0,15.0,33.3,29.0,64.4,1.0,2.2,30.0,66.7
08X101,6,2008,All Students,172,683.0,0.0,0.0,5.0,2.9,147.0,85.5,20.0,11.6,167.0,97.1
23K184,7,2006,All Students,62,631.0,8.0,12.9,35.0,56.5,18.0,29.0,1.0,1.6,19.0,30.6
19K273,3,2010,All Students,74,661.0,15.0,20.3,31.0,41.9,21.0,28.4,7.0,9.5,28.0,37.8
31R030,3,2009,All Students,147,670.0,9.0,6.1,31.0,21.1,88.0,59.9,19.0,12.9,107.0,72.8
17K340,All Grades,2010,All Students,276,,8.0,2.9,103.0,37.3,154.0,55.8,11.0,4.0,165.0,59.8
07X221,6,2010,All Students,88,649.0,28.0,31.8,46.0,52.3,14.0,15.9,0.0,0.0,14.0,15.9
16K026,5,2008,All Students,62,660.0,0.0,0.0,21.0,33.9,38.0,61.3,3.0,4.8,41.0,66.1
03M145,4,2007,All Students,77,650.0,10.0,13.0,31.0,40.3,32.0,41.6,4.0,5.2,36.0,46.8
32K554,6,2011,All Students,30,671.0,0.0,0.0,3.0,10.0,26.0,86.7,1.0,3.3,27.0,90.0
28Q139,5,2009,All Students,104,682.0,0.0,0.0,15.0,14.4,69.0,66.3,20.0,19.2,89.0,85.6
20K062,8,2006,All Students,424,629.0,69.0,16.3,254.0,59.9,98.0,23.1,3.0,0.7,101.0,23.8
15K027,5,2009,All Students,44,647.0,1.0,2.3,21.0,47.7,22.0,50.0,0.0,0.0,22.0,50.0
29Q036,All Grades,2007,All Students,268,,26.0,9.7,92.0,34.3,135.0,50.4,15.0,5.6,150.0,56.0
12X211,5,2011,All Students,49,653.0,8.0,16.3,25.0,51.0,15.0,30.6,1.0,2.0,16.0,32.7
14K110,4,2009,All Students,50,667.0,4.0,8.0,12.0,24.0,30.0,60.0,4.0,8.0,34.0,68.0
25Q237,7,2008,All Students,321,664.0,9.0,2.8,78.0,24.3,226.0,70.4,8.0,2.5,234.0,72.9
22K109,6,2010,All Students,87,658.0,12.0,13.8,46.0,52.9,27.0,31.0,2.0,2.3,29.0,33.3
12X050,All Grades,2011,All Students,219,648.0,78.0,35.6,96.0,43.8,45.0,20.5,0.0,0.0,45.0,20.5
10X079,3,2006,All Students,141,648.0,24.0,17.0,52.0,36.9,63.0,44.7,2.0,1.4,65.0,46.1
18K115,4,2010,All Students,205,665.0,21.0,10.2,98.0,47.8,80.0,39.0,6.0,2.9,86.0,42.0
