all/school_gender.csv.DBN,all/school_gender.csv.chool Name,all/school_gender.csv.Grade,all/school_gender.csv.Year,all/school_gender.csv.Category,all/school_gender.csv.Number Tested,all/school_gender.csv.Mean Scale Score,all/school_gender.csv.Level1_N,all/school_gender.csv.Level1_%,all/school_gender.csv.Level2_N,all/school_gender.csv.Level2_%,all/school_gender.csv.Level3_N,all/school_gender.csv.Level3_%,all/school_gender.csv.Level4_N,all/school_gender.csv.Level4_%,all/school_gender.csv.Level3+4_N,all/school_gender.csv.Level3+4_%
22K236,PS 236 MILL BASIN,All Grades,2015,Female,125,325.0,8.0,6.4,42.0,33.6,40.0,32.0,35.0,28.0,75.0,60.0
06M328,COMMUNITY MATH & SCIENCE PREP,8,2013,Male,68,250.0,54.0,79.4,11.0,16.2,3.0,4.4,0.0,0.0,3.0,4.4
13K133,PS 133 WILLIAM A BUTLER,4,2015,Female,24,305.0,6.0,25.0,9.0,37.5,7.0,29.2,2.0,8.3,9.0,37.5
22K240,ANDRIES HUDDE,All Grades,2016,Female,399,306.0,57.0,14.3,195.0,48.9,120.0,30.1,27.0,6.8,147.0,36.8
31R007,IS 007 ELIAS BERNSTEIN,All Grades,2014,Male,573,314.0,70.0,12.2,221.0,38.6,190.0,33.2,92.0,16.1,282.0,49.2
26Q213,PS 213 THE CARL ULLMAN SCHOOL,3,2015,Female,32,322.0,6.0,18.8,7.0,21.9,15.0,46.9,4.0,12.5,19.0,59.4
26Q133,PS 133 QUEENS,3,2013,Female,28,320.0,1.0,3.6,13.0,46.4,11.0,39.3,3.0,10.7,14.0,50.0
08X071,PS 071 ROSE E SCALA,8,2017,Male,88,308.0,13.0,14.8,36.0,40.9,32.0,36.4,7.0,8.0,39.0,44.3
09X063,PS 063 AUTHOR S ACADEMY,5,2013,Male,35,301.0,9.0,25.7,18.0,51.4,7.0,20.0,1.0,2.9,8.0,22.9
16K026,PS 026 JESSE OWENS,5,2015,Female,10,299.0,2.0,20.0,7.0,70.0,1.0,10.0,0.0,0.0,1.0,10.0
28Q101,PS 101 SCHOOL IN THE GARDENS,6,2014,Female,15,351.0,0.0,0.0,3.0,20.0,1.0,6.7,11.0,73.3,12.0,80.0
03M199,PS 199 JESSIE ISADOR STRAUS,4,2015,Male,54,329.0,1.0,1.9,18.0,33.3,14.0,25.9,21.0,38.9,35.0,64.8
24Q229,PS 229 EMANUEL KAPLAN,5,2016,Male,103,311.0,20.0,19.4,35.0,34.0,35.0,34.0,13.0,12.6,48.0,46.6
16K267,MS 267 MATH SCIENCE & TECHNOLOGY,8,2015,Female,39,291.0,14.0,35.9,15.0,38.5,9.0,23.1,1.0,2.6,10.0,25.6
14K018,PS 018 EDWARD BUSH,4,2017,Male,14,298.0,4.0,28.6,5.0,35.7,5.0,35.7,0.0,0.0,5.0,35.7
