all/school_pe.Borough,all/school_pe.Admin District,all/school_pe.Geographical District,all/school_pe.Location Code,all/school_pe.DBN,all/school_pe.School Level ,all/school_pe.Student Enrollment,all/school_pe.Full Time Licensed PE Teachers,all/school_pe.F Status PE Teachers*,all/school_pe.Itinerant PE Teachers*,all/school_pe.Sum of F Status and Itinerant*,all/school_pe.Total Part Time and Full Time PE Teachers*,all/school_pe.Shared PE teachers with another school*,all/school_pe.Ratio of Full Time Licensed PE Teachers to Students*
Bronx,10,10,X159,10X159,Elementary                         ,186,0,0,0,0,0,0,0
Bronx,8,8,X125,08X125,Junior High-Intermediate-Middle    ,348,1,0,0,0,1,0,1:348
Bronx,8,8,X048,08X048,Elementary                         ,676,1,0,0,0,1,0,1:676
Brooklyn,17,17,K289,17K289,Elementary                         ,340,0,0,0,0,0,0,0
Brooklyn,13,13,K691,13K691,Junior High-Intermediate-Middle    ,197,1,0,0,0,1,0,1:197
Bronx,10,10,X344,10X344,Elementary                         ,389,1,0,0,0,1,0,1:389
Bronx,75,11,X176,75X176,K-12 All Grades                    ,772,10,0,0,0,10,0,1:77
Queens,30,30,Q092,30Q092,Elementary                         ,830,0,0,0,0,0,0,0
Brooklyn,22,22,K240,22K240,Junior High-Intermediate-Middle    ,770,2,0,0,0,2,0,1:385
Manhattan,6,6,M293,06M293,Secondary School                   ,588,2,0,0,0,2,0,1:294
Queens,27,27,Q047,27Q047,K-8                                ,195,0,0,0,0,0,0,0
Brooklyn,19,19,K678,19K678,Junior High-Intermediate-Middle    ,241,1,0,0,0,1,0,1:241
Brooklyn,16,16,K005,16K005,Elementary                         ,173,1,0,0,0,1,0,1:173
Manhattan,5,5,M197,05M197,Elementary                         ,268,1,0,0,0,1,0,1:268
Brooklyn,13,13,K020,13K020,Elementary                         ,345,0,0,0,0,0,0,0
Queens,75,26,Q993,75Q993,K-12 All Grades                    ,488,3,0,0,0,3,0,1:163
Brooklyn,32,32,K564,32K564,High School                        ,161,1,0,0,0,1,0,1:161
Bronx,7,7,X670,07X670,High School                        ,402,3,0,0,0,3,0,1:134
Queens,30,30,Q002,30Q002,Elementary                         ,562,1,0,0,0,1,0,1:562
Manhattan,4,4,M224,04M224,Junior High-Intermediate-Middle    ,154,0,1,0,1,1,0,0
Brooklyn,23,23,K298,23K298,Elementary                         ,167,1,0,0,0,1,0,1:167
Brooklyn,19,19,K663,19K663,Junior High-Intermediate-Middle    ,136,1,0,0,0,1,0,1:136
