DBN,School Name,School Pupil-Teacher Ratio
15K001,P.S. 001 THE BERGEN,13.4427
12X691,BRONX LITTLE SCHOOL,12.04752
11X567,LINDEN TREE ELEMENTARY SCHOOL,16.86666
09X555,MOUNT EDEN CHILDREN'S ACADEMY,18.09571
12X536,PS 536,14.79436
12X531,ARCHER ELEMENTARY SCHOOL,13.73446
11X483,P.S. 483,14.33333
11X481,P.S. 481,14.13297
12X463,URBAN SCHOLARS COMMUNITY SCHOOL,13.75
12X458,SAMARA COMMUNITY SCHOOL,19
09X457,SHERIDAN ACADEMY FOR YOUNG LEADERS,14.88308
09X449,GRANT AVENUE ELEMENTARY SCHOOL,12.75471
09X443,THE FAMILY SCHOOL,11.25711
10X396,P.S. 396,5.96692
08X392,BRONX DELTA SCHOOL,13.06722
10X386,SCHOOL FOR ENVIRONMENTAL CITIZENSHIP,14.11607
07X385,PERFORMANCE SCHOOL,7.398051
10X382,"ELEMENTARY SCHOOL FOR MATH, SCIENCE, AND TECHNOLOGY",14.06717
07X369,YOUNG LEADERS ELEMENTARY SCHOOL,9.784098
10X360,P.S. 360,13.96308
07X359,CONCOURSE VILLAGE ELEMENTARY SCHOOL,9.816176
11X357,YOUNG VOICES ACADEMY OF THE BRONX,13.63013
10X344,AMPARK NEIGHBORHOOD,18.52674
10X340,P.S. 340,12.32999
08X335,THE ACADEMY OF THE ARTS,13.03363
08X333,P.S. 333 - THE MUSEUM SCHOOL,14.14542
12X314,FAIRMONT NEIGHBORHOOD SCHOOL,10.26888
09X311,LUCERO ELEMENTARY SCHOOL,13.10946
10X310,P.S. 310 MARBLE HILL,14.4916
10X307,LUISA PINEIRO FUENTES SCHOOL OF SCIENCE AND DISCOVERY,13.5014
10X306,P.S. 306,13.54973
08X304,P.S. 304 EARLY CHILDHOOD SCHOOL,15.57287
12X300,THE SCHOOL OF SCIENCE AND APPLIED LEARNING,12.88533
09X294,THE WALTON AVENUE SCHOOL,12.9
10X291,P.S. 291,15.21012
07X277,P.S. 277,12.28143
09X274,THE NEW AMERICAN ACADEMY AT ROBERTO CLEMENTE STATE PARK,17.30491
10X246,P.S. 246 POE CENTER,13.10849
09X236,P.S. 236 LANGSTON HUGHES,12.0819
09X230,P.S. 230 DR ROLAND N. PATTERSON,7.361737
10X226,P.S. 226,15.61262
10X209,P.S. 209,11.33024
10X207,P.S. 207,13.57906
10X205,P.S. 205 FIORELLO LAGUARDIA,14.51872
09X204,P.S. 204 MORRIS HEIGHTS,15.88625
09X199,P.S. 199X - THE SHAKESPEARE SCHOOL,15.13148
12X196,P.S. 196,14.517
12X195,P.S. 195,15.49911
11X189,CORNERSTONE ACADEMY FOR SOCIAL ACTION,12.73637
08X182,P.S. 182,15.58706
07X179,P.S. 179,12.43902
11X178,P.S. 178 - DR. SELMAN WAKSMAN,13.02624
09X170,P.S. 170,14.38278
11X169,BAYCHESTER ACADEMY,17.63214
09X163,P.S. 163 ARTHUR A. SCHOMBURG,13.25196
