all/school_s2tr.DBN,all/school_s2tr.School Name,all/school_s2tr.School Pupil-Teacher Ratio
15K029,P.S. 029 JOHN M. HARRIGAN,16.76136
05M670,THURGOOD MARSHALL ACADEMY FOR LEARNING AND SOCIAL CHANGE,15.4156
15K519,COBBLE HILL SCHOOL OF AMERICAN STUDIES,16.73481
03M242,P.S. 242 - THE YOUNG DIPLOMATS MAGNET ACADEMY,9.30851
08X558,WESTCHESTER SQUARE ACADEMY,13.79759
28Q303,THE ACADEMY FOR EXCELLENCE THROUGH THE ARTS,16.8618
02M111,P.S. 111 ADOLPH S. OCHS,11.36908
17K532,NEW BRIDGES ELEMENTARY,11.66025
06M115,P.S. 115 ALEXANDER HUMBOLDT,14.608
07X157,P.S. 157 GROVE HILL,12.70295
05M517,TEACHERS COLLEGE COMMUNITY SCHOOL,15.58856
02M130,P.S. 130 HERNANDO DE SOTO,19.01537
19K764,THE URBAN ASSEMBLY SCHOOL FOR COLLABORATIVE HEALTHCARE,12.77031
28Q332,REDWOOD MIDDLE SCHOOL,14.26867
29Q494,"LAW, GOVERNMENT AND COMMUNITY SERVICE HIGH SCHOOL",7.989134
31R048,P.S. 048 WILLIAM G. WILCOX,16.08261
29Q326,CAMBRIA HEIGHTS ACADEMY,13.44584
28Q217,J.H.S. 217 ROBERT A. VAN WYCK,18.8394
02M289,I.S. 289,16.06448
27Q100,P.S. 100 GLEN MORRIS,15.615
22K245,P.S. 245,13.92618
31R470,CONCORD HIGH SCHOOL,13.54545
30Q445,WILLIAM CULLEN BRYANT HIGH SCHOOL,17.85777
08X071,P.S. 071 ROSE E. SCALA,14.03484
25Q201,P.S. 201 THE DISCOVERY SCHOOL FOR INQUIRY AND RESEARCH,11.50602
15K261,P.S. 261 PHILIP LIVINGSTON,15.86805
29Q360,P.S. 360,13.26086
13K412,"BROOKLYN COMMUNITY HIGH SCHOOL OF COMMUNICATION, ARTS AND MEDIA",13.78923
02M605,HUMANITIES PREPARATORY ACADEMY,14.10544
11X103,P.S. 103 HECTOR FONTANEZ,14.98268
13K595,BEDFORD ACADEMY HIGH SCHOOL,18.67875
04M012,TAG YOUNG SCHOLARS,21.57692
31R455,TOTTENVILLE HIGH SCHOOL,19.5217
12X057,P.S. 057 CRESCENT,14.56691
02M533,UNION SQUARE ACADEMY FOR HEALTH SCIENCES,13.73333
32K291,J.H.S. 291 ROLAND HAYES,11.18381
02M551,URBAN ASSEMBLY NEW YORK HARBOR SCHOOL,11.60027
02M586,HARVEY MILK HIGH SCHOOL,7.728648
04M555,CENTRAL PARK EAST HIGH SCHOOL,16.17241
09X505,"BRONX SCHOOL FOR LAW, GOVERNMENT AND JUSTICE",15.02719
09X323,BRONX WRITING ACADEMY,12.37135
30Q076,P.S. 076 WILLIAM HALLET,9.815159
02M167,J.H.S. 167 ROBERT F. WAGNER,15.61726
19K306,P.S. 306 ETHAN ALLEN,11.00481
25Q241,QUEENS HIGH SCHOOL FOR LANGUAGE STUDIES,13.21587
06M467,HIGH SCHOOL FOR LAW AND PUBLIC SERVICE,16.70156
07X321,CROTONA ACADEMY HIGH SCHOOL,14.21365
02M001,P.S. 001 ALFRED E. SMITH,11.65984
05M129,P.S. 129 JOHN H. FINLEY,14.77082
23K363,BROWNSVILLE COLLABORATIVE MIDDLE SCHOOL,7.533537
20K030,PS/IS 30 MARY WHITE OVINGTON,13.29098
