DBN,School Name,School Type,Overall Score,Overall Grade,Overall Rank,Progress Grade,Performance Grade,Environment Grade,College and Career Readiness Grade,Closing the Achievement Gap Points,Principal,Enrollment,Average English Proficiency,Average Math Proficiency,% Students with Disabilities,% Self-Contained,% Overage,% Black or Hispanic,% ELL
01M458,Forsyth Satellite Academy,High School Transfer,45.5,D,40,B,D,D,C,6.5,Ingrid Roberts Haynes,225,2.57,2.31,0.191,0.044,0.763,0.929,0.053
01M515,Lower East Side Preparatory High School,High School Transfer,85.6,A,3,A,A,B,A,10.4,Martha Polin,513,2.66,2.59,0.021,0.01,0.821,0.205,0.782
01M650,Cascades High School,High School Transfer,75.4,A,9,A,A,B,B,7.9,Paul Rotondo,228,2.68,2.66,0.083,0.022,0.457,0.947,0.035
02M313,"James Baldwin School, The: A School for Expeditionary Learning",High School Transfer,65,B,22,B,A,C,A,7.4,Christine Olson,254,2.63,2.63,0.189,0.035,0.28,0.894,0.059
02M394,EMMA LAZARUS HIGH SCHOOL,High School Transfer,,,,,,,,,Melody Kellogg,245,1.95,2.51,0,0,0.718,0.327,0.853
02M432,MURRAY HILL ACADEMY,High School Transfer,,,,,,,,,Anita Manninen Felix,286,2.59,2.69,0.259,0.101,0.14,0.878,0.077
02M544,Independence High School,High School Transfer,48.7,C,36,C,C,A,B,7.1,Ron Smolkin,388,2.53,2.38,0.18,0.041,0.592,0.936,0.059
02M550,Liberty High School Academy for Newcomers,High School Transfer,85.7,A,2,A,A,D,A,10.6,Melodee Khristan,383,1.77,2.3,0.029,0.005,0.56,0.655,0.911
02M560,High School M560 - City As School,High School Transfer,48,C,37,F,B,B,B,7.9,Alan Cheng,631,2.79,2.61,0.135,0.013,0.339,0.826,0.021
02M565,Urban Academy Laboratory High School,High School Transfer,68.8,A,15,A,B,A,A,5.5,Herb Mack,160,3.05,2.89,0.1,0.006,0.226,0.688,0.019
02M570,Satellite Academy High School,High School Transfer,95.5,A,1,A,A,A,C,11.8,Paul Melkonian,247,2.57,2.38,0.178,0.045,0.768,0.964,0.061
02M575,Manhattan Comprehensive Night and Day High School,High School Transfer,82.7,A,6,A,A,B,A,12.1,Michael Toise,801,2.4,2.29,0.056,0.012,0.711,0.672,0.549
02M586,Harvey Milk High School,High School Transfer,56.5,B,27,B,C,C,C,6.4,Daphne Perrini,69,2.7,2.53,0.188,0.029,0.431,0.812,0.043
02M605,Humanities Preparatory Academy,High School Transfer,74.1,A,10,B,A,C,A,3.1,Jeannie Ferrari,207,2.88,3.07,0.101,0.014,0.059,0.792,0.01
03M404,INNOVATION DIPLOMA PLUS,High School Transfer,65.2,B,21,C,A,B,B,10.4,Casey Jones,191,2.57,2.42,0.115,0.026,0.579,0.801,0.031
03M505,Edward A. Reynolds West Side High School,High School Transfer,50.2,C,33,C,C,C,B,8.2,Jean Mctavish,551,2.48,2.34,0.209,0.065,0.613,0.982,0.093
