DBN,School Name,Overall Score,Overall Grade,Overall Rank,Progress Grade,Performance Grade,Environment Grade,College and Career Readiness Grade,Closing the Achievement Gap Points,Assistant Principal,Enrollment,School Type,Average English Proficiency,Average Math Proficiency,% Students with Disabilities,% Self-Contained,% Overage,% Black or Hispanic,% ELL
02M473,Washington Irving Yabc,50.1,C,16,C,C,C,B,5,Roger Bradley,355,YABC,2.41,2.25,0.107,0,0.082,0.899,0.124
06M457,George Washington Yabc,83.1,A,1,A,A,A,A,7.7,SAMUEL AKEL,287,YABC,2.21,2.15,0.146,0.021,0.15,0.986,0.453
07X456,Alfred E. Smith Campus YABC,50.9,C,15,B,C,C,B,4.4,Arleen Milton,184,YABC,2.27,2.21,0.114,0.005,0.12,0.973,0.12
08X408,Herbert H. Lehman Yabc,66.8,B,8,A,B,B,B,5.5,Martin Smallhorne,247,YABC,2.4,2.33,0.13,0.02,0.04,0.911,0.036
08X507,Stevenson Yabc,35.8,D,21,C,D,A,D,4.7,GLADYS DE LA CRUZ,177,YABC,2.31,2.15,0.119,0.017,0.079,0.96,0.09
10X503,Walton Yabc,52.5,C,14,B,C,C,C,6.3,Thomas Lopez,304,YABC,2.28,2.23,0.138,0.039,0.132,0.974,0.313
10X504,Kennedy Yabc,33.5,F,22,D,C,D,C,5.6,James Barron,232,YABC,2.23,2.03,0.151,0.056,0.125,0.974,0.203
10X667,Grace Dodge Yabc,46.5,C,17,C,C,B,C,5.7,Veronica Jackson,235,YABC,2.25,2.09,0.234,0.14,0.14,0.974,0.162
11X417,C Columbus Hs Yabc,42.6,D,19,C,D,B,D,5.8,,264,YABC,2.25,2.06,0.235,0.098,0.136,0.909,0.121
12X428,Learning To Work Yabc At Monroe Academy,39.2,D,20,D,B,A,C,6.5,CARMEL BELIZAIRE,223,YABC,2.28,2.11,0.135,0.04,0.117,0.987,0.139
13K657,Downtown Brooklyn Yabc,57.9,B,12,C,B,B,A,4.9,Michael Noto,283,YABC,2.39,2.22,0.155,0.053,0.064,0.961,0.099
14K923,Automotive High School Yabc,54.2,B,13,B,B,D,C,5.9,"Michael Pollicino, MICHAEL POLLICINO",246,YABC,2.31,2.21,0.126,0.049,0.106,0.955,0.106
16K959,BOYS AND GIRLS YABC,,,,,,,,,HORACIO BURROWESIII,203,YABC,2.29,2.17,0.212,0.118,0.143,0.975,0.049
17K467,Erasmus Yabc,58.1,B,11,B,B,B,C,5.5,Angela Pugh Roberson,230,YABC,2.41,2.17,0.057,0.009,0.148,0.974,0.048
18K922,South Shore Educational Complex Yabc,76.5,A,3,A,A,B,A,7.5,Dawn Harris,282,YABC,2.31,2.09,0.174,0.039,0.16,0.961,0.057
19K431,Thomas Jefferson Yabc,78,A,2,A,A,A,B,7.9,JUAN BATISTA,274,YABC,2.4,2.24,0.172,0.044,0.139,0.942,0.157
19K501,Franklin K. Lane Campus YABC,61,B,10,B,B,C,B,6.9,Rosalie Marks,267,YABC,2.31,2.18,0.146,0.056,0.127,0.91,0.232
20K658,Franklin Delano Roosevelt YABC,43,D,18,C,C,C,B,8,Vincent Asaro,282,YABC,2.39,2.26,0.301,0.152,0.074,0.663,0.184
21K411,Abraham Lincoln Yabc,76.3,A,4,A,A,A,A,7.4,NEAL REICH,264,YABC,2.41,2.29,0.174,0.072,0.106,0.663,0.201
24Q457,HS Arts & Business Yabc,70.9,B,6,B,A,B,A,7.3,Jimmy Liu,282,YABC,2.39,2.35,0.142,0.014,0.099,0.798,0.177
25Q467,Flushing Yabc,74.4,B,5,B,A,C,A,7.7,SIU HEI SZETO,331,YABC,2.43,2.35,0.139,0.039,0.103,0.728,0.16
27Q487,John Adams Yabc,70.7,B,7,A,B,A,B,5.6,Edita Volovodovskaya,287,YABC,2.44,2.27,0.021,0.003,0.146,0.718,0.035
31R607,Staten Island Yabc,64.9,B,9,B,B,B,B,5.5,Christophe Anzalone,127,YABC,2.48,2.25,0.181,0.008,0.024,0.417,0.039
