Class,V13,V12,Key_0_0
1,0,1,903
1,0,1,1311
1,0,1,1487
1,1,0,441
1,1,0,827
1,1,0,628
1,1,0,268
1,1,0,1508
1,1,0,207
1,1,0,1352
1,1,0,480
1,1,0,684
1,1,0,1848
1,1,0,1512
1,1,0,787
1,1,0,1143
1,1,0,1349
1,1,0,1231
1,1,0,112
1,1,0,329
1,1,0,1103
1,1,0,1372
1,1,0,559
1,1,0,1015
1,1,0,1689
1,1,0,1197
1,1,0,1790
1,1,0,357
1,1,0,1672
1,1,0,1494
1,1,0,208
1,1,0,338
1,1,0,1100
1,1,0,1185
1,1,0,1404
1,1,0,1441
1,1,0,1734
1,1,0,1250
1,1,0,1018
1,1,0,901
1,1,0,1875
1,1,0,1177
1,1,0,1489
1,1,0,1113
1,0,1,793
1,0,1,401
1,0,1,708
1,0,1,1720
1,0,1,1455
1,0,1,157
1,0,1,572
1,0,1,251
1,0,1,4
1,0,1,895
1,0,1,1005
1,0,1,693
1,0,1,923
1,0,1,892
1,0,1,1297
1,0,1,126
1,0,1,46
1,0,1,1355
1,0,1,932
1,0,1,1031
1,0,1,1855
1,0,1,246
1,0,1,83
1,0,1,1010
1,0,1,586
1,0,1,332
1,0,1,1937
1,0,1,25
1,0,1,1791
1,0,1,436
1,0,1,18
1,0,1,310
1,0,1,1543
1,0,1,542
1,1,0,748
1,1,0,1211
1,1,0,970
1,1,0,1764
1,1,0,1182
1,1,0,598
1,1,0,1772
1,1,0,1857
1,1,0,1408
1,1,0,933
1,1,0,1729
1,1,0,770
1,1,0,555
1,1,0,1829
1,1,0,1733
1,1,0,431
1,1,0,979
1,1,0,1926
1,1,0,395
1,1,0,1813
1,1,0,502
1,1,0,1149
1,1,0,1533
1,1,0,360
1,1,0,958
1,1,0,312
1,1,0,1313
1,1,0,170
1,1,0,1851
1,1,0,1799
1,1,0,463
1,1,0,1685
1,1,0,1715
1,1,0,358
1,1,0,124
1,1,0,934
1,1,0,798
1,1,0,21
1,1,0,253
1,1,0,1374
1,1,0,1378
1,1,0,116
1,1,0,716
1,1,0,1650
1,1,0,1939
1,1,0,181
1,1,0,245
1,1,0,794
1,1,0,1478
1,1,0,404
1,1,0,1399
1,1,0,1021
1,1,0,1912
1,1,0,1165
1,1,0,353
1,1,0,44
1,0,1,1153
1,0,1,1546
1,1,0,1135
1,1,0,980
1,1,0,266
1,1,0,1117
1,0,1,158
1,0,1,1695
1,1,0,84
1,1,0,1452
1,1,0,1682
1,1,0,1602
1,1,0,1559
1,1,0,1503
1,1,0,875
1,1,0,982
1,0,1,1932
1,0,1,1014
1,0,1,63
1,0,1,154
1,0,1,1522
1,0,1,1590
1,0,1,1600
1,0,1,1504
1,0,1,1821
1,0,1,477
1,0,1,1540
1,0,1,416
1,0,1,637
1,0,1,79
1,0,1,61
1,0,1,1769
1,0,1,1766
1,0,1,1830
1,0,1,22
1,0,1,350
1,0,1,568
1,0,1,1278
1,0,1,1151
1,0,1,538
1,0,1,926
1,0,1,1719
1,0,1,1707
1,0,1,391
1,0,1,133
1,0,1,219
1,0,1,1192
1,0,1,554
1,0,1,1028
1,0,1,947
1,0,1,1588
1,0,1,1109
1,0,1,1295
1,0,1,1373
1,0,1,1619
1,0,1,190
1,0,1,1570
1,0,1,1564
1,0,1,636
1,0,1,10
1,0,1,1744
1,0,1,1248
1,0,1,738
1,0,1,1435
1,0,1,1294
1,0,1,818
1,0,1,928
1,0,1,588
1,0,1,909
1,0,1,1342
1,0,1,68
1,0,1,750
1,0,1,1
1,0,1,1488
1,0,1,1345
1,0,1,1093
1,0,1,247
1,0,1,938
1,0,1,1096
1,0,1,1563
1,0,1,1466
1,0,1,661
1,0,1,902
1,0,1,1194
1,0,1,1601
1,0,1,1390
1,0,1,1781
1,0,1,1256
1,0,1,1159
1,0,1,465
1,0,1,1596
1,0,1,1307
1,0,1,1732
1,0,1,971
1,0,1,422
1,0,1,706
1,0,1,1881
1,0,1,1758
1,0,1,1291
1,0,1,1856
1,0,1,1163
1,0,1,147
1,0,1,343
1,0,1,397
1,0,1,305
1,0,1,418
1,0,1,198
1,0,1,1498
1,0,1,761
1,0,1,82
1,0,1,187
1,0,1,991
1,0,1,419
1,0,1,1820
1,0,1,1179
1,0,1,346
1,0,1,1348
1,0,1,663
1,0,1,619
1,0,1,1938
1,0,1,514
1,0,1,1865
1,0,1,1767
1,0,1,225
1,0,1,1814
1,0,1,510
1,0,1,1425
1,0,1,51
1,0,1,1929
1,0,1,1823
1,0,1,184
1,0,1,879
1,0,1,169
1,0,1,1894
1,0,1,1704
1,0,1,899
1,0,1,1129
1,0,1,699
1,0,1,1054
1,0,1,128
1,0,1,655
1,0,1,760
1,0,1,1150
1,0,1,354
1,0,1,1273
1,0,1,306
1,0,1,1371
1,0,1,1784
1,0,1,1636
1,0,1,536
1,0,1,1463
1,0,1,423
1,0,1,1286
1,0,1,336
1,0,1,1606
1,0,1,263
1,0,1,1162
1,0,1,781
1,0,1,171
1,0,1,55
1,0,1,1527
1,0,1,988
1,0,1,577
1,0,1,634
1,0,1,471
1,0,1,1350
1,0,1,1511
1,0,1,218
1,0,1,1794
1,0,1,241
1,0,1,145
1,0,1,1519
1,0,1,968
1,0,1,860
1,0,1,1428
1,0,1,1843
1,0,1,741
1,0,1,1186
1,0,1,1229
1,0,1,1874
1,0,1,417
1,0,1,1625
1,0,1,1897
1,0,1,1587
1,0,1,843
1,0,1,1933
1,0,1,1796
1,0,1,607
1,0,1,1473
1,0,1,236
1,0,1,1166
1,0,1,1314
1,0,1,808
1,0,1,371
1,0,1,1582
1,0,1,1002
1,1,0,1623
1,1,0,973
1,1,0,24
1,1,0,1462
1,1,0,1889
1,1,0,1076
1,1,0,1426
1,1,0,603
1,1,0,965
1,1,0,1190
1,1,0,1200
1,1,0,1718
1,1,0,95
1,1,0,891
1,1,0,1930
1,1,0,569
1,1,0,1175
1,1,0,790
1,1,0,1026
1,1,0,369
1,1,0,1837
1,1,0,351
1,1,0,533
1,1,0,1071
1,1,0,309
1,1,0,1526
1,1,0,1036
1,1,0,1052
1,1,0,1652
1,1,0,257
1,1,0,1105
1,1,0,90
1,1,0,5
1,1,0,1561
1,1,0,687
1,1,0,1542
1,1,0,771
1,1,0,194
1,1,0,754
1,1,0,615
1,1,0,804
1,1,0,89
1,1,0,87
1,1,0,641
1,1,0,685
1,1,0,1468
1,1,0,1077
1,1,0,64
1,1,0,256
1,1,0,135
1,1,0,766
1,1,0,882
1,1,0,1696
1,1,0,1639
1,1,0,1927
1,1,0,1594
1,1,0,1413
1,1,0,797
1,1,0,1047
1,1,0,1343
1,0,1,964
1,1,0,734
1,1,0,1566
1,1,0,917
1,1,0,1801
1,1,0,1414
1,1,0,534
1,1,0,271
1,1,0,381
1,1,0,425
1,1,0,1181
1,1,0,1160
1,1,0,1169
1,1,0,1712
1,1,0,1086
1,1,0,60
1,1,0,452
1,1,0,415
1,1,0,868
1,1,0,1397
1,1,0,1496
1,1,0,1477
1,1,0,433
1,1,0,557
1,1,0,1216
1,1,0,347
1,1,0,550
1,1,0,1806
1,1,0,705
1,1,0,659
1,1,0,258
1,1,0,834
1,1,0,865
1,1,0,1376
1,1,0,94
1,1,0,292
1,1,0,1415
1,1,0,49
1,1,0,1518
1,1,0,1755
1,1,0,563
1,1,0,1040
1,1,0,375
1,1,0,955
1,1,0,1237
1,1,0,1139
1,1,0,1379
1,1,0,37
1,1,0,1713
1,1,0,490
1,1,0,65
1,1,0,805
1,1,0,382
1,1,0,19
1,1,0,1044
1,1,0,855
1,1,0,172
1,1,0,922
1,1,0,136
1,1,0,1127
1,1,0,1923
1,1,0,1620
1,1,0,547
1,1,0,1236
1,1,0,616
1,1,0,583
1,1,0,1318
1,1,0,71
1,1,0,823
1,1,0,1048
1,1,0,1924
1,1,0,1483
1,1,0,15
1,1,0,14
1,1,0,1099
1,1,0,667
1,1,0,189
1,1,0,1849
1,1,0,1224
1,1,0,141
1,1,0,1537
1,1,0,1387
1,1,0,1147
1,1,0,475
1,1,0,213
1,1,0,165
1,1,0,1909
1,1,0,866
1,1,0,1500
1,1,0,1069
1,1,0,606
1,1,0,1019
1,1,0,854
1,1,0,1009
1,1,0,161
1,1,0,1064
1,1,0,1416
1,1,0,1240
1,1,0,167
1,1,0,367
1,1,0,424
1,1,0,1642
1,1,0,1173
1,1,0,809
1,1,0,1234
1,1,0,1381
1,1,0,939
1,1,0,1429
1,1,0,704
1,1,0,1901
1,1,0,0
1,1,0,635
1,1,0,681
1,1,0,1332
1,1,0,595
1,1,0,1433
1,1,0,1576
1,1,0,1753
1,1,0,1899
1,1,0,384
1,1,0,113
1,1,0,476
1,1,0,1868
1,1,0,1394
1,1,0,379
1,1,0,140
1,1,0,1392
1,1,0,322
1,1,0,1928
1,1,0,767
1,1,0,948
1,1,0,1078
1,1,0,1628
1,1,0,1499
1,1,0,1152
1,1,0,1351
1,1,0,361
1,1,0,1859
1,1,0,1032
1,1,0,1227
1,1,0,1292
1,1,0,102
1,1,0,1785
1,1,0,941
1,1,0,1395
1,1,0,647
1,1,0,807
1,1,0,56
1,1,0,1818
1,1,0,1366
1,1,0,376
1,1,0,222
1,1,0,1740
