Key_0_0,V10,V21,Key_1_1
903,108,1.0,1753
1311,123,1.0,1794
1487,125,1.0,479
441,126,1.0,1888
827,126,1.0,1670
628,127,1.0,1269
268,199,1.0,1578
1508,172,1.0,1529
207,148,1.0,1377
1352,143,1.0,741
480,143,1.0,333
684,119,1.0,501
1848,158,1.0,912
1512,111,1.0,848
787,133,1.0,618
1143,134,1.0,1394
1349,143,1.0,822
1231,134,1.0,551
112,126,1.0,223
329,141,1.0,530
1103,141,1.0,23
1372,134,1.0,1598
559,150,1.0,1588
1015,141,1.0,629
1689,148,1.0,513
1197,111,1.0,1822
1790,118,1.0,196
357,119,1.0,1015
1672,140,1.0,1530
1494,124,1.0,1879
208,132,1.0,766
338,125,1.0,1886
1100,119,1.0,616
1185,111,1.0,1734
1404,119,1.0,38
1441,127,1.0,1104
1734,125,1.0,3
1250,135,1.0,619
1018,100,1.0,369
901,126,1.0,1364
1875,132,1.0,858
1177,124,1.0,1152
1489,124,1.0,119
1113,116,1.0,1816
793,132,1.0,66
401,110,1.0,1276
708,116,1.0,58
1720,124,1.0,228
1455,100,0.5,786
157,125,1.0,261
572,132,1.0,1296
251,109,1.0,1040
4,109,1.0,380
895,108,1.0,1162
1005,125,1.0,1507
693,126,1.0,1441
923,149,0.0,1219
892,119,1.0,450
1297,132,1.0,673
126,123,1.0,847
46,111,1.0,702
1355,132,1.0,392
932,126,1.0,1224
1031,118,1.0,1718
1855,127,1.0,956
246,118,1.0,1195
83,116,1.0,496
1010,116,1.0,1151
586,94,1.0,348
332,101,1.0,1782
1937,100,1.0,156
25,116,1.0,1677
1791,119,1.0,557
436,93,1.0,799
18,92,1.0,533
310,116,0.0,986
1543,143,1.0,803
542,141,1.0,273
748,140,1.0,1181
1211,133,1.0,502
970,126,1.0,1298
1764,126,1.0,889
1182,111,0.0,1430
598,141,1.0,1130
1772,97,1.0,331
1857,140,1.0,1004
1408,128,1.0,170
933,127,1.0,1320
1729,132,1.0,1751
770,135,1.0,1675
555,132,1.0,1351
1829,124,1.0,1632
1733,124,1.0,443
431,109,1.0,966
979,109,0.0,1704
1926,126,1.0,1402
395,126,1.0,229
1813,125,1.0,1386
502,127,1.0,121
1149,127,1.0,219
1533,135,1.0,1697
360,111,1.0,1856
958,126,1.0,322
312,133,1.0,178
1313,108,1.0,1265
170,127,1.0,969
1851,141,1.0,1288
1799,140,1.0,69
463,134,1.0,49
1685,127,1.0,1081
1715,126,1.0,1564
358,125,1.0,1149
124,94,1.0,985
934,125,1.0,263
798,93,1.0,706
21,95,1.0,1617
253,101,1.0,1378
1374,124,1.0,1730
1378,134,1.0,608
116,124,1.0,255
716,126,1.0,1134
1650,124,1.0,413
1939,119,1.0,1407
181,126,1.0,781
245,125,1.0,1589
794,125,1.0,1201
1478,127,1.0,221
404,127,1.0,1581
1399,127,1.0,20
1021,126,1.0,1079
1912,127,1.0,1444
1165,127,1.0,1737
353,125,1.0,634
44,126,1.0,1629
1153,124,1.0,495
1546,133,1.0,714
1135,127,1.0,906
980,127,1.0,510
266,127,1.0,1205
1117,134,1.0,220
158,126,1.0,1532
1695,126,1.0,841
84,125,1.0,399
1452,126,1.0,488
1682,135,1.0,360
1602,133,1.0,1264
1559,127,1.0,1354
1503,126,1.0,1542
875,126,1.0,1336
982,125,1.0,750
1932,143,1.0,892
1014,143,1.0,465
63,143,1.0,1068
154,151,1.0,1494
1522,156,1.0,696
1590,150,1.0,1590
1600,156,1.0,1744
1504,156,1.0,1057
1821,143,0.0,154
477,132,0.0,633
1540,132,1.0,812
416,117,1.0,55
637,118,0.0,987
79,140,0.0,584
61,116,1.0,559
1769,127,1.0,1583
1766,135,1.0,411
1830,127,1.0,1732
22,118,1.0,684
350,125,1.0,1274
568,86,1.0,1426
1278,95,1.0,1014
1151,110,1.0,107
538,126,1.0,422
926,132,1.0,765
1719,101,1.0,1596
1707,127,1.0,1453
391,125,1.0,1323
133,134,0.0,1729
219,111,1.0,1791
1192,93,0.5,970
554,84,1.0,1736
1028,127,0.0,1071
947,124,1.0,478
1588,143,1.0,1833
1109,111,1.0,334
1295,103,1.0,1384
1373,132,0.0,328
1619,124,0.0,1678
190,84,1.0,775
1570,118,0.0,953
1564,119,0.5,361
636,116,1.0,1636
10,126,1.0,1108
1744,124,1.0,650
1248,118,1.0,468
738,78,1.0,194
1435,134,1.0,157
1294,111,1.0,683
818,135,0.0,1770
928,124,1.0,1615
588,93,1.0,1483
909,86,1.0,610
1342,84,1.0,895
68,78,1.0,1916
750,133,1.0,811
1,148,1.0,693
1488,133,1.0,124
1345,125,1.0,209
1093,108,1.0,654
247,79,1.0,1829
938,135,1.0,250
1096,126,1.0,172
1563,133,1.0,62
1466,101,1.0,1122
661,132,1.0,1435
902,132,1.0,973
1194,124,1.0,734
1601,117,1.0,1585
1390,135,1.0,1032
1781,127,1.0,960
1256,140,1.0,88
1159,118,1.0,466
465,116,1.0,449
1596,141,0.0,972
1307,132,1.0,682
1732,119,1.0,346
971,141,1.0,1811
422,118,0.0,19
706,94,1.0,1147
1881,124,1.0,1016
1758,124,0.0,1595
1291,127,0.5,907
1856,85,0.0,1193
1163,124,0.0,1261
147,140,1.0,1757
343,117,1.0,1865
397,109,1.0,564
305,126,1.0,1026
418,141,1.0,844
198,115,1.0,222
1498,118,1.0,834
761,111,0.0,1792
82,71,1.0,636
187,125,1.0,1090
991,126,0.0,1115
419,125,0.0,128
1820,118,1.0,1341
1179,111,0.5,212
346,113,1.0,1049
1348,124,0.0,481
663,109,1.0,877
619,117,1.0,1119
1938,127,0.0,1695
514,124,0.0,994
1865,117,1.0,1870
1767,125,1.0,939
225,116,1.0,1347
1814,120,1.0,769
510,84,1.0,1539
1425,125,1.0,1702
51,118,1.0,1689
1929,119,0.0,68
1823,143,0.0,863
184,127,0.5,1620
879,118,1.0,1793
169,124,1.0,818
1894,132,0.0,1188
1704,125,1.0,1304
899,133,0.0,643
1129,126,1.0,246
699,117,0.0,272
1054,125,0.0,916
128,140,0.5,1520
655,132,0.0,350
760,135,0.0,1606
1150,116,0.0,795
354,116,1.0,1291
1273,117,0.0,1091
306,109,1.0,28
1371,140,0.0,1315
1784,118,0.0,627
1636,84,1.0,1447
536,124,0.5,1561
1463,135,0.0,1701
423,133,1.0,1911
1286,140,0.0,1576
336,110,0.0,964
1606,118,1.0,1844
263,124,1.0,1374
1162,119,1.0,78
781,111,0.0,1024
171,117,1.0,149
55,101,1.0,565
1527,118,1.0,1571
988,134,0.0,43
577,109,1.0,928
634,101,1.0,965
471,109,1.0,368
1350,117,1.0,1836
1511,103,1.0,632
218,111,0.0,1521
1794,132,0.5,736
241,108,1.0,1388
145,124,0.0,1614
1519,101,1.0,680
968,116,1.0,1222
860,132,1.0,200
1428,110,1.0,1405
1843,132,1.0,514
741,77,1.0,739
1186,117,1.0,578
1229,148,1.0,439
1874,77,1.0,227
417,111,1.0,1356
1625,111,0.0,150
1897,109,1.0,260
1587,109,0.0,467
843,125,1.0,1017
1933,132,0.0,470
1796,126,0.0,1460
607,119,1.0,1531
1473,70,0.0,36
236,126,1.0,1880
1166,118,1.0,1146
1314,86,1.0,710
808,110,1.0,1767
371,108,1.0,492
1582,118,1.0,884
1002,125,1.0,455
1623,135,0.0,1095
973,134,0.0,1612
24,135,0.0,247
1462,133,0.0,87
1889,142,0.0,140
1076,140,0.0,1232
1426,140,0.0,1313
603,141,0.0,1308
965,111,1.0,613
1190,133,1.0,1821
1200,133,1.0,900
1718,135,1.0,1933
95,135,1.0,233
891,126,1.0,1131
1930,127,1.0,433
569,126,1.0,1042
1175,127,1.0,807
790,126,1.0,1882
1026,198,1.0,125
369,207,1.0,1910
1837,189,1.0,1785
351,206,1.0,810
533,221,1.0,1451
1071,213,0.0,59
309,212,1.0,1742
1526,236,1.0,1043
1036,210,0.0,1681
1052,207,0.0,850
1652,212,0.5,163
257,188,1.0,13
1105,207,1.0,509
90,205,1.0,660
5,198,1.0,12
1561,191,1.0,1102
687,174,1.0,32
1542,189,1.0,396
771,174,1.0,1221
194,181,1.0,637
754,164,1.0,1864
615,182,0.5,631
804,181,0.0,1838
89,183,1.0,141
87,180,1.0,623
641,183,0.0,857
685,182,1.0,1369
1468,182,1.0,1559
1077,181,1.0,872
64,182,1.0,1203
256,180,1.0,1873
135,182,1.0,132
766,175,1.0,153
882,181,0.5,648
1696,124,1.0,1700
1639,119,0.0,849
1927,127,1.0,1693
1594,127,0.5,661
1413,124,1.0,1019
797,129,1.0,1112
1047,126,1.0,991
1343,103,1.0,197
964,93,1.0,432
734,156,1.0,1227
1566,148,0.0,461
917,148,0.0,1608
1801,148,0.0,1648
1414,143,0.0,947
534,143,0.0,329
271,143,0.0,307
381,150,1.0,114
425,143,0.0,1919
1181,143,0.0,1535
1160,143,1.0,1477
1169,143,1.0,353
1712,143,0.0,1360
1086,143,1.0,1163
60,150,1.0,1357
452,143,1.0,33
415,150,0.0,1235
868,149,0.0,394
1397,148,1.0,82
1496,148,1.0,297
1477,143,1.0,920
433,142,0.0,794
557,141,0.0,760
1216,143,1.0,357
347,142,1.0,1660
550,143,1.0,1496
1806,142,0.0,340
705,143,0.0,1518
659,142,1.0,1645
258,140,0.0,306
834,134,1.0,359
865,141,0.0,1740
1376,141,0.0,1642
94,143,0.0,1326
292,134,0.0,1440
1415,141,0.0,83
49,141,0.0,1741
1518,141,1.0,622
1755,141,0.0,402
563,143,0.0,1424
1040,143,1.0,1210
375,142,1.0,296
955,141,1.0,694
1237,141,0.0,1379
1139,141,1.0,72
1379,135,1.0,852
37,143,0.0,1713
1713,143,0.0,1039
490,142,1.0,1939
65,140,0.0,1403
805,141,0.0,315
382,141,0.0,1497
19,142,0.0,484
1044,141,0.0,1601
855,143,0.0,921
172,141,0.0,1637
922,141,0.0,813
136,135,1.0,975
1127,140,1.0,26
1923,141,0.0,1690
1620,141,0.0,285
547,140,1.0,932
1236,143,0.0,1187
616,141,0.0,1814
583,141,1.0,948
1318,143,1.0,1541
71,141,1.0,1419
823,142,1.0,113
1048,143,1.0,435
1924,143,1.0,1353
1483,141,1.0,814
15,143,1.0,603
14,141,1.0,458
1099,141,1.0,1089
667,141,0.0,362
189,141,0.0,681
1849,142,0.0,387
1224,141,1.0,1586
141,141,0.0,1013
1537,140,1.0,762
1387,140,1.0,64
1147,141,1.0,1138
475,141,1.0,210
213,143,0.0,499
165,135,1.0,1166
1909,141,1.0,625
866,141,0.0,1826
1500,140,1.0,732
1069,141,1.0,620
606,140,1.0,239
1019,141,1.0,1176
854,141,1.0,1425
1009,141,1.0,1904
161,141,1.0,1125
1064,141,1.0,1327
1416,143,1.0,35
1240,141,1.0,1560
167,141,1.0,579
367,141,0.0,1446
424,141,0.0,1854
1642,141,0.0,958
1173,141,1.0,1324
809,142,0.0,355
1234,141,1.0,162
1381,140,1.0,1547
939,140,1.0,1045
1429,140,1.0,1096
704,140,1.0,1084
1901,140,1.0,691
0,135,0.0,566
635,127,0.0,1758
681,141,1.0,901
1332,142,1.0,1456
595,127,0.0,1646
1433,127,0.0,308
1576,141,1.0,1817
1753,135,0.0,181
1899,135,0.0,444
384,140,1.0,988
113,141,1.0,237
476,141,0.0,257
1868,140,1.0,14
1394,141,1.0,248
379,141,0.0,1316
140,127,0.0,111
1392,141,1.0,528
322,135,0.0,1271
1928,134,0.0,1502
767,127,0.0,1472
948,141,1.0,1691
1078,127,0.0,1206
1628,135,0.0,1883
1499,140,1.0,1350
1152,140,1.0,310
1351,135,0.0,1674
361,141,1.0,1168
1859,140,1.0,1189
1032,135,0.0,868
1227,141,0.0,842
1292,124,0.0,464
102,133,0.0,1340
1785,135,0.0,1820
941,135,0.0,767
1395,135,0.0,1001
647,127,0.0,1634
807,127,0.0,1625
56,127,0.0,828
1818,126,0.0,188
1366,140,1.0,129
376,135,0.0,1499
222,135,0.0,493
1740,132,0.0,582
1013,126,0.0,60
1507,127,0.0,1487
211,125,0.0,1579
632,125,0.0,592
1438,127,0.0,655
1686,126,0.0,95
949,126,0.0,1469
864,124,0.0,686
1293,125,0.0,294
506,124,0.0,486
1916,126,0.0,1679
80,126,0.0,856
556,125,0.0,1376
103,126,0.0,1116
228,126,0.0,1184
1694,126,0.0,1638
959,125,0.0,332
196,125,0.0,1160
1841,125,0.0,1070
1328,126,0.0,1234
1191,127,0.0,1763
1846,124,0.0,1819
835,134,0.0,398
1362,133,0.0,806
320,135,0.0,1044
1708,126,0.0,216
1246,126,0.0,971
134,126,0.0,146
1056,134,0.0,779
1514,134,0.0,1808
1714,125,0.0,567
200,126,0.0,1915
898,125,0.0,483
1501,124,0.0,1023
1189,126,0.0,341
85,125,0.0,1157
544,125,0.0,1380
6,124,0.0,217
731,124,0.0,1599
294,125,0.0,881
1451,127,0.0,835
1456,127,0.0,1358
73,140,1.0,1526
1203,126,0.0,1086
1208,135,1.0,1720
96,124,0.0,1285
1220,135,1.0,558
618,140,1.0,820
316,132,0.0,251
842,127,0.0,893
1063,135,1.0,1765
742,124,0.0,463
785,124,0.0,1268
1838,125,0.0,390
1655,125,0.0,870
1459,119,0.0,754
486,125,0.0,657
1418,127,0.0,366
267,119,0.0,963
872,127,0.0,1167
1783,126,0.0,1273
1075,133,0.0,406
1908,135,0.0,1202
101,125,0.0,1653
1443,124,0.0,938
42,125,0.0,1907
1195,119,0.0,374
368,126,0.0,968
1710,119,0.0,1772
553,124,0.0,1259
1747,127,0.0,1546
801,125,0.0,542
1921,127,0.0,1909
1132,126,0.0,821
1228,124,0.0,1488
356,124,0.0,74
483,124,0.0,548
729,124,0.0,1244
1869,133,0.0,133
270,124,0.0,256
858,125,0.0,1715
485,124,0.0,809
1161,124,0.0,1813
1703,124,0.0,845
1280,126,0.0,949
1305,124,0.0,830
467,126,0.0,831
1934,126,0.0,1506
656,126,0.0,658
1896,135,0.0,1748
1775,124,0.0,1077
1059,124,0.0,1686
148,126,0.0,383
856,124,0.0,862
1098,125,0.0,1845
777,126,0.0,490
123,125,0.0,1680
287,127,0.0,1850
201,126,0.0,1934
91,124,0.0,11
1735,124,0.0,1331
657,140,0.0,737
1029,124,0.0,1275
244,125,0.0,1302
1041,124,0.0,1060
1055,126,0.0,70
1375,127,0.0,1480
521,127,0.0,1282
784,124,0.0,1798
1805,124,0.0,733
591,126,0.0,151
1676,130,0.0,1220
571,126,0.0,1154
682,125,0.0,1938
692,124,0.0,52
1213,126,0.0,238
1573,125,0.0,1851
1288,124,0.0,1544
11,124,0.0,40
325,119,0.0,1553
1326,127,0.0,472
348,125,0.0,886
1469,126,0.0,280
1356,135,1.0,1214
1221,124,0.0,1392
1482,124,0.0,1605
491,127,0.0,1747
178,124,0.0,1705
1116,125,0.0,1913
206,127,0.0,1192
1752,124,0.0,226
335,127,0.0,1644
334,126,0.0,692
72,135,1.0,213
231,127,0.0,1708
658,124,0.0,1397
1262,126,0.0,703
743,126,0.0,372
911,125,0.0,1468
1832,134,0.0,1415
1339,124,0.0,302
1575,132,0.0,267
885,126,0.0,1306
429,126,0.0,480
1919,127,0.0,1423
604,134,0.0,1436
1337,119,0.0,475
212,124,0.0,555
1795,119,0.0,1921
1538,134,0.0,1573
1380,124,0.0,384
1547,126,0.0,544
1763,124,0.0,1061
330,124,0.0,282
689,132,0.0,1769
832,127,0.0,744
447,119,0.0,535
580,125,0.0,1721
1207,124,0.0,1517
1187,126,0.0,1780
795,125,0.0,1778
1898,126,0.0,1719
377,127,0.0,1008
1008,125,0.0,1381
581,126,0.0,1082
763,127,0.0,300
1515,125,0.0,536
1403,127,0.0,1030
146,127,0.0,15
921,127,0.0,1641
1680,127,0.0,47
1101,127,0.0,0
992,127,0.0,575
180,127,0.0,191
676,127,0.0,1602
406,127,0.0,954
1421,132,0.0,473
791,127,0.0,1842
765,127,0.0,1085
562,127,0.0,1462
889,124,0.0,1486
1802,126,0.0,1676
602,124,0.0,27
1604,140,0.0,1566
1702,143,0.0,142
446,95,0.0,46
1531,103,0.0,1172
209,103,0.0,160
1081,108,0.0,4
1862,118,1.0,254
1876,103,0.0,1478
1212,134,0.0,241
1717,135,1.0,295
434,140,1.0,421
697,143,1.0,22
1610,134,0.0,959
1727,132,0.0,756
625,148,0.0,1555
197,125,1.0,130
192,140,0.0,1698
203,149,0.0,980
138,141,0.0,269
1618,149,0.5,1318
311,143,1.0,1604
1555,140,0.5,1123
683,141,0.5,1500
1156,140,0.0,521
1709,136,0.0,951
23,142,0.0,1470
1591,141,0.0,1609
1265,141,0.0,1663
1880,126,0.5,698
437,143,0.0,1936
278,141,0.0,671
758,135,0.0,342
291,132,0.5,1319
1364,118,0.0,231
1688,127,0.5,1196
1844,126,0.0,48
702,135,1.0,1409
1244,127,0.0,1665
54,132,0.0,1283
816,140,0.5,955
1495,136,0.0,865
1506,132,0.5,323
1579,148,0.0,344
1792,135,0.0,108
337,135,0.0,489
978,140,0.0,1616
1529,132,0.0,808
1341,140,0.0,1253
837,140,0.0,899
457,140,0.0,1199
1617,140,0.0,1207
703,141,0.0,523
728,142,0.0,1745
574,141,0.0,41
1309,142,0.0,1898
317,140,0.5,699
1716,141,0.0,1580
1183,141,0.5,644
1354,140,0.0,1175
543,148,0.0,585
1222,142,0.5,1923
1780,133,0.0,1412
1024,132,1.0,861
1593,143,0.0,1246
539,141,0.0,1422
631,134,0.0,356
1253,142,0.0,182
324,134,0.0,1121
1235,143,0.0,298
345,140,0.0,1519
243,135,0.0,1021
1648,141,0.0,607
1458,149,0.0,1491
1649,135,0.0,1059
164,140,0.0,1158
1070,149,0.0,1727
1931,144,0.0,1414
1626,140,0.0,1418
488,141,0.0,185
857,141,0.5,1505
1066,143,0.0,266
355,134,0.0,1846
717,150,0.0,859
1751,143,0.0,1733
77,141,0.0,1228
940,124,1.0,1098
1697,119,1.0,1905
99,119,1.0,999
695,124,1.0,1752
1410,125,1.0,487
522,132,1.0,61
1097,125,1.0,1569
896,127,1.0,1217
323,133,1.0,503
1331,132,1.0,349
1146,133,1.0,659
769,132,1.0,474
115,127,1.0,977
1329,134,1.0,1565
1110,132,1.0,1055
622,126,1.0,10
1061,135,1.0,573
1196,141,1.0,50
1850,127,1.0,116
679,143,0.0,1618
1738,143,0.0,1329
881,141,0.0,1889
1486,141,0.0,1417
1045,140,0.0,86
930,143,0.0,1433
1079,140,0.0,1871
1090,140,1.0,879
517,157,1.0,1893
478,125,1.0,534
132,127,1.0,1513
451,134,1.0,135
1552,135,1.0,1807
1267,132,1.0,415
408,143,1.0,1755
1807,132,1.0,1481
125,141,1.0,642
81,133,1.0,976
1205,133,1.0,115
1599,143,1.0,1006
1296,133,1.0,823
260,141,1.0,1694
1184,127,1.0,500
1383,140,1.0,477
1904,127,1.0,1100
918,126,1.0,527
1180,134,1.0,265
1613,127,1.0,1498
1890,125,1.0,1764
800,126,1.0,995
313,127,1.0,457
204,127,1.0,1284
713,134,1.0,605
1475,133,1.0,1759
1654,127,1.0,1903
223,127,1.0,701
1484,130,1.0,448
259,132,0.0,883
1382,123,1.0,1307
1252,135,1.0,1584
299,134,1.0,1626
214,127,1.0,262
363,134,1.0,587
428,126,1.0,1847
997,109,1.0,65
1427,117,1.0,1003
1115,122,1.0,1635
1232,119,0.0,713
1684,127,1.0,526
1657,126,1.0,645
1471,125,1.0,1887
1638,124,1.0,485
519,125,1.0,131
1168,119,0.0,1375
1630,135,1.0,7
677,139,0.0,1810
1330,129,0.0,1509
1777,130,1.0,301
1074,135,1.0,8
191,134,0.0,1237
1774,135,1.0,924
1460,127,1.0,1252
97,125,1.0,409
327,119,0.0,1768
1645,133,0.0,389
877,132,1.0,171
1106,132,1.0,418
1607,127,0.0,926
362,134,0.5,768
449,125,0.0,1056
513,110,1.0,158
1346,134,0.0,727
1833,145,0.5,77
722,118,0.5,1383
1935,127,0.0,1688
469,109,1.0,1884
996,135,1.0,1538
119,135,1.0,1080
649,119,0.0,1391
1083,109,0.5,1400
1361,119,1.0,1582
1809,132,1.0,1673
1095,135,0.5,824
1299,127,1.0,339
474,133,0.0,9
35,133,0.0,1574
1641,109,1.0,174
1448,127,1.0,388
1411,124,1.0,738
226,124,1.0,234
1126,132,0.5,1649
924,127,0.0,677
688,118,1.0,871
163,135,1.0,1109
48,109,1.0,1371
575,132,1.0,106
453,132,1.0,990
1615,132,1.0,1577
283,131,0.0,1128
273,133,1.0,601
1627,126,0.0,1262
1312,127,1.0,1337
994,133,1.0,1448
75,119,0.0,259
799,133,0.0,927
869,119,1.0,1659
1571,135,1.0,429
1586,134,1.0,1631
342,111,1.0,1866
1243,109,1.0,1359
608,133,1.0,936
605,124,0.0,1173
1398,110,1.0,338
1084,118,0.0,715
86,133,0.0,909
1210,127,0.0,1537
1440,124,0.5,740
952,132,1.0,1540
1445,101,1.0,1344
880,82,1.0,1802
998,93,1.0,1058
937,86,1.0,1365
12,103,1.0,330
1864,111,1.0,1706
364,109,1.0,1656
1119,132,1.0,1445
1409,109,1.0,1295
504,132,0.0,225
1204,127,0.0,666
905,134,0.5,599
205,124,1.0,1516
1568,125,0.5,352
1670,117,0.0,547
1556,142,0.5,417
1085,132,1.0,45
1283,132,1.0,1334
764,125,1.0,1859
609,133,1.0,321
1776,135,1.0,851
45,134,0.0,1611
199,126,1.0,511
1257,132,1.0,504
