all/steel_table_1_1.V10,all/steel_table_1_1.V21,all/steel_table_1_1.Key_1_1,Key_0_0
143,0.0,1153,1505
150,0.0,859,717
126,0.0,372,743
135,0.0,1001,1395
116,1.0,1636,636
125,0.0,483,898
141,0.0,1690,1923
125,0.0,881,294
135,0.0,342,758
127,0.0,1167,872
102,1.0,1463,1300
126,1.0,841,1695
125,1.0,479,1487
125,0.0,1381,1008
126,1.0,819,1616
132,0.0,1754,1581
133,1.0,1821,1190
133,0.0,621,265
143,1.0,35,1416
134,1.0,17,1030
141,0.0,649,1893
126,0.0,703,1262
117,0.0,272,699
143,1.0,1833,1588
126,1.0,645,1657
125,1.0,1090,187
134,1.0,1420,1251
124,1.0,668,1811
140,0.0,177,386
125,1.0,1859,764
126,1.0,527,918
134,0.0,139,751
143,0.0,112,803
142,1.0,1660,347
140,0.5,1520,128
123,1.0,236,183
135,1.0,667,585
134,1.0,1183,1238
124,0.0,481,1348
141,0.0,760,557
167,0.0,933,1393
126,1.0,1063,525
109,1.0,1174,545
77,1.0,739,741
181,0.5,648,882
93,1.0,1476,1817
134,0.0,1440,292
141,1.0,1327,1064
126,0.0,1082,581
127,0.0,1842,791
141,0.0,751,1532
149,0.0,394,868
127,1.0,540,1845
109,1.0,65,997
148,1.0,630,280
101,1.0,652,953
140,1.0,1189,1859
134,1.0,1787,1789
127,0.0,1071,1028
108,1.0,1575,642
86,1.0,1426,568
117,1.0,149,171
141,1.0,1168,361
119,1.0,1582,1361
103,1.0,632,1511
133,1.0,1899,897
122,0.5,1047,202
133,1.0,1840,1584
127,1.0,1284,204
165,0.0,54,1266
118,1.0,1241,297
141,0.0,639,1917
135,1.0,1431,1272
134,1.0,186,1358
141,0.0,1740,865
183,1.0,141,89
133,1.0,1591,589
124,0.0,548,483
134,0.0,742,1089
119,1.0,1900,9
143,1.0,94,1087
101,1.0,1596,1719
125,0.0,1070,1841
133,0.0,63,248
127,1.0,271,1731
103,1.0,678,1315
142,0.0,140,1889
133,0.5,1135,1324
133,0.0,9,474
132,1.0,704,380
118,1.0,1795,720
124,0.0,830,1305
111,1.0,424,1635
149,0.5,1318,1618
135,0.0,1044,320
111,1.0,683,1294
134,1.0,1394,1143
118,1.0,1793,879
143,0.0,288,594
132,1.0,861,1024
133,1.0,1448,994
102,1.0,1511,614
124,1.0,1790,1815
127,0.5,6,859
118,1.0,871,688
140,0.0,86,1045
134,0.5,1105,217
126,1.0,669,262
141,0.0,362,667
148,0.0,1613,105
135,0.0,1770,818
127,1.0,1655,1911
118,1.0,1069,1882
127,0.0,800,227
164,0.0,1724,1525
140,0.0,641,1870
148,1.0,491,597
118,0.5,524,710
140,1.0,732,1500
135,1.0,1901,1592
150,0.0,882,802
125,0.0,1739,1643
94,1.0,531,1839
135,1.0,1109,163
126,0.0,1876,1491
133,0.5,718,579
141,0.0,1580,1716
135,0.0,1820,1785
116,1.0,1816,1113
132,0.0,350,655
111,1.0,1856,360
119,1.0,999,99
127,1.0,326,34
135,1.0,1475,1847
140,1.0,69,1799
134,1.0,1565,1329
140,1.0,1096,1429
140,0.0,126,613
133,0.0,243,1422
132,0.0,808,1529
124,1.0,485,1638
143,1.0,695,166
124,1.0,922,1302
124,0.0,1023,1501
127,1.0,388,1448
119,1.0,557,1791
133,1.0,408,462
159,1.0,1902,1447
126,0.0,214,144
132,0.0,251,316
141,1.0,1176,1019
149,1.0,1567,680
141,1.0,1817,1576
124,0.5,1404,1598
143,1.0,1604,311
142,0.0,1512,1665
123,0.0,1292,1226
132,0.5,897,1317
117,1.0,578,1186
127,1.0,701,223
150,1.0,1357,60
143,0.0,1857,1035
150,0.0,1891,567
132,1.0,514,1843
119,1.0,346,1732
125,1.0,1215,1239
132,0.0,1928,66
133,0.0,791,995
130,1.0,301,1777
143,1.0,1006,1599
126,1.0,1336,875
140,1.0,1526,73
132,1.0,325,1902
142,0.0,1898,1309
127,0.0,192,58
148,0.0,585,543
126,0.0,1184,228
135,0.0,437,1020
143,1.0,1761,290
133,1.0,1929,993
124,1.0,752,1046
135,0.0,1170,1125
140,0.0,1576,1286
141,0.0,546,1609
124,0.0,384,1380
141,0.0,1609,1591
86,1.0,1321,482
127,1.0,1132,1091
149,1.0,934,961
126,1.0,1398,549
140,1.0,1524,32
126,0.0,1725,1535
143,0.0,532,828
143,0.0,232,295
127,0.0,1462,562
126,1.0,67,946
134,1.0,401,862
158,0.0,1908,1353
124,1.0,249,74
142,0.0,355,809
119,0.0,358,1693
116,1.0,1291,354
130,0.5,556,648
212,0.5,163,1652
134,0.5,1393,1749
117,1.0,1865,343
125,0.0,294,1293
126,1.0,303,1840
134,1.0,135,451
125,1.0,209,1345
140,1.0,201,1001
117,1.0,1287,52
132,1.0,673,1297
143,0.0,1557,1768
124,0.0,337,57
110,1.0,1912,139
191,1.0,1102,1561
127,0.0,308,1433
126,0.0,658,656
125,1.0,446,848
149,0.0,1067,31
93,1.0,1028,913
141,0.5,647,1306
140,1.0,438,1363
132,0.5,323,1506
134,1.0,608,1378
132,1.0,1213,1335
127,0.0,1085,765
135,0.0,1883,1628
141,1.0,248,1394
126,1.0,889,1764
124,0.0,1443,639
143,1.0,1450,942
175,1.0,153,766
132,0.0,1746,768
97,1.0,331,1772
102,1.0,1200,78
125,1.0,455,1002
199,1.0,1578,268
125,0.0,1721,580
112,1.0,215,1779
126,1.0,1874,1554
127,1.0,1217,896
141,0.0,285,1620
