Key_0_0,wtd_mean_ElectronAffinity,mean_atomic_mass,std_Density,wtd_entropy_ThermalConductivity,range_FusionHeat,Key_1_1
11446,111.727142857143,88.9444675,3306.1628967555,0.262848266362233,12.878,6547
6050,112.316428571429,92.729214,3767.40317577062,0.567706107876637,12.878,4029
7110,112.213571428571,88.9444675,3306.1628967555,0.250477444193951,12.878,12089
19035,111.970357142857,88.9444675,3306.1628967555,0.257045108326848,12.878,1825
14503,111.240714285714,88.9444675,3306.1628967555,0.272819938850094,12.878,18515
6674,110.267857142857,88.9444675,3306.1628967555,0.288235641616145,12.878,884
1957,107.835714285714,88.9444675,3306.1628967555,0.309727103145501,12.878,9625
152,112.086142857143,76.5177175,3402.85619588643,0.269729743377241,12.878,3695
18202,111.779214285714,76.5177175,3402.85619588643,0.283412116654505,12.878,12046
19505,111.472285714286,76.5177175,3402.85619588643,0.295609030415422,12.878,15358
2517,110.858428571429,76.5177175,3402.85619588643,0.316851791320191,12.878,2323
14248,106.166428571429,111.273574,4621.71605994208,0.392436442665889,12.878,17895
10563,112.265,92.729214,3767.40317577062,0.445682025558822,12.878,15226
12568,112.316428571429,92.729214,3767.40317577062,0.567706107876637,12.878,2649
13790,112.470714285714,92.729214,3767.40317577062,0.788886412677943,12.878,10776
12760,112.727857142857,92.729214,3767.40317577062,0.894889878659001,12.878,6480
3403,108.723846153846,69.17125,3052.92000571364,0.429594404211726,12.878,5012
14918,111.970357142857,88.9444675,3306.1628967555,0.257045108326848,12.878,17977
17573,111.779214285714,76.5177175,3402.85619588643,0.283412116654505,12.878,10618
14883,112.393071428571,76.5177175,3402.85619588643,0.253800054033121,12.878,13236
6650,112.086142857143,76.5177175,3402.85619588643,0.269729743377241,12.878,6302
21165,111.318821428571,76.5177175,3402.85619588643,0.301271061472681,12.878,14194
20815,111.165357142857,76.5177175,3402.85619588643,0.30668395959769,12.878,7050
17109,110.858428571429,76.5177175,3402.85619588643,0.316851791320191,12.878,5684
14940,110.5515,76.5177175,3402.85619588643,0.326254937357308,12.878,374
5486,110.244571428571,76.5177175,3402.85619588643,0.334994825617443,12.878,5153
19964,111.62575,76.5177175,3402.85619588643,0.289668596117187,12.878,19506
15826,111.722214285714,64.6322175,3573.86110598645,0.448883248013871,12.878,4051
5582,61.0875,97.4816,3358.66779585042,0.744259724870202,12.878,16288
543,89.5475,97.4816,3358.66779585042,0.463513454699297,12.878,2940
