fk_table,fk_column,pk_table,pk_column
table_0_0.csv,Key_0_0,table_1_1.csv,Key_0_0
table_0_0.csv,Key_0_0,table_1_2.csv,Key_0_0
table_0_0.csv,Key_0_0,table_1_3.csv,Key_0_0
table_1_1.csv,Key_1_1,table_2_4.csv,Key_1_1
table_1_1.csv,Key_1_1,table_2_5.csv,Key_1_1
table_1_1.csv,Key_1_1,table_2_6.csv,Key_1_1
table_1_2.csv,Key_1_2,table_2_7.csv,Key_1_2
table_1_2.csv,Key_1_2,table_2_8.csv,Key_1_2
table_1_2.csv,Key_1_2,table_2_9.csv,Key_1_2
table_1_3.csv,Key_1_3,table_2_10.csv,Key_1_3
table_1_3.csv,Key_1_3,table_2_11.csv,Key_1_3
table_1_3.csv,Key_1_3,table_2_12.csv,Key_1_3
table_2_4.csv,Key_2_4,table_3_13.csv,Key_2_4
table_2_4.csv,Key_2_4,table_3_14.csv,Key_2_4
table_2_4.csv,Key_2_4,table_3_15.csv,Key_2_4
table_2_5.csv,Key_2_5,table_3_16.csv,Key_2_5
table_2_5.csv,Key_2_5,table_3_17.csv,Key_2_5
table_2_5.csv,Key_2_5,table_3_18.csv,Key_2_5
table_2_6.csv,Key_2_6,table_3_19.csv,Key_2_6
table_2_6.csv,Key_2_6,table_3_20.csv,Key_2_6
table_2_6.csv,Key_2_6,table_3_21.csv,Key_2_6
table_2_7.csv,Key_2_7,table_3_22.csv,Key_2_7
table_2_7.csv,Key_2_7,table_3_23.csv,Key_2_7
table_2_7.csv,Key_2_7,table_3_24.csv,Key_2_7
table_2_8.csv,Key_2_8,table_3_25.csv,Key_2_8
table_2_8.csv,Key_2_8,table_3_26.csv,Key_2_8
table_2_8.csv,Key_2_8,table_3_27.csv,Key_2_8
table_2_9.csv,Key_2_9,table_3_28.csv,Key_2_9
table_2_9.csv,Key_2_9,table_3_29.csv,Key_2_9
table_2_9.csv,Key_2_9,table_3_30.csv,Key_2_9
table_2_10.csv,Key_2_10,table_3_31.csv,Key_2_10
table_2_10.csv,Key_2_10,table_3_32.csv,Key_2_10
table_2_10.csv,Key_2_10,table_3_33.csv,Key_2_10
table_2_11.csv,Key_2_11,table_3_34.csv,Key_2_11
table_2_11.csv,Key_2_11,table_3_35.csv,Key_2_11
table_2_11.csv,Key_2_11,table_3_36.csv,Key_2_11
table_2_12.csv,Key_2_12,table_3_37.csv,Key_2_12
table_2_12.csv,Key_2_12,table_3_38.csv,Key_2_12
table_2_12.csv,Key_2_12,table_3_39.csv,Key_2_12
table_3_13.csv,Key_3_13,table_4_40.csv,Key_3_13
table_1_1.csv,Key_0_0,table_1_2.csv,Key_0_0
table_1_1.csv,Key_0_0,table_1_3.csv,Key_0_0
table_1_2.csv,Key_0_0,table_1_3.csv,Key_0_0
table_2_4.csv,Key_1_1,table_2_5.csv,Key_1_1
table_2_4.csv,Key_1_1,table_2_6.csv,Key_1_1
table_2_5.csv,Key_1_1,table_2_6.csv,Key_1_1
table_2_7.csv,Key_1_2,table_2_8.csv,Key_1_2
table_2_7.csv,Key_1_2,table_2_9.csv,Key_1_2
table_2_8.csv,Key_1_2,table_2_9.csv,Key_1_2
table_2_10.csv,Key_1_3,table_2_11.csv,Key_1_3
table_2_10.csv,Key_1_3,table_2_12.csv,Key_1_3
table_2_11.csv,Key_1_3,table_2_12.csv,Key_1_3
table_3_13.csv,Key_2_4,table_3_14.csv,Key_2_4
table_3_13.csv,Key_2_4,table_3_15.csv,Key_2_4
table_3_14.csv,Key_2_4,table_3_15.csv,Key_2_4
table_3_16.csv,Key_2_5,table_3_17.csv,Key_2_5
table_3_16.csv,Key_2_5,table_3_18.csv,Key_2_5
table_3_17.csv,Key_2_5,table_3_18.csv,Key_2_5
table_3_19.csv,Key_2_6,table_3_20.csv,Key_2_6
table_3_19.csv,Key_2_6,table_3_21.csv,Key_2_6
table_3_20.csv,Key_2_6,table_3_21.csv,Key_2_6
table_3_22.csv,Key_2_7,table_3_23.csv,Key_2_7
table_3_22.csv,Key_2_7,table_3_24.csv,Key_2_7
table_3_23.csv,Key_2_7,table_3_24.csv,Key_2_7
table_3_25.csv,Key_2_8,table_3_26.csv,Key_2_8
table_3_25.csv,Key_2_8,table_3_27.csv,Key_2_8
table_3_26.csv,Key_2_8,table_3_27.csv,Key_2_8
table_3_28.csv,Key_2_9,table_3_29.csv,Key_2_9
table_3_28.csv,Key_2_9,table_3_30.csv,Key_2_9
table_3_29.csv,Key_2_9,table_3_30.csv,Key_2_9
table_3_31.csv,Key_2_10,table_3_32.csv,Key_2_10
table_3_31.csv,Key_2_10,table_3_33.csv,Key_2_10
table_3_32.csv,Key_2_10,table_3_33.csv,Key_2_10
table_3_34.csv,Key_2_11,table_3_35.csv,Key_2_11
table_3_34.csv,Key_2_11,table_3_36.csv,Key_2_11
table_3_35.csv,Key_2_11,table_3_36.csv,Key_2_11
table_3_37.csv,Key_2_12,table_3_38.csv,Key_2_12
table_3_37.csv,Key_2_12,table_3_39.csv,Key_2_12
table_3_38.csv,Key_2_12,table_3_39.csv,Key_2_12
table_3_37.csv,Key_2_12,table_3_32.csv,Key_2_10
table_3_37.csv,Key_2_12,table_3_34.csv,Key_2_11
table_3_32.csv,Key_2_10,table_3_37.csv,Key_2_12
table_3_34.csv,Key_2_11,table_3_37.csv,Key_2_12
table_3_37.csv,Key_3_37,table_3_32.csv,Key_3_32
table_3_37.csv,Key_3_37,table_3_34.csv,Key_3_34
table_3_32.csv,Key_3_32,table_3_37.csv,Key_3_37
table_3_34.csv,Key_3_34,table_3_37.csv,Key_3_37
table_3_37.csv,D26,table_0_0.csv,D926
table_3_37.csv,Key_2_12,table_3_24.csv,Key_2_7
table_3_37.csv,D31,table_3_34.csv,D314
