bioresponse/table_1_2.D130,bioresponse/table_1_2.D517,bioresponse/table_1_2.D771,bioresponse/table_1_2.D244,bioresponse/table_1_2.D93,bioresponse/table_1_2.D92,bioresponse/table_1_2.D445,bioresponse/table_1_2.D233,bioresponse/table_1_2.D899,bioresponse/table_1_2.D57,bioresponse/table_1_2.Key_1_2,Key_0_0
0.0833,0.0,0.0,0.0,0.0476,0.0,0.0,0.011,0.0,0.0328,2612,2946
0.111111111,0.0,0.0,0.0,0.19047619,0.0,0.0,0.011,0.0,0.0,1904,3270
0.0278,0.0,0.0,0.0,0.0,0.105263158,0.133333333,0.011,0.0,0.0128,2507,1848
0.138888889,0.0345,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.0176,983,1407
0.194444444,0.0,0.0,0.0,0.0,0.0526,0.0,0.011,0.0,0.0,227,147
0.0,0.0,0.0,0.0,0.0476,0.105263158,0.0,0.011,0.0,0.0,618,1631
0.138888889,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.0,1657,2490
0.0278,0.0,0.0,0.0,0.0952,0.0,0.0,0.011,0.0,0.0729,1136,1260
0.138888889,0.0345,0.0,0.0,0.142857143,0.105263158,0.0333,0.011,0.0,0.156594064,231,1384
0.138888889,0.0,0.0,0.0,0.0476,0.157894737,0.0,0.011,0.0,0.0,3297,629
0.25,0.0,0.0,0.0,0.0476,0.0,0.0,0.011,0.0,0.29821127,340,1077
0.0278,0.0,0.0,0.0,0.0,0.0526,0.0,0.011,0.0,0.0,133,2280
0.0556,0.0,0.0,0.0,0.0,0.0526,0.0667,0.011,0.0,0.0176,1726,307
0.111111111,0.0,0.0,0.0,0.0476,0.157894737,0.0,0.011,0.0,0.222051465,784,3406
0.0556,0.0345,0.0,0.0,0.0476,0.0,0.0333,0.011,0.0,0.0176,710,995
0.0556,0.172413793,0.0909,0.0,0.0,0.105263158,0.3,0.011,0.0,0.368455419,2752,2370
0.111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.0176,1689,2561
0.0556,0.0,0.0,0.206061584,0.0,0.0,0.0,0.011,0.0,0.0,750,213
0.25,0.0,0.0,0.0,0.0476,0.0,0.0,0.011,0.0,0.0351,384,500
0.0556,0.0,0.0,0.0,0.142857143,0.0,0.0,0.011,0.0,0.0351,1683,255
0.0,0.069,0.0,0.0,0.142857143,0.0,0.0667,0.011,0.0,0.0,1112,3103
0.111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.0,2994,1617
0.166666667,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.0176,2393,708
0.166666667,0.172413793,0.0,0.0,0.0,0.0526,0.0,0.011,0.0,0.201788736,2565,238
0.166666667,0.0,0.0,0.0,0.0952,0.0526,0.133333333,0.011,0.0,0.0351,1277,3142
0.194444444,0.0,0.0,0.0,0.0476,0.0,0.0,0.011,0.0,0.0,1050,1675
0.0833,0.0,0.0,0.0,0.0476,0.105263158,0.0,0.011,0.0,0.0351,170,1361
0.138888889,0.0,0.0,0.0,0.0476,0.0526,0.0333,0.011,0.0,0.0,769,70
0.111111111,0.0,0.0,0.0,0.0476,0.0,0.0,0.011,0.0,0.149105638,2945,2054
0.194444444,0.0,0.0,0.0,0.0,0.0526,0.0,0.011,0.0,0.0,1753,2974
0.0,0.0,0.0,0.0,0.0,0.210526316,0.0333,0.011,0.0,0.0,3305,2677
0.0278,0.0,0.0,0.0,0.0,0.210526316,0.2,0.011,0.0,0.149105638,420,2586
0.0,0.069,0.0,0.0,0.19047619,0.0526,0.0333,0.011,0.0,0.0243,926,2954
0.0,0.0,0.0,0.0,0.0476,0.105263158,0.0,0.011,0.0,0.0,2714,1574
0.0833,0.103448276,0.0606,0.0,0.0,0.0526,0.1,0.011,0.0,0.0,3404,483
0.166666667,0.0,0.0,0.0,0.0952,0.0526,0.0,0.011,0.0,0.0176,3216,2032
0.0833,0.0,0.0,0.0,0.0476,0.210526316,0.0,0.011,0.0,0.29821127,2757,195
0.111111111,0.0,0.0,0.0,0.0952,0.0526,0.0,0.011,0.0,0.0176,174,2769
0.0556,0.0,0.0,0.0,0.0476,0.105263158,0.2,0.011,0.0,0.0128,1367,1621
0.0278,0.103448276,0.0,0.0,0.0476,0.157894737,0.0667,0.011,0.0,0.0,2784,1841
0.111111111,0.0,0.0,0.0,0.19047619,0.0,0.0,0.011,0.0,0.0,2089,2992
0.0833,0.0,0.0,0.0,0.0,0.0526,0.0,0.011,0.0,0.03,1091,2874
0.166666667,0.0,0.0,0.0,0.0476,0.0526,0.0,0.011,0.0,0.0,2499,938
0.166666667,0.0,0.0,0.0,0.0476,0.0,0.0,0.011,0.0,0.0351,2607,1626
0.111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.0176,1713,1287
0.222222222,0.0,0.0,0.0,0.142857143,0.0,0.0,0.011,0.0,0.0,295,2958
0.305555556,0.0,0.0,0.0,0.0476,0.0,0.0,0.011,0.0,0.333333344,107,473
0.0278,0.103448276,0.0,0.0,0.0476,0.0,0.0667,0.011,0.0,0.0,1041,1600
0.0833,0.069,0.0,0.0,0.0476,0.0,0.0,0.011,0.0,0.0,1663,1167
