Key_1_1,D891,D513,D22,D102,D215,D339,D457,D47,D897,D927,Key_2_6
2240,0.25,0.0,0.0,0.35011527,0.0,0.0,0.0,0.349700465,0.0,0.0,1577
709,0.0,0.0,0.0,0.30298784,0.0,0.0,0.0,0.298041761,0.0,0.0,571
1956,0.0,0.0833,0.0345,0.0724,0.0,0.0,0.0,0.166184569,0.0,0.11627907,980
427,0.0,0.0,0.069,0.15059571,0.834047985,0.0,0.0952,0.091,0.0,0.0698,28
1786,0.0,0.0,0.0345,0.214975032,0.868630462,0.0,0.0952,0.145995157,0.0,0.11627907,539
1056,0.0,0.0833,0.0,0.105881477,0.0,0.0,0.0,0.181786793,0.0,0.0465,783
191,0.3,0.0833,0.0,0.153694321,0.0,0.0,0.0476,0.218907559,0.0,0.0698,513
2471,0.0,0.0,0.069,0.264888163,0.0,0.0,0.0,0.242332009,0.0,0.0,1499
2775,0.0,0.0417,0.0,0.189235738,0.0,0.0,0.0,0.260543971,0.0,0.0233,2784
3324,0.0,0.0417,0.0,0.196292331,0.0,0.0,0.0,0.209412677,0.0,0.0465,2495
208,0.0,0.0,0.0,0.159055392,0.0,0.0,0.0,0.240583045,0.0,0.093,1085
1131,0.0,0.0417,0.069,0.189890455,0.0,0.0,0.0,0.196286516,0.0,0.11627907,439
1750,0.0,0.0,0.069,0.149601614,0.0,0.0,0.0,0.253297054,0.0,0.139534884,989
2429,0.0,0.125,0.0345,0.0922,0.0,0.0,0.0,0.128580175,0.0,0.162790698,3357
1827,0.0,0.0,0.0345,0.10937021,0.814104226,0.0,0.0952,0.131772537,0.0,0.0,3088
1930,0.1,0.0,0.069,0.425217947,0.926108374,0.0,0.0476,0.338277965,0.2,0.0,1626
1342,0.0,0.0,0.0,0.254786049,0.0,0.0,0.0952,0.32502861,0.0,0.093,690
2330,0.0,0.0,0.069,0.235125893,0.0,0.0,0.0,0.312858552,0.0,0.0,1886
1781,0.0,0.0,0.069,0.144738413,0.0,0.0,0.142857143,0.20701057,0.0,0.093,1994
