Key_3_13,D3,D8,D177,D60,D10,D64,D83,D739,D158,D660,D187,D209,D146,D607,D87,D659,D182,D217,D469
1531,0.0,0.570873221,0.640331757,0.0,0.345853677,0.0,0.555555556,0.0,0.0,0.342857143,0.836961625,0.911062706,0.571428571,0.0,0.148117318,0.625,0.684004074,0.539307845,0.0
1401,0.0,0.577983375,0.633504091,0.0,0.333597761,0.0,0.444444444,0.0,0.0,0.257142857,0.836961625,0.9031376,0.357142857,0.0,0.192051283,0.5,0.52761524,0.539307845,0.0
1615,0.05,0.590716367,0.148849946,0.0275,0.373120325,0.249730779,0.111111111,0.0455,0.0,0.0,0.749252774,0.296797516,0.0952,0.0714,0.406708296,0.125,0.0943,0.29147184,0.166666667
1218,0.15,0.401894215,0.150053903,0.0,0.335041242,0.0,0.111111111,0.181818182,0.0222,0.0,0.836961625,0.695601798,0.19047619,0.142857143,0.335155958,0.125,0.195798929,0.539307845,0.0
2249,0.2,0.388046398,0.202356502,0.0,0.316874891,0.0,0.222222222,0.340909091,0.0,0.0571,0.836961625,0.699911943,0.261904762,0.214285714,0.318840197,0.229166667,0.300208049,0.539307845,0.0
1028,0.15,0.553030866,0.261922186,0.0,0.260240679,0.153348059,0.111111111,0.0,0.0,0.0,0.990168684,0.296797516,0.0238,0.0,0.323853685,0.125,0.0943,0.972219975,0.0
1957,0.1,0.403991052,0.177438012,0.0,0.210277108,0.17688987,0.111111111,0.0909,0.0444,0.0571,0.746893716,0.516290495,0.0952,0.0714,0.362773993,0.125,0.156491776,0.284805928,0.166666667
2205,0.05,0.493240545,0.338178012,0.0,0.207594855,0.0,0.222222222,0.0682,0.0444,0.114285714,0.836961625,0.296797516,0.166666667,0.0714,0.291221824,0.25,0.0943,0.539307845,0.0
2564,0.05,0.519597732,0.449839079,0.0,0.308998971,0.0188,0.222222222,0.0682,0.0,0.171428571,0.836961625,0.296797516,0.0476,0.0714,0.362773993,0.25,0.0943,0.539307845,0.0833
1682,0.05,0.505894022,0.262402195,0.0,0.205348771,0.166666669,0.444444444,0.0455,0.0,0.114285714,0.761614924,0.296797516,0.476190476,0.0714,0.219669656,0.25,0.0943,0.326403158,0.166666667
2340,0.1,0.143877348,0.000514,0.0,0.262506069,0.0,0.0,0.0,0.0889,0.0,0.836961625,0.296797516,0.0238,0.0,0.505878668,0.0,0.0943,0.539307845,0.0
3182,0.0,0.383772134,0.000514,0.0882,0.072,0.0433,0.111111111,0.0,0.222222222,0.0,0.836961625,0.296797516,0.142857143,0.0,0.382948654,0.0,0.0943,0.539307845,0.0
2817,0.0,0.426982434,0.104516017,0.067,0.219631584,0.0254,0.333333333,0.0,0.0,0.114285714,0.836961625,0.288501645,0.404761905,0.0,0.339014181,0.25,0.114313114,0.539307845,0.0
1991,0.1,0.545830502,0.0691,0.0275,0.248700408,0.225600418,0.0,0.0682,0.0444,0.0,0.743532632,0.296797516,0.0476,0.0,0.406708127,0.0,0.0943,0.275308622,0.166666667
2121,0.05,0.574535524,0.280437936,0.0,0.390058887,0.0,0.222222222,0.0682,0.0,0.0,0.836961625,0.667979793,0.142857143,0.0714,0.279919551,0.229166667,0.182497887,0.539307845,0.0
1086,0.2,0.503351971,0.496512723,0.0356,0.14837833,0.0589,0.444444444,0.318181818,0.133333333,0.228571429,0.836961625,0.773369792,0.333333333,0.214285714,0.219670163,0.354166667,0.212827514,0.539307845,0.0
378,0.15,0.513800961,0.419947383,0.0,0.264746994,0.0102,0.222222222,0.227272727,0.0444,0.0571,0.836961625,0.296797516,0.0714,0.214285714,0.335155789,0.25,0.0943,0.539307845,0.166666667
3132,0.05,0.520754213,0.428781643,0.0,0.171260198,0.0838,0.222222222,0.0682,0.0667,0.114285714,0.836961625,0.296797516,0.0238,0.0714,0.371646042,0.25,0.0943,0.539307845,0.0833
738,0.0,0.536681024,0.27826347,0.0,0.335985352,0.0,0.222222222,0.0,0.0222,0.114285714,0.836961625,0.296797516,0.166666667,0.0,0.362774162,0.25,0.0943,0.539307845,0.0
430,0.15,0.585444864,0.388154012,0.0,0.264748783,0.0102,0.222222222,0.227272727,0.0444,0.0571,0.836961625,0.296797516,0.0,0.214285714,0.335155789,0.25,0.0943,0.539307845,0.166666667
2097,0.2,0.494189298,0.256539792,0.0,0.261223026,0.0,0.222222222,0.272727273,0.0222,0.0571,0.836961625,0.73017565,0.142857143,0.214285714,0.263603621,0.229166667,0.311807858,0.539307845,0.0
2380,0.15,0.613810208,0.11772544,0.0,0.459023325,0.166666669,0.0,0.113636364,0.0,0.0,0.745742817,0.296797516,0.0476,0.0,0.335155958,0.0,0.0943,0.281553869,0.166666667
55,0.1,0.585444864,0.252384962,0.0,0.355231994,0.0,0.111111111,0.0909,0.0,0.0,0.836961625,0.296797516,0.0,0.0714,0.323853855,0.125,0.0943,0.539307845,0.0
2611,0.2,0.579562348,0.394619704,0.0,0.243051183,0.0,0.222222222,0.272727273,0.0889,0.114285714,0.836961625,0.296797516,0.0238,0.285714286,0.307537586,0.25,0.0943,0.539307845,0.166666667
29,0.0,0.507727026,0.271186619,0.0,0.279949119,0.0,0.111111111,0.0,0.0444,0.0,0.836961625,0.296797516,0.0476,0.0,0.288791601,0.125,0.0943,0.539307845,0.0
3060,0.1,0.605092439,0.52818019,0.0,0.171633872,0.0144,0.333333333,0.0909,0.0222,0.2,0.836961625,0.296797516,0.166666667,0.0,0.401695654,0.375,0.0943,0.539307845,0.0
