fk_table,fk_column,pk_table,pk_column
jannis_table_1_1,Key_0_0,jannis_table_0_0,Key_0_0
jannis_table_0_0,Key_0_0,jannis_table_1_1,Key_0_0
jannis_table_1_1,Key_0_0,jannis_table_1_2,Key_0_0
jannis_table_1_2,Key_0_0,jannis_table_1_1,Key_0_0
jannis_table_1_1,Key_0_0,jannis_table_1_3,Key_0_0
jannis_table_1_3,Key_0_0,jannis_table_1_1,Key_0_0
jannis_table_1_1,Key_0_0,steel_table_1_1,Key_0_0
steel_table_1_1,Key_0_0,jannis_table_1_1,Key_0_0
jannis_table_1_1,Key_0_0,steel_table_0_0,Key_0_0
steel_table_0_0,Key_0_0,jannis_table_1_1,Key_0_0
jannis_table_1_1,Key_0_0,steel_table_1_2,Key_0_0
steel_table_1_2,Key_0_0,jannis_table_1_1,Key_0_0
jannis_table_1_1,Key_0_0,steel_table_1_3,Key_0_0
steel_table_1_3,Key_0_0,jannis_table_1_1,Key_0_0
jannis_table_1_1,Key_0_0,miniboone_table_1_1,Key_0_0
miniboone_table_1_1,Key_0_0,jannis_table_1_1,Key_0_0
jannis_table_1_1,Key_0_0,miniboone_table_1_2,Key_0_0
miniboone_table_1_2,Key_0_0,jannis_table_1_1,Key_0_0
jannis_table_1_1,Key_0_0,miniboone_table_0_0,Key_0_0
miniboone_table_0_0,Key_0_0,jannis_table_1_1,Key_0_0
jannis_table_1_1,Key_0_0,miniboone_table_1_3,Key_0_0
miniboone_table_1_3,Key_0_0,jannis_table_1_1,Key_0_0
jannis_table_1_1,Key_0_0,covertype_table_1_1,Key_0_0
covertype_table_1_1,Key_0_0,jannis_table_1_1,Key_0_0
jannis_table_1_1,Key_0_0,covertype_table_0_0,Key_0_0
covertype_table_0_0,Key_0_0,jannis_table_1_1,Key_0_0
jannis_table_1_1,Key_0_0,covertype_table_1_2,Key_0_0
covertype_table_1_2,Key_0_0,jannis_table_1_1,Key_0_0
jannis_table_1_1,Key_0_0,covertype_table_1_3,Key_0_0
covertype_table_1_3,Key_0_0,jannis_table_1_1,Key_0_0
jannis_table_1_1,Key_0_0,eyemove_table_1_1,Key_0_0
eyemove_table_1_1,Key_0_0,jannis_table_1_1,Key_0_0
jannis_table_1_1,Key_0_0,eyemove_table_0_0,Key_0_0
eyemove_table_0_0,Key_0_0,jannis_table_1_1,Key_0_0
jannis_table_1_1,Key_0_0,eyemove_table_1_3,Key_0_0
eyemove_table_1_3,Key_0_0,jannis_table_1_1,Key_0_0
jannis_table_1_1,Key_0_0,eyemove_table_1_2,Key_0_0
eyemove_table_1_2,Key_0_0,jannis_table_1_1,Key_0_0
jannis_table_1_1,Key_0_0,bioresponse_table_1_1,Key_0_0
bioresponse_table_1_1,Key_0_0,jannis_table_1_1,Key_0_0
jannis_table_1_1,Key_0_0,bioresponse_table_0_0,Key_0_0
bioresponse_table_0_0,Key_0_0,jannis_table_1_1,Key_0_0
jannis_table_1_1,Key_0_0,bioresponse_table_1_2,Key_0_0
bioresponse_table_1_2,Key_0_0,jannis_table_1_1,Key_0_0
jannis_table_1_1,Key_0_0,bioresponse_table_1_3,Key_0_0
bioresponse_table_1_3,Key_0_0,jannis_table_1_1,Key_0_0
jannis_table_1_1,Key_0_0,credit_table_1_1,Key_0_0
credit_table_1_1,Key_0_0,jannis_table_1_1,Key_0_0
jannis_table_1_1,Key_0_0,credit_table_0_0,Key_0_0
credit_table_0_0,Key_0_0,jannis_table_1_1,Key_0_0
jannis_table_1_1,Key_0_0,credit_table_1_2,Key_0_0
credit_table_1_2,Key_0_0,jannis_table_1_1,Key_0_0
jannis_table_0_0,Key_0_0,jannis_table_1_2,Key_0_0
jannis_table_1_2,Key_0_0,jannis_table_0_0,Key_0_0
jannis_table_0_0,Key_0_0,jannis_table_1_3,Key_0_0
jannis_table_1_3,Key_0_0,jannis_table_0_0,Key_0_0
jannis_table_0_0,Key_0_0,steel_table_1_1,Key_0_0
steel_table_1_1,Key_0_0,jannis_table_0_0,Key_0_0
jannis_table_0_0,Key_0_0,steel_table_0_0,Key_0_0
steel_table_0_0,Key_0_0,jannis_table_0_0,Key_0_0
jannis_table_0_0,Key_0_0,steel_table_1_2,Key_0_0
steel_table_1_2,Key_0_0,jannis_table_0_0,Key_0_0
jannis_table_0_0,Key_0_0,steel_table_1_3,Key_0_0
steel_table_1_3,Key_0_0,jannis_table_0_0,Key_0_0
jannis_table_0_0,Key_0_0,miniboone_table_1_1,Key_0_0
miniboone_table_1_1,Key_0_0,jannis_table_0_0,Key_0_0
jannis_table_0_0,Key_0_0,miniboone_table_1_2,Key_0_0
miniboone_table_1_2,Key_0_0,jannis_table_0_0,Key_0_0
jannis_table_0_0,Key_0_0,miniboone_table_0_0,Key_0_0
miniboone_table_0_0,Key_0_0,jannis_table_0_0,Key_0_0
jannis_table_0_0,Key_0_0,miniboone_table_1_3,Key_0_0
miniboone_table_1_3,Key_0_0,jannis_table_0_0,Key_0_0
jannis_table_0_0,Key_0_0,covertype_table_0_0,Key_0_0
