fk_table,fk_column,pk_table,pk_column
table_0_0.csv,Key_0_0,table_1_1.csv,Key_0_0
table_0_0.csv,Key_0_0,table_1_2.csv,Key_0_0
table_0_0.csv,Key_0_0,table_1_3.csv,Key_0_0
table_1_1.csv,Key_1_1,table_2_4.csv,Key_1_1
table_1_1.csv,Key_1_1,table_2_5.csv,Key_1_1
table_1_1.csv,Key_1_1,table_2_6.csv,Key_1_1
table_1_2.csv,Key_1_2,table_2_7.csv,Key_1_2
table_1_2.csv,Key_1_2,table_2_8.csv,Key_1_2
table_1_2.csv,Key_1_2,table_2_9.csv,Key_1_2
table_1_3.csv,Key_1_3,table_2_10.csv,Key_1_3
table_1_3.csv,Key_1_3,table_2_11.csv,Key_1_3
table_1_3.csv,Key_1_3,table_2_12.csv,Key_1_3
table_1_1.csv,Key_0_0,table_1_2.csv,Key_0_0
table_1_1.csv,Key_0_0,table_1_3.csv,Key_0_0
table_1_2.csv,Key_0_0,table_1_3.csv,Key_0_0
table_2_4.csv,Key_1_1,table_2_5.csv,Key_1_1
table_2_4.csv,Key_1_1,table_2_6.csv,Key_1_1
table_2_5.csv,Key_1_1,table_2_6.csv,Key_1_1
table_2_7.csv,Key_1_2,table_2_8.csv,Key_1_2
table_2_7.csv,Key_1_2,table_2_9.csv,Key_1_2
table_2_8.csv,Key_1_2,table_2_9.csv,Key_1_2
table_2_10.csv,Key_1_3,table_2_11.csv,Key_1_3
table_2_10.csv,Key_1_3,table_2_12.csv,Key_1_3
table_2_11.csv,Key_1_3,table_2_12.csv,Key_1_3
table_2_10.csv,Soil_Type13,table_0_0.csv,Soil_Type33
table_0_0.csv,Soil_Type33,table_2_10.csv,Soil_Type13
table_2_10.csv,Soil_Type10,table_0_0.csv,Soil_Type20
table_0_0.csv,Soil_Type20,table_2_10.csv,Soil_Type10
table_2_10.csv,Soil_Type39,table_0_0.csv,Soil_Type36
table_0_0.csv,Soil_Type36,table_2_10.csv,Soil_Type39
table_2_10.csv,Soil_Type39,table_0_0.csv,Soil_Type32
table_0_0.csv,Soil_Type32,table_2_10.csv,Soil_Type39
table_2_10.csv,Soil_Type39,table_0_0.csv,Soil_Type33
table_0_0.csv,Soil_Type33,table_2_10.csv,Soil_Type39
table_2_10.csv,Soil_Type13,table_2_6.csv,Soil_Type3
table_2_6.csv,Soil_Type3,table_2_10.csv,Soil_Type13
table_2_10.csv,Soil_Type39,table_2_6.csv,Soil_Type3
table_2_6.csv,Soil_Type3,table_2_10.csv,Soil_Type39
table_2_10.csv,Wilderness_Area2,table_2_9.csv,Wilderness_Area4
table_2_10.csv,Key_1_3,table_2_6.csv,Key_1_1
table_2_6.csv,Key_1_1,table_2_10.csv,Key_1_3
table_2_9.csv,Wilderness_Area4,table_2_10.csv,Wilderness_Area2
table_2_10.csv,Soil_Type13,table_2_9.csv,Soil_Type11
table_2_9.csv,Soil_Type11,table_2_10.csv,Soil_Type13
table_2_10.csv,Soil_Type10,table_2_9.csv,Soil_Type30
table_2_9.csv,Soil_Type30,table_2_10.csv,Soil_Type10
table_2_10.csv,Soil_Type10,table_2_9.csv,Soil_Type40
table_2_11.csv,Key_1_3,table_2_10.csv,Key_1_3
table_2_9.csv,Soil_Type40,table_2_10.csv,Soil_Type10
table_2_10.csv,Soil_Type13,table_2_11.csv,Soil_Type23
table_2_10.csv,Soil_Type10,table_2_9.csv,Soil_Type11
table_2_9.csv,Soil_Type11,table_2_10.csv,Soil_Type10
table_2_11.csv,Soil_Type23,table_2_10.csv,Soil_Type13
table_2_10.csv,Key_1_3,table_1_3.csv,Key_1_3
table_2_10.csv,Soil_Type13,table_2_11.csv,Soil_Type12
table_2_10.csv,Wilderness_Area2,table_1_3.csv,Wilderness_Area3
table_2_11.csv,Soil_Type12,table_2_10.csv,Soil_Type13
table_1_3.csv,Wilderness_Area3,table_2_10.csv,Wilderness_Area2
table_2_10.csv,Soil_Type39,table_2_9.csv,Soil_Type30
table_2_9.csv,Soil_Type30,table_2_10.csv,Soil_Type39
table_2_10.csv,Soil_Type13,table_1_3.csv,Soil_Type16
table_2_10.csv,Key_1_3,table_2_9.csv,Key_1_2
table_2_10.csv,Soil_Type13,table_2_7.csv,Soil_Type18
table_1_3.csv,Soil_Type16,table_2_10.csv,Soil_Type13
table_2_10.csv,Soil_Type10,table_2_11.csv,Soil_Type12
table_2_7.csv,Soil_Type18,table_2_10.csv,Soil_Type13
table_2_10.csv,Soil_Type13,table_1_3.csv,Soil_Type17
table_2_10.csv,Soil_Type10,table_2_7.csv,Soil_Type18
table_2_9.csv,Key_1_2,table_2_10.csv,Key_1_3
table_2_7.csv,Soil_Type18,table_2_10.csv,Soil_Type10
table_2_11.csv,Soil_Type12,table_2_10.csv,Soil_Type10
table_2_10.csv,Soil_Type39,table_2_7.csv,Soil_Type35
table_2_10.csv,Soil_Type39,table_2_11.csv,Soil_Type38
table_2_11.csv,Soil_Type38,table_2_10.csv,Soil_Type39
table_1_3.csv,Soil_Type17,table_2_10.csv,Soil_Type13
table_2_7.csv,Soil_Type35,table_2_10.csv,Soil_Type39
table_2_10.csv,Soil_Type10,table_1_3.csv,Soil_Type16
table_2_10.csv,Soil_Type13,table_1_1.csv,Soil_Type8
table_2_10.csv,Key_1_3,table_2_7.csv,Key_1_2
table_1_3.csv,Soil_Type16,table_2_10.csv,Soil_Type10
table_1_1.csv,Soil_Type8,table_2_10.csv,Soil_Type13
table_2_10.csv,Soil_Type10,table_1_3.csv,Soil_Type17
table_2_7.csv,Key_1_2,table_2_10.csv,Key_1_3
table_1_3.csv,Soil_Type17,table_2_10.csv,Soil_Type10
table_2_10.csv,Soil_Type13,table_1_1.csv,Soil_Type7
table_2_10.csv,Soil_Type13,table_2_5.csv,Soil_Type2
