class,residence_since,num_dependents,employment,Key_0_0
good,4.0,1.0,>=7,664
bad,2.0,1.0,1<=X<4,369
good,3.0,2.0,4<=X<7,184
good,4.0,2.0,4<=X<7,500
bad,4.0,2.0,1<=X<4,792
good,4.0,2.0,1<=X<4,843
good,4.0,1.0,>=7,881
good,2.0,1.0,1<=X<4,283
good,4.0,1.0,4<=X<7,375
bad,2.0,1.0,unemployed,405
bad,1.0,1.0,<1,3
bad,4.0,1.0,<1,259
good,1.0,1.0,1<=X<4,537
bad,4.0,1.0,>=7,136
good,4.0,1.0,1<=X<4,529
bad,2.0,1.0,1<=X<4,962
good,4.0,1.0,>=7,90
good,3.0,1.0,<1,20
bad,2.0,1.0,>=7,915
good,2.0,2.0,>=7,209
good,4.0,1.0,1<=X<4,988
good,3.0,2.0,1<=X<4,8
good,3.0,2.0,<1,153
good,4.0,1.0,<1,175
good,1.0,1.0,1<=X<4,688
good,2.0,1.0,1<=X<4,723
good,4.0,1.0,>=7,967
good,3.0,1.0,1<=X<4,736
good,2.0,1.0,1<=X<4,918
bad,4.0,1.0,>=7,360
good,3.0,1.0,<1,76
good,2.0,1.0,1<=X<4,132
good,2.0,1.0,1<=X<4,43
good,4.0,1.0,>=7,248
good,1.0,1.0,<1,195
bad,2.0,1.0,<1,828
good,3.0,1.0,1<=X<4,41
bad,2.0,1.0,1<=X<4,808
good,2.0,1.0,1<=X<4,112
good,3.0,1.0,1<=X<4,323
good,2.0,1.0,>=7,134
good,1.0,1.0,1<=X<4,617
good,4.0,2.0,1<=X<4,767
good,4.0,1.0,4<=X<7,972
bad,4.0,1.0,>=7,344
good,4.0,1.0,<1,231
good,4.0,1.0,>=7,789
good,2.0,1.0,unemployed,535
good,4.0,1.0,1<=X<4,160
good,2.0,1.0,1<=X<4,588
good,2.0,1.0,<1,131
good,2.0,1.0,>=7,221
good,2.0,1.0,1<=X<4,886
good,1.0,1.0,1<=X<4,89
bad,4.0,1.0,>=7,106
good,2.0,2.0,1<=X<4,156
bad,1.0,1.0,unemployed,191
good,2.0,1.0,1<=X<4,486
good,2.0,1.0,>=7,445
bad,4.0,1.0,<1,634
good,1.0,1.0,1<=X<4,805
good,4.0,1.0,>=7,496
bad,4.0,1.0,>=7,871
bad,2.0,1.0,1<=X<4,318
good,4.0,1.0,<1,178
good,4.0,2.0,>=7,115
good,2.0,1.0,<1,646
good,1.0,1.0,1<=X<4,51
bad,4.0,1.0,1<=X<4,718
good,4.0,1.0,1<=X<4,219
good,2.0,1.0,1<=X<4,408
good,2.0,1.0,>=7,449
good,4.0,2.0,>=7,867
good,1.0,1.0,4<=X<7,378
bad,4.0,1.0,>=7,151
good,4.0,1.0,>=7,357
bad,3.0,1.0,<1,547
good,4.0,1.0,4<=X<7,109
good,2.0,2.0,1<=X<4,889
good,1.0,1.0,<1,472
bad,1.0,1.0,<1,320
good,3.0,1.0,>=7,107
good,4.0,1.0,1<=X<4,461
good,4.0,1.0,>=7,430
good,4.0,1.0,>=7,544
good,2.0,1.0,1<=X<4,446
good,1.0,1.0,<1,546
bad,4.0,2.0,1<=X<4,161
good,3.0,2.0,4<=X<7,666
bad,3.0,1.0,4<=X<7,902
good,4.0,1.0,>=7,720
good,3.0,1.0,>=7,755
bad,3.0,2.0,>=7,506
good,4.0,1.0,>=7,42
good,4.0,1.0,>=7,882
bad,4.0,1.0,<1,899
good,2.0,1.0,4<=X<7,386
good,4.0,1.0,1<=X<4,526
good,4.0,1.0,>=7,292
good,4.0,2.0,4<=X<7,187
good,4.0,1.0,>=7,854
good,4.0,1.0,4<=X<7,933
good,2.0,1.0,1<=X<4,124
good,3.0,1.0,4<=X<7,660
good,4.0,1.0,<1,355
bad,3.0,2.0,1<=X<4,701
bad,4.0,2.0,>=7,700
good,2.0,1.0,4<=X<7,315
good,2.0,1.0,<1,760
good,2.0,1.0,>=7,203
good,2.0,2.0,>=7,910
good,4.0,1.0,<1,377
good,3.0,1.0,4<=X<7,50
bad,2.0,1.0,1<=X<4,411
good,1.0,1.0,>=7,415
good,1.0,1.0,>=7,414
bad,3.0,1.0,4<=X<7,749
good,3.0,1.0,<1,900
bad,4.0,1.0,1<=X<4,941
good,3.0,1.0,4<=X<7,758
bad,2.0,1.0,1<=X<4,776
good,2.0,1.0,>=7,636
good,2.0,1.0,1<=X<4,75
good,4.0,1.0,>=7,851
bad,3.0,1.0,<1,32
good,2.0,1.0,1<=X<4,654
good,2.0,1.0,1<=X<4,258
bad,2.0,1.0,1<=X<4,54
good,2.0,1.0,unemployed,751
bad,2.0,1.0,1<=X<4,907
good,2.0,1.0,4<=X<7,337
bad,3.0,1.0,1<=X<4,623
good,3.0,1.0,<1,534
good,4.0,1.0,1<=X<4,232
good,4.0,1.0,4<=X<7,29
good,2.0,1.0,>=7,763
good,2.0,1.0,1<=X<4,973
bad,3.0,1.0,1<=X<4,613
good,2.0,1.0,4<=X<7,190
good,2.0,1.0,1<=X<4,602
good,2.0,1.0,<1,845
good,1.0,1.0,<1,311
good,2.0,1.0,1<=X<4,367
bad,2.0,1.0,1<=X<4,495
good,4.0,1.0,<1,834
good,2.0,1.0,4<=X<7,267
good,4.0,1.0,>=7,329
good,3.0,1.0,4<=X<7,154
good,2.0,1.0,1<=X<4,214
good,4.0,1.0,>=7,249
good,4.0,2.0,>=7,638
good,4.0,1.0,1<=X<4,162
good,1.0,1.0,1<=X<4,742
good,4.0,1.0,>=7,837
good,4.0,1.0,4<=X<7,407
bad,4.0,1.0,1<=X<4,359
good,4.0,2.0,>=7,368
good,1.0,1.0,>=7,888
good,3.0,1.0,4<=X<7,714
good,2.0,2.0,1<=X<4,530
good,4.0,2.0,>=7,497
good,1.0,1.0,<1,489
good,3.0,1.0,4<=X<7,769
good,4.0,1.0,unemployed,176
good,4.0,1.0,>=7,291
good,2.0,1.0,1<=X<4,976
bad,2.0,1.0,unemployed,226
good,1.0,1.0,<1,606
good,4.0,1.0,4<=X<7,906
bad,4.0,1.0,>=7,842
bad,3.0,2.0,>=7,855
good,1.0,1.0,1<=X<4,127
bad,2.0,1.0,unemployed,31
good,2.0,1.0,1<=X<4,655
bad,1.0,1.0,<1,374
bad,1.0,1.0,unemployed,639
good,1.0,1.0,1<=X<4,247
good,4.0,1.0,>=7,92
good,2.0,2.0,4<=X<7,157
good,4.0,1.0,>=7,840
bad,1.0,1.0,<1,138
bad,2.0,1.0,1<=X<4,710
bad,2.0,2.0,1<=X<4,482
good,4.0,1.0,1<=X<4,71
bad,4.0,2.0,>=7,788
good,2.0,1.0,1<=X<4,631
bad,4.0,2.0,>=7,558
good,3.0,1.0,unemployed,607
bad,1.0,1.0,4<=X<7,930
good,4.0,1.0,1<=X<4,171
bad,3.0,1.0,1<=X<4,379
bad,4.0,2.0,4<=X<7,348
bad,2.0,2.0,1<=X<4,675
good,2.0,1.0,4<=X<7,632
bad,4.0,1.0,1<=X<4,778
bad,3.0,1.0,>=7,235
good,1.0,1.0,1<=X<4,595
bad,4.0,1.0,<1,491
good,4.0,1.0,>=7,874
bad,3.0,1.0,>=7,363
good,2.0,1.0,>=7,971
good,3.0,1.0,1<=X<4,100
good,4.0,1.0,4<=X<7,576
bad,4.0,1.0,4<=X<7,140
good,1.0,2.0,>=7,400
good,4.0,2.0,>=7,306
good,4.0,1.0,>=7,4
good,3.0,1.0,4<=X<7,507
good,2.0,1.0,1<=X<4,685
good,2.0,1.0,4<=X<7,301
good,2.0,2.0,1<=X<4,364
good,4.0,1.0,>=7,948
bad,4.0,1.0,unemployed,864
bad,4.0,1.0,>=7,439
good,2.0,1.0,>=7,964
good,3.0,1.0,4<=X<7,592
good,1.0,1.0,4<=X<7,330
good,2.0,1.0,1<=X<4,299
good,2.0,1.0,1<=X<4,681
good,4.0,1.0,1<=X<4,702
good,1.0,1.0,<1,649
good,4.0,1.0,1<=X<4,483
good,2.0,1.0,1<=X<4,347
good,4.0,2.0,1<=X<4,126
good,2.0,1.0,1<=X<4,466
good,2.0,1.0,1<=X<4,7
bad,2.0,1.0,4<=X<7,920
bad,4.0,1.0,>=7,981
bad,2.0,1.0,4<=X<7,807
good,1.0,1.0,<1,174
bad,2.0,1.0,1<=X<4,618
good,4.0,1.0,>=7,652
good,1.0,1.0,4<=X<7,397
good,2.0,1.0,1<=X<4,78
good,1.0,2.0,4<=X<7,585
bad,2.0,2.0,unemployed,831
bad,2.0,1.0,unemployed,403
bad,2.0,1.0,>=7,754
good,2.0,1.0,1<=X<4,974
good,3.0,2.0,>=7,796
bad,2.0,1.0,>=7,861
