Key_0_0,housing,other_parties,job,Key_1_1
664,own,none,skilled,386
369,own,none,skilled,239
184,own,none,unskilled resident,839
500,for free,guarantor,skilled,20
792,for free,none,skilled,170
843,for free,none,unskilled resident,356
881,own,none,skilled,691
283,rent,none,high qualif/self emp/mgmt,858
375,own,none,unskilled resident,633
405,own,none,high qualif/self emp/mgmt,859
3,rent,none,skilled,346
259,rent,none,skilled,784
537,own,none,skilled,19
136,own,none,unskilled resident,105
529,rent,none,skilled,849
962,own,none,unskilled resident,50
90,own,none,skilled,818
20,own,none,skilled,467
915,for free,none,high qualif/self emp/mgmt,330
209,own,none,skilled,128
988,own,none,skilled,60
8,rent,none,skilled,641
153,rent,none,unskilled resident,240
175,own,none,skilled,443
688,own,none,skilled,772
723,own,none,unskilled resident,765
967,own,none,unskilled resident,47
736,rent,none,skilled,565
918,own,guarantor,skilled,31
360,own,none,skilled,461
76,own,none,skilled,112
132,own,none,skilled,834
43,own,none,skilled,74
248,rent,none,unskilled resident,504
195,own,none,high qualif/self emp/mgmt,581
828,own,none,unskilled resident,122
41,for free,none,skilled,3
808,own,co applicant,skilled,771
112,own,none,skilled,597
323,own,none,skilled,53
134,own,none,high qualif/self emp/mgmt,777
617,own,none,skilled,692
767,own,none,unskilled resident,22
972,rent,none,skilled,236
344,for free,none,unskilled resident,648
231,own,none,high qualif/self emp/mgmt,7
789,own,none,skilled,799
535,rent,none,unemp/unskilled non res,968
160,own,none,unskilled resident,283
588,own,co applicant,skilled,933
131,own,none,unskilled resident,920
221,own,none,high qualif/self emp/mgmt,202
886,own,none,skilled,757
89,own,none,skilled,457
106,for free,none,skilled,911
156,own,guarantor,unskilled resident,683
191,own,none,high qualif/self emp/mgmt,160
486,own,none,skilled,161
445,own,none,high qualif/self emp/mgmt,884
634,rent,co applicant,unskilled resident,896
805,own,none,skilled,28
496,own,guarantor,skilled,577
871,for free,none,high qualif/self emp/mgmt,671
318,own,none,skilled,220
178,own,none,skilled,136
115,own,none,skilled,102
646,own,none,skilled,856
51,own,none,skilled,68
718,for free,none,skilled,78
219,own,none,skilled,359
408,own,none,skilled,191
449,rent,none,unskilled resident,725
867,for free,none,high qualif/self emp/mgmt,231
378,own,none,unskilled resident,423
151,own,none,high qualif/self emp/mgmt,649
357,for free,none,high qualif/self emp/mgmt,256
547,own,none,skilled,223
109,own,none,skilled,871
889,own,none,unskilled resident,980
472,own,none,skilled,246
320,own,none,skilled,130
107,own,none,skilled,217
461,rent,none,unskilled resident,701
430,own,guarantor,unskilled resident,179
544,own,none,unskilled resident,511
446,own,guarantor,high qualif/self emp/mgmt,944
546,own,none,skilled,686
161,for free,none,skilled,872
666,own,none,high qualif/self emp/mgmt,497
902,own,none,skilled,567
720,own,none,skilled,631
755,own,none,skilled,129
506,own,none,unskilled resident,820
42,rent,co applicant,skilled,172
882,own,none,skilled,663
899,rent,none,skilled,553
386,own,none,skilled,703
526,own,none,skilled,494
292,own,none,skilled,915
187,rent,none,high qualif/self emp/mgmt,206
854,rent,none,unskilled resident,580
933,rent,none,skilled,535
124,own,none,skilled,94
660,rent,none,skilled,361
355,rent,none,skilled,286
701,own,co applicant,high qualif/self emp/mgmt,46
700,own,none,high qualif/self emp/mgmt,156
315,own,none,skilled,518
760,own,none,skilled,808
203,own,none,skilled,85
910,own,none,skilled,608
377,rent,none,skilled,35
50,rent,none,unskilled resident,302
411,own,none,skilled,731
415,own,none,skilled,832
414,own,none,skilled,667
749,own,none,high qualif/self emp/mgmt,919
900,rent,co applicant,skilled,417
941,own,none,skilled,828
758,own,none,high qualif/self emp/mgmt,458
776,own,none,skilled,879
636,rent,none,high qualif/self emp/mgmt,428
75,rent,none,unskilled resident,908
851,for free,none,skilled,353
32,rent,none,skilled,303
654,own,none,skilled,178
258,own,none,unskilled resident,673
54,own,none,skilled,700
751,own,none,high qualif/self emp/mgmt,343
907,own,co applicant,skilled,753
337,own,none,skilled,768
623,own,none,skilled,27
534,own,none,unskilled resident,188
232,for free,none,skilled,542
29,own,none,skilled,588
763,own,none,skilled,162
973,own,none,skilled,894
613,own,none,unskilled resident,647
190,own,guarantor,skilled,133
602,rent,none,unskilled resident,17
845,own,none,unemp/unskilled non res,244
311,own,none,high qualif/self emp/mgmt,680
367,own,none,high qualif/self emp/mgmt,506
495,own,none,skilled,81
834,own,none,skilled,746
267,own,none,skilled,301
329,own,none,skilled,657
154,own,none,skilled,852
214,own,guarantor,skilled,584
249,own,none,skilled,821
638,for free,none,skilled,293
162,own,none,skilled,367
742,own,none,skilled,950
837,rent,none,skilled,338
407,rent,none,high qualif/self emp/mgmt,228
359,rent,none,skilled,478
368,own,guarantor,skilled,445
888,own,none,unskilled resident,561
714,own,none,skilled,13
530,own,none,unskilled resident,932
497,own,none,skilled,925
489,own,none,skilled,899
769,own,none,skilled,550
176,for free,none,high qualif/self emp/mgmt,281
291,own,none,skilled,813
976,own,none,skilled,347
226,own,none,skilled,355
606,own,none,skilled,114
906,rent,none,skilled,238
842,own,none,skilled,721
855,rent,none,skilled,536
127,own,none,skilled,403
31,own,none,high qualif/self emp/mgmt,959
655,own,guarantor,skilled,181
374,own,none,skilled,991
639,own,none,high qualif/self emp/mgmt,389
247,own,none,skilled,534
92,own,none,skilled,425
157,rent,none,high qualif/self emp/mgmt,154
840,own,none,skilled,800
138,own,none,skilled,875
710,own,none,high qualif/self emp/mgmt,940
482,own,none,unskilled resident,815
71,own,none,skilled,616
788,own,none,skilled,319
631,own,none,skilled,306
558,for free,none,high qualif/self emp/mgmt,956
