Key_1_1,personal_status,age,credit_history
386,male single,67.0,critical/other existing credit
239,female div/dep/mar,22.0,existing paid
839,male single,49.0,critical/other existing credit
20,male single,45.0,existing paid
170,male single,53.0,delayed previously
356,male single,35.0,existing paid
691,male single,53.0,existing paid
858,male single,35.0,existing paid
633,male div/sep,61.0,existing paid
859,male mar/wid,28.0,critical/other existing credit
346,female div/dep/mar,25.0,existing paid
784,female div/dep/mar,24.0,existing paid
19,female div/dep/mar,22.0,existing paid
105,male single,60.0,critical/other existing credit
849,female div/dep/mar,28.0,existing paid
50,female div/dep/mar,32.0,existing paid
818,male single,53.0,critical/other existing credit
467,male single,25.0,no credits/all paid
330,female div/dep/mar,44.0,existing paid
128,male single,31.0,existing paid
60,male single,48.0,critical/other existing credit
641,male single,44.0,existing paid
240,male single,48.0,critical/other existing credit
443,male single,44.0,critical/other existing credit
772,male mar/wid,26.0,critical/other existing credit
765,male single,36.0,existing paid
47,male mar/wid,39.0,no credits/all paid
565,female div/dep/mar,42.0,all paid
31,male single,34.0,existing paid
461,male single,63.0,delayed previously
112,male mar/wid,36.0,existing paid
834,male single,27.0,existing paid
74,male single,30.0,existing paid
504,male single,57.0,critical/other existing credit
581,female div/dep/mar,33.0,existing paid
122,male single,25.0,critical/other existing credit
3,male single,31.0,critical/other existing credit
771,male single,37.0,existing paid
597,male single,37.0,existing paid
53,male single,24.0,existing paid
777,male single,30.0,existing paid
692,male div/sep,26.0,existing paid
22,male single,44.0,delayed previously
236,male mar/wid,24.0,critical/other existing credit
648,female div/dep/mar,58.0,critical/other existing credit
7,female div/dep/mar,35.0,critical/other existing credit
799,male single,39.0,existing paid
968,female div/dep/mar,23.0,existing paid
283,male single,39.0,critical/other existing credit
933,female div/dep/mar,28.0,existing paid
920,male single,29.0,delayed previously
202,male single,30.0,delayed previously
757,male single,25.0,existing paid
457,male single,31.0,existing paid
911,male single,57.0,delayed previously
683,male single,26.0,all paid
160,male single,52.0,existing paid
161,female div/dep/mar,31.0,critical/other existing credit
884,female div/dep/mar,23.0,existing paid
896,female div/dep/mar,23.0,critical/other existing credit
28,male mar/wid,27.0,existing paid
577,male single,50.0,critical/other existing credit
671,male single,61.0,no credits/all paid
220,male single,25.0,no credits/all paid
136,female div/dep/mar,26.0,existing paid
102,male single,48.0,existing paid
856,female div/dep/mar,29.0,existing paid
68,male mar/wid,22.0,existing paid
78,male single,37.0,existing paid
359,female div/dep/mar,25.0,existing paid
191,female div/dep/mar,30.0,existing paid
725,male single,46.0,critical/other existing credit
231,male single,51.0,critical/other existing credit
423,female div/dep/mar,41.0,critical/other existing credit
649,male single,40.0,existing paid
256,male single,66.0,critical/other existing credit
223,male single,34.0,existing paid
871,male single,51.0,delayed previously
980,male single,39.0,no credits/all paid
246,male mar/wid,22.0,existing paid
130,female div/dep/mar,44.0,existing paid
217,male single,47.0,existing paid
701,female div/dep/mar,24.0,existing paid
179,female div/dep/mar,58.0,existing paid
511,male single,52.0,existing paid
944,female div/dep/mar,29.0,critical/other existing credit
686,female div/dep/mar,27.0,critical/other existing credit
872,male single,47.0,existing paid
497,male single,30.0,existing paid
567,male single,28.0,no credits/all paid
631,male single,56.0,critical/other existing credit
129,male single,54.0,critical/other existing credit
820,female div/dep/mar,33.0,critical/other existing credit
172,male single,20.0,critical/other existing credit
663,male single,54.0,existing paid
553,male single,58.0,no credits/all paid
703,female div/dep/mar,61.0,critical/other existing credit
494,male single,34.0,existing paid
915,male single,36.0,critical/other existing credit
206,male single,36.0,delayed previously
580,male mar/wid,41.0,existing paid
535,male single,24.0,existing paid
94,female div/dep/mar,24.0,delayed previously
361,male single,35.0,critical/other existing credit
286,male mar/wid,26.0,existing paid
46,male single,39.0,critical/other existing credit
156,male single,39.0,all paid
518,male single,32.0,existing paid
808,female div/dep/mar,30.0,existing paid
85,male mar/wid,35.0,existing paid
608,male div/sep,31.0,delayed previously
