Key_1_2,savings_status,purpose,credit_amount,duration,checking_status
812,no known savings,radio/tv,1169.0,6.0,<0
793,<100,radio/tv,5951.0,48.0,0<=X<200
872,<100,education,2096.0,12.0,no checking
230,<100,furniture/equipment,7882.0,42.0,<0
879,<100,new car,4870.0,24.0,<0
755,no known savings,education,9055.0,36.0,no checking
969,500<=X<1000,furniture/equipment,2835.0,24.0,no checking
229,<100,used car,6948.0,36.0,0<=X<200
970,>=1000,radio/tv,3059.0,12.0,no checking
93,<100,new car,5234.0,30.0,0<=X<200
16,<100,new car,1295.0,12.0,0<=X<200
177,<100,business,4308.0,48.0,<0
377,<100,radio/tv,1567.0,12.0,0<=X<200
660,<100,new car,1199.0,24.0,<0
714,<100,new car,1403.0,15.0,<0
821,100<=X<500,radio/tv,1282.0,24.0,<0
499,no known savings,radio/tv,2424.0,24.0,no checking
788,no known savings,business,8072.0,30.0,<0
734,<100,used car,12579.0,24.0,0<=X<200
8,500<=X<1000,radio/tv,3430.0,24.0,no checking
312,<100,new car,2134.0,9.0,no checking
380,500<=X<1000,radio/tv,2647.0,6.0,<0
901,<100,new car,2241.0,10.0,<0
91,100<=X<500,used car,1804.0,12.0,0<=X<200
58,no known savings,furniture/equipment,2069.0,10.0,no checking
917,<100,furniture/equipment,1374.0,6.0,<0
298,<100,radio/tv,426.0,6.0,no checking
359,>=1000,radio/tv,409.0,12.0,>=200
739,<100,radio/tv,2415.0,7.0,0<=X<200
178,<100,business,6836.0,60.0,<0
965,>=1000,business,1913.0,18.0,0<=X<200
240,<100,furniture/equipment,4020.0,24.0,<0
679,100<=X<500,new car,5866.0,18.0,0<=X<200
960,no known savings,business,1264.0,12.0,no checking
559,<100,furniture/equipment,1474.0,12.0,>=200
219,<100,radio/tv,4746.0,45.0,0<=X<200
361,<100,education,6110.0,48.0,no checking
81,<100,radio/tv,2100.0,18.0,>=200
265,<100,domestic appliance,1225.0,10.0,>=200
759,<100,radio/tv,458.0,9.0,0<=X<200
202,500<=X<1000,radio/tv,2333.0,30.0,no checking
291,500<=X<1000,radio/tv,1158.0,12.0,0<=X<200
50,<100,repairs,6204.0,18.0,0<=X<200
710,100<=X<500,used car,6187.0,30.0,<0
980,<100,used car,6143.0,48.0,<0
536,<100,new car,1393.0,11.0,no checking
530,500<=X<1000,radio/tv,2299.0,36.0,no checking
948,500<=X<1000,used car,1352.0,6.0,<0
506,<100,new car,7228.0,11.0,no checking
681,100<=X<500,radio/tv,2073.0,12.0,no checking
185,no known savings,furniture/equipment,2333.0,24.0,0<=X<200
841,<100,used car,5965.0,27.0,0<=X<200
246,<100,radio/tv,1262.0,12.0,no checking
840,no known savings,used car,3378.0,18.0,no checking
27,<100,new car,2225.0,36.0,0<=X<200
830,no known savings,new car,783.0,6.0,no checking
432,no known savings,radio/tv,6468.0,12.0,0<=X<200
