credit/table10.checking_status,credit/table10.own_telephone,credit/table10.property_magnitude,credit_amount
<0,yes,no known property,6836.0
>=200,none,car,2319.0
no checking,none,life insurance,1236.0
no checking,yes,life insurance,5003.0
no checking,none,car,886.0
<0,none,car,1442.0
no checking,yes,car,2978.0
<0,none,life insurance,2359.0
<0,none,car,2996.0
no checking,yes,car,3780.0
no checking,yes,life insurance,5190.0
0<=X<200,yes,no known property,4795.0
<0,yes,car,697.0
no checking,none,car,4165.0
<0,none,no known property,3973.0
no checking,none,real estate,1864.0
>=200,none,life insurance,1047.0
no checking,none,real estate,433.0
0<=X<200,none,car,3711.0
0<=X<200,none,real estate,1206.0
no checking,none,real estate,1543.0
no checking,none,real estate,3380.0
>=200,none,car,1258.0
no checking,none,real estate,2073.0
<0,yes,life insurance,2606.0
no checking,none,real estate,2096.0
no checking,none,real estate,1255.0
no checking,yes,real estate,1236.0
no checking,yes,real estate,1278.0
<0,yes,life insurance,1374.0
>=200,none,life insurance,3949.0
no checking,yes,car,2390.0
0<=X<200,none,life insurance,1201.0
no checking,none,car,2788.0
no checking,none,no known property,1264.0
<0,none,car,4020.0
no checking,none,no known property,2507.0
no checking,yes,car,2397.0
0<=X<200,yes,car,3915.0
no checking,none,car,11590.0
<0,none,life insurance,7882.0
no checking,none,real estate,1495.0
no checking,none,life insurance,2255.0
0<=X<200,none,real estate,1549.0
no checking,none,life insurance,4811.0
0<=X<200,yes,real estate,1410.0
no checking,none,real estate,3448.0
0<=X<200,none,life insurance,4771.0
<0,none,real estate,2315.0
<0,none,life insurance,4788.0
no checking,none,life insurance,1568.0
no checking,none,car,1569.0
<0,yes,no known property,5998.0
no checking,yes,life insurance,1169.0
0<=X<200,none,real estate,1223.0
<0,none,car,2659.0
no checking,none,no known property,700.0
no checking,none,real estate,2848.0
<0,none,life insurance,1366.0
no checking,yes,no known property,9055.0
<0,none,real estate,1987.0
<0,yes,no known property,2924.0
0<=X<200,none,car,2622.0
no checking,none,real estate,6304.0
no checking,yes,car,4463.0
no checking,none,life insurance,7409.0
no checking,yes,car,717.0
<0,yes,car,2212.0
<0,none,car,1553.0
0<=X<200,yes,no known property,12976.0
no checking,none,no known property,1934.0
<0,none,car,4281.0
<0,yes,life insurance,2625.0
<0,yes,real estate,666.0
no checking,none,car,3488.0
0<=X<200,none,car,5234.0
no checking,yes,car,1382.0
no checking,yes,car,3349.0
no checking,yes,life insurance,1213.0
0<=X<200,none,life insurance,836.0
<0,none,life insurance,1289.0
no checking,none,life insurance,1258.0
<0,none,life insurance,2522.0
no checking,yes,real estate,1076.0
no checking,yes,real estate,3835.0
no checking,yes,no known property,1505.0
<0,none,real estate,2406.0
0<=X<200,none,life insurance,1512.0
<0,yes,no known property,7865.0
0<=X<200,yes,car,3590.0
<0,yes,no known property,3349.0
<0,yes,life insurance,7511.0
<0,none,no known property,5493.0
no checking,yes,car,1950.0
>=200,yes,car,2247.0
no checking,yes,car,2764.0
0<=X<200,none,no known property,1919.0
no checking,none,car,1313.0
0<=X<200,yes,car,6948.0
<0,none,car,1282.0
no checking,yes,no known property,2032.0
no checking,yes,car,1884.0
<0,yes,life insurance,3622.0
0<=X<200,none,real estate,958.0
no checking,yes,car,5711.0
no checking,none,car,3621.0
<0,none,no known property,4110.0
0<=X<200,none,real estate,2930.0
<0,none,car,1498.0
no checking,none,car,2578.0
<0,yes,car,1358.0
0<=X<200,none,car,2273.0
0<=X<200,none,real estate,3124.0
0<=X<200,none,life insurance,2969.0
>=200,yes,real estate,1424.0
no checking,yes,car,2670.0
no checking,none,car,1478.0
no checking,yes,no known property,3229.0
0<=X<200,none,no known property,6416.0
<0,yes,life insurance,5293.0
0<=X<200,none,life insurance,3832.0
<0,none,life insurance,5371.0
>=200,none,real estate,1344.0
no checking,yes,real estate,4042.0
<0,none,real estate,3509.0
>=200,yes,car,2360.0
0<=X<200,none,real estate,3213.0
0<=X<200,yes,life insurance,1209.0
<0,none,no known property,1198.0
no checking,none,no known property,1984.0
0<=X<200,none,life insurance,2503.0
no checking,none,car,5511.0
<0,none,real estate,1228.0
no checking,none,real estate,3832.0
<0,yes,real estate,1169.0
<0,none,life insurance,708.0
0<=X<200,none,life insurance,6560.0
no checking,none,car,1552.0
<0,yes,real estate,1382.0
no checking,none,real estate,1503.0
>=200,none,car,5152.0
0<=X<200,none,car,2899.0
0<=X<200,yes,life insurance,2064.0
<0,none,life insurance,2121.0
no checking,none,car,2406.0
no checking,none,car,3186.0
<0,yes,real estate,6999.0
no checking,yes,real estate,1386.0
no checking,none,real estate,618.0
no checking,yes,life insurance,6842.0
0<=X<200,yes,real estate,4455.0
<0,yes,no known property,11998.0
no checking,yes,car,8947.0
no checking,none,car,2394.0
0<=X<200,yes,car,9398.0
<0,yes,life insurance,6887.0
no checking,yes,real estate,672.0
0<=X<200,yes,life insurance,2762.0
no checking,yes,life insurance,5801.0
no checking,yes,life insurance,2288.0
no checking,none,real estate,1591.0
0<=X<200,none,real estate,1056.0
no checking,yes,real estate,1240.0
no checking,yes,car,11054.0
no checking,none,life insurance,909.0
0<=X<200,none,real estate,2415.0
no checking,none,life insurance,2223.0
no checking,none,real estate,2108.0
0<=X<200,none,car,2326.0
no checking,yes,no known property,1471.0
0<=X<200,yes,real estate,1935.0
no checking,none,no known property,5324.0
>=200,none,real estate,709.0
0<=X<200,none,real estate,1414.0
no checking,none,life insurance,2835.0
<0,none,life insurance,1797.0
0<=X<200,none,real estate,1037.0
0<=X<200,none,real estate,5954.0
no checking,none,real estate,4454.0
<0,none,car,3051.0
no checking,none,life insurance,1291.0
0<=X<200,none,car,3566.0
no checking,none,life insurance,1221.0
no checking,none,real estate,1544.0
0<=X<200,none,real estate,625.0
0<=X<200,yes,life insurance,2002.0
<0,none,life insurance,3123.0
no checking,none,life insurance,2708.0
no checking,none,life insurance,3565.0
>=200,none,no known property,1480.0
no checking,none,life insurance,1360.0
0<=X<200,yes,car,1158.0
0<=X<200,none,real estate,1103.0
<0,yes,life insurance,7721.0
<0,yes,real estate,1217.0
0<=X<200,yes,no known property,6468.0
0<=X<200,yes,life insurance,2039.0
0<=X<200,yes,car,2629.0
>=200,yes,no known property,1271.0
no checking,none,car,804.0
no checking,none,car,2069.0
no checking,none,car,7238.0
>=200,none,life insurance,3049.0
0<=X<200,yes,car,2631.0
0<=X<200,none,car,3441.0
no checking,yes,car,2284.0
<0,none,life insurance,1049.0
<0,none,life insurance,4169.0
0<=X<200,yes,car,5965.0
0<=X<200,yes,life insurance,6850.0
<0,none,real estate,1361.0
no checking,none,no known property,1817.0
no checking,yes,real estate,1940.0
no checking,none,real estate,1231.0
no checking,yes,car,1554.0
no checking,yes,life insurance,629.0
no checking,none,real estate,1478.0
<0,none,car,11816.0
<0,yes,life insurance,1203.0
0<=X<200,none,real estate,2576.0
0<=X<200,yes,no known property,12579.0
no checking,none,car,7596.0
no checking,none,life insurance,960.0
0<=X<200,yes,car,3979.0
no checking,yes,real estate,2058.0
