credit_amount,job,property_magnitude,purpose
1169.0,skilled,real estate,radio/tv
5951.0,skilled,real estate,radio/tv
2096.0,unskilled resident,real estate,education
7882.0,skilled,life insurance,furniture/equipment
4870.0,skilled,no known property,new car
9055.0,unskilled resident,no known property,education
2835.0,skilled,life insurance,furniture/equipment
6948.0,high qualif/self emp/mgmt,car,used car
3059.0,unskilled resident,real estate,radio/tv
5234.0,high qualif/self emp/mgmt,car,new car
1295.0,skilled,car,new car
4308.0,skilled,life insurance,business
1567.0,skilled,car,radio/tv
1199.0,unskilled resident,car,new car
1403.0,skilled,car,new car
1282.0,unskilled resident,car,radio/tv
2424.0,skilled,life insurance,radio/tv
8072.0,skilled,car,business
12579.0,high qualif/self emp/mgmt,no known property,used car
3430.0,skilled,car,radio/tv
2134.0,skilled,car,new car
2647.0,skilled,real estate,radio/tv
2241.0,unskilled resident,real estate,new car
1804.0,skilled,life insurance,used car
2069.0,skilled,car,furniture/equipment
1374.0,unskilled resident,real estate,furniture/equipment
426.0,unskilled resident,car,radio/tv
409.0,skilled,real estate,radio/tv
2415.0,skilled,real estate,radio/tv
6836.0,skilled,no known property,business
1913.0,skilled,real estate,business
4020.0,skilled,car,furniture/equipment
5866.0,skilled,car,new car
1264.0,unskilled resident,no known property,business
1474.0,high qualif/self emp/mgmt,life insurance,furniture/equipment
4746.0,unskilled resident,life insurance,radio/tv
6110.0,skilled,no known property,education
2100.0,skilled,real estate,radio/tv
1225.0,skilled,car,domestic appliance
458.0,skilled,real estate,radio/tv
2333.0,high qualif/self emp/mgmt,car,radio/tv
1158.0,skilled,car,radio/tv
6204.0,unskilled resident,real estate,repairs
6187.0,skilled,car,used car
6143.0,unskilled resident,no known property,used car
1393.0,high qualif/self emp/mgmt,car,new car
2299.0,skilled,car,radio/tv
1352.0,unemp/unskilled non res,life insurance,used car
7228.0,unskilled resident,life insurance,new car
2073.0,skilled,real estate,radio/tv
2333.0,unskilled resident,life insurance,furniture/equipment
5965.0,high qualif/self emp/mgmt,car,used car
1262.0,skilled,car,radio/tv
3378.0,skilled,life insurance,used car
2225.0,skilled,no known property,new car
783.0,unskilled resident,real estate,new car
6468.0,high qualif/self emp/mgmt,no known property,radio/tv
9566.0,skilled,car,radio/tv
1961.0,high qualif/self emp/mgmt,car,new car
6229.0,unskilled resident,no known property,furniture/equipment
1391.0,skilled,real estate,business
1537.0,skilled,real estate,radio/tv
1953.0,high qualif/self emp/mgmt,no known property,business
14421.0,skilled,car,business
3181.0,skilled,life insurance,radio/tv
5190.0,skilled,life insurance,repairs
2171.0,skilled,car,radio/tv
1007.0,skilled,real estate,new car
1819.0,skilled,no known property,education
2394.0,skilled,car,radio/tv
8133.0,skilled,life insurance,used car
730.0,unskilled resident,life insurance,radio/tv
1164.0,high qualif/self emp/mgmt,no known property,other
5954.0,unskilled resident,real estate,business
1977.0,high qualif/self emp/mgmt,no known property,education
1526.0,high qualif/self emp/mgmt,no known property,used car
3965.0,skilled,car,radio/tv
4771.0,skilled,life insurance,radio/tv
9436.0,unskilled resident,life insurance,used car
3832.0,skilled,life insurance,furniture/equipment
5943.0,skilled,car,radio/tv
1213.0,skilled,life insurance,radio/tv
1568.0,unskilled resident,life insurance,business
1755.0,unskilled resident,real estate,other
2315.0,unskilled resident,real estate,radio/tv
1412.0,high qualif/self emp/mgmt,real estate,business
1295.0,skilled,life insurance,furniture/equipment
12612.0,skilled,no known property,education
2249.0,high qualif/self emp/mgmt,car,new car
1108.0,skilled,real estate,repairs
618.0,skilled,real estate,radio/tv
1409.0,skilled,real estate,used car
797.0,unskilled resident,life insurance,radio/tv
3617.0,skilled,no known property,furniture/equipment
1318.0,skilled,real estate,new car
15945.0,skilled,no known property,business
2012.0,skilled,car,education
2622.0,skilled,car,business
2337.0,skilled,real estate,radio/tv
7057.0,high qualif/self emp/mgmt,life insurance,used car
1469.0,unskilled resident,real estate,new car
2323.0,skilled,car,radio/tv
932.0,skilled,real estate,radio/tv
1919.0,skilled,car,furniture/equipment
2445.0,skilled,car,used car
11938.0,high qualif/self emp/mgmt,car,other
6458.0,high qualif/self emp/mgmt,no known property,new car
6078.0,skilled,car,new car
7721.0,skilled,life insurance,furniture/equipment
1410.0,skilled,real estate,business
1449.0,skilled,car,business
392.0,skilled,life insurance,education
6260.0,unskilled resident,real estate,new car
7855.0,skilled,real estate,new car
1680.0,skilled,real estate,radio/tv
3578.0,skilled,real estate,radio/tv
7174.0,high qualif/self emp/mgmt,car,radio/tv
