credit/table11.job,credit/table11.property_magnitude,credit/table11.purpose,credit_amount
skilled,no known property,business,6836.0
skilled,car,education,2319.0
skilled,life insurance,used car,1236.0
skilled,life insurance,new car,5003.0
skilled,car,radio/tv,886.0
skilled,car,new car,1442.0
skilled,car,furniture/equipment,2978.0
skilled,life insurance,furniture/equipment,2359.0
skilled,car,furniture/equipment,2996.0
high qualif/self emp/mgmt,car,furniture/equipment,3780.0
skilled,life insurance,repairs,5190.0
high qualif/self emp/mgmt,no known property,radio/tv,4795.0
skilled,car,new car,697.0
skilled,car,business,4165.0
skilled,no known property,new car,3973.0
skilled,real estate,education,1864.0
unskilled resident,life insurance,education,1047.0
skilled,real estate,radio/tv,433.0
skilled,car,education,3711.0
skilled,real estate,radio/tv,1206.0
skilled,real estate,furniture/equipment,1543.0
skilled,real estate,new car,3380.0
unskilled resident,car,radio/tv,1258.0
skilled,real estate,radio/tv,2073.0
high qualif/self emp/mgmt,life insurance,radio/tv,2606.0
unskilled resident,real estate,education,2096.0
unskilled resident,real estate,new car,1255.0
skilled,real estate,domestic appliance,1236.0
high qualif/self emp/mgmt,real estate,radio/tv,1278.0
high qualif/self emp/mgmt,life insurance,new car,1374.0
unskilled resident,life insurance,new car,3949.0
skilled,car,new car,2390.0
skilled,life insurance,new car,1201.0
skilled,car,furniture/equipment,2788.0
unskilled resident,no known property,business,1264.0
skilled,car,furniture/equipment,4020.0
unskilled resident,no known property,new car,2507.0
skilled,car,radio/tv,2397.0
skilled,car,business,3915.0
unskilled resident,car,used car,11590.0
skilled,life insurance,furniture/equipment,7882.0
unskilled resident,real estate,new car,1495.0
skilled,life insurance,new car,2255.0
unemp/unskilled non res,real estate,new car,1549.0
unskilled resident,life insurance,used car,4811.0
skilled,real estate,business,1410.0
unskilled resident,real estate,business,3448.0
skilled,life insurance,radio/tv,4771.0
unskilled resident,real estate,radio/tv,2315.0
skilled,life insurance,used car,4788.0
unskilled resident,life insurance,business,1568.0
