credit/table13.duration,credit/table13.other_parties,credit_amount
60.0,none,6836.0
21.0,none,2319.0
6.0,none,1236.0
21.0,none,5003.0
12.0,none,886.0
24.0,none,1442.0
6.0,none,2978.0
24.0,none,2359.0
24.0,none,2996.0
18.0,none,3780.0
27.0,none,5190.0
36.0,none,4795.0
12.0,none,697.0
18.0,none,4165.0
14.0,none,3973.0
18.0,none,1864.0
6.0,none,1047.0
18.0,co applicant,433.0
36.0,none,3711.0
9.0,none,1206.0
6.0,none,1543.0
4.0,none,3380.0
24.0,none,1258.0
12.0,co applicant,2073.0
21.0,none,2606.0
12.0,none,2096.0
12.0,none,1255.0
9.0,none,1236.0
24.0,none,1278.0
6.0,none,1374.0
10.0,guarantor,3949.0
12.0,none,2390.0
24.0,none,1201.0
15.0,co applicant,2788.0
12.0,none,1264.0
24.0,none,4020.0
9.0,none,2507.0
24.0,none,2397.0
27.0,none,3915.0
48.0,none,11590.0
42.0,guarantor,7882.0
12.0,none,1495.0
24.0,none,2255.0
9.0,none,1549.0
30.0,none,4811.0
14.0,none,1410.0
5.0,none,3448.0
11.0,none,4771.0
10.0,none,2315.0
48.0,none,4788.0
18.0,none,1568.0
15.0,none,1569.0
40.0,none,5998.0
18.0,none,1169.0
12.0,none,1223.0
18.0,none,2659.0
6.0,none,700.0
10.0,co applicant,2848.0
9.0,none,1366.0
36.0,none,9055.0
24.0,none,1987.0
24.0,guarantor,2924.0
18.0,none,2622.0
36.0,none,6304.0
36.0,none,4463.0
36.0,none,7409.0
24.0,none,717.0
20.0,none,2212.0
18.0,none,1553.0
18.0,none,12976.0
12.0,none,1934.0
33.0,none,4281.0
16.0,guarantor,2625.0
6.0,none,666.0
24.0,none,3488.0
30.0,none,5234.0
6.0,none,1382.0
36.0,none,3349.0
15.0,none,1213.0
12.0,none,836.0
12.0,guarantor,1289.0
12.0,none,1258.0
30.0,guarantor,2522.0
12.0,none,1076.0
36.0,none,3835.0
18.0,none,1505.0
30.0,none,2406.0
15.0,none,1512.0
12.0,none,7865.0
18.0,none,3590.0
24.0,none,3349.0
18.0,none,7511.0
36.0,none,5493.0
18.0,none,1950.0
12.0,none,2247.0
33.0,none,2764.0
30.0,none,1919.0
9.0,none,1313.0
36.0,none,6948.0
12.0,none,1282.0
24.0,none,2032.0
12.0,none,1884.0
30.0,none,3622.0
12.0,none,958.0
36.0,none,5711.0
24.0,none,3621.0
24.0,none,4110.0
12.0,none,2930.0
12.0,none,1498.0
24.0,none,2578.0
24.0,none,1358.0
36.0,none,2273.0
12.0,none,3124.0
12.0,none,2969.0
12.0,none,1424.0
24.0,none,2670.0
9.0,none,1478.0
18.0,none,3229.0
48.0,none,6416.0
27.0,none,5293.0
30.0,none,3832.0
36.0,guarantor,5371.0
24.0,none,1344.0
42.0,none,4042.0
18.0,guarantor,3509.0
15.0,none,2360.0
18.0,none,3213.0
6.0,none,1209.0
6.0,none,1198.0
18.0,none,1984.0
30.0,none,2503.0
24.0,none,5511.0
12.0,none,1228.0
9.0,none,3832.0
6.0,none,1169.0
12.0,guarantor,708.0
48.0,none,6560.0
24.0,none,1552.0
24.0,none,1382.0
12.0,none,1503.0
24.0,none,5152.0
18.0,none,2899.0
24.0,none,2064.0
12.0,none,2121.0
9.0,none,2406.0
15.0,none,3186.0
48.0,guarantor,6999.0
15.0,none,1386.0
12.0,none,618.0
24.0,none,6842.0
36.0,none,4455.0
30.0,none,11998.0
36.0,none,8947.0
36.0,none,2394.0
36.0,none,9398.0
36.0,none,6887.0
6.0,none,672.0
12.0,none,2762.0
12.0,none,5801.0
21.0,none,2288.0
21.0,none,1591.0
18.0,guarantor,1056.0
12.0,none,1240.0
36.0,none,11054.0
