credit/table4.checking_status,credit/table4.credit_history,credit/table4.duration,credit_amount
<0,delayed previously,60.0,6836.0
>=200,critical/other existing credit,21.0,2319.0
no checking,existing paid,6.0,1236.0
no checking,no credits/all paid,21.0,5003.0
no checking,existing paid,12.0,886.0
<0,existing paid,24.0,1442.0
no checking,existing paid,6.0,2978.0
<0,existing paid,24.0,2359.0
<0,existing paid,24.0,2996.0
no checking,critical/other existing credit,18.0,3780.0
no checking,existing paid,27.0,5190.0
0<=X<200,existing paid,36.0,4795.0
<0,all paid,12.0,697.0
no checking,no credits/all paid,18.0,4165.0
<0,existing paid,14.0,3973.0
no checking,critical/other existing credit,18.0,1864.0
>=200,critical/other existing credit,6.0,1047.0
no checking,existing paid,18.0,433.0
0<=X<200,existing paid,36.0,3711.0
0<=X<200,existing paid,9.0,1206.0
no checking,existing paid,6.0,1543.0
no checking,critical/other existing credit,4.0,3380.0
>=200,existing paid,24.0,1258.0
no checking,existing paid,12.0,2073.0
<0,existing paid,21.0,2606.0
no checking,critical/other existing credit,12.0,2096.0
no checking,critical/other existing credit,12.0,1255.0
no checking,existing paid,9.0,1236.0
no checking,existing paid,24.0,1278.0
<0,existing paid,6.0,1374.0
>=200,existing paid,10.0,3949.0
no checking,existing paid,12.0,2390.0
0<=X<200,existing paid,24.0,1201.0
no checking,critical/other existing credit,15.0,2788.0
no checking,critical/other existing credit,12.0,1264.0
<0,existing paid,24.0,4020.0
no checking,existing paid,9.0,2507.0
no checking,existing paid,24.0,2397.0
0<=X<200,existing paid,27.0,3915.0
no checking,critical/other existing credit,48.0,11590.0
<0,existing paid,42.0,7882.0
no checking,critical/other existing credit,12.0,1495.0
no checking,existing paid,24.0,2255.0
0<=X<200,existing paid,9.0,1549.0
no checking,existing paid,30.0,4811.0
0<=X<200,existing paid,14.0,1410.0
no checking,existing paid,5.0,3448.0
0<=X<200,delayed previously,11.0,4771.0
<0,existing paid,10.0,2315.0
<0,existing paid,48.0,4788.0
no checking,existing paid,18.0,1568.0
no checking,all paid,15.0,1569.0
<0,critical/other existing credit,40.0,5998.0
no checking,critical/other existing credit,18.0,1169.0
0<=X<200,existing paid,12.0,1223.0
<0,existing paid,18.0,2659.0
no checking,critical/other existing credit,6.0,700.0
no checking,existing paid,10.0,2848.0
<0,existing paid,9.0,1366.0
no checking,existing paid,36.0,9055.0
<0,existing paid,24.0,1987.0
<0,existing paid,24.0,2924.0
0<=X<200,existing paid,18.0,2622.0
no checking,critical/other existing credit,36.0,6304.0
no checking,delayed previously,36.0,4463.0
no checking,existing paid,36.0,7409.0
no checking,delayed previously,24.0,717.0
<0,existing paid,20.0,2212.0
<0,all paid,18.0,1553.0
0<=X<200,existing paid,18.0,12976.0
no checking,critical/other existing credit,12.0,1934.0
<0,critical/other existing credit,33.0,4281.0
<0,critical/other existing credit,16.0,2625.0
<0,critical/other existing credit,6.0,666.0
no checking,existing paid,24.0,3488.0
0<=X<200,critical/other existing credit,30.0,5234.0
no checking,critical/other existing credit,6.0,1382.0
no checking,existing paid,36.0,3349.0
no checking,existing paid,15.0,1213.0
0<=X<200,existing paid,12.0,836.0
<0,existing paid,12.0,1289.0
no checking,critical/other existing credit,12.0,1258.0
<0,existing paid,30.0,2522.0
no checking,existing paid,12.0,1076.0
no checking,existing paid,36.0,3835.0
no checking,existing paid,18.0,1505.0
<0,existing paid,30.0,2406.0
0<=X<200,delayed previously,15.0,1512.0
<0,existing paid,12.0,7865.0
0<=X<200,critical/other existing credit,18.0,3590.0
<0,all paid,24.0,3349.0
<0,existing paid,18.0,7511.0
<0,existing paid,36.0,5493.0
no checking,existing paid,18.0,1950.0
>=200,delayed previously,12.0,2247.0
no checking,delayed previously,33.0,2764.0
0<=X<200,delayed previously,30.0,1919.0
no checking,existing paid,9.0,1313.0
0<=X<200,existing paid,36.0,6948.0
<0,existing paid,12.0,1282.0
no checking,delayed previously,24.0,2032.0
no checking,existing paid,12.0,1884.0
<0,existing paid,30.0,3622.0
0<=X<200,critical/other existing credit,12.0,958.0
no checking,critical/other existing credit,36.0,5711.0
no checking,existing paid,24.0,3621.0
<0,no credits/all paid,24.0,4110.0
0<=X<200,existing paid,12.0,2930.0
<0,existing paid,12.0,1498.0
no checking,critical/other existing credit,24.0,2578.0
<0,all paid,24.0,1358.0
0<=X<200,existing paid,36.0,2273.0
0<=X<200,critical/other existing credit,12.0,3124.0
0<=X<200,no credits/all paid,12.0,2969.0
>=200,existing paid,12.0,1424.0
no checking,existing paid,24.0,2670.0
no checking,existing paid,9.0,1478.0
no checking,critical/other existing credit,18.0,3229.0
0<=X<200,all paid,48.0,6416.0
<0,no credits/all paid,27.0,5293.0
0<=X<200,existing paid,30.0,3832.0
<0,critical/other existing credit,36.0,5371.0
>=200,critical/other existing credit,24.0,1344.0
no checking,critical/other existing credit,42.0,4042.0
<0,existing paid,18.0,3509.0
>=200,critical/other existing credit,15.0,2360.0
0<=X<200,existing paid,18.0,3213.0
0<=X<200,delayed previously,6.0,1209.0
<0,all paid,6.0,1198.0
no checking,existing paid,18.0,1984.0
0<=X<200,delayed previously,30.0,2503.0
no checking,existing paid,24.0,5511.0
<0,existing paid,12.0,1228.0
no checking,existing paid,9.0,3832.0
<0,critical/other existing credit,6.0,1169.0
<0,existing paid,12.0,708.0
0<=X<200,existing paid,48.0,6560.0
no checking,existing paid,24.0,1552.0
<0,critical/other existing credit,24.0,1382.0
no checking,delayed previously,12.0,1503.0
>=200,existing paid,24.0,5152.0
0<=X<200,delayed previously,18.0,2899.0
0<=X<200,delayed previously,24.0,2064.0
<0,critical/other existing credit,12.0,2121.0
no checking,critical/other existing credit,9.0,2406.0
no checking,existing paid,15.0,3186.0
<0,existing paid,48.0,6999.0
no checking,existing paid,15.0,1386.0
no checking,critical/other existing credit,12.0,618.0
no checking,critical/other existing credit,24.0,6842.0
0<=X<200,delayed previously,36.0,4455.0
<0,existing paid,30.0,11998.0
no checking,delayed previously,36.0,8947.0
no checking,existing paid,36.0,2394.0
0<=X<200,existing paid,36.0,9398.0
<0,delayed previously,36.0,6887.0
no checking,existing paid,6.0,672.0
0<=X<200,existing paid,12.0,2762.0
no checking,critical/other existing credit,12.0,5801.0
no checking,critical/other existing credit,21.0,2288.0
no checking,delayed previously,21.0,1591.0
0<=X<200,critical/other existing credit,18.0,1056.0
no checking,critical/other existing credit,12.0,1240.0
no checking,critical/other existing credit,36.0,11054.0
no checking,existing paid,36.0,909.0
0<=X<200,existing paid,7.0,2415.0
no checking,critical/other existing credit,24.0,2223.0
no checking,existing paid,6.0,2108.0
0<=X<200,critical/other existing credit,15.0,2326.0
no checking,critical/other existing credit,15.0,1471.0
0<=X<200,critical/other existing credit,24.0,1935.0
no checking,existing paid,15.0,5324.0
>=200,existing paid,6.0,709.0
0<=X<200,existing paid,8.0,1414.0
no checking,existing paid,24.0,2835.0
<0,critical/other existing credit,13.0,1797.0
0<=X<200,existing paid,12.0,1037.0
0<=X<200,critical/other existing credit,42.0,5954.0
no checking,delayed previously,36.0,4454.0
<0,existing paid,48.0,3051.0
no checking,critical/other existing credit,12.0,1291.0
0<=X<200,all paid,48.0,3566.0
no checking,critical/other existing credit,6.0,1221.0
no checking,critical/other existing credit,4.0,1544.0
0<=X<200,existing paid,12.0,625.0
0<=X<200,existing paid,12.0,2002.0
<0,existing paid,24.0,3123.0
no checking,existing paid,15.0,2708.0
no checking,critical/other existing credit,12.0,3565.0
>=200,critical/other existing credit,12.0,1480.0
no checking,critical/other existing credit,15.0,1360.0
0<=X<200,existing paid,12.0,1158.0
0<=X<200,existing paid,12.0,1103.0
<0,existing paid,24.0,7721.0
<0,existing paid,18.0,1217.0
0<=X<200,existing paid,12.0,6468.0
0<=X<200,existing paid,24.0,2039.0
0<=X<200,delayed previously,20.0,2629.0
>=200,critical/other existing credit,15.0,1271.0
no checking,existing paid,12.0,804.0
no checking,critical/other existing credit,10.0,2069.0
no checking,delayed previously,48.0,7238.0
>=200,existing paid,18.0,3049.0
0<=X<200,existing paid,15.0,2631.0
0<=X<200,existing paid,30.0,3441.0
no checking,existing paid,24.0,2284.0
<0,critical/other existing credit,18.0,1049.0
<0,existing paid,24.0,4169.0
0<=X<200,delayed previously,27.0,5965.0
0<=X<200,all paid,15.0,6850.0
<0,critical/other existing credit,6.0,1361.0
no checking,critical/other existing credit,18.0,1817.0
no checking,critical/other existing credit,24.0,1940.0
no checking,critical/other existing credit,10.0,1231.0
no checking,critical/other existing credit,6.0,1554.0
no checking,critical/other existing credit,18.0,629.0
no checking,delayed previously,15.0,1478.0
<0,no credits/all paid,45.0,11816.0
<0,existing paid,6.0,1203.0
0<=X<200,existing paid,7.0,2576.0
0<=X<200,existing paid,24.0,12579.0
no checking,critical/other existing credit,30.0,7596.0
no checking,delayed previously,15.0,960.0
0<=X<200,existing paid,48.0,3979.0
no checking,critical/other existing credit,24.0,2058.0
<0,existing paid,18.0,3650.0
<0,existing paid,24.0,1755.0
0<=X<200,critical/other existing credit,15.0,1537.0
no checking,existing paid,12.0,1493.0
0<=X<200,all paid,48.0,12169.0
<0,existing paid,47.0,10722.0
0<=X<200,existing paid,18.0,1239.0
no checking,existing paid,10.0,727.0
<0,critical/other existing credit,11.0,3905.0
no checking,existing paid,6.0,4611.0
0<=X<200,existing paid,12.0,1567.0
<0,all paid,21.0,1647.0
<0,existing paid,36.0,3446.0
no checking,existing paid,24.0,9277.0
0<=X<200,no credits/all paid,48.0,12204.0
no checking,delayed previously,24.0,2978.0
no checking,existing paid,24.0,5433.0
0<=X<200,existing paid,15.0,1514.0
0<=X<200,delayed previously,36.0,8086.0
<0,delayed previously,24.0,1333.0
no checking,existing paid,9.0,1388.0
no checking,existing paid,9.0,1980.0
<0,existing paid,12.0,2577.0
no checking,critical/other existing credit,24.0,6314.0
no checking,critical/other existing credit,6.0,2080.0
<0,existing paid,18.0,2039.0
no checking,existing paid,15.0,874.0
<0,critical/other existing credit,6.0,1957.0
0<=X<200,existing paid,10.0,7308.0
>=200,existing paid,24.0,1925.0
0<=X<200,existing paid,24.0,1355.0
<0,existing paid,12.0,795.0
>=200,critical/other existing credit,30.0,3017.0
<0,all paid,48.0,7685.0
no checking,critical/other existing credit,12.0,2292.0
<0,existing paid,36.0,1977.0
no checking,critical/other existing credit,36.0,7855.0
no checking,critical/other existing credit,18.0,2775.0
0<=X<200,delayed previously,21.0,2353.0
no checking,existing paid,18.0,1820.0
no checking,existing paid,12.0,2445.0
<0,existing paid,12.0,1680.0
<0,delayed previously,18.0,8471.0
0<=X<200,existing paid,26.0,7966.0
<0,existing paid,12.0,3386.0
>=200,critical/other existing credit,12.0,939.0
no checking,critical/other existing credit,12.0,797.0
<0,existing paid,24.0,1747.0
<0,no credits/all paid,12.0,1108.0
0<=X<200,existing paid,13.0,2101.0
<0,existing paid,24.0,6579.0
no checking,delayed previously,48.0,12749.0
no checking,critical/other existing credit,12.0,522.0
<0,all paid,24.0,2828.0
0<=X<200,existing paid,24.0,2718.0
>=200,existing paid,10.0,1240.0
0<=X<200,existing paid,12.0,1318.0
<0,existing paid,48.0,4308.0
<0,existing paid,12.0,2578.0
no checking,existing paid,24.0,1311.0
<0,critical/other existing credit,30.0,6187.0
0<=X<200,delayed previously,18.0,6204.0
0<=X<200,existing paid,6.0,1068.0
0<=X<200,existing paid,11.0,1577.0
no checking,critical/other existing credit,24.0,1585.0
<0,all paid,18.0,1940.0
0<=X<200,no credits/all paid,24.0,4241.0
>=200,critical/other existing credit,6.0,1299.0
no checking,existing paid,24.0,1469.0
no checking,critical/other existing credit,28.0,2743.0
no checking,existing paid,12.0,1963.0
0<=X<200,critical/other existing credit,48.0,5096.0
<0,existing paid,12.0,2579.0
no checking,delayed previously,36.0,7678.0
0<=X<200,critical/other existing credit,30.0,2181.0
no checking,existing paid,6.0,1538.0
<0,critical/other existing credit,6.0,338.0
0<=X<200,delayed previously,39.0,11760.0
0<=X<200,critical/other existing credit,24.0,4736.0
>=200,existing paid,24.0,2892.0
no checking,critical/other existing credit,6.0,1740.0
0<=X<200,delayed previously,36.0,9857.0
>=200,existing paid,12.0,1330.0
>=200,critical/other existing credit,30.0,3656.0
<0,existing paid,18.0,976.0
<0,all paid,12.0,2149.0
<0,existing paid,48.0,7763.0
<0,critical/other existing credit,6.0,3384.0
<0,existing paid,24.0,1282.0
no checking,critical/other existing credit,18.0,1028.0
no checking,existing paid,24.0,1393.0
no checking,existing paid,12.0,707.0
<0,critical/other existing credit,21.0,571.0
<0,existing paid,36.0,8229.0
<0,critical/other existing credit,10.0,2241.0
