credit/table6.age,credit/table6.other_payment_plans,credit/table6.personal_status,credit_amount
63.0,none,male single,6836.0
33.0,none,male div/sep,2319.0
50.0,none,male single,1236.0
29.0,bank,female div/dep/mar,5003.0
21.0,none,female div/dep/mar,886.0
23.0,none,female div/dep/mar,1442.0
32.0,none,male single,2978.0
33.0,none,male div/sep,2359.0
20.0,none,male mar/wid,2996.0
35.0,none,male div/sep,3780.0
48.0,none,male single,5190.0
30.0,none,female div/dep/mar,4795.0
46.0,bank,male single,697.0
36.0,stores,male single,4165.0
22.0,none,male single,3973.0
30.0,none,female div/dep/mar,1864.0
50.0,none,female div/dep/mar,1047.0
22.0,none,female div/dep/mar,433.0
27.0,none,male mar/wid,3711.0
25.0,none,female div/dep/mar,1206.0
33.0,none,male div/sep,1543.0
37.0,none,female div/dep/mar,3380.0
57.0,none,female div/dep/mar,1258.0
28.0,none,female div/dep/mar,2073.0
28.0,none,female div/dep/mar,2606.0
49.0,none,male single,2096.0
61.0,none,male single,1255.0
23.0,none,female div/dep/mar,1236.0
36.0,none,male single,1278.0
75.0,none,female div/dep/mar,1374.0
37.0,none,male single,3949.0
50.0,none,male single,2390.0
26.0,none,male single,1201.0
24.0,bank,female div/dep/mar,2788.0
57.0,none,male single,1264.0
27.0,stores,male single,4020.0
51.0,none,male single,2507.0
35.0,bank,male single,2397.0
36.0,none,male single,3915.0
24.0,bank,female div/dep/mar,11590.0
45.0,none,male single,7882.0
38.0,none,male single,1495.0
54.0,none,male single,2255.0
35.0,none,male single,1549.0
24.0,stores,female div/dep/mar,4811.0
35.0,none,male mar/wid,1410.0
74.0,none,male single,3448.0
51.0,none,male single,4771.0
52.0,none,male single,2315.0
26.0,none,male single,4788.0
24.0,none,female div/dep/mar,1568.0
34.0,bank,male single,1569.0
27.0,bank,male single,5998.0
29.0,none,male single,1169.0
46.0,none,male div/sep,1223.0
28.0,none,male single,2659.0
36.0,none,male single,700.0
32.0,none,male single,2848.0
22.0,none,female div/dep/mar,1366.0
35.0,none,male single,9055.0
21.0,none,male single,1987.0
63.0,bank,male single,2924.0
34.0,none,male single,2622.0
36.0,none,male single,6304.0
26.0,none,male single,4463.0
37.0,none,male single,7409.0
54.0,none,male mar/wid,717.0
39.0,none,male single,2212.0
44.0,bank,male single,1553.0
38.0,none,female div/dep/mar,12976.0
26.0,none,male single,1934.0
23.0,none,female div/dep/mar,4281.0
43.0,bank,male single,2625.0
39.0,none,female div/dep/mar,666.0
23.0,none,female div/dep/mar,3488.0
28.0,none,male mar/wid,5234.0
28.0,none,female div/dep/mar,1382.0
28.0,none,female div/dep/mar,3349.0
47.0,stores,male single,1213.0
23.0,bank,female div/dep/mar,836.0
21.0,none,male single,1289.0
22.0,none,female div/dep/mar,1258.0
39.0,none,male single,2522.0
