credit/table7.duration,credit/table7.installment_commitment,credit/table7.savings_status,credit_amount
60.0,3.0,<100,6836.0
21.0,2.0,<100,2319.0
6.0,2.0,500<=X<1000,1236.0
21.0,1.0,no known savings,5003.0
12.0,4.0,no known savings,886.0
24.0,4.0,<100,1442.0
6.0,1.0,500<=X<1000,2978.0
24.0,1.0,100<=X<500,2359.0
24.0,2.0,no known savings,2996.0
18.0,3.0,<100,3780.0
27.0,4.0,no known savings,5190.0
36.0,4.0,<100,4795.0
12.0,4.0,<100,697.0
18.0,2.0,<100,4165.0
14.0,1.0,<100,3973.0
18.0,4.0,100<=X<500,1864.0
6.0,2.0,<100,1047.0
18.0,3.0,<100,433.0
36.0,2.0,no known savings,3711.0
9.0,4.0,<100,1206.0
6.0,4.0,>=1000,1543.0
4.0,1.0,<100,3380.0
24.0,3.0,500<=X<1000,1258.0
12.0,4.0,100<=X<500,2073.0
21.0,4.0,<100,2606.0
12.0,2.0,<100,2096.0
12.0,4.0,<100,1255.0
9.0,1.0,<100,1236.0
24.0,4.0,<100,1278.0
6.0,4.0,no known savings,1374.0
10.0,1.0,<100,3949.0
12.0,4.0,no known savings,2390.0
24.0,4.0,<100,1201.0
15.0,2.0,<100,2788.0
12.0,4.0,no known savings,1264.0
24.0,2.0,<100,4020.0
9.0,2.0,500<=X<1000,2507.0
24.0,3.0,500<=X<1000,2397.0
27.0,4.0,<100,3915.0
48.0,2.0,100<=X<500,11590.0
42.0,2.0,<100,7882.0
12.0,4.0,<100,1495.0
24.0,4.0,no known savings,2255.0
9.0,4.0,no known savings,1549.0
30.0,2.0,no known savings,4811.0
14.0,1.0,500<=X<1000,1410.0
5.0,1.0,<100,3448.0
11.0,2.0,<100,4771.0
10.0,3.0,<100,2315.0
48.0,4.0,<100,4788.0
18.0,3.0,100<=X<500,1568.0
15.0,4.0,100<=X<500,1569.0
40.0,4.0,<100,5998.0
18.0,4.0,no known savings,1169.0
12.0,1.0,<100,1223.0
18.0,4.0,>=1000,2659.0
6.0,4.0,no known savings,700.0
10.0,1.0,100<=X<500,2848.0
9.0,3.0,<100,1366.0
36.0,2.0,no known savings,9055.0
24.0,2.0,<100,1987.0
24.0,3.0,<100,2924.0
18.0,4.0,100<=X<500,2622.0
36.0,4.0,no known savings,6304.0
36.0,4.0,<100,4463.0
36.0,3.0,no known savings,7409.0
24.0,4.0,no known savings,717.0
20.0,4.0,no known savings,2212.0
18.0,4.0,<100,1553.0
18.0,3.0,<100,12976.0
12.0,2.0,<100,1934.0
33.0,1.0,500<=X<1000,4281.0
16.0,2.0,<100,2625.0
6.0,3.0,>=1000,666.0
24.0,3.0,100<=X<500,3488.0
30.0,4.0,<100,5234.0
6.0,1.0,<100,1382.0
36.0,4.0,<100,3349.0
15.0,4.0,500<=X<1000,1213.0
12.0,4.0,100<=X<500,836.0
12.0,4.0,<100,1289.0
12.0,2.0,<100,1258.0
30.0,1.0,<100,2522.0
12.0,2.0,<100,1076.0
36.0,2.0,no known savings,3835.0
18.0,4.0,<100,1505.0
30.0,4.0,<100,2406.0
15.0,3.0,>=1000,1512.0
12.0,4.0,<100,7865.0
18.0,3.0,<100,3590.0
24.0,4.0,500<=X<1000,3349.0
18.0,1.0,no known savings,7511.0
36.0,2.0,<100,5493.0
18.0,4.0,<100,1950.0
12.0,2.0,<100,2247.0
33.0,2.0,<100,2764.0
30.0,4.0,100<=X<500,1919.0
9.0,1.0,<100,1313.0
36.0,2.0,<100,6948.0
12.0,2.0,<100,1282.0
24.0,4.0,<100,2032.0
12.0,4.0,<100,1884.0
30.0,4.0,>=1000,3622.0
12.0,2.0,<100,958.0
36.0,4.0,>=1000,5711.0
24.0,2.0,100<=X<500,3621.0
24.0,3.0,<100,4110.0
12.0,2.0,<100,2930.0
12.0,4.0,<100,1498.0
24.0,2.0,>=1000,2578.0
24.0,4.0,no known savings,1358.0
36.0,3.0,<100,2273.0
12.0,1.0,<100,3124.0
12.0,4.0,<100,2969.0
12.0,3.0,no known savings,1424.0
24.0,4.0,<100,2670.0
9.0,4.0,<100,1478.0
18.0,2.0,no known savings,3229.0
48.0,4.0,<100,6416.0
27.0,2.0,<100,5293.0
30.0,2.0,<100,3832.0
36.0,3.0,<100,5371.0
24.0,4.0,no known savings,1344.0
42.0,4.0,500<=X<1000,4042.0
18.0,4.0,<100,3509.0
15.0,2.0,500<=X<1000,2360.0
18.0,1.0,500<=X<1000,3213.0
6.0,4.0,<100,1209.0
6.0,4.0,<100,1198.0
18.0,4.0,<100,1984.0
30.0,4.0,100<=X<500,2503.0
24.0,4.0,100<=X<500,5511.0
12.0,4.0,<100,1228.0
9.0,1.0,no known savings,3832.0
6.0,4.0,no known savings,1169.0
12.0,2.0,<100,708.0
48.0,3.0,100<=X<500,6560.0
24.0,3.0,<100,1552.0
24.0,4.0,100<=X<500,1382.0
12.0,4.0,<100,1503.0
24.0,4.0,<100,5152.0
18.0,4.0,no known savings,2899.0
24.0,3.0,<100,2064.0
12.0,4.0,<100,2121.0
9.0,2.0,<100,2406.0
15.0,2.0,>=1000,3186.0
48.0,1.0,<100,6999.0
15.0,4.0,no known savings,1386.0
12.0,4.0,<100,618.0
24.0,2.0,no known savings,6842.0
36.0,2.0,<100,4455.0
30.0,1.0,<100,11998.0
36.0,3.0,no known savings,8947.0
36.0,4.0,no known savings,2394.0
36.0,1.0,<100,9398.0
36.0,4.0,<100,6887.0
