credit/table9.housing,credit/table9.property_magnitude,credit/table9.residence_since,credit_amount
own,no known property,4.0,6836.0
rent,car,1.0,2319.0
rent,life insurance,4.0,1236.0
own,life insurance,4.0,5003.0
own,car,2.0,886.0
rent,car,4.0,1442.0
own,car,2.0,2978.0
own,life insurance,1.0,2359.0
own,car,4.0,2996.0
own,car,2.0,3780.0
own,life insurance,4.0,5190.0
own,no known property,1.0,4795.0
own,car,2.0,697.0
own,car,2.0,4165.0
for free,no known property,4.0,3973.0
own,real estate,2.0,1864.0
own,life insurance,4.0,1047.0
rent,real estate,4.0,433.0
own,car,2.0,3711.0
own,real estate,4.0,1206.0
own,real estate,2.0,1543.0
own,real estate,1.0,3380.0
own,car,3.0,1258.0
own,real estate,2.0,2073.0
rent,life insurance,4.0,2606.0
own,real estate,3.0,2096.0
own,real estate,4.0,1255.0
rent,real estate,4.0,1236.0
own,real estate,1.0,1278.0
own,life insurance,3.0,1374.0
own,life insurance,1.0,3949.0
own,car,3.0,2390.0
own,life insurance,1.0,1201.0
own,car,3.0,2788.0
rent,no known property,4.0,1264.0
own,car,2.0,4020.0
for free,no known property,4.0,2507.0
own,car,2.0,2397.0
own,car,2.0,3915.0
rent,car,4.0,11590.0
for free,life insurance,4.0,7882.0
own,real estate,1.0,1495.0
own,life insurance,1.0,2255.0
own,real estate,2.0,1549.0
rent,life insurance,4.0,4811.0
own,real estate,2.0,1410.0
own,real estate,4.0,3448.0
own,life insurance,4.0,4771.0
own,real estate,4.0,2315.0
own,life insurance,3.0,4788.0
rent,life insurance,4.0,1568.0
own,car,4.0,1569.0
own,no known property,3.0,5998.0
own,life insurance,3.0,1169.0
rent,real estate,1.0,1223.0
own,car,2.0,2659.0
for free,no known property,4.0,700.0
own,real estate,2.0,2848.0
rent,life insurance,4.0,1366.0
for free,no known property,4.0,9055.0
rent,real estate,4.0,1987.0
own,no known property,4.0,2924.0
own,car,4.0,2622.0
own,real estate,4.0,6304.0
own,car,2.0,4463.0
own,life insurance,2.0,7409.0
own,car,4.0,717.0
own,car,4.0,2212.0
own,car,3.0,1553.0
for free,no known property,4.0,12976.0
own,no known property,2.0,1934.0
own,car,4.0,4281.0
rent,life insurance,4.0,2625.0
own,real estate,4.0,666.0
own,car,4.0,3488.0
own,car,2.0,5234.0
own,car,1.0,1382.0
own,car,2.0,3349.0
own,life insurance,3.0,1213.0
own,life insurance,2.0,836.0
own,life insurance,1.0,1289.0
rent,life insurance,4.0,1258.0
own,life insurance,3.0,2522.0
own,real estate,2.0,1076.0
own,real estate,4.0,3835.0
for free,no known property,2.0,1505.0
rent,real estate,4.0,2406.0
own,life insurance,3.0,1512.0
for free,no known property,4.0,7865.0
own,car,3.0,3590.0
for free,no known property,4.0,3349.0
for free,life insurance,4.0,7511.0
for free,no known property,4.0,5493.0
own,car,1.0,1950.0
own,car,2.0,2247.0
own,car,2.0,2764.0
own,no known property,3.0,1919.0
own,car,4.0,1313.0
rent,car,2.0,6948.0
rent,car,4.0,1282.0
for free,no known property,4.0,2032.0
own,car,4.0,1884.0
rent,life insurance,4.0,3622.0
own,real estate,3.0,958.0
own,car,2.0,5711.0
own,car,4.0,3621.0
rent,no known property,4.0,4110.0
own,real estate,1.0,2930.0
own,car,1.0,1498.0
own,car,2.0,2578.0
own,car,3.0,1358.0
own,car,1.0,2273.0
own,real estate,3.0,3124.0
rent,life insurance,3.0,2969.0
own,real estate,4.0,1424.0
own,car,4.0,2670.0
