class,residence_since,num_dependents,employment,Key_0_0
good,4.0,1.0,>=7,941
bad,2.0,1.0,1<=X<4,825
good,3.0,2.0,4<=X<7,281
good,4.0,2.0,4<=X<7,607
bad,4.0,2.0,1<=X<4,1
good,4.0,2.0,1<=X<4,925
good,4.0,1.0,>=7,770
good,2.0,1.0,1<=X<4,723
good,4.0,1.0,4<=X<7,668
bad,2.0,1.0,unemployed,811
bad,1.0,1.0,<1,803
bad,4.0,1.0,<1,330
good,1.0,1.0,1<=X<4,679
bad,4.0,1.0,>=7,111
good,4.0,1.0,1<=X<4,699
bad,2.0,1.0,1<=X<4,701
good,4.0,1.0,>=7,834
good,3.0,1.0,<1,140
bad,2.0,1.0,>=7,915
good,2.0,2.0,>=7,802
good,4.0,1.0,1<=X<4,79
good,3.0,2.0,1<=X<4,357
good,3.0,2.0,<1,5
good,4.0,1.0,<1,76
good,1.0,1.0,1<=X<4,373
good,2.0,1.0,1<=X<4,844
good,4.0,1.0,>=7,896
good,3.0,1.0,1<=X<4,57
good,2.0,1.0,1<=X<4,8
bad,4.0,1.0,>=7,15
good,3.0,1.0,<1,720
good,2.0,1.0,1<=X<4,407
good,2.0,1.0,1<=X<4,557
good,4.0,1.0,>=7,25
good,1.0,1.0,<1,194
bad,2.0,1.0,<1,450
good,3.0,1.0,1<=X<4,402
bad,2.0,1.0,1<=X<4,411
good,2.0,1.0,1<=X<4,319
good,3.0,1.0,1<=X<4,366
good,2.0,1.0,>=7,824
good,1.0,1.0,1<=X<4,99
good,4.0,2.0,1<=X<4,906
good,4.0,1.0,4<=X<7,282
bad,4.0,1.0,>=7,176
good,4.0,1.0,<1,173
good,4.0,1.0,>=7,151
good,2.0,1.0,unemployed,171
good,4.0,1.0,1<=X<4,589
good,2.0,1.0,1<=X<4,164
good,2.0,1.0,<1,418
good,2.0,1.0,>=7,860
good,2.0,1.0,1<=X<4,311
good,1.0,1.0,1<=X<4,206
bad,4.0,1.0,>=7,290
good,2.0,2.0,1<=X<4,736
bad,1.0,1.0,unemployed,256
good,2.0,1.0,1<=X<4,95
good,2.0,1.0,>=7,651
bad,4.0,1.0,<1,719
