Key_1_1,property_magnitude,installment_commitment,foreign_worker
386,real estate,4.0,yes
239,real estate,2.0,yes
839,real estate,2.0,yes
20,life insurance,2.0,yes
170,no known property,3.0,yes
356,no known property,2.0,yes
691,life insurance,3.0,yes
858,car,2.0,yes
633,real estate,2.0,yes
859,car,4.0,yes
346,car,3.0,yes
784,life insurance,3.0,yes
19,car,1.0,yes
105,car,4.0,yes
849,car,2.0,yes
50,car,4.0,yes
818,life insurance,4.0,yes
467,car,2.0,yes
330,no known property,4.0,yes
128,car,3.0,yes
60,car,4.0,yes
641,real estate,2.0,yes
240,real estate,1.0,no
443,life insurance,3.0,yes
772,car,2.0,no
765,real estate,1.0,yes
47,car,4.0,yes
565,real estate,3.0,yes
31,real estate,3.0,yes
461,no known property,3.0,yes
112,real estate,3.0,yes
834,car,2.0,yes
74,car,2.0,yes
504,no known property,4.0,yes
581,life insurance,4.0,yes
122,life insurance,4.0,yes
3,no known property,1.0,yes
771,real estate,4.0,yes
597,car,2.0,yes
53,real estate,4.0,yes
777,car,4.0,yes
692,car,3.0,yes
22,real estate,2.0,yes
236,car,1.0,yes
648,no known property,4.0,yes
7,car,4.0,yes
799,car,4.0,yes
968,life insurance,1.0,yes
283,life insurance,1.0,yes
933,real estate,4.0,yes
920,life insurance,4.0,yes
202,car,1.0,yes
757,car,3.0,yes
457,life insurance,2.0,yes
911,no known property,4.0,yes
683,real estate,1.0,yes
160,no known property,2.0,yes
161,car,2.0,yes
884,car,3.0,yes
896,no known property,4.0,yes
28,real estate,2.0,yes
577,real estate,4.0,yes
671,no known property,4.0,yes
220,car,2.0,yes
136,life insurance,4.0,yes
102,life insurance,4.0,yes
856,car,2.0,yes
68,real estate,4.0,yes
78,no known property,4.0,yes
359,car,4.0,yes
191,life insurance,1.0,yes
725,life insurance,4.0,yes
231,no known property,3.0,yes
423,real estate,2.0,yes
649,no known property,4.0,yes
256,no known property,4.0,yes
223,car,4.0,yes
871,life insurance,2.0,yes
980,life insurance,2.0,yes
246,life insurance,2.0,yes
130,car,1.0,yes
217,life insurance,4.0,yes
701,life insurance,3.0,yes
179,real estate,4.0,yes
511,real estate,3.0,yes
944,real estate,4.0,yes
686,life insurance,4.0,yes
872,no known property,1.0,yes
497,car,4.0,yes
567,real estate,4.0,yes
631,real estate,4.0,yes
129,real estate,4.0,yes
820,life insurance,4.0,yes
172,no known property,4.0,yes
663,real estate,4.0,yes
553,no known property,3.0,yes
703,car,4.0,yes
494,car,4.0,yes
915,real estate,4.0,yes
206,life insurance,3.0,yes
580,real estate,4.0,yes
535,car,4.0,yes
94,real estate,3.0,yes
361,car,4.0,yes
286,car,2.0,yes
46,car,2.0,yes
156,no known property,2.0,yes
518,car,2.0,yes
808,life insurance,1.0,no
85,real estate,1.0,yes
608,car,1.0,yes
35,life insurance,4.0,yes
302,real estate,3.0,yes
731,real estate,4.0,yes
832,real estate,3.0,yes
667,real estate,4.0,yes
919,car,4.0,yes
417,real estate,2.0,no
828,car,1.0,yes
458,car,3.0,yes
879,real estate,3.0,yes
428,car,4.0,yes
908,real estate,3.0,yes
353,no known property,4.0,yes
303,real estate,4.0,yes
178,life insurance,4.0,yes
673,real estate,4.0,yes
700,car,4.0,yes
343,car,4.0,yes
753,real estate,3.0,yes
768,car,1.0,yes
27,life insurance,4.0,yes
188,life insurance,2.0,yes
542,no known property,4.0,yes
588,real estate,2.0,yes
162,real estate,4.0,yes
894,car,2.0,yes
647,real estate,4.0,yes
133,real estate,4.0,yes
17,car,2.0,yes
244,real estate,2.0,no
680,no known property,4.0,yes
506,car,3.0,yes
81,car,2.0,yes
746,life insurance,4.0,yes
301,car,4.0,yes
657,no known property,1.0,yes
852,car,4.0,yes
584,life insurance,3.0,yes
821,car,4.0,yes
293,no known property,2.0,yes
367,life insurance,1.0,no
950,car,4.0,yes
338,no known property,2.0,yes
228,car,4.0,yes
478,car,2.0,yes
445,real estate,3.0,no
561,car,4.0,yes
13,car,2.0,yes
932,real estate,1.0,yes
925,real estate,3.0,yes
899,life insurance,4.0,yes
550,life insurance,4.0,yes
281,no known property,2.0,yes
813,life insurance,4.0,yes
347,car,1.0,yes
355,car,4.0,yes
114,real estate,4.0,yes
238,life insurance,2.0,yes
721,real estate,4.0,yes
536,car,4.0,yes
403,real estate,4.0,yes
959,life insurance,3.0,yes
181,real estate,4.0,no
991,life insurance,2.0,yes
389,real estate,4.0,yes
534,car,2.0,yes
425,car,4.0,yes
154,car,4.0,yes
800,real estate,4.0,yes
875,car,1.0,yes
940,real estate,2.0,yes
815,life insurance,4.0,yes
616,real estate,4.0,yes
319,car,4.0,yes
306,life insurance,4.0,yes
956,no known property,2.0,yes
266,car,2.0,yes
486,life insurance,4.0,yes
697,car,1.0,yes
755,life insurance,2.0,yes
957,no known property,4.0,yes
321,car,4.0,yes
383,real estate,2.0,yes
664,life insurance,4.0,yes
626,car,2.0,yes
913,car,1.0,yes
88,car,4.0,yes
144,no known property,4.0,yes
177,no known property,4.0,yes
456,car,4.0,yes
706,real estate,4.0,yes
66,car,3.0,yes
395,life insurance,4.0,yes
942,real estate,4.0,yes
253,no known property,3.0,yes
862,real estate,4.0,yes
848,life insurance,4.0,yes
766,car,2.0,yes
40,life insurance,3.0,no
508,real estate,1.0,yes
348,real estate,2.0,yes
376,life insurance,2.0,yes
947,real estate,4.0,yes
556,car,4.0,yes
527,life insurance,1.0,yes
613,life insurance,3.0,yes
642,real estate,2.0,yes
110,real estate,2.0,yes
951,car,2.0,yes
426,real estate,4.0,yes
722,life insurance,4.0,yes
12,real estate,4.0,yes
384,real estate,4.0,yes
605,car,3.0,yes
418,car,4.0,yes
444,no known property,1.0,yes
822,no known property,4.0,yes
699,car,4.0,yes
540,no known property,4.0,yes
213,car,4.0,yes
482,no known property,2.0,yes
600,no known property,3.0,yes
297,real estate,4.0,yes
774,real estate,2.0,yes
495,car,4.0,yes
16,life insurance,1.0,yes
320,car,4.0,yes
441,life insurance,4.0,yes
157,life insurance,1.0,yes
400,car,4.0,yes
910,life insurance,3.0,yes
391,no known property,3.0,yes
773,real estate,3.0,yes
514,real estate,4.0,yes
289,real estate,4.0,yes
14,real estate,4.0,yes
583,no known property,4.0,no
909,real estate,2.0,yes
953,real estate,3.0,yes
555,real estate,3.0,yes
155,car,1.0,yes
874,no known property,4.0,yes
409,life insurance,2.0,yes
398,car,2.0,yes
767,real estate,1.0,yes
747,real estate,4.0,yes
310,no known property,4.0,yes
56,car,1.0,yes
946,real estate,4.0,yes
250,real estate,2.0,yes
900,car,4.0,yes
807,no known property,2.0,yes
656,no known property,2.0,yes
498,real estate,3.0,no
137,car,4.0,yes
840,real estate,4.0,yes
978,car,4.0,yes
999,life insurance,1.0,no
219,car,4.0,yes
723,life insurance,4.0,no
887,car,3.0,yes
987,no known property,4.0,yes
267,real estate,4.0,yes
977,no known property,1.0,yes
339,real estate,1.0,yes
662,car,2.0,yes
270,life insurance,2.0,yes
342,life insurance,1.0,yes
912,car,4.0,yes
873,no known property,3.0,yes
200,real estate,4.0,yes
949,car,4.0,yes
54,life insurance,4.0,yes
118,car,4.0,yes
538,real estate,1.0,yes
15,life insurance,4.0,yes
195,no known property,2.0,yes
539,real estate,4.0,yes
702,real estate,4.0,yes
679,real estate,2.0,no
501,car,1.0,yes
522,no known property,2.0,yes
532,no known property,4.0,yes
998,car,4.0,yes
770,car,1.0,yes
459,car,1.0,yes
262,life insurance,4.0,no
814,real estate,3.0,yes
869,car,3.0,yes
210,real estate,1.0,yes
659,car,4.0,yes
989,real estate,4.0,yes
371,life insurance,4.0,yes
83,no known property,2.0,yes
707,real estate,4.0,yes
365,life insurance,2.0,yes
335,no known property,4.0,yes
350,real estate,3.0,yes
878,real estate,4.0,yes
549,no known property,3.0,yes
803,car,4.0,yes
29,car,2.0,yes
187,car,2.0,yes
185,real estate,1.0,no
296,car,4.0,yes
103,life insurance,2.0,yes
791,life insurance,1.0,yes
131,car,4.0,yes
323,life insurance,1.0,yes
541,car,4.0,yes
895,life insurance,4.0,yes
252,no known property,2.0,yes
142,car,4.0,yes
416,real estate,4.0,yes
637,real estate,1.0,no
634,life insurance,2.0,yes
464,car,4.0,yes
727,car,4.0,yes
824,car,4.0,yes
639,no known property,2.0,yes
278,real estate,4.0,yes
844,life insurance,4.0,yes
732,car,2.0,yes
58,no known property,3.0,yes
366,real estate,1.0,yes
678,life insurance,2.0,yes
221,car,4.0,yes
183,life insurance,4.0,yes
23,car,4.0,yes
658,no known property,2.0,yes
982,car,1.0,yes
447,real estate,1.0,yes
733,real estate,1.0,yes
623,life insurance,1.0,yes
783,car,4.0,yes
674,real estate,4.0,yes
415,no known property,1.0,yes
744,real estate,1.0,yes
705,no known property,4.0,yes
143,real estate,1.0,yes
984,car,1.0,no
67,no known property,2.0,yes
392,life insurance,4.0,yes
222,no known property,4.0,yes
867,real estate,4.0,yes
687,real estate,1.0,yes
850,car,4.0,yes
898,real estate,4.0,yes
230,real estate,4.0,yes
604,no known property,4.0,yes
961,car,2.0,yes
433,car,2.0,yes
851,life insurance,1.0,yes
823,car,4.0,yes
729,car,2.0,yes
24,car,3.0,yes
737,car,1.0,yes
505,car,4.0,yes
835,real estate,2.0,yes
141,real estate,4.0,yes
436,car,3.0,yes
434,real estate,1.0,yes
906,no known property,2.0,yes
215,no known property,3.0,yes
496,car,2.0,yes
754,real estate,2.0,yes
566,no known property,3.0,yes
450,no known property,4.0,yes
466,car,4.0,yes
688,car,4.0,yes
120,no known property,3.0,yes
324,life insurance,4.0,yes
113,real estate,4.0,yes
165,life insurance,2.0,yes
463,car,2.0,yes
380,real estate,4.0,yes
842,life insurance,4.0,yes
86,car,2.0,yes
760,car,3.0,yes
481,life insurance,2.0,yes
524,real estate,1.0,yes
726,no known property,2.0,yes
609,car,1.0,yes
438,car,2.0,yes
669,no known property,2.0,yes
948,no known property,3.0,yes
372,life insurance,3.0,yes
986,real estate,1.0,yes
719,real estate,4.0,yes
795,real estate,3.0,yes
599,real estate,4.0,yes
882,car,2.0,yes
476,car,4.0,yes
902,car,4.0,yes
798,life insurance,1.0,yes
106,car,4.0,yes
503,real estate,4.0,no
370,car,3.0,yes
126,real estate,4.0,yes
337,car,4.0,yes
201,car,3.0,yes
374,car,4.0,yes
65,no known property,3.0,no
327,life insurance,4.0,yes
349,life insurance,2.0,yes
502,real estate,4.0,yes
77,car,1.0,yes
621,car,1.0,yes
877,life insurance,4.0,yes
981,car,2.0,yes
331,car,4.0,yes
901,real estate,2.0,yes
472,real estate,4.0,yes
916,life insurance,1.0,yes
715,car,1.0,yes
6,car,4.0,yes
362,real estate,4.0,yes
251,car,1.0,yes
227,no known property,2.0,yes
537,real estate,1.0,yes
404,car,2.0,yes
592,no known property,4.0,yes
928,real estate,4.0,yes
