pk_table,pk_column,fk_table,fk_column
table2.csv,timestamp,table1.csv,timestamp
table3.csv,cylinder_number,table2.csv,cylinder_number
table4.csv,timestamp,table2.csv,timestamp
table5.csv,timestamp,table3.csv,timestamp
table6.csv,cylinder_number,table3.csv,cylinder_number
table7.csv,cylinder_number,table6.csv,cylinder_number
table8.csv,cylinder_number,table2.csv,cylinder_number
table9.csv,timestamp,table2.csv,timestamp
table10.csv,timestamp,table1.csv,timestamp
table11.csv,cylinder_number,table2.csv,cylinder_number
table12.csv,timestamp,table9.csv,timestamp
table13.csv,cylinder_number,table2.csv,cylinder_number
table14.csv,job_number,table6.csv,job_number
table15.csv,cylinder_number,table11.csv,cylinder_number
table16.csv,job_number,table3.csv,job_number
table17.csv,timestamp,table12.csv,timestamp
