caliper,customer,ink_pct,paper_mill_location,plating_tank,solvent_pct,timestamp,unit_number
0.2,tvguide,50.5,northus,1911,36.4,19910108,2.0
0.3,tvguide,54.9,northus,?,38.5,19910109,2.0
0.433,modmat,53.8,northus,?,39.8,19910104,9.0
0.3,massey,55.6,northus,1910,38.8,19910104,9.0
0.3,kmart,57.5,?,1910,42.5,19910111,2.0
0.267,massey,53.8,northus,1910,37.6,19910104,2.0
0.3,roses,62.5,canadian,1911,37.5,19910111,2.0
0.2,roses,62.5,canadian,1911,37.5,19910111,9.0
0.367,modmat,60.2,northus,1910,39.8,19910112,7.0
0.333,childcraft,45.5,northus,1911,31.8,19910114,2.0
0.2,childcraft,48.5,northus,1910,35.9,19910114,9.0
0.367,hanovrhouse,52.6,northus,1911,36.8,19910111,2.0
0.3,hanovrhous,50.0,northus,1911,40.0,19910117,7.0
0.3,guideposts,59.5,northus,1911,40.5,19910125,7.0
0.267,hanovrhous,49.5,northus,1911,34.7,19910117,2.0
0.233,modmat,62.5,northus,1911,37.5,19910103,9.0
0.2,homeshop,62.5,canadian,1911,37.5,19910129,5.0
0.2,homeshop,58.8,canadian,1911,35.3,19910129,1.0
0.267,uscav,54.9,canadian,1910,34.1,19910123,5.0
0.333,uscav,56.2,canadian,1911,37.1,19910123,1.0
0.233,colortil,58.8,canadian,1911,41.2,19910130,2.0
0.2,colortil,62.5,canadian,1911,37.5,19910130,9.0
0.2,wards,58.1,canadian,1911,40.7,19910117,2.0
0.2,target,62.5,canadian,1911,37.5,19910127,2.0
0.2,kmart,57.5,scandanavian,1911,34.5,19910131,9.0
0.2,kmart,57.5,scandanavian,1911,34.5,19910201,9.0
0.3,kmart,57.5,scandanavian,1911,34.5,19910130,9.0
0.3,kmart,58.8,scandanavian,1911,35.3,19910130,2.0
?,woolworth,58.8,canadian,1911,41.2,19910201,2.0
0.233,ames,58.8,canadian,1910,41.2,19910118,2.0
0.2,kmart,45.0,northus,1911,35.0,19910206,2.0
0.2,kmart,43.5,northus,1911,34.8,19910206,9.0
0.267,tvguide,54.3,?,1911,38.0,19910206,2.0
0.2,tvguide,53.2,?,1910,38.3,19910206,7.0
0.333,woolwrth,58.8,?,1911,41.2,19910208,2.0
0.2,abbypress,63.0,?,1911,37.0,19910211,1.0
?,target,58.1,canadian,1910,34.9,19910215,2.0
0.267,belks,58.8,?,1911,41.2,19910113,2.0
0.2,belks,54.3,northus,1911,38.0,19910213,9.0
0.3,sears,62.5,northus,1911,37.5,19910212,9.0
0.3,sears,58.1,northus,1910,34.9,19910212,2.0
0.2,abbypress,61.7,northus,1911,38.3,19910211,1.0
0.2,roses,55.6,canadian,1910,44.4,19910214,9.0
0.3,roses,55.6,canadian,1910,44.4,19910214,2.0
0.267,jcpenny,58.1,northus,1911,40.7,19910214,2.0
0.233,jcpenny,56.2,northus,1911,36.0,19910214,9.0
0.3,roses,58.8,?,1910,41.2,19910213,2.0
0.2,cenpurch,57.5,canadian,1911,42.5,19910215,2.0
0.233,cenpurch,58.8,canadian,1911,41.2,19910215,7.0
0.333,kmart,61.0,scandanavian,1911,36.6,19910221,9.0
0.333,belk,50.5,northus,1911,35.4,19910223,2.0
0.233,belk,50.5,northus,1911,35.4,19910223,2.0
0.2,toysrus,58.8,canadian,1910,41.2,19910220,2.0
