customer,cylinder_number,grain_screened,ink_type,paper_type
tvguide,x126,yes,uncoated,uncoated
tvguide,x266,yes,uncoated,uncoated
modmat,b7,yes,coated,uncoated
massey,t133,yes,uncoated,uncoated
kmart,j34,no,coated,uncoated
massey,t218,yes,uncoated,uncoated
roses,x249,no,coated,coated
roses,x788,no,coated,coated
modmat,m372,yes,uncoated,uncoated
childcraft,i320,yes,uncoated,uncoated
childcraft,i337,yes,uncoated,uncoated
hanovrhouse,x352,yes,uncoated,uncoated
hanovrhous,x67,yes,uncoated,uncoated
guideposts,x817,yes,uncoated,uncoated
hanovrhous,x273,yes,uncoated,uncoated
modmat,f108,?,coated,coated
homeshop,f237,no,coated,coated
homeshop,f267,no,coated,coated
uscav,s21,yes,uncoated,uncoated
uscav,f492,yes,uncoated,uncoated
colortil,x799,no,coated,coated
colortil,x823,no,coated,coated
wards,x163,no,coated,coated
target,o4,no,coated,coated
kmart,e84,no,coated,coated
kmart,e81,no,coated,coated
kmart,e72,no,coated,uncoated
kmart,e310,no,coated,uncoated
woolworth,x29,no,coated,coated
ames,x292,no,coated,coated
kmart,j9,no,coated,uncoated
kmart,j582,no,coated,uncoated
tvguide,x141,yes,uncoated,uncoated
tvguide,x818,yes,uncoated,uncoated
woolwrth,v376,no,coated,coated
abbypress,m254,no,coated,coated
target,r5,no,coated,coated
belks,j33,yes,uncoated,uncoated
belks,j43,yes,uncoated,uncoated
sears,i357,no,coated,uncoated
sears,i353,no,coated,uncoated
abbypress,m254,no,coated,coated
roses,x291,no,coated,coated
roses,x129,no,coated,coated
jcpenny,x297,no,coated,uncoated
jcpenny,x146,no,coated,uncoated
roses,x129,no,coated,coated
cenpurch,e303,no,coated,coated
cenpurch,e68,no,coated,coated
kmart,j42,no,uncoated,uncoated
belk,x53,yes,uncoated,uncoated
belk,x821,yes,uncoated,uncoated
toysrus,x118,no,coated,coated
toysrus,x826,no,coated,coated
target,r23,no,coated,coated
roses,x291,no,coated,coated
sears,i354,no,coated,uncoated
sears,i358,no,coated,uncoated
tvguide,x760,yes,uncoated,uncoated
kmart,e26,yes,uncoated,uncoated
kmart,e84,yes,uncoated,uncoated
kmart,e69,yes,uncoated,uncoated
kmart,e77,yes,uncoated,uncoated
kmart,e83,?,uncoated,uncoated
kmart,e67,?,uncoated,uncoated
kmart,e83,?,uncoated,uncoated
kmart,x791,yes,uncoated,uncoated
kmart,e90,no,coated,uncoated
eckerd,x271,no,coated,coated
modmat,f308,no,uncoated,coated
modmat,t281,no,uncoated,uncoated
modmat,f067,no,uncoated,uncoated
ames,x405,no,coated,coated
kmart,e91,no,coated,uncoated
modmat,f615,yes,uncoated,uncoated
modmat,f510,no,uncoated,coated
modmat,f670,yes,uncoated,uncoated
kmart,e310,no,coated,uncoated
modmat,f670,yes,uncoated,uncoated
modmat,m402,yes,uncoated,uncoated
kmart,x18,no,coated,uncoated
modmat,f615,yes,uncoated,uncoated
kmart,f310,no,coated,uncoated
kmart,f72,no,coated,uncoated
roses,x308,no,coated,coated
tvguide,x720,yes,uncoated,uncoated
jcp,g404,no,coated,uncoated
tvguide,x798,yes,uncoated,uncoated
