cylinder_number,cylinder_size,type_on_cylinder
x126,tabloid,yes
x266,tabloid,yes
b7,catalog,yes
t133,catalog,yes
j34,tabloid,yes
t218,catalog,yes
x249,tabloid,yes
x788,tabloid,yes
m372,catalog,yes
i320,catalog,yes
i337,catalog,yes
x352,tabloid,yes
x67,tabloid,yes
x817,tabloid,yes
x273,tabloid,yes
f108,catalog,no
f237,catalog,no
f267,catalog,no
s21,catalog,yes
f492,catalog,yes
x799,tabloid,no
x823,tabloid,yes
x163,tabloid,yes
o4,spiegel,yes
e84,tabloid,yes
e81,tabloid,yes
e72,tabloid,yes
e310,tabloid,yes
x29,tabloid,no
x292,tabloid,no
j9,tabloid,yes
j582,tabloid,yes
x141,tabloid,yes
x818,tabloid,yes
v376,tabloid,no
m254,catalog,yes
r5,spiegel,yes
j33,tabloid,yes
j43,tabloid,yes
i357,catalog,yes
i353,catalog,yes
m254,catalog,yes
x291,tabloid,yes
x129,tabloid,yes
x297,tabloid,yes
x146,tabloid,yes
x129,tabloid,yes
e303,tabloid,yes
e68,tabloid,yes
j42,tabloid,yes
x53,tabloid,yes
x821,tabloid,yes
x118,tabloid,no
x826,tabloid,no
r23,spiegel,yes
x291,tabloid,yes
i354,catalog,yes
i358,catalog,yes
x760,tabloid,yes
e26,tabloid,yes
e84,tabloid,no
e69,tabloid,yes
e77,tabloid,yes
e83,tabloid,yes
e67,tabloid,yes
e83,tabloid,no
x791,tabloid,yes
e90,tabloid,yes
x271,tabloid,yes
f308,catalog,yes
t281,catalog,yes
f067,catalog,yes
x405,tabloid,yes
e91,tabloid,yes
f615,catalog,yes
f510,catalog,yes
f670,catalog,yes
e310,tabloid,yes
f670,catalog,yes
m402,catalog,yes
x18,tabloid,yes
f615,catalog,yes
f310,tabloid,yes
f72,tabloid,yes
x308,tabloid,yes
x720,tabloid,yes
g404,tabloid,yes
x798,tabloid,no
x160,tabloid,yes
g416,tabloid,yes
x350,tabloid,yes
x264,tabloid,yes
x838,tabloid,yes
x89,tabloid,yes
x102,tabloid,no
x830,tabloid,no
x118,tabloid,yes
x35,tabloid,yes
x390,tabloid,yes
x754,tabloid,yes
o2,spiegel,yes
3,spiegel,yes
f103,catalog,yes
s180,catalog,yes
o8,spiegel,yes
g608,tabloid,no
f416,catalog,no
r14,spiegel,yes
r14,spiegel,yes
x249,tabloid,yes
x817,tabloid,yes
x746,tabloid,yes
x195,tabloid,no
x405,tabloid,yes
m337,catalog,yes
t32,catalog,no
m410,catalog,no
e510,catalog,yes
g108,tabloid,yes
g145,tabloid,yes
x356,tabloid,no
g95,tabloid,no
x802,tabloid,no
x779,tabloid,no
t380,catalog,yes
f146,catalog,yes
x9,tabloid,yes
x21,tabloid,yes
x220,tabloid,yes
x147,tabloid,yes
e92,tabloid,yes
e85,tabloid,yes
f685,catalog,yes
f569,catalog,yes
x139,tabloid,no
x12,tabloid,no
g518,tabloid,no
x116,tabloid,yes
x818,tabloid,yes
x346,tabloid,yes
x103,tabloid,yes
e74,tabloid,no
e86,tabloid,yes
x396,tabloid,yes
x155,tabloid,yes
x29,tabloid,yes
g518,tabloid,yes
g608,tabloid,yes
m337,catalog,no
x381,tabloid,no
j582,tabloid,yes
j62,tabloid,yes
f510,catalog,yes
y216,tabloid,yes
g089,tabloid,yes
g572,tabloid,yes
x390,tabloid,yes
x831,tabloid,yes
g78,tabloid,yes
x158,tabloid,yes
x804,tabloid,yes
g69,tabloid,no
x820,tabloid,no
i343,catalog,no
r2,spiegel,yes
x760,tabloid,yes
i383,catalog,yes
t176,catalog,yes
y255,tabloid,yes
x253,tabloid,no
aa11,tabloid,yes
m362,catalog,yes
f26,catalog,yes
i820,catalog,yes
x367,tabloid,no
x793,tabloid,no
f679,catalog,yes
f242,catalog,yes
m260,catalog,yes
i331,catalog,yes
o21,spiegel,no
j68,tabloid,yes
j42,tabloid,yes
f331,catalog,yes
f571,catalog,no
m93,catalog,yes
g467,tabloid,yes
f227,catalog,yes
g496,tabloid,yes
f329,catalog,yes
x203,tabloid,no
t313,catalog,yes
r4,spiegel,yes
r15,spiegel,yes
x400,tabloid,yes
o6,tabloid,no
o14,tabloid,no
t244,catalog,no
m260,catalog,yes
t383,catalog,yes
t78,catalog,yes
m4,catalog,yes
f672,catalog,yes
x776,tabloid,yes
x713,tabloid,yes
m432,catalog,yes
m257,catalog,yes
x138,tabloid,no
f670,catalog,no
x787,tabloid,no
f590,catalog,no
f19,catalog,?
f89,catalog,?
r17,spiegel,yes
r29,spiegel,yes
x423,tabloid,yes
x414,tabloid,yes
x84,tabloid,yes
x96,tabloid,yes
g407,tabloid,no
g150,tabloid,no
x777,tabloid,yes
b6,catalog,yes
f85,catalog,yes
i301,catalog,yes
f135,catalog,no
t178,catalog,no
f257,catalog,yes
f170,catalog,yes
f77,catalog,no
x95,tabloid,no
m254,catalog,yes
i347,catalog,no
x116,tabloid,?
m45,catalog,no
x273,tabloid,?
j6,tabloid,yes
x135,tabloid,yes
x151,tabloid,yes
x750,tabloid,no
t245,catalog,yes
f374,catalog,no
b181,catalog,yes
m332,catalog,yes
t234,catalog,yes
m39,catalog,yes
f450,catalog,yes
x281,tabloid,yes
x346,tabloid,yes
x235,tabloid,yes
b125,catalog,yes
t280,catalog,yes
t8,catalog,no
f257,catalog,no
f261,catalog,no
f264,catalog,no
f294,catalog,no
x232,tabloid,yes
x750,tabloid,yes
x351,tabloid,no
x25,tabloid,yes
o7,spiegel,?
o15,spiegel,?
x753,tabloid,yes
x823,tabloid,yes
x60,tabloid,yes
j40,tabloid,no
x153,tabloid,yes
x272,tabloid,yes
f131,catalog,yes
f76,catalog,no
f383,catalog,yes
f374,catalog,no
j15,tabloid,yes
j38,tabloid,yes
j60,tabloid,yes
j60,tabloid,no
j40,tabloid,no
j45,tabloid,no
x315,tabloid,yes
x766,tabloid,yes
w717,catalog,yes
w516,spiegel,yes
x35,tabloid,yes
f633,catalog,no
m200,catalog,no
r15,spiegel,no
x65,tabloid,no
x333,tabloid,yes
x282,tabloid,yes
x184,tabloid,yes
r22,spiegel,yes
r23,spiegel,yes
f236,catalog,yes
f38,catalog,yes
x91,tabloid,no
x132,tabloid,no
x377,tabloid,yes
x129,tabloid,yes
t204,spiegel,?
x197,tabloid,no
x138,tabloid,no
x727,tabloid,yes
x60,tabloid,yes
f192,catalog,yes
m254,catalog,yes
i353,catalog,no
i346,catalog,yes
r6,spiegel,yes
r6,spiegel,no
g657,tabloid,no
r7,spiegel,no
f126,catalog,no
f159,catalog,no
f337,catalog,no
f679,catalog,no
m103,catalog,yes
m309,catalog,yes
t284,catalog,yes
t333,catalog,yes
f679,catalog,yes
f159,catalog,yes
r6,spiegel,no
g55,tabloid,no
g55,tabloid,yes
x753,tabloid,no
g150,tabloid,yes
x271,tabloid,yes
x251,tabloid,no
x326,tabloid,no
x206,tabloid,no
r9,spiegel,yes
x820,tabloid,no
f337,catalog,yes
f126,catalog,yes
g71,tabloid,no
m74,catalog,yes
g67,tabloid,yes
g84,tabloid,yes
g150,tabloid,yes
x828,tabloid,yes
m65,catalog,no
x367,tabloid,yes
t178,catalog,yes
t200,catalog,yes
r34,spiegel,yes
r15,spiegel,yes
x420,tabloid,no
x389,tabloid,no
x37,tabloid,yes
x771,tabloid,yes
g465,tabloid,yes
x185,tabloid,yes
x199,tabloid,no
x251,tabloid,no
x199,tabloid,no
g519,tabloid,yes
g459,tabloid,yes
g465,tabloid,yes
g3,tabloid,yes
g98,tabloid,no
g625,tabloid,yes
x129,tabloid,yes
x243,tabloid,no
t281,catalog,yes
g81,tabloid,yes
g81,tabloid,no
g462,tabloid,no
g108,tabloid,yes
g640,tabloid,yes
o28,spiegel,yes
o21,spiegel,yes
x127,tabloid,no
x374,tabloid,no
f601,catalog,no
f601,catalog,no
x795,tabloid,no
g604,tabloid,yes
g5,tabloid,yes
w357,spiegel,yes
w364,spiegel,yes
g60,tabloid,yes
g412,tabloid,yes
w406,spiegel,yes
g628,tabloid,yes
w395,spiegel,no
t281,catalog,yes
f601,catalog,no
x760,tabloid,no
o1,spiegel,yes
o14,spiegel,yes
x770,tabloid,yes
x766,tabloid,yes
x001,tabloid,yes
g81,tabloid,yes
g5,tabloid,no
g5,tabloid,yes
x019,tabloid,yes
t351,catalog,yes
x304,tabloid,no
w30,spiegel,yes
x220,tabloid,yes
x809,tabloid,yes
m208,catalog,no
f466,catalog,no
x295,tabloid,yes
i010,catalog,yes
w785,spiegel,no
i349,catalog,no
i317,catalog,no
f219,catalog,no
i331,catalog,no
f121,catalog,no
f133,catalog,no
