job_number,press,press_type
25503.0,821,motter94
25503.0,821,motter94
47201.0,815,woodhoe70
39039.0,816,woodhoe70
37351.0,816,woodhoe70
38039.0,816,woodhoe70
35751.0,827,motter94
35751.0,827,motter94
47201.0,802,albert70
37000.0,815,woodhoe70
37000.0,815,woodhoe70
35539.0,821,motter94
35539.0,821,motter94
23052.0,821,motter94
35539.0,821,motter94
47201.0,813,motter70
38064.0,813,motter70
38064.0,813,motter70
35521.0,813,motter70
35521.0,813,motter70
37571.0,824,motter94
35751.0,824,motter94
37340.0,824,motter94
35816.0,827,motter94
37352.0,827,motter94
37352.0,827,motter94
37352.0,827,motter94
37352.0,827,motter94
37080.0,828,motter94
37157.0,828,motter94
37352.0,815,woodhoe70
37352.0,815,woodhoe70
25507.0,821,motter94
25507.0,821,motter94
37080.0,828,motter94
27490.0,813,motter70
35811.0,815,woodhoe70
35334.0,816,woodhoe70
35334.0,816,woodhoe70
37869.0,815,woodhoe70
37869.0,815,woodhoe70
27490.0,813,motter70
35752.0,824,motter94
35752.0,824,motter94
35794.0,827,motter94
35794.0,827,motter94
35752.0,824,motter94
37441.0,821,motter94
37441.0,821,motter94
37354.0,816,woodhoe70
35335.0,827,motter94
37335.0,827,motter94
35870.0,824,motter94
35870.0,824,motter94
35811.0,815,woodhoe70
35752.0,824,motter94
37869.0,802,albert70
37869.0,802,albert70
25509.0,821,motter94
37386.0,827,motter94
37386.0,827,motter94
37386.0,827,motter94
37386.0,827,motter94
37386.0,827,motter94
37386.0,827,motter94
27386.0,827,motter94
37386.0,824,motter94
37254.0,821,motter94
35457.0,828,motter94
47202.0,813,motter70
47202.0,802,albert70
47202.0,816,woodhoe70
37163.0,821,motter94
37354.0,821,motter94
47202.0,813,motter70
47202.0,813,motter70
47202.0,813,motter70
37355.0,816,woodhoe70
47202.0,813,motter70
47202.0,813,motter70
37355.0,828,motter94
47202.0,813,motter70
37355.0,827,motter94
37355.0,827,motter94
35753.0,824,motter94
25513.0,821,motter94
38051.0,816,woodhoe70
25514.0,821,motter94
25513.0,821,motter94
38051.0,816,woodhoe70
37355.0,828,motter94
37355.0,828,motter94
25515.0,821,motter94
