cylinder_number,direct_steam,ink_type
x126,no,uncoated
x266,no,uncoated
b7,no,coated
t133,no,uncoated
j34,no,coated
t218,no,uncoated
x249,no,coated
x788,no,coated
m372,no,uncoated
i320,no,uncoated
i337,no,uncoated
x352,no,uncoated
x67,no,uncoated
x817,no,uncoated
x273,no,uncoated
f108,no,coated
f237,no,coated
f267,no,coated
s21,no,uncoated
f492,no,uncoated
x799,no,coated
x823,no,coated
x163,no,coated
o4,no,coated
e84,no,coated
e81,no,coated
e72,no,coated
e310,no,coated
x29,no,coated
x292,no,coated
j9,no,coated
j582,no,coated
x141,no,uncoated
x818,no,uncoated
v376,no,coated
m254,no,coated
r5,no,coated
j33,no,uncoated
j43,no,uncoated
i357,no,coated
i353,no,coated
m254,no,coated
x291,no,coated
x129,no,coated
x297,no,coated
x146,no,coated
x129,no,coated
e303,no,coated
e68,no,coated
j42,no,uncoated
x53,no,uncoated
x821,no,uncoated
x118,no,coated
x826,no,coated
r23,no,coated
x291,no,coated
i354,no,coated
i358,no,coated
x760,no,uncoated
e26,no,uncoated
e84,no,uncoated
e69,no,uncoated
e77,no,uncoated
e83,no,uncoated
e67,no,uncoated
e83,no,uncoated
x791,no,uncoated
e90,no,coated
x271,no,coated
f308,no,uncoated
t281,no,uncoated
f067,no,uncoated
x405,no,coated
e91,no,coated
f615,no,uncoated
f510,no,uncoated
f670,no,uncoated
e310,no,coated
f670,no,uncoated
m402,no,uncoated
x18,no,coated
f615,no,uncoated
f310,no,coated
f72,no,coated
x308,no,coated
x720,no,uncoated
g404,no,coated
x798,no,uncoated
x160,no,uncoated
g416,no,coated
x350,no,coated
x264,no,coated
x838,no,uncoated
x89,no,coated
x102,no,uncoated
x830,no,uncoated
x118,no,coated
x35,no,coated
x390,no,coated
x754,no,coated
o2,no,coated
3,no,coated
f103,no,coated
s180,no,coated
o8,no,coated
g608,no,coated
f416,no,coated
r14,no,coated
r14,no,coated
x249,no,cover
x817,no,uncoated
x746,no,uncoated
x195,no,coated
x405,no,coated
m337,no,uncoated
t32,no,uncoated
m410,no,uncoated
e510,no,uncoated
g108,no,coated
g145,no,coated
x356,no,uncoated
g95,no,coated
x802,no,uncoated
x779,no,uncoated
t380,no,uncoated
f146,no,uncoated
x9,no,coated
x21,no,coated
x220,no,coated
x147,no,coated
e92,no,coated
e85,no,coated
f685,no,coated
f569,no,cover
x139,no,uncoated
x12,no,uncoated
g518,no,coated
x116,no,coated
x818,no,coated
x346,no,coated
x103,no,coated
e74,no,coated
e86,no,coated
x396,no,coated
x155,no,coated
x29,no,coated
g518,no,coated
g608,no,coated
m337,no,uncoated
x381,no,coated
j582,no,coated
j62,no,coated
f510,no,uncoated
y216,no,coated
g089,no,coated
g572,no,coated
x390,no,coated
x831,no,coated
g78,no,coated
x158,no,coated
x804,no,coated
g69,no,coated
x820,no,coated
i343,no,uncoated
r2,no,uncoated
x760,no,coated
i383,no,cover
t176,no,uncoated
y255,no,coated
x253,no,coated
aa11,no,coated
m362,no,coated
f26,no,coated
i820,no,uncoated
x367,no,coated
x793,no,coated
f679,no,uncoated
f242,no,uncoated
m260,no,uncoated
i331,no,uncoated
o21,no,coated
j68,no,coated
j42,no,coated
f331,no,uncoated
f571,no,cover
m93,no,coated
g467,no,coated
f227,no,coated
g496,no,uncoated
f329,no,uncoated
x203,no,uncoated
t313,no,uncoated
r4,no,coated
r15,no,coated
x400,no,coated
o6,no,coated
o14,no,coated
t244,no,uncoated
m260,no,uncoated
t383,no,coated
t78,no,uncoated
m4,no,uncoated
f672,no,uncoated
x776,yes,coated
x713,no,coated
m432,no,coated
m257,no,coated
x138,no,uncoated
f670,no,cover
x787,no,cover
f590,no,uncoated
f19,no,coated
f89,no,coated
r17,no,coated
r29,no,coated
x423,no,coated
x414,yes,coated
x84,no,coated
x96,no,coated
g407,no,uncoated
g150,no,uncoated
x777,no,uncoated
b6,no,uncoated
f85,no,uncoated
i301,no,cover
f135,no,uncoated
t178,no,uncoated
f257,no,coated
f170,no,coated
f77,no,cover
x95,no,uncoated
m254,no,uncoated
i347,no,uncoated
x116,no,coated
m45,no,uncoated
