customer,job_number,proof_on_ctd_ink
tvguide,25503.0,yes
tvguide,25503.0,yes
modmat,47201.0,yes
massey,39039.0,yes
kmart,37351.0,yes
massey,38039.0,yes
roses,35751.0,yes
roses,35751.0,yes
modmat,47201.0,yes
childcraft,37000.0,yes
childcraft,37000.0,yes
hanovrhouse,35539.0,yes
hanovrhous,35539.0,yes
guideposts,23052.0,yes
hanovrhous,35539.0,yes
modmat,47201.0,yes
homeshop,38064.0,yes
homeshop,38064.0,yes
uscav,35521.0,yes
uscav,35521.0,yes
colortil,37571.0,yes
colortil,35751.0,yes
wards,37340.0,yes
target,35816.0,yes
kmart,37352.0,yes
kmart,37352.0,yes
kmart,37352.0,yes
kmart,37352.0,yes
woolworth,37080.0,yes
ames,37157.0,yes
kmart,37352.0,yes
kmart,37352.0,yes
tvguide,25507.0,yes
tvguide,25507.0,yes
woolwrth,37080.0,yes
abbypress,27490.0,yes
target,35811.0,yes
belks,35334.0,yes
belks,35334.0,yes
sears,37869.0,yes
sears,37869.0,yes
abbypress,27490.0,yes
roses,35752.0,yes
roses,35752.0,yes
jcpenny,35794.0,yes
jcpenny,35794.0,yes
roses,35752.0,yes
cenpurch,37441.0,yes
cenpurch,37441.0,yes
kmart,37354.0,yes
belk,35335.0,yes
belk,37335.0,yes
toysrus,35870.0,no
toysrus,35870.0,no
target,35811.0,yes
roses,35752.0,yes
sears,37869.0,yes
sears,37869.0,yes
tvguide,25509.0,yes
kmart,37386.0,yes
kmart,37386.0,yes
kmart,37386.0,yes
kmart,37386.0,yes
kmart,37386.0,yes
kmart,37386.0,yes
kmart,27386.0,yes
kmart,37386.0,yes
kmart,37254.0,yes
eckerd,35457.0,yes
modmat,47202.0,yes
modmat,47202.0,yes
modmat,47202.0,yes
ames,37163.0,yes
kmart,37354.0,yes
modmat,47202.0,yes
modmat,47202.0,yes
modmat,47202.0,yes
kmart,37355.0,yes
modmat,47202.0,yes
modmat,47202.0,yes
kmart,37355.0,yes
modmat,47202.0,yes
kmart,37355.0,yes
kmart,37355.0,yes
roses,35753.0,yes
tvguide,25513.0,yes
jcp,38051.0,yes
tvguide,25514.0,yes
tvguide,25513.0,yes
jcp,38051.0,yes
kmart,37355.0,yes
kmart,37355.0,yes
tvguide,25515.0,yes
woolworth,37081.0,no
belk,35534.0,yes
belk,35534.0,yes
roses,35754.0,yes
roses,35754.0,yes
colortile,37572.0,yes
colortile,37572.0,yes
target,35814.0,yes
target,35814.0,yes
bestprod,37822.0,yes
bestprod,37822.0,yes
target,35816.0,yes
eckerd,35458.0,yes
modmat,47203.0,yes
target,35816.0,yes
target,35816.0,yes
guideposts,23055.0,yes
tvguide,25520.0,yes
tvguide,25520.0,yes
toysrus,35982.0,no
toysrus,35872.0,no
modmat,47203.0,yes
modmat,47203.0,yes
modmat,47203.0,yes
modmat,47203.0,yes
ames,37168.0,yes
wards,37333.0,yes
tvguide,25517.0,yes
wards,37333.0,yes
hanhouse,37994.0,yes
tvguide,25513.0,yes
modmat,47203.0,yes
modmat,47203.0,yes
toysrus,35871.0,no
toysrus,35871.0,no
ames,37169.0,yes
ames,47169.0,yes
kmart,32360.0,yes
kmart,32360.0,yes
bestprod,37822.0,yes
bestprod,37822.0,yes
hanhouse,37994.0,yes
tvguide,25519.0,yes
eckerd,35458.0,yes
eckerd,35460.0,yes
kmart,37365.0,yes
kmart,37365.0,yes
eckerd,35460.0,yes
kmart,37365.0,yes
kmart,37365.0,yes
wards,37338.0,yes
roses,37758.0,yes
roses,35758.0,yes
eckerd,35458.0,yes
eckerd,35458.0,yes
modmat,47203.0,yes
wards,37338.0,yes
hills,37915.0,yes
hills,37915.0,yes
modmat,47203.0,yes
kmart,37305.0,yes
wards,37501.0,yes
wards,37501.0,yes
ames,37177.0,yes
wards,37177.0,yes
wards,37501.0,yes
roses,35759.0,yes
roses,37579.0,yes
wards,37501.0,yes
wards,37502.0,yes
massey,37938.0,yes
