chrome_content,cylinder_division,ink_color,timestamp
100,gallatin,key,19910108
100,gallatin,key,19910109
100,gallatin,key,19910104
100,gallatin,key,19910104
100,gallatin,key,19910111
100,gallatin,key,19910104
100,gallatin,key,19910111
100,gallatin,key,19910111
100,gallatin,key,19910112
100,gallatin,key,19910114
100,gallatin,key,19910114
100,gallatin,key,19910111
100,gallatin,key,19910117
100,gallatin,key,19910125
100,gallatin,key,19910117
100,gallatin,key,19910103
100,gallatin,key,19910129
100,gallatin,key,19910129
100,gallatin,key,19910123
100,gallatin,key,19910123
100,gallatin,key,19910130
100,gallatin,key,19910130
100,gallatin,key,19910117
100,gallatin,key,19910127
100,gallatin,key,19910131
100,gallatin,key,19910201
100,gallatin,key,19910130
100,gallatin,key,19910130
100,gallatin,key,19910201
100,gallatin,key,19910118
100,gallatin,key,19910206
100,gallatin,key,19910206
100,gallatin,key,19910206
100,gallatin,key,19910206
100,gallatin,key,19910208
100,gallatin,key,19910211
100,gallatin,key,19910215
100,gallatin,key,19910113
100,gallatin,key,19910213
100,gallatin,key,19910212
100,gallatin,key,19910212
100,gallatin,key,19910211
100,gallatin,key,19910214
100,gallatin,key,19910214
100,gallatin,key,19910214
100,gallatin,key,19910214
100,gallatin,key,19910213
100,gallatin,key,19910215
100,gallatin,key,19910215
100,gallatin,key,19910221
100,gallatin,key,19910223
100,gallatin,key,19910223
100,gallatin,key,19910220
100,gallatin,key,19910220
100,gallatin,key,19910216
100,gallatin,key,19910213
100,gallatin,key,19910215
100,gallatin,key,19910215
100,gallatin,key,19910220
100,gallatin,key,19910304
100,gallatin,key,19910303
100,gallatin,key,19910301
100,gallatin,key,19910301
100,gallatin,key,19910309
100,gallatin,key,19910306
100,gallatin,key,19910311
100,gallatin,key,19910311
100,gallatin,key,19910227
100,gallatin,key,19910302
100,gallatin,key,19910307
100,gallatin,key,19910308
100,gallatin,key,19910307
100,gallatin,key,19910310
100,gallatin,key,19910227
100,gallatin,key,19910307
100,gallatin,key,19910307
100,gallatin,key,19910307
100,gallatin,key,19910317
100,gallatin,key,19910314
100,gallatin,key,19910309
100,gallatin,key,19910316
100,gallatin,key,19910314
100,gallatin,key,19910318
100,gallatin,key,19910318
100,gallatin,key,19910319
100,gallatin,key,19910319
100,gallatin,key,19910322
100,gallatin,key,19910325
100,gallatin,key,19910320
100,gallatin,key,19910322
100,gallatin,key,19910323
100,gallatin,key,19910323
100,gallatin,key,19910402
100,gallatin,key,19910404
100,gallatin,key,19910330
100,gallatin,key,19910330
100,gallatin,key,19910405
100,gallatin,key,19910405
100,gallatin,key,19910327
100,gallatin,key,19910327
100,gallatin,key,19910402
100,gallatin,key,19910402
100,gallatin,key,19910406
100,gallatin,key,19910406
100,gallatin,key,19910511
100,gallatin,key,19910501
100,gallatin,key,19910502
100,gallatin,key,19910502
100,gallatin,key,19910503
100,gallatin,key,19910503
100,gallatin,key,19910507
100,gallatin,key,19910508
100,gallatin,key,19910517
100,gallatin,key,19910517
100,gallatin,key,19910505
100,gallatin,key,19910507
100,gallatin,key,19910507
100,gallatin,key,19910505
100,gallatin,key,19910409
100,gallatin,key,19910415
100,gallatin,key,19910416
100,gallatin,key,19910426
100,gallatin,key,19910426
100,gallatin,key,19910422
100,gallatin,key,19910426
100,gallatin,key,19910426
100,gallatin,key,19910428
100,gallatin,key,19910428
100,gallatin,key,19910419
100,gallatin,key,19910419
100,gallatin,key,19910415
100,gallatin,key,19910415
100,gallatin,key,19910409
100,gallatin,key,19910409
100,gallatin,key,19910426
100,gallatin,key,19910430
100,gallatin,key,19910423
100,gallatin,key,19910605
100,gallatin,key,19910604
100,gallatin,key,19910604
100,gallatin,key,19910605
100,gallatin,key,19910603
100,gallatin,key,19910603
100,gallatin,key,19910529
100,gallatin,key,19910524
100,gallatin,key,19910524
100,gallatin,key,19910430
100,gallatin,key,19910430
100,gallatin,key,19910531
100,gallatin,key,19910529
100,gallatin,key,19910524
100,gallatin,key,19910524
100,gallatin,key,19910528
100,gallatin,key,19910604
100,gallatin,key,19910610
100,gallatin,key,19910610
100,gallatin,key,19910611
100,gallatin,key,19910611
100,gallatin,key,19910614
100,gallatin,key,19910614
100,gallatin,key,19910614
100,gallatin,key,19910614
100,gallatin,key,19910627
100,gallatin,key,19910626
100,gallatin,key,19910622
100,gallatin,key,19910619
100,gallatin,key,19910618
100,gallatin,key,19910617
100,gallatin,key,19910609
100,gallatin,key,19910609
100,gallatin,key,19910607
100,gallatin,key,19910707
100,gallatin,key,19910707
100,gallatin,key,19910629
100,gallatin,key,19910706
100,gallatin,key,19910706
100,gallatin,key,19900514
100,gallatin,key,19900509
100,gallatin,key,19900511
100,gallatin,key,19900518
100,gallatin,key,19900414
100,gallatin,key,19900418
100,gallatin,key,19900418
100,gallatin,key,19900606
100,gallatin,key,19900606
100,gallatin,key,19900507
100,gallatin,key,19900409
100,gallatin,key,19900524
100,gallatin,key,19900425
100,gallatin,key,19900418
100,gallatin,key,19900409
100,gallatin,key,19900417
100,gallatin,key,19900606
100,gallatin,key,19900606
100,gallatin,key,19900517
100,gallatin,key,19900426
100,gallatin,key,19900426
100,gallatin,key,19900505
100,gallatin,key,19900507
100,gallatin,key,19900507
100,gallatin,key,19900507
100,gallatin,key,19900507
100,gallatin,key,19900510
100,gallatin,key,19900517
100,gallatin,key,19900517
100,gallatin,key,19900507
100,gallatin,key,19900507
100,gallatin,key,19900606
100,gallatin,key,19900603
100,gallatin,key,19900617
100,gallatin,key,19900602
100,gallatin,key,19900608
100,gallatin,key,19900608
100,gallatin,key,19900615
100,gallatin,key,19900615
100,gallatin,key,19900612
100,gallatin,key,19900612
100,gallatin,key,19900615
100,gallatin,key,19900615
100,gallatin,key,19900606
100,gallatin,key,19900606
100,gallatin,key,19900606
100,gallatin,key,19900614
100,gallatin,key,19900614
100,gallatin,key,19900621
100,gallatin,key,19900622
100,gallatin,key,19900622
100,gallatin,key,19900611
100,gallatin,key,19900611
100,gallatin,key,19900622
100,gallatin,key,19900626
100,gallatin,key,19900625
100,gallatin,key,19900622
100,gallatin,key,19900625
100,gallatin,key,19900625
100,gallatin,key,19900625
100,gallatin,key,19900702
100,gallatin,key,19900706
100,gallatin,key,19900705
100,gallatin,key,19900330
100,gallatin,key,19900707
100,gallatin,key,19900708
100,gallatin,key,19900710
100,gallatin,key,19900710
100,gallatin,key,19900710
100,gallatin,key,19900710
100,gallatin,key,19900710
100,gallatin,key,19900706
100,gallatin,key,19900710
100,gallatin,key,19900710
100,gallatin,key,19900710
100,gallatin,key,19900710
100,gallatin,key,19900726
100,gallatin,key,19900727
100,gallatin,key,19900726
100,gallatin,key,19900723
100,gallatin,key,19900723
100,gallatin,key,19900723
100,gallatin,key,19900723
100,gallatin,key,19900723
100,gallatin,key,19900723
100,gallatin,key,19900620
100,gallatin,key,19900620
100,gallatin,key,19900719
100,gallatin,key,19900719
100,gallatin,key,19900718
