anode_space_ratio,band_type,blade_pressure,caliper,customer,cylinder_number,grain_screened,hardener,humifity,ink_temperature,ink_type,plating_tank,press_speed,proof_cut,roughness,timestamp,type_on_cylinder,unit_number,varnish_pct,wax
105.0,band,20.0,0.2,tvguide,x126,yes,1.0,78.0,17.0,uncoated,1911,1700.0,55.0,0.75,19910108,yes,2.0,13.1,2.5
105.0,noband,20.0,0.3,tvguide,x266,yes,0.7,80.0,15.0,uncoated,?,1900.0,55.0,0.75,19910109,yes,2.0,6.6,2.5
103.87,noband,30.0,0.433,modmat,b7,yes,0.9,80.0,16.0,coated,?,1850.0,62.0,,19910104,yes,9.0,6.5,2.8
108.06,noband,30.0,0.3,massey,t133,yes,1.3,75.0,16.0,uncoated,1910,1467.0,52.0,0.3125,19910104,yes,9.0,5.6,2.5
106.67,noband,30.0,0.3,kmart,j34,no,0.6,80.0,17.0,coated,1910,2100.0,50.0,0.75,19910111,yes,2.0,0.0,2.3
103.87,noband,28.0,0.267,massey,t218,yes,0.8,76.0,16.8,uncoated,1910,1467.0,50.0,0.4375,19910104,yes,2.0,8.6,2.5
106.67,noband,30.0,0.3,roses,x249,no,0.6,75.0,16.5,coated,1911,2600.0,50.0,0.75,19910111,yes,2.0,0.0,2.5
106.67,noband,28.0,0.2,roses,x788,no,1.1,75.0,16.5,coated,1911,2600.0,50.0,0.75,19910111,yes,9.0,0.0,2.5
103.22,band,60.0,0.367,modmat,m372,yes,1.0,70.0,12.0,uncoated,1910,1650.0,50.0,0.75,19910112,yes,7.0,0.0,3.0
106.66,noband,32.0,0.333,childcraft,i320,yes,1.0,75.0,16.0,uncoated,1911,1750.0,65.0,1.0,19910114,yes,2.0,22.7,3.0
106.6,noband,30.0,0.2,childcraft,i337,yes,1.0,68.0,16.0,uncoated,1910,1750.0,65.0,0.75,19910114,yes,9.0,15.5,3.0
105.0,band,40.0,0.367,hanovrhouse,x352,yes,1.0,80.0,14.0,uncoated,1911,1700.0,50.0,0.75,19910111,yes,2.0,10.5,2.5
106.66,band,30.0,0.3,hanovrhous,x67,yes,1.0,70.0,15.0,uncoated,1911,1600.0,50.0,1.0,19910117,yes,7.0,10.0,2.8
100.0,band,25.0,0.3,guideposts,x817,yes,1.0,70.0,14.5,uncoated,1911,1500.0,40.0,0.625,19910125,yes,7.0,0.0,2.0
103.22,noband,20.0,0.267,hanovrhous,x273,yes,1.0,75.0,16.0,uncoated,1911,1600.0,50.0,1.0,19910117,yes,2.0,15.8,2.5
103.22,band,,0.233,modmat,f108,?,1.0,87.0,15.0,coated,1911,1400.0,,1.0,19910103,no,9.0,0.0,2.5
100.0,noband,,0.2,homeshop,f237,no,0.8,65.0,14.0,coated,1911,1600.0,30.0,,19910129,no,5.0,0.0,2.5
100.0,noband,,0.2,homeshop,f267,no,1.8,65.0,15.5,coated,1911,1600.0,30.0,,19910129,no,1.0,5.9,2.5
103.22,noband,,0.267,uscav,s21,yes,1.0,64.0,16.4,uncoated,1910,1400.0,60.0,0.75,19910123,yes,5.0,11.0,2.5
103.22,noband,,0.333,uscav,f492,yes,1.4,66.0,16.5,uncoated,1911,1400.0,60.0,0.75,19910123,yes,1.0,6.7,1.1
107.4,noband,30.0,0.233,colortil,x799,no,1.0,70.0,16.0,coated,1911,2400.0,50.0,0.8125,19910130,no,2.0,0.0,1.7
107.4,noband,30.0,0.2,colortil,x823,no,1.0,76.0,15.0,coated,1911,2400.0,40.0,0.8125,19910130,yes,9.0,0.0,1.0
96.875,noband,25.0,0.2,wards,x163,no,1.0,70.0,16.3,coated,1911,2200.0,30.0,0.8125,19910117,yes,2.0,1.2,2.0
107.4,band,30.0,0.2,target,o4,no,1.0,72.0,15.8,coated,1911,2000.0,40.0,1.0,19910127,yes,2.0,0.0,2.5
107.4,band,25.0,0.2,kmart,e84,no,0.7,74.0,14.5,coated,1911,2100.0,40.0,1.0,19910131,yes,9.0,8.0,2.3
107.4,band,20.0,0.2,kmart,e81,no,0.7,70.0,14.0,coated,1911,1850.0,45.0,1.0,19910201,yes,9.0,8.0,2.0
107.4,noband,30.0,0.3,kmart,e72,no,1.0,76.0,15.0,coated,1911,2150.0,50.0,1.0,19910130,yes,9.0,8.0,2.5
107.4,noband,25.0,0.3,kmart,e310,no,1.0,72.0,15.2,coated,1911,2150.0,50.0,1.0,19910130,yes,2.0,5.9,2.5
107.4,band,30.0,?,woolworth,x29,no,0.8,75.0,15.0,coated,1911,2100.0,35.0,0.75,19910201,no,2.0,0.0,2.0
106.45,band,35.0,0.233,ames,x292,no,1.0,70.0,17.0,coated,1910,2200.0,30.0,0.75,19910118,no,2.0,0.0,2.5
107.4,noband,28.0,0.2,kmart,j9,no,0.8,90.0,16.0,coated,1911,2050.0,37.5,0.75,19910206,yes,2.0,20.0,2.4
107.4,noband,30.0,0.2,kmart,j582,no,0.8,91.0,16.5,coated,1911,2050.0,37.5,0.75,19910206,yes,9.0,21.7,2.7
114.28,noband,22.0,0.267,tvguide,x141,yes,0.7,78.0,14.1,uncoated,1911,1510.0,45.0,0.625,19910206,yes,2.0,7.6,2.5
110.0,noband,20.0,0.2,tvguide,x818,yes,0.9,69.0,14.0,uncoated,1910,1510.0,40.0,0.625,19910206,yes,7.0,8.5,2.5
100.0,band,35.0,0.333,woolwrth,v376,no,1.0,78.0,17.0,coated,1911,2400.0,40.0,0.75,19910208,no,2.0,0.0,2.5
107.4,noband,,0.2,abbypress,m254,no,1.3,64.0,15.4,coated,1911,1425.0,30.0,0.875,19910211,yes,1.0,0.0,1.0
103.22,band,30.0,?,target,r5,no,1.5,80.0,15.0,coated,1910,1600.0,45.0,0.625,19910215,yes,2.0,7.0,2.5
103.12,noband,28.0,0.267,belks,j33,yes,0.8,96.0,16.0,uncoated,1911,1500.0,40.0,1.0,19910113,yes,2.0,0.0,3.0
103.12,noband,31.0,0.2,belks,j43,yes,1.0,82.0,15.0,uncoated,1911,1500.0,32.5,1.0,19910213,yes,9.0,7.6,2.5
103.12,noband,34.0,0.3,sears,i357,no,1.0,85.0,15.0,coated,1911,1400.0,37.5,0.75,19910212,yes,9.0,0.0,2.8
103.12,noband,32.0,0.3,sears,i353,no,1.0,80.0,16.0,coated,1910,1400.0,35.0,1.0,19910212,yes,2.0,7.0,3.0
107.4,noband,,0.2,abbypress,m254,no,1.3,64.0,15.4,coated,1911,1425.0,30.0,0.875,19910211,yes,1.0,0.0,1.0
103.22,noband,30.0,0.2,roses,x291,no,1.0,82.0,16.0,coated,1910,2270.0,50.0,0.875,19910214,yes,9.0,0.0,2.0
103.22,noband,30.0,0.3,roses,x129,no,1.5,80.0,16.3,coated,1910,2270.0,50.0,0.8125,19910214,yes,2.0,0.0,1.5
103.12,noband,24.0,0.267,jcpenny,x297,no,1.7,57.0,15.8,coated,1911,1480.0,60.0,0.75,19910214,yes,2.0,1.2,1.4
103.12,noband,20.0,0.233,jcpenny,x146,no,0.7,58.0,16.6,coated,1911,1480.0,52.5,0.75,19910214,yes,9.0,7.9,1.7
103.22,noband,35.0,0.3,roses,x129,no,0.7,87.0,17.0,coated,1910,2300.0,50.0,0.8125,19910213,yes,2.0,0.0,1.3
103.12,noband,25.0,0.2,cenpurch,e303,no,0.85,75.0,13.0,coated,1911,1600.0,25.0,0.625,19910215,yes,2.0,0.0,2.5
