band_type,customer,cylinder_number,grain_screened,ink_type,job_number,plating_tank,type_on_cylinder,unit_number
band,tvguide,x126,yes,uncoated,25503.0,1911,yes,2.0
noband,tvguide,x266,yes,uncoated,25503.0,?,yes,2.0
noband,modmat,b7,yes,coated,47201.0,?,yes,9.0
noband,massey,t133,yes,uncoated,39039.0,1910,yes,9.0
noband,kmart,j34,no,coated,37351.0,1910,yes,2.0
noband,massey,t218,yes,uncoated,38039.0,1910,yes,2.0
noband,roses,x249,no,coated,35751.0,1911,yes,2.0
noband,roses,x788,no,coated,35751.0,1911,yes,9.0
band,modmat,m372,yes,uncoated,47201.0,1910,yes,7.0
noband,childcraft,i320,yes,uncoated,37000.0,1911,yes,2.0
noband,childcraft,i337,yes,uncoated,37000.0,1910,yes,9.0
band,hanovrhouse,x352,yes,uncoated,35539.0,1911,yes,2.0
band,hanovrhous,x67,yes,uncoated,35539.0,1911,yes,7.0
band,guideposts,x817,yes,uncoated,23052.0,1911,yes,7.0
noband,hanovrhous,x273,yes,uncoated,35539.0,1911,yes,2.0
band,modmat,f108,?,coated,47201.0,1911,no,9.0
noband,homeshop,f237,no,coated,38064.0,1911,no,5.0
noband,homeshop,f267,no,coated,38064.0,1911,no,1.0
noband,uscav,s21,yes,uncoated,35521.0,1910,yes,5.0
noband,uscav,f492,yes,uncoated,35521.0,1911,yes,1.0
noband,colortil,x799,no,coated,37571.0,1911,no,2.0
noband,colortil,x823,no,coated,35751.0,1911,yes,9.0
noband,wards,x163,no,coated,37340.0,1911,yes,2.0
band,target,o4,no,coated,35816.0,1911,yes,2.0
band,kmart,e84,no,coated,37352.0,1911,yes,9.0
band,kmart,e81,no,coated,37352.0,1911,yes,9.0
noband,kmart,e72,no,coated,37352.0,1911,yes,9.0
noband,kmart,e310,no,coated,37352.0,1911,yes,2.0
band,woolworth,x29,no,coated,37080.0,1911,no,2.0
band,ames,x292,no,coated,37157.0,1910,no,2.0
noband,kmart,j9,no,coated,37352.0,1911,yes,2.0
noband,kmart,j582,no,coated,37352.0,1911,yes,9.0
noband,tvguide,x141,yes,uncoated,25507.0,1911,yes,2.0
noband,tvguide,x818,yes,uncoated,25507.0,1910,yes,7.0
band,woolwrth,v376,no,coated,37080.0,1911,no,2.0
noband,abbypress,m254,no,coated,27490.0,1911,yes,1.0
band,target,r5,no,coated,35811.0,1910,yes,2.0
noband,belks,j33,yes,uncoated,35334.0,1911,yes,2.0
noband,belks,j43,yes,uncoated,35334.0,1911,yes,9.0
noband,sears,i357,no,coated,37869.0,1911,yes,9.0
noband,sears,i353,no,coated,37869.0,1910,yes,2.0
noband,abbypress,m254,no,coated,27490.0,1911,yes,1.0
noband,roses,x291,no,coated,35752.0,1910,yes,9.0
noband,roses,x129,no,coated,35752.0,1910,yes,2.0
noband,jcpenny,x297,no,coated,35794.0,1911,yes,2.0
noband,jcpenny,x146,no,coated,35794.0,1911,yes,9.0
noband,roses,x129,no,coated,35752.0,1910,yes,2.0
noband,cenpurch,e303,no,coated,37441.0,1911,yes,2.0
noband,cenpurch,e68,no,coated,37441.0,1911,yes,7.0
noband,kmart,j42,no,uncoated,37354.0,1911,yes,9.0
band,belk,x53,yes,uncoated,35335.0,1911,yes,2.0
band,belk,x821,yes,uncoated,37335.0,1911,yes,2.0
noband,toysrus,x118,no,coated,35870.0,1910,no,2.0
noband,toysrus,x826,no,coated,35870.0,1911,no,9.0
noband,target,r23,no,coated,35811.0,1911,yes,9.0
noband,roses,x291,no,coated,35752.0,1910,yes,9.0
noband,sears,i354,no,coated,37869.0,1911,yes,7.0
noband,sears,i358,no,coated,37869.0,1911,yes,2.0
band,tvguide,x760,yes,uncoated,25509.0,1911,yes,7.0
band,kmart,e26,yes,uncoated,37386.0,1910,yes,2.0
band,kmart,e84,yes,uncoated,37386.0,?,no,9.0
noband,kmart,e69,yes,uncoated,37386.0,1910,yes,2.0
noband,kmart,e77,yes,uncoated,37386.0,1910,yes,9.0
band,kmart,e83,?,uncoated,37386.0,1911,yes,2.0
band,kmart,e67,?,uncoated,37386.0,1910,yes,2.0
band,kmart,e83,?,uncoated,27386.0,1911,no,2.0
band,kmart,x791,yes,uncoated,37386.0,1911,yes,9.0
noband,kmart,e90,no,coated,37254.0,1911,yes,7.0
noband,eckerd,x271,no,coated,35457.0,1910,yes,9.0
noband,modmat,f308,no,uncoated,47202.0,1910,yes,9.0
noband,modmat,t281,no,uncoated,47202.0,1910,yes,2.0
noband,modmat,f067,no,uncoated,47202.0,1910,yes,2.0
noband,ames,x405,no,coated,37163.0,1910,yes,2.0
noband,kmart,e91,no,coated,37354.0,1911,yes,2.0
noband,modmat,f615,yes,uncoated,47202.0,1910,yes,1.0
noband,modmat,f510,no,uncoated,47202.0,1910,yes,10.0
noband,modmat,f670,yes,uncoated,47202.0,1910,yes,5.0
band,kmart,e310,no,coated,37355.0,1910,yes,9.0
noband,modmat,f670,yes,uncoated,47202.0,1910,yes,5.0
noband,modmat,m402,yes,uncoated,47202.0,1910,yes,9.0
noband,kmart,x18,no,coated,37355.0,1910,yes,9.0
noband,modmat,f615,yes,uncoated,47202.0,?,yes,1.0
noband,kmart,f310,no,coated,37355.0,1910,yes,2.0
noband,kmart,f72,no,coated,37355.0,1910,yes,9.0
noband,roses,x308,no,coated,35753.0,1910,yes,9.0
band,tvguide,x720,yes,uncoated,25513.0,1911,yes,7.0
noband,jcp,g404,no,coated,38051.0,?,yes,2.0
band,tvguide,x798,yes,uncoated,25514.0,1910,no,7.0
noband,tvguide,x160,yes,uncoated,25513.0,1911,yes,2.0
noband,jcp,g416,no,coated,38051.0,1910,yes,9.0
noband,kmart,x350,no,coated,37355.0,1911,yes,2.0
noband,kmart,x264,no,coated,37355.0,1911,yes,9.0
band,tvguide,x838,yes,uncoated,25515.0,1911,yes,7.0
band,woolworth,x89,no,coated,37081.0,1911,yes,1.0
noband,belk,x102,yes,uncoated,35534.0,1910,no,2.0
noband,belk,x830,yes,uncoated,35534.0,1910,no,9.0
noband,roses,x118,no,coated,35754.0,1910,yes,2.0
noband,roses,x35,no,coated,35754.0,1910,yes,9.0
noband,colortile,x390,no,coated,37572.0,1911,yes,2.0
noband,colortile,x754,no,coated,37572.0,1911,yes,9.0
noband,target,o2,no,coated,35814.0,1911,yes,2.0
noband,target,3,no,coated,35814.0,1911,yes,9.0
noband,bestprod,f103,no,coated,37822.0,1910,yes,1.0
noband,bestprod,s180,no,coated,37822.0,1910,yes,5.0
band,target,o8,no,coated,35816.0,1910,yes,2.0
band,eckerd,g608,no,coated,35458.0,1910,no,2.0
band,modmat,f416,yes,coated,47203.0,1910,no,9.0
band,target,r14,no,coated,35816.0,1910,yes,2.0
band,target,r14,no,coated,35816.0,1910,yes,2.0
band,guideposts,x249,yes,cover,23055.0,1910,yes,7.0
band,tvguide,x817,yes,uncoated,25520.0,1910,yes,7.0
band,tvguide,x746,yes,uncoated,25520.0,1910,yes,7.0
noband,toysrus,x195,no,coated,35982.0,1910,no,2.0
noband,toysrus,x405,no,coated,35872.0,1910,yes,9.0
noband,modmat,m337,yes,uncoated,47203.0,1910,yes,5.0
noband,modmat,t32,yes,uncoated,47203.0,1910,no,7.0
noband,modmat,m410,yes,uncoated,47203.0,1910,no,2.0
noband,modmat,e510,yes,uncoated,47203.0,1910,yes,1.0
band,ames,g108,no,coated,37168.0,1911,yes,2.0
band,wards,g145,no,coated,37333.0,1911,yes,2.0
band,tvguide,x356,yes,uncoated,25517.0,1911,no,7.0
band,wards,g95,no,coated,37333.0,1910,no,2.0
band,hanhouse,x802,yes,uncoated,37994.0,1911,no,7.0
band,tvguide,x779,yes,uncoated,25513.0,1910,no,7.0
