ESA_Voltage,band_type,caliper,plating_tank,timestamp,unit_number
0.0,band,0.2,1911,19910108,2.0
0.0,noband,0.3,?,19910109,2.0
0.0,noband,0.433,?,19910104,9.0
0.0,noband,0.3,1910,19910104,9.0
5.0,noband,0.3,1910,19910111,2.0
5.0,noband,0.267,1910,19910104,2.0
6.0,noband,0.3,1911,19910111,2.0
6.0,noband,0.2,1911,19910111,9.0
1.5,band,0.367,1910,19910112,7.0
0.0,noband,0.333,1911,19910114,2.0
0.0,noband,0.2,1910,19910114,9.0
0.0,band,0.367,1911,19910111,2.0
0.0,band,0.3,1911,19910117,7.0
0.0,band,0.3,1911,19910125,7.0
0.0,noband,0.267,1911,19910117,2.0
0.0,band,0.233,1911,19910103,9.0
0.0,noband,0.2,1911,19910129,5.0
0.0,noband,0.2,1911,19910129,1.0
0.0,noband,0.267,1910,19910123,5.0
0.0,noband,0.333,1911,19910123,1.0
0.0,noband,0.233,1911,19910130,2.0
0.0,noband,0.2,1911,19910130,9.0
4.0,noband,0.2,1911,19910117,2.0
0.0,band,0.2,1911,19910127,2.0
0.0,band,0.2,1911,19910131,9.0
0.0,band,0.2,1911,19910201,9.0
0.0,noband,0.3,1911,19910130,9.0
0.0,noband,0.3,1911,19910130,2.0
0.0,band,?,1911,19910201,2.0
0.0,band,0.233,1910,19910118,2.0
0.0,noband,0.2,1911,19910206,2.0
0.0,noband,0.2,1911,19910206,9.0
0.0,noband,0.267,1911,19910206,2.0
2.0,noband,0.2,1910,19910206,7.0
4.0,band,0.333,1911,19910208,2.0
0.0,noband,0.2,1911,19910211,1.0
0.0,band,?,1910,19910215,2.0
2.0,noband,0.267,1911,19910113,2.0
4.0,noband,0.2,1911,19910213,9.0
0.0,noband,0.3,1911,19910212,9.0
0.0,noband,0.3,1910,19910212,2.0
0.0,noband,0.2,1911,19910211,1.0
12.0,noband,0.2,1910,19910214,9.0
12.0,noband,0.3,1910,19910214,2.0
0.0,noband,0.267,1911,19910214,2.0
0.0,noband,0.233,1911,19910214,9.0
0.0,noband,0.3,1910,19910213,2.0
0.0,noband,0.2,1911,19910215,2.0
5.0,noband,0.233,1911,19910215,7.0
0.0,noband,0.333,1911,19910221,9.0
0.0,band,0.333,1911,19910223,2.0
4.0,band,0.233,1911,19910223,2.0
0.0,noband,0.2,1910,19910220,2.0
0.0,noband,0.267,1911,19910220,9.0
