band_type,caliper,timestamp,unit_number,viscosity
band,0.2,19910108,2.0,46.0
noband,0.3,19910109,2.0,46.0
noband,0.433,19910104,9.0,40.0
noband,0.3,19910104,9.0,40.0
noband,0.3,19910111,2.0,46.0
noband,0.267,19910104,2.0,40.0
noband,0.3,19910111,2.0,46.0
noband,0.2,19910111,9.0,46.0
band,0.367,19910112,7.0,45.0
noband,0.333,19910114,2.0,43.0
noband,0.2,19910114,9.0,43.0
band,0.367,19910111,2.0,50.0
band,0.3,19910117,7.0,50.0
band,0.3,19910125,7.0,45.0
noband,0.267,19910117,2.0,43.0
band,0.233,19910103,9.0,45.0
noband,0.2,19910129,5.0,45.0
noband,0.2,19910129,1.0,45.0
noband,0.267,19910123,5.0,38.0
noband,0.333,19910123,1.0,38.0
noband,0.233,19910130,2.0,45.0
noband,0.2,19910130,9.0,45.0
noband,0.2,19910117,2.0,43.0
band,0.2,19910127,2.0,41.0
band,0.2,19910131,9.0,42.0
band,0.2,19910201,9.0,42.0
noband,0.3,19910130,9.0,45.0
noband,0.3,19910130,2.0,45.0
band,?,19910201,2.0,42.0
band,0.233,19910118,2.0,45.0
noband,0.2,19910206,2.0,44.0
noband,0.2,19910206,9.0,44.0
noband,0.267,19910206,2.0,44.0
noband,0.2,19910206,7.0,44.0
band,0.333,19910208,2.0,47.0
noband,0.2,19910211,1.0,42.0
band,?,19910215,2.0,38.0
noband,0.267,19910113,2.0,43.0
noband,0.2,19910213,9.0,43.0
noband,0.3,19910212,9.0,44.0
noband,0.3,19910212,2.0,44.0
noband,0.2,19910211,1.0,42.0
noband,0.2,19910214,9.0,43.0
noband,0.3,19910214,2.0,43.0
noband,0.267,19910214,2.0,43.0
noband,0.233,19910214,9.0,43.0
noband,0.3,19910213,2.0,43.0
noband,0.2,19910215,2.0,38.0
noband,0.233,19910215,7.0,38.0
noband,0.333,19910221,9.0,46.0
band,0.333,19910223,2.0,41.0
band,0.233,19910223,2.0,41.0
noband,0.2,19910220,2.0,46.0
noband,0.267,19910220,9.0,46.0
noband,0.233,19910216,9.0,35.0
noband,0.2,19910213,9.0,43.0
noband,0.4,19910215,7.0,38.0
noband,0.433,19910215,2.0,38.0
band,0.2,19910220,7.0,46.0
band,0.333,19910304,2.0,47.0
band,0.35,19910303,9.0,47.0
noband,0.233,19910301,2.0,39.0
noband,0.2,19910301,9.0,39.0
band,0.267,19910309,2.0,43.0
band,0.233,19910306,2.0,48.0
band,0.267,19910311,2.0,40.0
band,0.35,19910311,9.0,40.0
noband,0.3,19910227,7.0,41.0
noband,0.2,19910302,9.0,39.0
noband,0.3,19910307,9.0,45.0
noband,0.333,19910308,2.0,43.0
noband,0.2,19910307,2.0,45.0
noband,0.267,19910310,2.0,37.0
noband,0.2,19910227,2.0,41.0
noband,0.2,19910307,1.0,45.0
noband,0.2,19910307,10.0,45.0
noband,0.233,19910307,5.0,45.0
band,0.35,19910317,9.0,43.0
noband,0.233,19910314,5.0,37.0
noband,0.267,19910309,9.0,43.0
noband,0.2,19910316,9.0,44.0
noband,0.2,19910314,1.0,37.0
noband,0.35,19910318,2.0,43.0
noband,0.35,19910318,9.0,43.0
noband,0.267,19910319,9.0,43.0
band,?,19910319,7.0,45.0
noband,0.333,19910322,2.0,49.0
band,0.267,19910325,7.0,49.0
noband,?,19910320,2.0,45.0
noband,0.2,19910322,9.0,49.0
noband,0.233,19910323,2.0,49.0
noband,0.233,19910323,9.0,49.0
band,0.3,19910402,7.0,46.0
band,0.2,19910404,1.0,44.0
noband,0.3,19910330,2.0,44.0
noband,0.3,19910330,9.0,44.0
noband,0.3,19910405,2.0,43.0
noband,0.267,19910405,9.0,43.0
noband,0.233,19910327,2.0,48.0
noband,0.233,19910327,9.0,48.0
noband,0.233,19910402,2.0,43.0
noband,0.233,19910402,9.0,43.0
noband,0.2,19910406,1.0,44.0
noband,0.233,19910406,5.0,44.0
band,0.4,19910511,2.0,68.0
band,0.233,19910501,2.0,60.0
band,0.3,19910502,9.0,55.0
band,0.433,19910502,2.0,55.0
band,?,19910503,2.0,52.0
band,0.4,19910503,7.0,52.0
band,0.267,19910507,7.0,56.0
band,0.267,19910508,7.0,57.0
noband,0.4,19910517,2.0,67.0
noband,0.333,19910517,9.0,67.0
noband,0.3,19910505,5.0,52.0
noband,0.233,19910507,7.0,55.0
noband,0.233,19910507,2.0,55.0
noband,0.267,19910505,1.0,52.0
band,0.3,19910409,2.0,63.0
band,0.267,19910415,2.0,60.0
band,0.3,19910416,7.0,53.0
band,0.3,19910426,2.0,56.0
band,0.233,19910426,7.0,56.0
band,0.2,19910422,7.0,49.0
noband,0.2,19910426,2.0,50.0
noband,0.2,19910426,7.0,50.0
noband,0.233,19910428,9.0,56.0
noband,0.2,19910428,2.0,56.0
noband,0.2,19910419,2.0,50.0
noband,0.233,19910419,9.0,50.0
noband,0.233,19910415,2.0,59.0
noband,0.233,19910415,9.0,59.0
noband,0.2,19910409,9.0,54.0
noband,0.2,19910409,2.0,54.0
noband,0.267,19910426,2.0,45.0
band,0.4,19910430,7.0,64.0
band,0.233,19910423,9.0,56.0
noband,0.333,19910605,2.0,54.0
noband,0.4,19910604,2.0,68.0
noband,0.35,19910604,9.0,68.0
noband,0.367,19910605,9.0,54.0
noband,0.333,19910603,2.0,70.0
noband,0.4,19910603,9.0,70.0
noband,0.4,19910529,2.0,60.0
noband,0.3,19910524,9.0,62.0
noband,0.267,19910524,2.0,62.0
noband,0.2,19910430,9.0,64.0
noband,0.233,19910430,2.0,64.0
band,0.367,19910531,7.0,69.0
noband,0.4,19910529,9.0,60.0
noband,0.4,19910524,2.0,62.0
noband,0.4,19910524,9.0,62.0
band,0.367,19910528,1.0,68.0
band,0.4,19910604,9.0,68.0
noband,0.3,19910610,2.0,56.0
noband,0.367,19910610,9.0,56.0
noband,0.3,19910611,2.0,56.0
noband,0.283,19910611,9.0,56.0
noband,0.3,19910614,2.0,69.0
noband,0.267,19910614,2.0,69.0
noband,0.267,19910614,9.0,69.0
noband,0.2,19910614,9.0,69.0
band,0.2,19910627,2.0,66.0
band,0.3,19910626,9.0,65.0
band,0.3,19910622,2.0,68.0
band,0.2,19910619,9.0,64.0
band,0.267,19910618,2.0,65.0
band,0.233,19910617,1.0,66.0
band,0.4,19910609,9.0,62.0
band,?,19910609,2.0,62.0
band,0.4,19910607,9.0,58.0
band,0.233,19910707,9.0,64.0
band,0.2,19910707,10.0,64.0
band,0.2,19910629,2.0,66.0
noband,0.233,19910706,9.0,64.0
noband,0.2,19910706,2.0,64.0
band,0.3,19900514,9.0,63.0
band,0.3,19900509,9.0,50.0
band,0.233,19900511,1.0,48.0
band,0.5,19900518,9.0,54.0
noband,0.233,19900414,2.0,41.0
noband,0.233,19900418,9.0,42.0
noband,0.233,19900418,2.0,42.0
noband,0.267,19900606,7.0,54.0
noband,0.267,19900606,2.0,54.0
noband,0.233,19900507,9.0,54.0
noband,0.3,19900409,2.0,38.0
band,0.3,19900524,1.0,60.0
band,0.2,19900425,9.0,49.0
band,0.367,19900418,5.0,43.0
band,0.333,19900409,7.0,41.0
band,0.267,19900417,2.0,52.0
noband,0.3,19900606,9.0,54.0
noband,0.267,19900606,2.0,54.0
noband,0.3,19900517,2.0,55.0
noband,0.3,19900426,9.0,48.0
noband,0.333,19900426,2.0,48.0
band,0.2,19900505,7.0,52.0
noband,0.233,19900507,1.0,54.0
noband,0.267,19900507,10.0,54.0
noband,0.2,19900507,2.0,54.0
noband,0.2,19900507,5.0,54.0
band,0.3,19900510,2.0,50.0
noband,0.333,19900517,9.0,48.0
noband,0.233,19900517,2.0,48.0
noband,0.233,19900507,9.0,54.0
noband,0.3,19900507,2.0,54.0
noband,0.333,19900606,7.0,54.0
band,?,19900603,2.0,65.0
band,0.433,19900617,7.0,62.0
band,0.2,19900602,2.0,56.0
noband,0.333,19900608,6.0,62.0
noband,?,19900608,1.0,62.0
noband,0.433,19900615,9.0,58.0
noband,0.333,19900615,2.0,58.0
noband,0.3,19900612,2.0,51.0
noband,0.333,19900612,9.0,51.0
noband,0.467,19900615,9.0,58.0
noband,0.467,19900615,2.0,58.0
noband,0.433,19900606,9.0,54.0
noband,0.233,19900606,2.0,54.0
noband,?,19900606,2.0,54.0
noband,0.3,19900614,1.0,53.0
noband,0.3,19900614,6.0,53.0
band,0.367,19900621,7.0,59.0
noband,0.333,19900622,9.0,55.0
noband,0.3,19900622,2.0,55.0
noband,?,19900611,9.0,60.0
noband,?,19900611,2.0,60.0
band,0.4,19900622,6.0,59.0
band,0.233,19900626,7.0,49.0
band,0.333,19900625,2.0,49.0
band,0.4,19900622,2.0,65.0
noband,0.3,19900625,6.0,58.0
band,0.4,19900625,9.0,58.0
noband,0.333,19900625,2.0,58.0
band,0.167,19900702,9.0,47.0
noband,0.2,19900706,9.0,47.0
noband,0.2,19900705,2.0,47.0
band,0.333,19900330,7.0,59.0
band,0.333,19900707,2.0,58.0
band,0.367,19900708,2.0,58.0
noband,0.3,19900710,2.0,56.0
noband,0.433,19900710,7.0,56.0
noband,0.3,19900710,9.0,56.0
noband,0.333,19900710,5.0,56.0
noband,0.5,19900710,1.0,56.0
band,0.2,19900706,2.0,55.0
noband,0.2,19900710,9.0,56.0
noband,0.333,19900710,2.0,56.0
noband,0.4,19900710,10.0,56.0
noband,0.4,19900710,9.0,56.0
band,0.3,19900726,2.0,56.0
noband,0.3,19900727,2.0,53.0
noband,0.367,19900726,7.0,53.0
noband,0.3,19900723,7.0,61.0
noband,0.367,19900723,2.0,61.0
noband,0.267,19900723,2.0,61.0
noband,0.333,19900723,10.0,61.0
noband,0.4,19900723,2.0,61.0
noband,0.333,19900723,7.0,61.0
noband,0.267,19900620,2.0,54.0
noband,0.5,19900620,9.0,54.0
noband,0.2,19900719,9.0,54.0
noband,0.367,19900719,2.0,54.0
noband,0.2,19900718,9.0,54.0
band,0.167,19900806,9.0,51.0
noband,0.4,19900730,2.0,54.0
noband,0.333,19900730,9.0,54.0
noband,0.367,19900730,2.0,54.0
noband,0.333,19900727,2.0,53.0
noband,0.3,19900730,9.0,54.0
noband,0.3,19900727,7.0,53.0
noband,0.3,19900801,2.0,53.0
noband,0.267,19900811,9.0,53.0
band,0.5,19900804,2.0,55.0
band,0.233,19900805,2.0,55.0
noband,0.333,19900811,9.0,54.0
noband,0.2,19900811,2.0,54.0
noband,0.2,19900807,2.0,50.0
noband,0.333,19900807,9.0,50.0
noband,0.2,19900810,7.0,50.0
noband,0.267,19900810,2.0,50.0
noband,0.2,19900809,7.0,50.0
noband,0.333,19900813,7.0,54.0
noband,0.233,19900813,2.0,54.0
noband,0.267,19900812,2.0,54.0
noband,0.233,19900812,7.0,54.0
noband,0.5,19900813,9.0,54.0
noband,0.333,19900812,2.0,54.0
noband,0.167,19900813,2.0,54.0
noband,0.167,19900814,9.0,54.0
noband,0.367,19900812,9.0,54.0
noband,0.3,19900819,1.0,56.0
noband,0.233,19900819,5.0,56.0
noband,0.333,19900818,2.0,56.0
noband,0.367,19900818,10.0,56.0
noband,0.367,19900820,2.0,57.0
noband,?,19900820,10.0,57.0
band,0.367,19900830,1.0,49.0
noband,0.333,19900831,7.0,51.0
noband,0.267,19900831,2.0,51.0
noband,0.533,19900825,2.0,55.0
noband,0.3,19900825,9.0,55.0
noband,0.3,19900824,1.0,54.0
noband,0.3,19900824,5.0,54.0
noband,0.333,19900821,7.0,55.0
noband,0.433,19900821,2.0,55.0
band,0.367,19900921,1.0,72.0
band,0.267,19900921,1.0,56.0
band,?,19900920,2.0,46.0
band,0.2,19900913,1.0,60.0
noband,0.233,19900909,7.0,50.0
noband,0.267,19900909,2.0,50.0
noband,0.3,19900909,2.0,50.0
noband,0.267,19900909,9.0,50.0
noband,0.367,19900910,5.0,47.0
noband,0.367,19900910,1.0,47.0
noband,0.233,19900910,10.0,47.0
noband,0.2,19900910,9.0,47.0
noband,0.267,19900915,9.0,60.0
noband,0.267,19900915,2.0,60.0
band,0.267,19900924,1.0,49.0
band,0.133,19901002,1.0,50.0
band,0.367,19901002,1.0,48.0
band,0.267,19901003,7.0,50.0
band,0.2,19901002,2.0,50.0
noband,0.2,19901001,2.0,48.0
noband,0.2,19901001,9.0,48.0
noband,0.233,19900926,9.0,48.0
noband,0.3,19900926,2.0,48.0
noband,0.233,19900926,9.0,48.0
noband,0.433,19900926,2.0,49.0
noband,0.367,19900924,1.0,48.0
noband,0.4,19900924,5.0,48.0
band,0.3,19901006,9.0,52.0
noband,0.333,19901007,7.0,52.0
band,0.3,19901007,9.0,53.0
band,0.333,19901004,2.0,58.0
band,0.233,19901001,2.0,48.0
band,0.333,19901005,7.0,52.0
noband,0.233,19901007,2.0,52.0
band,0.3,19901010,7.0,54.0
noband,0.333,19901017,7.0,46.0
noband,0.333,19901017,2.0,46.0
noband,0.3,19901010,9.0,50.0
noband,0.3,19901010,2.0,50.0
noband,0.333,19901008,2.0,53.0
noband,0.3,19901008,9.0,53.0
noband,0.333,19901014,2.0,54.0
noband,?,19901014,9.0,54.0
band,0.367,19901027,9.0,43.0
band,0.267,19901101,7.0,43.0
band,0.2,19901102,2.0,43.0
noband,0.233,19901031,9.0,42.0
noband,0.2,19901031,2.0,42.0
band,0.2,19901102,9.0,43.0
band,?,19901023,2.0,42.0
band,0.367,19901027,9.0,43.0
band,0.3,19901030,9.0,42.0
band,0.233,19901031,2.0,43.0
band,0.267,19901102,2.0,43.0
band,0.267,19901107,7.0,43.0
band,0.2,19901114,7.0,42.0
noband,0.2,19901108,2.0,43.0
noband,0.267,19901105,9.0,43.0
band,0.233,19901109,9.0,51.0
band,0.2,19901108,1.0,43.0
noband,0.233,19901105,2.0,43.0
noband,0.2,19901107,7.0,43.0
