cylinder_number,job_number,roller_durometer
x126,25503.0,34.0
x266,25503.0,34.0
b7,47201.0,40.0
t133,39039.0,40.0
j34,37351.0,35.0
t218,38039.0,40.0
x249,35751.0,30.0
x788,35751.0,30.0
m372,47201.0,40.0
i320,37000.0,38.0
i337,37000.0,38.0
x352,35539.0,38.0
x67,35539.0,38.0
x817,23052.0,40.0
x273,35539.0,38.0
f108,47201.0,40.0
f237,38064.0,33.0
f267,38064.0,33.0
s21,35521.0,32.0
f492,35521.0,32.0
x799,37571.0,30.0
x823,35751.0,30.0
x163,37340.0,30.0
o4,35816.0,30.0
e84,37352.0,35.0
e81,37352.0,35.0
e72,37352.0,35.0
e310,37352.0,35.0
x29,37080.0,30.0
x292,37157.0,33.0
j9,37352.0,35.0
j582,37352.0,35.0
x141,25507.0,34.0
x818,25507.0,34.0
v376,37080.0,30.0
m254,27490.0,34.0
r5,35811.0,30.0
j33,35334.0,40.0
j43,35334.0,40.0
i357,37869.0,28.0
i353,37869.0,28.0
m254,27490.0,34.0
x291,35752.0,30.0
x129,35752.0,30.0
x297,35794.0,33.0
x146,35794.0,33.0
x129,35752.0,30.0
e303,37441.0,30.0
e68,37441.0,30.0
j42,37354.0,35.0
x53,35335.0,50.0
x821,37335.0,50.0
x118,35870.0,33.0
x826,35870.0,33.0
r23,35811.0,30.0
x291,35752.0,30.0
i354,37869.0,28.0
i358,37869.0,28.0
x760,25509.0,28.0
e26,37386.0,40.0
e84,37386.0,40.0
e69,37386.0,40.0
e77,37386.0,40.0
e83,37386.0,40.0
e67,37386.0,40.0
e83,27386.0,40.0
x791,37386.0,40.0
e90,37254.0,35.0
x271,35457.0,30.0
f308,47202.0,40.0
t281,47202.0,40.0
f067,47202.0,40.0
x405,37163.0,33.0
e91,37354.0,35.0
f615,47202.0,40.0
f510,47202.0,40.0
f670,47202.0,40.0
e310,37355.0,35.0
f670,47202.0,40.0
m402,47202.0,40.0
x18,37355.0,35.0
f615,47202.0,40.0
f310,37355.0,35.0
f72,37355.0,35.0
x308,35753.0,30.0
x720,25513.0,34.0
g404,38051.0,33.0
x798,25514.0,34.0
x160,25513.0,34.0
g416,38051.0,33.0
x350,37355.0,35.0
x264,37355.0,35.0
x838,25515.0,34.0
x89,37081.0,30.0
x102,35534.0,40.0
x830,35534.0,40.0
x118,35754.0,30.0
x35,35754.0,30.0
x390,37572.0,30.0
x754,37572.0,30.0
o2,35814.0,33.0
3,35814.0,33.0
f103,37822.0,35.0
s180,37822.0,35.0
o8,35816.0,33.0
g608,35458.0,30.0
f416,47203.0,40.0
r14,35816.0,33.0
r14,35816.0,33.0
x249,23055.0,40.0
x817,25520.0,34.0
x746,25520.0,34.0
x195,35982.0,33.0
x405,35872.0,33.0
m337,47203.0,40.0
t32,47203.0,40.0
m410,47203.0,40.0
e510,47203.0,40.0
g108,37168.0,30.0
g145,37333.0,33.0
x356,25517.0,34.0
g95,37333.0,33.0
x802,37994.0,34.0
x779,25513.0,34.0
t380,47203.0,40.0
f146,47203.0,40.0
x9,35871.0,30.0
x21,35871.0,30.0
x220,37169.0,33.0
x147,47169.0,33.0
e92,32360.0,33.0
e85,32360.0,33.0
f685,37822.0,35.0
f569,37822.0,35.0
x139,37994.0,34.0
x12,25519.0,34.0
g518,35458.0,30.0
x116,35460.0,30.0
x818,37365.0,35.0
x346,37365.0,35.0
x103,35460.0,30.0
e74,37365.0,40.0
e86,37365.0,40.0
x396,37338.0,35.0
x155,37758.0,30.0
x29,35758.0,30.0
g518,35458.0,30.0
g608,35458.0,30.0
m337,47203.0,40.0
x381,37338.0,35.0
j582,37915.0,33.0
j62,37915.0,33.0
f510,47203.0,40.0
y216,37305.0,35.0
g089,37501.0,30.0
g572,37501.0,30.0
x390,37177.0,33.0
x831,37177.0,33.0
g78,37501.0,33.0
x158,35759.0,30.0
x804,37579.0,30.0
g69,37501.0,33.0
x820,37502.0,30.0
i343,37938.0,34.0
r2,35528.0,40.0
x760,37199.0,30.0
i383,37003.0,38.0
t176,37990.0,34.0
y255,37365.0,35.0
x253,35460.0,30.0
aa11,37365.0,35.0
m362,47204.0,40.0
f26,47204.0,40.0
i820,37938.0,34.0
x367,37505.0,30.0
x793,37505.0,30.0
f679,47103.0,40.0
f242,47103.0,40.0
m260,47103.0,40.0
i331,34402.0,50.0
o21,34545.0,33.0
j68,36053.0,30.0
j42,36053.0,30.0
f331,36859.0,45.0
f571,36859.0,45.0
m93,47103.0,40.0
g467,34683.0,30.0
f227,36648.0,35.0
g496,34664.0,38.0
f329,36858.0,40.0
x203,25416.0,40.0
t313,36858.0,40.0
r4,34546.0,30.0
r15,34546.0,30.0
x400,36054.0,30.0
o6,34545.0,32.0
o14,34545.0,33.0
t244,47103.0,40.0
m260,47103.0,40.0
t383,47103.0,40.0
t78,47103.0,40.0
m4,47103.0,40.0
f672,47103.0,40.0
x776,34752.0,30.0
x713,34752.0,30.0
m432,36928.0,30.0
m257,36928.0,30.0
x138,25424.0,40.0
f670,36859.0,45.0
x787,34093.0,38.0
f590,36859.0,45.0
f19,36649.0,35.0
f89,36649.0,35.0
r17,34547.0,30.0
r29,34547.0,30.0
x423,36894.0,30.0
x414,36894.0,30.0
x84,36057.0,30.0
x96,36057.0,30.0
g407,36024.0,33.0
g150,36024.0,33.0
x777,25424.0,40.0
b6,34397.0,28.0
f85,34397.0,28.0
i301,36846.0,40.0
f135,38025.0,34.0
t178,38025.0,34.0
f257,36874.0,33.0
f170,37874.0,33.0
f77,36911.0,40.0
x95,25427.0,40.0
m254,34092.0,38.0
i347,36846.0,40.0
x116,36058.0,30.0
m45,34092.0,38.0
x273,36058.0,30.0
j6,34367.0,40.0
x135,34583.0,33.0
x151,25428.0,40.0
x750,23040.0,40.0
t245,36784.0,40.0
f374,36784.0,40.0
b181,47104.0,40.0
m332,47104.0,40.0
t234,36784.0,40.0
m39,47104.0,40.0
f450,47104.0,40.0
x281,34583.0,33.0
x346,34714.0,30.0
x235,34714.0,30.0
b125,47104.0,40.0
t280,47104.0,40.0
t8,36644.0,40.0
f257,36644.0,40.0
f261,36644.0,40.0
f264,35683.0,32.0
f294,35683.0,32.0
x232,34685.0,30.0
x750,34685.0,30.0
x351,34894.0,30.0
x25,34894.0,30.0
o7,34547.0,30.0
o15,34547.0,30.0
x753,36066.0,30.0
x823,36066.0,30.0
x60,36066.0,33.0
j40,34493.0,30.0
x153,34896.0,33.0
x272,34896.0,33.0
f131,23050.0,32.0
f76,36644.0,40.0
f383,23050.0,32.0
f374,36644.0,40.0
j15,36882.0,30.0
j38,36882.0,30.0
j60,34483.0,30.0
