caliper,cylinder_number,solvent_type,unit_number
0.2,x126,line,2.0
0.3,x266,line,2.0
0.433,b7,line,9.0
0.3,t133,line,9.0
0.3,j34,line,2.0
0.267,t218,line,2.0
0.3,x249,line,2.0
0.2,x788,line,9.0
0.367,m372,xylol,7.0
0.333,i320,line,2.0
0.2,i337,line,9.0
0.367,x352,line,2.0
0.3,x67,line,7.0
0.3,x817,line,7.0
0.267,x273,line,2.0
0.233,f108,line,9.0
0.2,f237,line,5.0
0.2,f267,line,1.0
0.267,s21,line,5.0
0.333,f492,line,1.0
0.233,x799,naptha,2.0
0.2,x823,naptha,9.0
0.2,x163,line,2.0
0.2,o4,line,2.0
0.2,e84,line,9.0
0.2,e81,line,9.0
0.3,e72,line,9.0
0.3,e310,line,2.0
?,x29,line,2.0
0.233,x292,line,2.0
0.2,j9,line,2.0
0.2,j582,line,9.0
0.267,x141,line,2.0
0.2,x818,line,7.0
0.333,v376,line,2.0
0.2,m254,line,1.0
?,r5,line,2.0
0.267,j33,line,2.0
0.2,j43,line,9.0
0.3,i357,line,9.0
0.3,i353,line,2.0
0.2,m254,line,1.0
0.2,x291,line,9.0
0.3,x129,line,2.0
0.267,x297,line,2.0
0.233,x146,line,9.0
0.3,x129,line,2.0
0.2,e303,line,2.0
0.233,e68,line,7.0
0.333,j42,line,9.0
0.333,x53,line,2.0
0.233,x821,line,2.0
0.2,x118,line,2.0
0.267,x826,line,9.0
0.233,r23,line,9.0
0.2,x291,line,9.0
0.4,i354,line,7.0
0.433,i358,line,2.0
0.2,x760,line,7.0
0.333,e26,line,2.0
0.35,e84,line,9.0
0.233,e69,line,2.0
0.2,e77,line,9.0
0.267,e83,line,2.0
0.233,e67,line,2.0
0.267,e83,line,2.0
0.35,x791,line,9.0
0.3,e90,line,7.0
0.2,x271,line,9.0
0.3,f308,line,9.0
0.333,t281,xylol,2.0
0.2,f067,line,2.0
0.267,x405,line,2.0
0.2,e91,line,2.0
0.2,f615,line,1.0
0.2,f510,line,10.0
0.233,f670,line,5.0
0.35,e310,line,9.0
0.233,f670,line,5.0
0.267,m402,line,9.0
0.2,x18,line,9.0
0.2,f615,line,1.0
0.35,f310,line,2.0
0.35,f72,line,9.0
0.267,x308,line,9.0
?,x720,line,7.0
0.333,g404,line,2.0
0.267,x798,line,7.0
?,x160,line,2.0
0.2,g416,line,9.0
0.233,x350,line,2.0
0.233,x264,line,9.0
0.3,x838,line,7.0
0.2,x89,line,1.0
0.3,x102,line,2.0
0.3,x830,line,9.0
0.3,x118,line,2.0
0.267,x35,line,9.0
0.233,x390,line,2.0
0.233,x754,line,9.0
0.233,o2,line,2.0
0.233,3,line,9.0
