fk_table,fk_column,pk_table,pk_column
table_0_0.csv,Key_0_0,table_1_1.csv,Key_0_0
table_0_0.csv,Key_0_0,table_1_2.csv,Key_0_0
table_0_0.csv,Key_0_0,table_1_3.csv,Key_0_0
table_1_1.csv,Key_1_1,table_2_4.csv,Key_1_1
table_1_1.csv,Key_1_1,table_2_5.csv,Key_1_1
table_1_1.csv,Key_1_1,table_2_6.csv,Key_1_1
table_1_1.csv,Key_0_0,table_1_2.csv,Key_0_0
table_1_1.csv,Key_0_0,table_1_3.csv,Key_0_0
table_1_2.csv,Key_0_0,table_1_3.csv,Key_0_0
table_2_4.csv,Key_1_1,table_2_5.csv,Key_1_1
table_2_4.csv,Key_1_1,table_2_6.csv,Key_1_1
table_2_5.csv,Key_1_1,table_2_6.csv,Key_1_1
table_2_4.csv,Key_1_1,table_1_1.csv,Key_1_1
table_2_5.csv,Key_1_1,table_2_4.csv,Key_1_1
table_2_5.csv,firstSaccLen,table_2_4.csv,lastSaccLen
table_2_4.csv,lastSaccLen,table_2_5.csv,firstSaccLen
table_1_1.csv,Key_0_0,table_0_0.csv,Key_0_0
table_2_6.csv,Key_1_1,table_1_1.csv,Key_1_1
table_1_3.csv,Key_0_0,table_1_1.csv,Key_0_0
table_1_1.csv,nextFixDur,table_0_0.csv,firstfixDur
table_1_1.csv,prevFixDur,table_2_6.csv,prevFixPos
table_1_1.csv,Key_1_1,table_1_3.csv,Key_1_3
table_2_6.csv,prevFixPos,table_1_1.csv,prevFixDur
table_0_0.csv,firstfixDur,table_1_1.csv,nextFixDur
table_2_6.csv,Key_1_1,table_2_5.csv,Key_1_1
table_1_3.csv,Key_1_3,table_1_1.csv,Key_1_1
table_1_1.csv,prevFixDur,table_0_0.csv,meanFixDur
table_0_0.csv,meanFixDur,table_1_1.csv,prevFixDur
table_1_3.csv,Key_0_0,table_0_0.csv,Key_0_0
table_2_5.csv,Key_1_1,table_1_1.csv,Key_1_1
table_1_2.csv,Key_0_0,table_1_1.csv,Key_0_0
table_2_5.csv,P2stFixation,table_1_3.csv,P1stFixation
table_1_2.csv,Key_0_0,table_0_0.csv,Key_0_0
table_1_3.csv,P1stFixation,table_2_5.csv,P2stFixation
table_0_0.csv,firstfixDur,table_1_2.csv,firstPassFixDur
table_2_5.csv,Key_1_1,table_1_3.csv,Key_1_3
table_1_2.csv,firstPassFixDur,table_0_0.csv,firstfixDur
table_1_3.csv,Key_1_3,table_2_5.csv,Key_1_1
table_2_5.csv,landingPos,table_1_3.csv,leavingPos
table_1_3.csv,leavingPos,table_2_5.csv,landingPos
table_1_3.csv,Key_0_0,table_1_2.csv,Key_0_0
table_2_6.csv,Key_1_1,table_1_3.csv,Key_1_3
table_1_3.csv,Key_1_3,table_2_6.csv,Key_1_1
table_2_6.csv,Key_1_1,table_2_4.csv,Key_1_1
table_1_3.csv,Key_1_3,table_2_4.csv,Key_1_1
table_2_6.csv,regressDur,table_2_4.csv,regressLen
table_2_4.csv,Key_1_1,table_1_3.csv,Key_1_3
table_2_4.csv,regressLen,table_2_6.csv,regressDur
table_1_3.csv,pupilDiamMax,table_2_4.csv,pupilDiamLag
table_2_4.csv,pupilDiamLag,table_1_3.csv,pupilDiamMax
