eyemove/table_0_0.label,eyemove/table_0_0.meanFixDur,eyemove/table_0_0.timePrtctg,eyemove/table_0_0.firstfixDur,Key_0_0
0,179.0,0.032,179.0,1353
1,119.0,0.0166,119.0,5612
1,99.5,0.0818,80.0,1122
1,109.5,0.0218,80.0,2041
1,258.0,0.1312,258.0,656
1,239.0,0.006,239.0,33
0,199.0,0.0233,199.0,2872
1,199.0,0.0171,99.0,2997
1,146.3333,0.0682,140.0,1463
1,239.0,0.0315,239.0,4049
1,139.0,0.0301,139.0,219
0,99.0,0.043,99.0,1754
1,139.0,0.0227,139.0,4724
0,169.0,0.0325,139.0,7100
1,139.0,0.0133,139.0,3435
1,199.0,0.0247,199.0,2118
0,278.0,0.0279,278.0,3588
1,139.0,0.0279,139.0,5887
1,199.0,0.0242,199.0,7006
1,179.0,0.018,179.0,1722
1,139.0,0.0274,139.0,3801
0,199.0,0.0247,199.0,4384
0,179.0,0.0457,179.0,188
0,139.0,0.0112,139.0,5133
1,199.0,0.0213,99.0,6169
1,179.0,0.0283,179.0,705
1,99.0,0.0265,99.0,143
1,278.0,0.0258,298.0,5073
1,100.0,0.0162,100.0,3167
0,139.0,0.0175,139.0,2621
1,179.0,0.1023,159.0,3720
0,179.0,0.0124,99.0,7168
1,199.0,0.0212,199.0,4630
1,139.0,0.0161,139.0,5796
0,258.0,0.0285,258.0,414
0,159.0,0.0197,139.0,3725
0,259.0,0.0503,259.0,5338
1,80.0,0.0068,80.0,1641
1,179.0,0.0208,179.0,7055
0,119.0,0.0244,119.0,2538
1,159.0,0.023,159.0,534
0,119.0,0.0107,119.0,734
1,179.0,0.0257,179.0,7492
0,169.0,0.0435,199.0,3811
0,159.0,0.0142,219.0,3908
1,199.0,0.0287,199.0,1536
1,299.0,0.0267,299.0,7016
1,99.0,0.0061,99.0,7248
0,89.5,0.0128,80.0,1654
1,99.0,0.0096,99.0,7513
1,100.0,0.0103,100.0,281
1,132.3333,0.0771,139.0,5535
1,179.0,0.0178,99.0,6128
1,139.0,0.044,139.0,4167
1,119.0,0.027,99.0,4684
1,188.5,0.0458,238.0,3814
1,239.0,0.0247,239.0,6253
1,129.5,0.0268,199.0,4273
1,159.0,0.0291,159.0,5069
1,179.0,0.0124,139.0,6736
1,199.0,0.0335,199.0,6367
1,99.0,0.0615,99.0,593
0,179.0,0.012,179.0,7286
0,80.0,0.0125,80.0,7604
0,219.0,0.0202,219.0,5525
1,139.0,0.0195,139.0,1598
0,199.0,0.025,199.0,6992
0,179.0,0.0153,179.0,5080
0,239.0,0.0089,239.0,6881
1,139.0,0.0139,139.0,6860
0,179.0,0.0153,338.0,855
0,99.0,0.01,99.0,3509
1,219.0,0.0055,179.0,5433
0,199.0,0.0199,199.0,3272
0,219.0,0.0178,219.0,272
0,159.0,0.0349,159.0,3508
0,219.0,0.0434,219.0,3243
1,219.0,0.0125,199.0,1501
1,139.0,0.0419,119.0,1286
1,80.0,0.0253,80.0,984
1,179.0,0.0457,179.0,4842
1,159.0,0.024,159.0,3313
1,259.0,0.0345,259.0,1392
1,219.0,0.0218,100.0,1145
0,179.0,0.0283,179.0,3695
0,169.0,0.0552,179.0,1174
0,99.0,0.0141,99.0,5360
0,99.0,0.0157,99.0,6953
0,139.0,0.0286,139.0,1041
1,159.0,0.0136,259.0,7582
1,99.0,0.0227,99.0,5156
0,80.0,0.0039,80.0,159
0,179.0,0.0162,319.0,379
0,99.0,0.0106,99.0,2123
0,99.0,0.0166,99.0,336
1,219.0,0.0395,219.0,7052
0,159.0,0.0143,159.0,4482
0,99.0,0.0111,99.0,1021
1,99.0,0.0141,99.0,3285
0,179.0,0.0258,179.0,4168
1,80.0,0.0039,80.0,4387
1,109.5,0.0219,258.0,4415
1,99.0,0.0397,99.0,178
0,80.0,0.008,80.0,6050
0,219.0,0.0672,219.0,6590
0,159.0,0.014,20.0,5770
1,119.0,0.0298,119.0,1081
1,179.0,0.0312,179.0,6003
0,20.0,0.0005,219.0,4633
0,80.0,0.006,80.0,3159
1,159.0,0.0191,199.0,4833
1,259.0,0.0193,259.0,899
1,298.0,0.0306,298.0,4170
0,199.0,0.0508,199.0,6807
1,159.0,0.0199,159.0,1750
1,119.0,0.0149,119.0,2773
0,80.0,0.018,80.0,1159
1,80.0,0.0125,80.0,5948
0,238.0,0.0302,238.0,575
1,139.0,0.0237,159.0,7505
1,99.0,0.0099,99.0,987
1,99.0,0.011,99.0,2420
0,379.0,0.0234,379.0,4237
1,119.0,0.02,119.0,7404
