eyemove/table_1_3.pupilDiamMax,eyemove/table_1_3.P1stFixation,eyemove/table_1_3.leavingPos,eyemove/table_1_3.Key_1_3,Key_0_0
0.0694,0,44.7493,7269,1353
0.3965,0,91.7824,393,5612
0.1176,1,89.6172,5500,1122
0.0207,0,57.5587,2282,2041
0.2195,1,98.3933,5417,656
0.9915,0,100.4502,7538,33
0.3797,1,81.5383,3305,2872
0.0984,1,69.3758,2164,2997
-0.1188,1,72.562,6857,1463
0.8401,1,21.006,6613,4049
0.0305,1,24.1868,2335,219
0.1279,1,79.3804,6941,1754
0.3659,1,49.7016,6202,4724
-0.0449,1,61.7454,7537,7100
0.0326,1,43.6578,4058,3435
0.0316,1,40.3887,5161,2118
0.2451,1,103.4372,6290,3588
0.1286,1,97.1815,6102,5887
0.2699,1,47.6707,7455,7006
-0.0145,0,24.4233,768,1722
0.2236,1,89.6465,4125,3801
0.0463,1,111.3833,6713,4384
0.1039,1,13.8293,201,188
0.2874,1,40.0,2532,5133
0.0796,1,74.8014,6360,6169
0.028,1,24.1661,244,705
0.3973,1,26.3154,2688,143
0.0971,1,114.2716,5083,5073
0.2465,1,68.0165,7282,3167
0.0742,1,93.3876,4322,2621
0.1405,1,96.6863,6161,3720
0.1446,0,28.3064,7383,7168
0.0487,1,80.0562,4287,4630
0.2312,1,59.854,3670,5796
0.1211,1,106.0955,314,414
0.1208,1,93.3408,2683,3725
0.1452,1,60.407,2243,5338
0.2675,1,93.9747,3248,1641
0.2312,1,80.5248,3611,7055
0.0086,1,143.9522,5907,2538
0.0218,1,3.8079,2846,534
0.0736,0,68.31,6790,734
0.0107,1,102.8227,401,7492
-0.7869,1,60.7988,4264,3811
0.032,1,2.5495,1217,3908
0.0597,1,34.9857,6459,1536
0.7661,1,34.3984,7431,7016
0.211,0,150.03,3973,7248
0.1385,1,65.6201,6176,1654
0.0341,1,86.552,7381,7513
0.0989,0,41.9672,4178,281
0.2377,1,108.5737,764,5535
0.0207,1,52.7873,1836,6128
0.0359,1,75.591,6377,4167
0.2646,1,22.7706,233,4684
0.2559,1,227.5049,2705,3814
-0.0348,1,143.0472,2245,6253
0.9107,0,35.0036,612,4273
0.0437,1,175.2063,4774,5069
0.2401,1,13.4536,1133,6736
0.0222,1,60.3925,853,6367
0.0374,1,62.9365,3242,593
0.2076,1,55.2675,5502,7286
0.1537,1,130.0087,4629,7604
0.1296,1,47.8174,4799,5525
0.0712,1,20.573,4571,1598
0.0875,1,33.2415,7272,6992
-0.0165,1,73.9899,5414,5080
-0.0268,0,83.4865,5512,6881
0.1113,1,15.1162,929,6860
0.0629,1,96.0,3509,855
0.2781,1,66.6202,7467,3509
0.319,1,95.1223,6009,5433
0.2216,1,20.5548,4174,3272
-0.5346,1,56.7979,2804,272
0.1831,1,121.2322,2627,3508
-0.0073,1,34.2381,7338,3243
0.1916,0,56.5796,3235,1501
0.2878,1,52.5024,2003,1286
-0.0761,1,54.1295,3529,984
0.0879,1,24.3977,6514,4842
-0.3586,1,46.0109,4070,3313
-0.0072,0,134.5158,5591,1392
0.1057,1,75.1083,3552,1145
0.0365,0,25.7391,5473,3695
0.3369,1,78.0801,6454,1174
0.162,0,38.0789,6951,5360
0.048,1,47.7624,1833,6953
0.1903,0,47.289,7574,1041
0.1254,0,145.0009,549,7582
0.2526,1,55.1589,6512,5156
0.1952,1,83.7511,864,159
0.5542,1,24.5204,775,379
0.0122,1,70.0179,4927,2123
0.3047,1,83.1174,595,336
0.2978,1,66.1532,5968,7052
0.0443,1,100.7795,2487,4482
0.3276,1,111.9933,2978,1021
0.2235,1,86.0712,202,3285
0.1757,1,46.0435,5612,4168
0.2337,0,5.7009,4890,4387
0.1859,1,61.2944,643,4415
0.1801,1,77.6804,5351,178
0.1799,0,255.5827,1341,6050
0.1404,1,71.1688,4931,6590
-0.8475,1,13.4629,7043,5770
0.3255,1,92.7699,4944,1081
0.1572,1,58.228,1383,6003
0.8315,1,1097.3154,4443,4633
0.2561,1,135.9458,5696,3159
0.0361,1,209.1937,974,4833
-0.0194,1,142.0563,2517,899
0.0309,1,85.6519,3302,4170
0.0309,1,62.8908,5491,6807
0.0227,1,172.2513,2566,1750
0.1082,1,38.1084,3906,2773
0.1233,1,56.6083,7426,1159
0.2077,1,48.1067,5928,5948
0.1162,1,21.9203,291,575
0.1988,1,110.6447,1060,7505
0.0799,0,50.5693,7582,987
0.0259,1,67.1063,166,2420
1.1122,1,76.1528,4502,4237
0.2606,1,47.0558,4119,7404
0.0817,1,92.4189,2541,6745
0.2638,1,37.7922,2343,3780
0.2725,1,77.3838,4958,2250
0.2045,1,65.622,4773,5426
0.1102,0,142.9773,6791,4418
-0.0025,1,157.0199,6649,581
0.0952,1,81.4877,6739,997
1.4012,1,78.1937,5005,202
0.1405,1,63.7828,502,1377
0.0954,1,90.0125,596,3574
-0.0602,1,119.9417,5576,2660
0.0862,1,48.0104,1271,3620
0.0995,0,65.9867,2885,2664
0.0936,1,33.3766,6033,1996
-0.0592,0,60.6321,5203,7580
1.4612,1,26.6833,3389,2974
0.6815,0,435.2807,3211,3596
-0.0593,1,38.4708,2861,3775
0.3939,1,78.6527,1053,5933
0.169,1,70.445,5132,6768
0.0251,1,118.4536,229,3883
0.4981,1,90.3549,5271,2995
0.2733,1,78.7051,6058,5005
0.0571,0,27.9508,1752,3310
0.0869,0,91.8286,1738,6522
0.1273,1,179.2603,2821,6879
0.0482,1,31.8944,5232,3692
0.0404,1,92.8897,780,5694
0.3018,1,105.9056,4278,5867
-0.0277,1,58.8218,3181,6698
0.0869,1,39.6989,7073,6531
0.0841,1,82.3423,1013,1488
-0.0348,1,13.4629,1518,5934
0.368,1,85.1146,6374,832
0.0303,1,66.888,4722,4868
0.2719,1,26.1199,4968,644
0.0693,1,68.6477,6814,4009
0.1737,1,71.0106,2378,2735
0.1139,1,76.4739,4812,6195
0.3425,0,82.2253,6092,3505
0.1821,1,65.4866,6534,5866
-0.0378,1,47.2969,3422,714
0.191,1,44.0114,4318,2209
0.1416,0,65.3012,7234,982
0.0447,0,16.8077,55,1558
0.0852,1,89.2328,3046,7054
0.0904,0,142.1724,3579,5303
0.2401,1,61.6198,6410,4678
0.35,0,39.3224,2702,4494
0.904,1,55.3399,4934,7431
0.1052,1,66.5169,3367,3921
0.1392,1,72.5,725,4800
0.2037,1,51.0392,3913,3058
0.1193,1,174.7584,5194,2975
-0.1101,1,57.0088,5855,7398
0.253,1,67.0914,5629,3974
-0.0876,1,19.4551,268,5398
0.0775,1,247.3181,2643,6757
1.16,1,38.396,6305,2147
0.122,1,17.1828,1598,1069
0.6945,1,84.7718,5133,7184
0.289,1,119.5418,5967,389
0.2986,1,58.2795,306,3040
-0.0299,1,58.86,7418,385
0.2327,0,66.8674,6503,5797
0.2041,1,71.3442,1451,2960
0.3038,0,49.8623,2632,7528
0.1487,1,94.9645,4902,1036
0.3988,1,29.8329,414,185
1.4382,1,90.9189,5138,5307
1.8132,1,142.7533,3486,3824
0.0089,1,43.1567,5813,6605
0.154,1,117.0662,186,7420
0.687,1,122.9085,3008,7552
0.2713,1,52.9741,7035,5587
0.273,1,39.9406,2214,6035
0.1305,0,39.3859,6386,3255
0.1054,1,73.5697,6425,2931
0.1773,1,73.0154,5561,1391
0.2045,0,90.8529,4171,5936
0.1307,1,42.7229,1973,320
